
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8801166348502029, 'l1_ratio': 0.5890503214643263, 'topK': 133, 'normalize': True} - results: ROC_AUC: 0.1955864, PRECISION: 0.0428335, PRECISION_RECALL_MIN_DEN: 0.1536059, RECALL: 0.1489931, MAP: 0.0708180, MRR: 0.1447535, NDCG: 0.1060985, F1: 0.0665357, HIT_RATE: 0.4283345, ARHR: 0.1694669, NOVELTY: 0.0050691, AVERAGE_POPULARITY: 0.0637453, DIVERSITY_MEAN_INTER_LIST: 0.9947033, DIVERSITY_HERFINDAHL: 0.9994528, COVERAGE_ITEM: 0.5412743, COVERAGE_ITEM_CORRECT: 0.0616747, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2194539, DIVERSITY_GINI: 0.2214458, SHANNON_ENTROPY: 12.5046355, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.27279057039783056, 'l1_ratio': 0.5088044671463908, 'topK': 742, 'normalize': True} - results: ROC_AUC: 0.1860824, PRECISION: 0.0397631, PRECISION_RECALL_MIN_DEN: 0.1396738, RECALL: 0.1353007, MAP: 0.0659057, MRR: 0.1386859, NDCG: 0.0985975, F1: 0.0614606, HIT_RATE: 0.3976312, ARHR: 0.1608487, NOVELTY: 0.0048384, AVERAGE_POPULARITY: 0.1052340, DIVERSITY_MEAN_INTER_LIST: 0.9856937, DIVERSITY_HERFINDAHL: 0.9985520, COVERAGE_ITEM: 0.4494860, COVERAGE_ITEM_CORRECT: 0.0473301, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2066188, DIVERSITY_GINI: 0.1437949, SHANNON_ENTROPY: 11.5252386, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.5223092746721534, 'l1_ratio': 0.17421376122956148, 'topK': 329, 'normalize': True} - results: ROC_AUC: 0.1804705, PRECISION: 0.0381833, PRECISION_RECALL_MIN_DEN: 0.1328512, RECALL: 0.1285175, MAP: 0.0630879, MRR: 0.1339613, NDCG: 0.0942860, F1: 0.0588722, HIT_RATE: 0.3818335, ARHR: 0.1553019, NOVELTY: 0.0049237, AVERAGE_POPULARITY: 0.0889015, DIVERSITY_MEAN_INTER_LIST: 0.9900297, DIVERSITY_HERFINDAHL: 0.9989855, COVERAGE_ITEM: 0.4739480, COVERAGE_ITEM_CORRECT: 0.0470914, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1986913, DIVERSITY_GINI: 0.1630637, SHANNON_ENTROPY: 11.8626997, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3457198106385941, 'l1_ratio': 0.39405237051484776, 'topK': 505, 'normalize': False} - results: ROC_AUC: 0.1827158, PRECISION: 0.0390814, PRECISION_RECALL_MIN_DEN: 0.1367069, RECALL: 0.1323560, MAP: 0.0643037, MRR: 0.1362030, NDCG: 0.0964138, F1: 0.0603411, HIT_RATE: 0.3908141, ARHR: 0.1579400, NOVELTY: 0.0048273, AVERAGE_POPULARITY: 0.1081381, DIVERSITY_MEAN_INTER_LIST: 0.9848336, DIVERSITY_HERFINDAHL: 0.9984660, COVERAGE_ITEM: 0.4507950, COVERAGE_ITEM_CORRECT: 0.0457594, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.1433821, SHANNON_ENTROPY: 11.4890998, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.7740966945536553, 'l1_ratio': 0.5774737397485529, 'topK': 989, 'normalize': True} - results: ROC_AUC: 0.1975555, PRECISION: 0.0434523, PRECISION_RECALL_MIN_DEN: 0.1563795, RECALL: 0.1518968, MAP: 0.0716550, MRR: 0.1475392, NDCG: 0.1078664, F1: 0.0675732, HIT_RATE: 0.4345229, ARHR: 0.1722253, NOVELTY: 0.0049935, AVERAGE_POPULARITY: 0.0756801, DIVERSITY_MEAN_INTER_LIST: 0.9926125, DIVERSITY_HERFINDAHL: 0.9992437, COVERAGE_ITEM: 0.4967238, COVERAGE_ITEM_CORRECT: 0.0587642, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2238832, DIVERSITY_GINI: 0.1847234, SHANNON_ENTROPY: 12.1567416, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.03277918971401817, 'l1_ratio': 0.8605160701841275, 'topK': 201, 'normalize': False} - results: ROC_AUC: 0.1765604, PRECISION: 0.0374879, PRECISION_RECALL_MIN_DEN: 0.1304853, RECALL: 0.1262448, MAP: 0.0615145, MRR: 0.1313687, NDCG: 0.0922570, F1: 0.0578079, HIT_RATE: 0.3748790, ARHR: 0.1522016, NOVELTY: 0.0048758, AVERAGE_POPULARITY: 0.1022979, DIVERSITY_MEAN_INTER_LIST: 0.9863547, DIVERSITY_HERFINDAHL: 0.9986180, COVERAGE_ITEM: 0.4796843, COVERAGE_ITEM_CORRECT: 0.0445197, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1959733, DIVERSITY_GINI: 0.1611735, SHANNON_ENTROPY: 11.6805269, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3538288925293486, 'l1_ratio': 0.47095030134461, 'topK': 120, 'normalize': False} - results: ROC_AUC: 0.1813425, PRECISION: 0.0389584, PRECISION_RECALL_MIN_DEN: 0.1355017, RECALL: 0.1310485, MAP: 0.0642236, MRR: 0.1360643, NDCG: 0.0959290, F1: 0.0600602, HIT_RATE: 0.3895836, ARHR: 0.1582648, NOVELTY: 0.0049243, AVERAGE_POPULARITY: 0.0944951, DIVERSITY_MEAN_INTER_LIST: 0.9885142, DIVERSITY_HERFINDAHL: 0.9988340, COVERAGE_ITEM: 0.4900866, COVERAGE_ITEM_CORRECT: 0.0484543, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2012080, DIVERSITY_GINI: 0.1734070, SHANNON_ENTROPY: 11.8718387, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9295190455581253, 'l1_ratio': 0.5840351024434728, 'topK': 165, 'normalize': False} - results: ROC_AUC: 0.1784472, PRECISION: 0.0392312, PRECISION_RECALL_MIN_DEN: 0.1414101, RECALL: 0.1371778, MAP: 0.0637371, MRR: 0.1305794, NDCG: 0.0964400, F1: 0.0610125, HIT_RATE: 0.3923117, ARHR: 0.1518561, NOVELTY: 0.0051337, AVERAGE_POPULARITY: 0.0485399, DIVERSITY_MEAN_INTER_LIST: 0.9964306, DIVERSITY_HERFINDAHL: 0.9996255, COVERAGE_ITEM: 0.5869028, COVERAGE_ITEM_CORRECT: 0.0599269, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040015, DIVERSITY_GINI: 0.2653396, SHANNON_ENTROPY: 12.8626552, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.9886117612627605, 'l1_ratio': 0.39800880252239457, 'topK': 24, 'normalize': True} - results: ROC_AUC: 0.1823593, PRECISION: 0.0389578, PRECISION_RECALL_MIN_DEN: 0.1372999, RECALL: 0.1328420, MAP: 0.0653498, MRR: 0.1353740, NDCG: 0.0970120, F1: 0.0602456, HIT_RATE: 0.3895776, ARHR: 0.1572243, NOVELTY: 0.0050805, AVERAGE_POPULARITY: 0.0642781, DIVERSITY_MEAN_INTER_LIST: 0.9945811, DIVERSITY_HERFINDAHL: 0.9994405, COVERAGE_ITEM: 0.5534552, COVERAGE_ITEM_CORRECT: 0.0557305, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016862, DIVERSITY_GINI: 0.2250432, SHANNON_ENTROPY: 12.4997310, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.459289827775228, 'l1_ratio': 0.7155102196987172, 'topK': 744, 'normalize': False} - results: ROC_AUC: 0.1924354, PRECISION: 0.0417103, PRECISION_RECALL_MIN_DEN: 0.1473548, RECALL: 0.1429210, MAP: 0.0693525, MRR: 0.1444103, NDCG: 0.1036723, F1: 0.0645733, HIT_RATE: 0.4171028, ARHR: 0.1682089, NOVELTY: 0.0048481, AVERAGE_POPULARITY: 0.1057718, DIVERSITY_MEAN_INTER_LIST: 0.9854347, DIVERSITY_HERFINDAHL: 0.9985261, COVERAGE_ITEM: 0.4566391, COVERAGE_ITEM_CORRECT: 0.0509567, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2147980, DIVERSITY_GINI: 0.1486193, SHANNON_ENTROPY: 11.5617711, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.074056696079728, 'l1_ratio': 0.2386271611150244, 'topK': 423, 'normalize': True} - results: ROC_AUC: 0.1775826, PRECISION: 0.0378719, PRECISION_RECALL_MIN_DEN: 0.1320873, RECALL: 0.1278601, MAP: 0.0619097, MRR: 0.1321719, NDCG: 0.0930842, F1: 0.0584343, HIT_RATE: 0.3787188, ARHR: 0.1529573, NOVELTY: 0.0048331, AVERAGE_POPULARITY: 0.1075746, DIVERSITY_MEAN_INTER_LIST: 0.9849648, DIVERSITY_HERFINDAHL: 0.9984791, COVERAGE_ITEM: 0.4600577, COVERAGE_ITEM_CORRECT: 0.0437344, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1979112, DIVERSITY_GINI: 0.1471577, SHANNON_ENTROPY: 11.5142052, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.1288254960804406, 'l1_ratio': 0.994531667785552, 'topK': 993, 'normalize': False} - results: ROC_AUC: 0.1799331, PRECISION: 0.0380918, PRECISION_RECALL_MIN_DEN: 0.1343548, RECALL: 0.1302316, MAP: 0.0628880, MRR: 0.1333010, NDCG: 0.0945467, F1: 0.0589414, HIT_RATE: 0.3809179, ARHR: 0.1540151, NOVELTY: 0.0047757, AVERAGE_POPULARITY: 0.1187377, DIVERSITY_MEAN_INTER_LIST: 0.9812276, DIVERSITY_HERFINDAHL: 0.9981054, COVERAGE_ITEM: 0.4370048, COVERAGE_ITEM_CORRECT: 0.0429105, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2002517, DIVERSITY_GINI: 0.1322034, SHANNON_ENTROPY: 11.2612085, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'alpha': 0.3208962986536716, 'l1_ratio': 0.9454014281850429, 'topK': 346, 'normalize': True} - results: ROC_AUC: 0.1992757, PRECISION: 0.0435691, PRECISION_RECALL_MIN_DEN: 0.1548508, RECALL: 0.1502354, MAP: 0.0722190, MRR: 0.1496247, NDCG: 0.1081557, F1: 0.0675470, HIT_RATE: 0.4356907, ARHR: 0.1748138, NOVELTY: 0.0049317, AVERAGE_POPULARITY: 0.0918702, DIVERSITY_MEAN_INTER_LIST: 0.9891842, DIVERSITY_HERFINDAHL: 0.9989009, COVERAGE_ITEM: 0.4921039, COVERAGE_ITEM_CORRECT: 0.0569163, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2230276, DIVERSITY_GINI: 0.1755580, SHANNON_ENTROPY: 11.9259100, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'alpha': 0.15320950755029208, 'l1_ratio': 0.46876870000537807, 'topK': 878, 'normalize': False} - results: ROC_AUC: 0.1781450, PRECISION: 0.0375291, PRECISION_RECALL_MIN_DEN: 0.1324724, RECALL: 0.1284182, MAP: 0.0619564, MRR: 0.1317054, NDCG: 0.0932073, F1: 0.0580821, HIT_RATE: 0.3752914, ARHR: 0.1520092, NOVELTY: 0.0047776, AVERAGE_POPULARITY: 0.1183064, DIVERSITY_MEAN_INTER_LIST: 0.9813931, DIVERSITY_HERFINDAHL: 0.9981220, COVERAGE_ITEM: 0.4402310, COVERAGE_ITEM_CORRECT: 0.0420558, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1978357, DIVERSITY_GINI: 0.1334346, SHANNON_ENTROPY: 11.2717618, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'alpha': 0.4427622203757686, 'l1_ratio': 0.20596734487282414, 'topK': 511, 'normalize': True} - results: ROC_AUC: 0.1815932, PRECISION: 0.0385088, PRECISION_RECALL_MIN_DEN: 0.1341690, RECALL: 0.1298439, MAP: 0.0639220, MRR: 0.1354790, NDCG: 0.0954059, F1: 0.0593967, HIT_RATE: 0.3850884, ARHR: 0.1568307, NOVELTY: 0.0048871, AVERAGE_POPULARITY: 0.0947825, DIVERSITY_MEAN_INTER_LIST: 0.9886102, DIVERSITY_HERFINDAHL: 0.9988435, COVERAGE_ITEM: 0.4616901, COVERAGE_ITEM_CORRECT: 0.0464601, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2007047, DIVERSITY_GINI: 0.1535863, SHANNON_ENTROPY: 11.7238650, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'alpha': 0.10412208873265696, 'l1_ratio': 0.20322585237947505, 'topK': 378, 'normalize': True} - results: ROC_AUC: 0.1779491, PRECISION: 0.0379814, PRECISION_RECALL_MIN_DEN: 0.1325300, RECALL: 0.1282601, MAP: 0.0623277, MRR: 0.1326166, NDCG: 0.0935110, F1: 0.0586061, HIT_RATE: 0.3798142, ARHR: 0.1535965, NOVELTY: 0.0048459, AVERAGE_POPULARITY: 0.1051625, DIVERSITY_MEAN_INTER_LIST: 0.9857033, DIVERSITY_HERFINDAHL: 0.9985529, COVERAGE_ITEM: 0.4634764, COVERAGE_ITEM_CORRECT: 0.0442579, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1980622, DIVERSITY_GINI: 0.1500452, SHANNON_ENTROPY: 11.5677772, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'alpha': 0.6841545723810606, 'l1_ratio': 0.8532123574069989, 'topK': 433, 'normalize': True} - results: ROC_AUC: 0.1895662, PRECISION: 0.0410587, PRECISION_RECALL_MIN_DEN: 0.1483743, RECALL: 0.1441132, MAP: 0.0680990, MRR: 0.1396233, NDCG: 0.1024314, F1: 0.0639080, HIT_RATE: 0.4105865, ARHR: 0.1622656, NOVELTY: 0.0050845, AVERAGE_POPULARITY: 0.0588333, DIVERSITY_MEAN_INTER_LIST: 0.9951119, DIVERSITY_HERFINDAHL: 0.9994936, COVERAGE_ITEM: 0.5604466, COVERAGE_ITEM_CORRECT: 0.0599115, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2132125, DIVERSITY_GINI: 0.2389924, SHANNON_ENTROPY: 12.6369597, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'alpha': 0.5506479152502355, 'l1_ratio': 0.5323249093349905, 'topK': 42, 'normalize': False} - results: ROC_AUC: 0.1860208, PRECISION: 0.0398193, PRECISION_RECALL_MIN_DEN: 0.1394607, RECALL: 0.1350250, MAP: 0.0670045, MRR: 0.1391953, NDCG: 0.0993071, F1: 0.0614993, HIT_RATE: 0.3981925, ARHR: 0.1620453, NOVELTY: 0.0050097, AVERAGE_POPULARITY: 0.0830468, DIVERSITY_MEAN_INTER_LIST: 0.9911542, DIVERSITY_HERFINDAHL: 0.9990979, COVERAGE_ITEM: 0.5353224, COVERAGE_ITEM_CORRECT: 0.0529355, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2052850, DIVERSITY_GINI: 0.2079080, SHANNON_ENTROPY: 12.2125670, 
