
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1957240, PRECISION: 0.0424524, PRECISION_RECALL_MIN_DEN: 0.1517961, RECALL: 0.1473589, MAP: 0.0705924, MRR: 0.1457279, NDCG: 0.1058354, F1: 0.0659143, HIT_RATE: 0.4245241, ARHR: 0.1695289, NOVELTY: 0.0048753, AVERAGE_POPULARITY: 0.0917029, DIVERSITY_MEAN_INTER_LIST: 0.9889480, DIVERSITY_HERFINDAHL: 0.9988773, COVERAGE_ITEM: 0.4677267, COVERAGE_ITEM_CORRECT: 0.0545525, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191015, DIVERSITY_GINI: 0.1582315, SHANNON_ENTROPY: 11.7745349, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1761706, PRECISION: 0.0375337, PRECISION_RECALL_MIN_DEN: 0.1296647, RECALL: 0.1253470, MAP: 0.0614815, MRR: 0.1310306, NDCG: 0.0919920, F1: 0.0577671, HIT_RATE: 0.3753370, ARHR: 0.1520971, NOVELTY: 0.0049545, AVERAGE_POPULARITY: 0.0818620, DIVERSITY_MEAN_INTER_LIST: 0.9914154, DIVERSITY_HERFINDAHL: 0.9991240, COVERAGE_ITEM: 0.4757190, COVERAGE_ITEM_CORRECT: 0.0471607, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1948157, DIVERSITY_GINI: 0.1664393, SHANNON_ENTROPY: 11.9557880, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1893569, PRECISION: 0.0413682, PRECISION_RECALL_MIN_DEN: 0.1457627, RECALL: 0.1412416, MAP: 0.0685087, MRR: 0.1414351, NDCG: 0.1022535, F1: 0.0639905, HIT_RATE: 0.4136817, ARHR: 0.1651050, NOVELTY: 0.0049855, AVERAGE_POPULARITY: 0.0760948, DIVERSITY_MEAN_INTER_LIST: 0.9924736, DIVERSITY_HERFINDAHL: 0.9992298, COVERAGE_ITEM: 0.4798152, COVERAGE_ITEM_CORRECT: 0.0547680, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2121304, DIVERSITY_GINI: 0.1727079, SHANNON_ENTROPY: 12.0617450, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1543723, PRECISION: 0.0330784, PRECISION_RECALL_MIN_DEN: 0.1206426, RECALL: 0.1171846, MAP: 0.0527263, MRR: 0.1104535, NDCG: 0.0811378, F1: 0.0515921, HIT_RATE: 0.3307842, ARHR: 0.1263241, NOVELTY: 0.0051899, AVERAGE_POPULARITY: 0.0346071, DIVERSITY_MEAN_INTER_LIST: 0.9972686, DIVERSITY_HERFINDAHL: 0.9997092, COVERAGE_ITEM: 0.5908989, COVERAGE_ITEM_CORRECT: 0.0538595, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1784824, DIVERSITY_GINI: 0.2741738, SHANNON_ENTROPY: 12.9830476, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1989167, PRECISION: 0.0439140, PRECISION_RECALL_MIN_DEN: 0.1574951, RECALL: 0.1528971, MAP: 0.0721569, MRR: 0.1479267, NDCG: 0.1086126, F1: 0.0682308, HIT_RATE: 0.4391404, ARHR: 0.1731194, NOVELTY: 0.0049398, AVERAGE_POPULARITY: 0.0790127, DIVERSITY_MEAN_INTER_LIST: 0.9917757, DIVERSITY_HERFINDAHL: 0.9991600, COVERAGE_ITEM: 0.5120539, COVERAGE_ITEM_CORRECT: 0.0592801, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250409, DIVERSITY_GINI: 0.1924367, SHANNON_ENTROPY: 12.1540593, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1844302, PRECISION: 0.0394533, PRECISION_RECALL_MIN_DEN: 0.1378015, RECALL: 0.1333964, MAP: 0.0655507, MRR: 0.1377548, NDCG: 0.0977177, F1: 0.0608940, HIT_RATE: 0.3945327, ARHR: 0.1601952, NOVELTY: 0.0049362, AVERAGE_POPULARITY: 0.0844192, DIVERSITY_MEAN_INTER_LIST: 0.9909120, DIVERSITY_HERFINDAHL: 0.9990737, COVERAGE_ITEM: 0.4724158, COVERAGE_ITEM_CORRECT: 0.0505178, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2038002, DIVERSITY_GINI: 0.1639433, SHANNON_ENTROPY: 11.9140972, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1779194, PRECISION: 0.0377639, PRECISION_RECALL_MIN_DEN: 0.1308168, RECALL: 0.1264873, MAP: 0.0619450, MRR: 0.1312888, NDCG: 0.0926544, F1: 0.0581602, HIT_RATE: 0.3776391, ARHR: 0.1523923, NOVELTY: 0.0049686, AVERAGE_POPULARITY: 0.0792087, DIVERSITY_MEAN_INTER_LIST: 0.9919210, DIVERSITY_HERFINDAHL: 0.9991746, COVERAGE_ITEM: 0.4765813, COVERAGE_ITEM_CORRECT: 0.0479692, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1964012, DIVERSITY_GINI: 0.1683483, SHANNON_ENTROPY: 11.9969884, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1464231, PRECISION: 0.0312904, PRECISION_RECALL_MIN_DEN: 0.1142927, RECALL: 0.1109696, MAP: 0.0497536, MRR: 0.1036704, NDCG: 0.0766389, F1: 0.0488151, HIT_RATE: 0.3129043, ARHR: 0.1182039, NOVELTY: 0.0052162, AVERAGE_POPULARITY: 0.0306782, DIVERSITY_MEAN_INTER_LIST: 0.9974681, DIVERSITY_HERFINDAHL: 0.9997292, COVERAGE_ITEM: 0.5940712, COVERAGE_ITEM_CORRECT: 0.0531203, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1701019, DIVERSITY_GINI: 0.2786727, SHANNON_ENTROPY: 13.0243052, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1931924, PRECISION: 0.0421314, PRECISION_RECALL_MIN_DEN: 0.1486146, RECALL: 0.1439906, MAP: 0.0698452, MRR: 0.1442074, NDCG: 0.1042055, F1: 0.0651868, HIT_RATE: 0.4213140, ARHR: 0.1685259, NOVELTY: 0.0049788, AVERAGE_POPULARITY: 0.0774766, DIVERSITY_MEAN_INTER_LIST: 0.9923289, DIVERSITY_HERFINDAHL: 0.9992154, COVERAGE_ITEM: 0.4886237, COVERAGE_ITEM_CORRECT: 0.0565698, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2157040, DIVERSITY_GINI: 0.1780305, SHANNON_ENTROPY: 12.0916518, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.43663505763929356, 'l1_ratio': 0.5780111132622151, 'topK': 646, 'normalize': True} - results: ROC_AUC: 0.1888201, PRECISION: 0.0411030, PRECISION_RECALL_MIN_DEN: 0.1449099, RECALL: 0.1404033, MAP: 0.0682426, MRR: 0.1411940, NDCG: 0.1017956, F1: 0.0635875, HIT_RATE: 0.4110297, ARHR: 0.1646625, NOVELTY: 0.0049610, AVERAGE_POPULARITY: 0.0797190, DIVERSITY_MEAN_INTER_LIST: 0.9918057, DIVERSITY_HERFINDAHL: 0.9991630, COVERAGE_ITEM: 0.4743330, COVERAGE_ITEM_CORRECT: 0.0538056, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2110482, DIVERSITY_GINI: 0.1676014, SHANNON_ENTROPY: 11.9877855, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.7554630624371879, 'l1_ratio': 0.5819384267190764, 'topK': 793, 'normalize': True} - results: ROC_AUC: 0.1976901, PRECISION: 0.0436066, PRECISION_RECALL_MIN_DEN: 0.1570354, RECALL: 0.1525211, MAP: 0.0714801, MRR: 0.1462855, NDCG: 0.1078073, F1: 0.0678219, HIT_RATE: 0.4360659, ARHR: 0.1709827, NOVELTY: 0.0049995, AVERAGE_POPULARITY: 0.0705808, DIVERSITY_MEAN_INTER_LIST: 0.9933960, DIVERSITY_HERFINDAHL: 0.9993221, COVERAGE_ITEM: 0.5141251, COVERAGE_ITEM_CORRECT: 0.0602348, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2243111, DIVERSITY_GINI: 0.1986792, SHANNON_ENTROPY: 12.2889227, 
