
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.5156739907738133, 'l1_ratio': 0.21790883803673372, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1880375, PRECISION: 0.0407207, PRECISION_RECALL_MIN_DEN: 0.1425423, RECALL: 0.1380570, MAP: 0.0669286, MRR: 0.1404711, NDCG: 0.1002937, F1: 0.0628901, HIT_RATE: 0.4072074, ARHR: 0.1635200, NOVELTY: 0.0048469, AVERAGE_POPULARITY: 0.1035126, DIVERSITY_MEAN_INTER_LIST: 0.9863133, DIVERSITY_HERFINDAHL: 0.9986139, COVERAGE_ITEM: 0.4548373, COVERAGE_ITEM_CORRECT: 0.0495399, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2100919, DIVERSITY_GINI: 0.1483541, SHANNON_ENTROPY: 11.5934570, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.7382448139341538, 'l1_ratio': 0.4541039683968663, 'topK': 181, 'normalize': False} - results: ROC_AUC: 0.2023561, PRECISION: 0.0443781, PRECISION_RECALL_MIN_DEN: 0.1583287, RECALL: 0.1536170, MAP: 0.0740747, MRR: 0.1518615, NDCG: 0.1105743, F1: 0.0688619, HIT_RATE: 0.4437811, ARHR: 0.1776605, NOVELTY: 0.0049891, AVERAGE_POPULARITY: 0.0785942, DIVERSITY_MEAN_INTER_LIST: 0.9921492, DIVERSITY_HERFINDAHL: 0.9991974, COVERAGE_ITEM: 0.5265910, COVERAGE_ITEM_CORRECT: 0.0614668, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2264502, DIVERSITY_GINI: 0.2043547, SHANNON_ENTROPY: 12.2579144, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.24463417710263874, 'l1_ratio': 0.48705887050248176, 'topK': 208, 'normalize': False} - results: ROC_AUC: 0.1827415, PRECISION: 0.0393225, PRECISION_RECALL_MIN_DEN: 0.1369499, RECALL: 0.1324844, MAP: 0.0645449, MRR: 0.1369455, NDCG: 0.0966803, F1: 0.0606435, HIT_RATE: 0.3932249, ARHR: 0.1592214, NOVELTY: 0.0048903, AVERAGE_POPULARITY: 0.0976038, DIVERSITY_MEAN_INTER_LIST: 0.9878818, DIVERSITY_HERFINDAHL: 0.9987707, COVERAGE_ITEM: 0.4708989, COVERAGE_ITEM_CORRECT: 0.0481925, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034227, DIVERSITY_GINI: 0.1608678, SHANNON_ENTROPY: 11.7594747, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8055392938573658, 'l1_ratio': 0.7118398773071606, 'topK': 480, 'normalize': True} - results: ROC_AUC: 0.1842339, PRECISION: 0.0397651, PRECISION_RECALL_MIN_DEN: 0.1437106, RECALL: 0.1395617, MAP: 0.0658279, MRR: 0.1356576, NDCG: 0.0991726, F1: 0.0618944, HIT_RATE: 0.3976514, ARHR: 0.1571553, NOVELTY: 0.0050936, AVERAGE_POPULARITY: 0.0536969, DIVERSITY_MEAN_INTER_LIST: 0.9957190, DIVERSITY_HERFINDAHL: 0.9995543, COVERAGE_ITEM: 0.5755611, COVERAGE_ITEM_CORRECT: 0.0588027, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2073235, DIVERSITY_GINI: 0.2535296, SHANNON_ENTROPY: 12.7538361, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.6697597852099164, 'l1_ratio': 0.05254513497803061, 'topK': 560, 'normalize': True} - results: ROC_AUC: 0.1940112, PRECISION: 0.0421910, PRECISION_RECALL_MIN_DEN: 0.1492481, RECALL: 0.1447270, MAP: 0.0700096, MRR: 0.1449884, NDCG: 0.1047366, F1: 0.0653336, HIT_RATE: 0.4219099, ARHR: 0.1687324, NOVELTY: 0.0048493, AVERAGE_POPULARITY: 0.0987869, DIVERSITY_MEAN_INTER_LIST: 0.9874684, DIVERSITY_HERFINDAHL: 0.9987294, COVERAGE_ITEM: 0.4588027, COVERAGE_ITEM_CORRECT: 0.0530433, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2178432, DIVERSITY_GINI: 0.1507464, SHANNON_ENTROPY: 11.6554784, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.26752685885667155, 'l1_ratio': 0.35710799672385046, 'topK': 63, 'normalize': True} - results: ROC_AUC: 0.1836101, PRECISION: 0.0393613, PRECISION_RECALL_MIN_DEN: 0.1371816, RECALL: 0.1327184, MAP: 0.0653003, MRR: 0.1371658, NDCG: 0.0973201, F1: 0.0607148, HIT_RATE: 0.3936134, ARHR: 0.1595030, NOVELTY: 0.0049763, AVERAGE_POPULARITY: 0.0861860, DIVERSITY_MEAN_INTER_LIST: 0.9906121, DIVERSITY_HERFINDAHL: 0.9990437, COVERAGE_ITEM: 0.5122618, COVERAGE_ITEM_CORRECT: 0.0510491, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033220, DIVERSITY_GINI: 0.1925188, SHANNON_ENTROPY: 12.0980126, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3047582431801225, 'l1_ratio': 0.9210320380853252, 'topK': 266, 'normalize': True} - results: ROC_AUC: 0.1979751, PRECISION: 0.0430707, PRECISION_RECALL_MIN_DEN: 0.1524324, RECALL: 0.1477876, MAP: 0.0714522, MRR: 0.1485703, NDCG: 0.1068126, F1: 0.0667011, HIT_RATE: 0.4307067, ARHR: 0.1737358, NOVELTY: 0.0049413, AVERAGE_POPULARITY: 0.0899376, DIVERSITY_MEAN_INTER_LIST: 0.9897697, DIVERSITY_HERFINDAHL: 0.9989595, COVERAGE_ITEM: 0.4927199, COVERAGE_ITEM_CORRECT: 0.0565390, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2203096, DIVERSITY_GINI: 0.1775990, SHANNON_ENTROPY: 11.9680652, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.32574789088082773, 'l1_ratio': 0.08998751185005395, 'topK': 998, 'normalize': True} - results: ROC_AUC: 0.1857961, PRECISION: 0.0398090, PRECISION_RECALL_MIN_DEN: 0.1398549, RECALL: 0.1355525, MAP: 0.0655405, MRR: 0.1380319, NDCG: 0.0983978, F1: 0.0615420, HIT_RATE: 0.3980898, ARHR: 0.1601312, NOVELTY: 0.0048094, AVERAGE_POPULARITY: 0.1086689, DIVERSITY_MEAN_INTER_LIST: 0.9846707, DIVERSITY_HERFINDAHL: 0.9984497, COVERAGE_ITEM: 0.4405544, COVERAGE_ITEM_CORRECT: 0.0469836, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2072732, DIVERSITY_GINI: 0.1376438, SHANNON_ENTROPY: 11.4353219, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.9657277378631945, 'l1_ratio': 0.41820781082977565, 'topK': 251, 'normalize': True} - results: ROC_AUC: 0.1960454, PRECISION: 0.0427557, PRECISION_RECALL_MIN_DEN: 0.1526781, RECALL: 0.1481614, MAP: 0.0704049, MRR: 0.1447253, NDCG: 0.1057400, F1: 0.0663606, HIT_RATE: 0.4275574, ARHR: 0.1692983, NOVELTY: 0.0050100, AVERAGE_POPULARITY: 0.0664628, DIVERSITY_MEAN_INTER_LIST: 0.9941443, DIVERSITY_HERFINDAHL: 0.9993969, COVERAGE_ITEM: 0.5560962, COVERAGE_ITEM_CORRECT: 0.0607276, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193280, DIVERSITY_GINI: 0.2304788, SHANNON_ENTROPY: 12.5164355, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.4893806273072876, 'l1_ratio': 0.4510848580867788, 'topK': 501, 'normalize': False} - results: ROC_AUC: 0.1931995, PRECISION: 0.0422685, PRECISION_RECALL_MIN_DEN: 0.1485806, RECALL: 0.1439893, MAP: 0.0694401, MRR: 0.1447377, NDCG: 0.1040908, F1: 0.0653514, HIT_RATE: 0.4226849, ARHR: 0.1688864, NOVELTY: 0.0048623, AVERAGE_POPULARITY: 0.1017230, DIVERSITY_MEAN_INTER_LIST: 0.9867610, DIVERSITY_HERFINDAHL: 0.9986587, COVERAGE_ITEM: 0.4622445, COVERAGE_ITEM_CORRECT: 0.0524735, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171134, DIVERSITY_GINI: 0.1535425, SHANNON_ENTROPY: 11.6543013, 
