
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7511204788831619, 'l1_ratio': 0.7934628472897416, 'topK': 72, 'normalize': False} - results: ROC_AUC: 0.1969589, PRECISION: 0.0427025, PRECISION_RECALL_MIN_DEN: 0.1536024, RECALL: 0.1490737, MAP: 0.0717815, MRR: 0.1459038, NDCG: 0.1069857, F1: 0.0663871, HIT_RATE: 0.4270253, ARHR: 0.1706381, NOVELTY: 0.0050589, AVERAGE_POPULARITY: 0.0696805, DIVERSITY_MEAN_INTER_LIST: 0.9936251, DIVERSITY_HERFINDAHL: 0.9993450, COVERAGE_ITEM: 0.5655592, COVERAGE_ITEM_CORRECT: 0.0616901, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2196552, DIVERSITY_GINI: 0.2371461, SHANNON_ENTROPY: 12.5279661, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.21685925030987402, 'l1_ratio': 0.49316761518677255, 'topK': 942, 'normalize': False} - results: ROC_AUC: 0.1794541, PRECISION: 0.0378618, PRECISION_RECALL_MIN_DEN: 0.1335573, RECALL: 0.1294573, MAP: 0.0625085, MRR: 0.1328107, NDCG: 0.0940126, F1: 0.0585871, HIT_RATE: 0.3786185, ARHR: 0.1533875, NOVELTY: 0.0047783, AVERAGE_POPULARITY: 0.1180363, DIVERSITY_MEAN_INTER_LIST: 0.9814753, DIVERSITY_HERFINDAHL: 0.9981302, COVERAGE_ITEM: 0.4382137, COVERAGE_ITEM_CORRECT: 0.0426179, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1992702, DIVERSITY_GINI: 0.1330008, SHANNON_ENTROPY: 11.2751937, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3546099424555544, 'l1_ratio': 0.0231404167152709, 'topK': 903, 'normalize': False} - results: ROC_AUC: 0.1754057, PRECISION: 0.0369710, PRECISION_RECALL_MIN_DEN: 0.1299396, RECALL: 0.1259253, MAP: 0.0607315, MRR: 0.1299135, NDCG: 0.0915069, F1: 0.0571581, HIT_RATE: 0.3697101, ARHR: 0.1499047, NOVELTY: 0.0047861, AVERAGE_POPULARITY: 0.1174587, DIVERSITY_MEAN_INTER_LIST: 0.9816370, DIVERSITY_HERFINDAHL: 0.9981464, COVERAGE_ITEM: 0.4493397, COVERAGE_ITEM_CORRECT: 0.0410703, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1950673, DIVERSITY_GINI: 0.1372426, SHANNON_ENTROPY: 11.3005101, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.4897603097609554, 'l1_ratio': 0.8344870336203927, 'topK': 348, 'normalize': False} - results: ROC_AUC: 0.1959327, PRECISION: 0.0428971, PRECISION_RECALL_MIN_DEN: 0.1512222, RECALL: 0.1465747, MAP: 0.0706619, MRR: 0.1468346, NDCG: 0.1058425, F1: 0.0663684, HIT_RATE: 0.4289709, ARHR: 0.1716614, NOVELTY: 0.0049040, AVERAGE_POPULARITY: 0.0968362, DIVERSITY_MEAN_INTER_LIST: 0.9879443, DIVERSITY_HERFINDAHL: 0.9987770, COVERAGE_ITEM: 0.4795765, COVERAGE_ITEM_CORRECT: 0.0547526, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2194539, DIVERSITY_GINI: 0.1659872, SHANNON_ENTROPY: 11.8006604, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.31421860531069906, 'l1_ratio': 0.140796751036825, 'topK': 757, 'normalize': False} - results: ROC_AUC: 0.1772959, PRECISION: 0.0374617, PRECISION_RECALL_MIN_DEN: 0.1316072, RECALL: 0.1275498, MAP: 0.0614969, MRR: 0.1313348, NDCG: 0.0926464, F1: 0.0579119, HIT_RATE: 0.3746169, ARHR: 0.1516421, NOVELTY: 0.0047891, AVERAGE_POPULARITY: 0.1157798, DIVERSITY_MEAN_INTER_LIST: 0.9822623, DIVERSITY_HERFINDAHL: 0.9982089, COVERAGE_ITEM: 0.4446044, COVERAGE_ITEM_CORRECT: 0.0421174, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1973072, DIVERSITY_GINI: 0.1364219, SHANNON_ENTROPY: 11.3251456, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.06858980656042159, 'l1_ratio': 0.5435341354163687, 'topK': 57, 'normalize': True} - results: ROC_AUC: 0.1747829, PRECISION: 0.0367807, PRECISION_RECALL_MIN_DEN: 0.1280108, RECALL: 0.1238119, MAP: 0.0612693, MRR: 0.1300087, NDCG: 0.0913385, F1: 0.0567108, HIT_RATE: 0.3678066, ARHR: 0.1502842, NOVELTY: 0.0049647, AVERAGE_POPULARITY: 0.0910435, DIVERSITY_MEAN_INTER_LIST: 0.9891646, DIVERSITY_HERFINDAHL: 0.9988990, COVERAGE_ITEM: 0.5187526, COVERAGE_ITEM_CORRECT: 0.0455053, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1920725, DIVERSITY_GINI: 0.1931183, SHANNON_ENTROPY: 12.0213077, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.7707245171897448, 'l1_ratio': 0.9156296904369782, 'topK': 949, 'normalize': False} - results: ROC_AUC: 0.1919838, PRECISION: 0.0412282, PRECISION_RECALL_MIN_DEN: 0.1502638, RECALL: 0.1460488, MAP: 0.0692495, MRR: 0.1416362, NDCG: 0.1039032, F1: 0.0643035, HIT_RATE: 0.4122817, ARHR: 0.1644343, NOVELTY: 0.0050595, AVERAGE_POPULARITY: 0.0649736, DIVERSITY_MEAN_INTER_LIST: 0.9940882, DIVERSITY_HERFINDAHL: 0.9993913, COVERAGE_ITEM: 0.5513224, COVERAGE_ITEM_CORRECT: 0.0589490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2146219, DIVERSITY_GINI: 0.2301439, SHANNON_ENTROPY: 12.5308161, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.29815446809299745, 'l1_ratio': 0.8205541349751163, 'topK': 112, 'normalize': True} - results: ROC_AUC: 0.1938347, PRECISION: 0.0420310, PRECISION_RECALL_MIN_DEN: 0.1473535, RECALL: 0.1427393, MAP: 0.0699346, MRR: 0.1458331, NDCG: 0.1041591, F1: 0.0649387, HIT_RATE: 0.4203098, ARHR: 0.1703905, NOVELTY: 0.0049669, AVERAGE_POPULARITY: 0.0883039, DIVERSITY_MEAN_INTER_LIST: 0.9900063, DIVERSITY_HERFINDAHL: 0.9989831, COVERAGE_ITEM: 0.5091049, COVERAGE_ITEM_CORRECT: 0.0555303, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2150245, DIVERSITY_GINI: 0.1887203, SHANNON_ENTROPY: 12.0496266, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.16451383666897593, 'l1_ratio': 0.7280753668239933, 'topK': 622, 'normalize': False} - results: ROC_AUC: 0.1806311, PRECISION: 0.0384090, PRECISION_RECALL_MIN_DEN: 0.1349698, RECALL: 0.1307613, MAP: 0.0631253, MRR: 0.1341175, NDCG: 0.0949395, F1: 0.0593752, HIT_RATE: 0.3840897, ARHR: 0.1551196, NOVELTY: 0.0048005, AVERAGE_POPULARITY: 0.1132406, DIVERSITY_MEAN_INTER_LIST: 0.9831382, DIVERSITY_HERFINDAHL: 0.9982965, COVERAGE_ITEM: 0.4441501, COVERAGE_ITEM_CORRECT: 0.0439423, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013590, DIVERSITY_GINI: 0.1377593, SHANNON_ENTROPY: 11.3750670, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.9968320853303564, 'l1_ratio': 0.6946326006316155, 'topK': 666, 'normalize': False} - results: ROC_AUC: 0.1875934, PRECISION: 0.0401292, PRECISION_RECALL_MIN_DEN: 0.1468983, RECALL: 0.1428944, MAP: 0.0675657, MRR: 0.1383052, NDCG: 0.1015300, F1: 0.0626609, HIT_RATE: 0.4012916, ARHR: 0.1599321, NOVELTY: 0.0050972, AVERAGE_POPULARITY: 0.0580607, DIVERSITY_MEAN_INTER_LIST: 0.9950897, DIVERSITY_HERFINDAHL: 0.9994914, COVERAGE_ITEM: 0.5658672, COVERAGE_ITEM_CORRECT: 0.0590645, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2106204, DIVERSITY_GINI: 0.2443484, SHANNON_ENTROPY: 12.6718136, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.5239710668272983, 'l1_ratio': 0.311555796938018, 'topK': 899, 'normalize': False} - results: ROC_AUC: 0.1826471, PRECISION: 0.0388330, PRECISION_RECALL_MIN_DEN: 0.1365576, RECALL: 0.1323438, MAP: 0.0638812, MRR: 0.1352833, NDCG: 0.0960513, F1: 0.0600454, HIT_RATE: 0.3883303, ARHR: 0.1566896, NOVELTY: 0.0047993, AVERAGE_POPULARITY: 0.1137481, DIVERSITY_MEAN_INTER_LIST: 0.9829683, DIVERSITY_HERFINDAHL: 0.9982795, COVERAGE_ITEM: 0.4413244, COVERAGE_ITEM_CORRECT: 0.0445659, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028690, DIVERSITY_GINI: 0.1367980, SHANNON_ENTROPY: 11.3647017, 
