
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7511204788831619, 'l1_ratio': 0.7934628472897416, 'topK': 72, 'normalize': False} - results: ROC_AUC: 0.1655728, PRECISION: 0.0351663, PRECISION_RECALL_MIN_DEN: 0.1293683, RECALL: 0.1257670, MAP: 0.0584333, MRR: 0.1193882, NDCG: 0.0883545, F1: 0.0549631, HIT_RATE: 0.3516628, ARHR: 0.1369961, NOVELTY: 0.0051804, AVERAGE_POPULARITY: 0.0402980, DIVERSITY_MEAN_INTER_LIST: 0.9971461, DIVERSITY_HERFINDAHL: 0.9996970, COVERAGE_ITEM: 0.6200962, COVERAGE_ITEM_CORRECT: 0.0572628, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1888260, DIVERSITY_GINI: 0.2988920, SHANNON_ENTROPY: 13.0782915, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.21685925030987402, 'l1_ratio': 0.49316761518677255, 'topK': 942, 'normalize': False} - results: ROC_AUC: 0.2012710, PRECISION: 0.0439834, PRECISION_RECALL_MIN_DEN: 0.1561912, RECALL: 0.1515869, MAP: 0.0728991, MRR: 0.1505631, NDCG: 0.1091416, F1: 0.0681815, HIT_RATE: 0.4398339, ARHR: 0.1760355, NOVELTY: 0.0049000, AVERAGE_POPULARITY: 0.0930573, DIVERSITY_MEAN_INTER_LIST: 0.9894046, DIVERSITY_HERFINDAHL: 0.9989230, COVERAGE_ITEM: 0.4724235, COVERAGE_ITEM_CORRECT: 0.0566006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250157, DIVERSITY_GINI: 0.1633353, SHANNON_ENTROPY: 11.8480533, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3546099424555544, 'l1_ratio': 0.0231404167152709, 'topK': 903, 'normalize': False} - results: ROC_AUC: 0.1782417, PRECISION: 0.0379467, PRECISION_RECALL_MIN_DEN: 0.1323241, RECALL: 0.1281212, MAP: 0.0620109, MRR: 0.1326556, NDCG: 0.0933318, F1: 0.0585500, HIT_RATE: 0.3794666, ARHR: 0.1533962, NOVELTY: 0.0047967, AVERAGE_POPULARITY: 0.1115013, DIVERSITY_MEAN_INTER_LIST: 0.9841356, DIVERSITY_HERFINDAHL: 0.9983962, COVERAGE_ITEM: 0.4340481, COVERAGE_ITEM_CORRECT: 0.0429490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1987417, DIVERSITY_GINI: 0.1343104, SHANNON_ENTROPY: 11.3906313, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.4897603097609554, 'l1_ratio': 0.8344870336203927, 'topK': 348, 'normalize': False} - results: ROC_AUC: 0.1665520, PRECISION: 0.0351885, PRECISION_RECALL_MIN_DEN: 0.1301902, RECALL: 0.1267097, MAP: 0.0588424, MRR: 0.1206029, NDCG: 0.0891207, F1: 0.0550802, HIT_RATE: 0.3518847, ARHR: 0.1378593, NOVELTY: 0.0051725, AVERAGE_POPULARITY: 0.0411092, DIVERSITY_MEAN_INTER_LIST: 0.9969859, DIVERSITY_HERFINDAHL: 0.9996810, COVERAGE_ITEM: 0.5956882, COVERAGE_ITEM_CORRECT: 0.0563003, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1894300, DIVERSITY_GINI: 0.2770696, SHANNON_ENTROPY: 12.9731114, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.31421860531069906, 'l1_ratio': 0.140796751036825, 'topK': 757, 'normalize': False} - results: ROC_AUC: 0.1840195, PRECISION: 0.0395475, PRECISION_RECALL_MIN_DEN: 0.1383974, RECALL: 0.1339926, MAP: 0.0646408, MRR: 0.1371663, NDCG: 0.0972078, F1: 0.0610692, HIT_RATE: 0.3954750, ARHR: 0.1590655, NOVELTY: 0.0048109, AVERAGE_POPULARITY: 0.1086494, DIVERSITY_MEAN_INTER_LIST: 0.9850960, DIVERSITY_HERFINDAHL: 0.9984922, COVERAGE_ITEM: 0.4369124, COVERAGE_ITEM_CORRECT: 0.0460597, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057883, DIVERSITY_GINI: 0.1370337, SHANNON_ENTROPY: 11.4534304, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.06858980656042159, 'l1_ratio': 0.5435341354163687, 'topK': 57, 'normalize': True} - results: ROC_AUC: 0.1823135, PRECISION: 0.0383762, PRECISION_RECALL_MIN_DEN: 0.1346739, RECALL: 0.1304613, MAP: 0.0642695, MRR: 0.1358307, NDCG: 0.0959308, F1: 0.0593058, HIT_RATE: 0.3837622, ARHR: 0.1565222, NOVELTY: 0.0049086, AVERAGE_POPULARITY: 0.0899488, DIVERSITY_MEAN_INTER_LIST: 0.9906156, DIVERSITY_HERFINDAHL: 0.9990441, COVERAGE_ITEM: 0.4773359, COVERAGE_ITEM_CORRECT: 0.0493628, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2014848, DIVERSITY_GINI: 0.1670281, SHANNON_ENTROPY: 11.9267064, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.7707245171897448, 'l1_ratio': 0.9156296904369782, 'topK': 949, 'normalize': False} - results: ROC_AUC: 0.1306711, PRECISION: 0.0273832, PRECISION_RECALL_MIN_DEN: 0.1027533, RECALL: 0.1000512, MAP: 0.0444585, MRR: 0.0916128, NDCG: 0.0685009, F1: 0.0429954, HIT_RATE: 0.2738321, ARHR: 0.1034582, NOVELTY: 0.0052555, AVERAGE_POPULARITY: 0.0246560, DIVERSITY_MEAN_INTER_LIST: 0.9976828, DIVERSITY_HERFINDAHL: 0.9997506, COVERAGE_ITEM: 0.6001617, COVERAGE_ITEM_CORRECT: 0.0489856, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1526865, DIVERSITY_GINI: 0.2857956, SHANNON_ENTROPY: 13.0819393, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.29815446809299745, 'l1_ratio': 0.8205541349751163, 'topK': 112, 'normalize': True} - results: ROC_AUC: 0.1985900, PRECISION: 0.0434345, PRECISION_RECALL_MIN_DEN: 0.1542142, RECALL: 0.1496145, MAP: 0.0723134, MRR: 0.1486173, NDCG: 0.1079368, F1: 0.0673222, HIT_RATE: 0.4343448, ARHR: 0.1734581, NOVELTY: 0.0049711, AVERAGE_POPULARITY: 0.0776003, DIVERSITY_MEAN_INTER_LIST: 0.9928990, DIVERSITY_HERFINDAHL: 0.9992724, COVERAGE_ITEM: 0.5218325, COVERAGE_ITEM_CORRECT: 0.0607738, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2224487, DIVERSITY_GINI: 0.2019008, SHANNON_ENTROPY: 12.2836785, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.16451383666897593, 'l1_ratio': 0.7280753668239933, 'topK': 622, 'normalize': False} - results: ROC_AUC: 0.2017017, PRECISION: 0.0441047, PRECISION_RECALL_MIN_DEN: 0.1590705, RECALL: 0.1546263, MAP: 0.0734705, MRR: 0.1502679, NDCG: 0.1102845, F1: 0.0686324, HIT_RATE: 0.4410470, ARHR: 0.1752034, NOVELTY: 0.0049928, AVERAGE_POPULARITY: 0.0748761, DIVERSITY_MEAN_INTER_LIST: 0.9931367, DIVERSITY_HERFINDAHL: 0.9992961, COVERAGE_ITEM: 0.5189759, COVERAGE_ITEM_CORRECT: 0.0617132, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2271801, DIVERSITY_GINI: 0.2022089, SHANNON_ENTROPY: 12.3044339, 
