
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7511204788831619, 'l1_ratio': 0.7934628472897416, 'topK': 72, 'normalize': False} - results: ROC_AUC: 0.1637659, PRECISION: 0.0347641, PRECISION_RECALL_MIN_DEN: 0.1282520, RECALL: 0.1246946, MAP: 0.0576435, MRR: 0.1181519, NDCG: 0.0873277, F1: 0.0543691, HIT_RATE: 0.3476409, ARHR: 0.1353336, NOVELTY: 0.0051844, AVERAGE_POPULARITY: 0.0396566, DIVERSITY_MEAN_INTER_LIST: 0.9971707, DIVERSITY_HERFINDAHL: 0.9996995, COVERAGE_ITEM: 0.6207815, COVERAGE_ITEM_CORRECT: 0.0568547, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1870391, DIVERSITY_GINI: 0.2999703, SHANNON_ENTROPY: 13.0864011, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.21685925030987402, 'l1_ratio': 0.49316761518677255, 'topK': 942, 'normalize': False} - results: ROC_AUC: 0.1989019, PRECISION: 0.0436507, PRECISION_RECALL_MIN_DEN: 0.1548004, RECALL: 0.1502291, MAP: 0.0720566, MRR: 0.1492727, NDCG: 0.1080694, F1: 0.0676440, HIT_RATE: 0.4365066, ARHR: 0.1744349, NOVELTY: 0.0049009, AVERAGE_POPULARITY: 0.0963827, DIVERSITY_MEAN_INTER_LIST: 0.9881169, DIVERSITY_HERFINDAHL: 0.9987942, COVERAGE_ITEM: 0.4787988, COVERAGE_ITEM_CORRECT: 0.0556843, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2233547, DIVERSITY_GINI: 0.1667343, SHANNON_ENTROPY: 11.8212603, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3546099424555544, 'l1_ratio': 0.0231404167152709, 'topK': 903, 'normalize': False} - results: ROC_AUC: 0.1770720, PRECISION: 0.0375723, PRECISION_RECALL_MIN_DEN: 0.1315104, RECALL: 0.1273929, MAP: 0.0614593, MRR: 0.1315726, NDCG: 0.0926081, F1: 0.0580284, HIT_RATE: 0.3757229, ARHR: 0.1519434, NOVELTY: 0.0047873, AVERAGE_POPULARITY: 0.1138997, DIVERSITY_MEAN_INTER_LIST: 0.9831350, DIVERSITY_HERFINDAHL: 0.9982961, COVERAGE_ITEM: 0.4301290, COVERAGE_ITEM_CORRECT: 0.0421636, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1973575, DIVERSITY_GINI: 0.1324352, SHANNON_ENTROPY: 11.3440054, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.4897603097609554, 'l1_ratio': 0.8344870336203927, 'topK': 348, 'normalize': False} - results: ROC_AUC: 0.1616068, PRECISION: 0.0342304, PRECISION_RECALL_MIN_DEN: 0.1264206, RECALL: 0.1230003, MAP: 0.0571280, MRR: 0.1173344, NDCG: 0.0865270, F1: 0.0535560, HIT_RATE: 0.3423043, ARHR: 0.1339009, NOVELTY: 0.0051820, AVERAGE_POPULARITY: 0.0396498, DIVERSITY_MEAN_INTER_LIST: 0.9970162, DIVERSITY_HERFINDAHL: 0.9996840, COVERAGE_ITEM: 0.5980751, COVERAGE_ITEM_CORRECT: 0.0552300, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1845225, DIVERSITY_GINI: 0.2796892, SHANNON_ENTROPY: 12.9898835, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.31421860531069906, 'l1_ratio': 0.140796751036825, 'topK': 757, 'normalize': False} - results: ROC_AUC: 0.1816126, PRECISION: 0.0390390, PRECISION_RECALL_MIN_DEN: 0.1362785, RECALL: 0.1319756, MAP: 0.0636452, MRR: 0.1353886, NDCG: 0.0958399, F1: 0.0602525, HIT_RATE: 0.3903896, ARHR: 0.1569820, NOVELTY: 0.0048046, AVERAGE_POPULARITY: 0.1114772, DIVERSITY_MEAN_INTER_LIST: 0.9839272, DIVERSITY_HERFINDAHL: 0.9983753, COVERAGE_ITEM: 0.4351954, COVERAGE_ITEM_CORRECT: 0.0448970, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034227, DIVERSITY_GINI: 0.1361792, SHANNON_ENTROPY: 11.4068217, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.06858980656042159, 'l1_ratio': 0.5435341354163687, 'topK': 57, 'normalize': True} - results: ROC_AUC: 0.1617061, PRECISION: 0.0338516, PRECISION_RECALL_MIN_DEN: 0.1181755, RECALL: 0.1143224, MAP: 0.0557898, MRR: 0.1190110, NDCG: 0.0836808, F1: 0.0522321, HIT_RATE: 0.3385156, ARHR: 0.1367744, NOVELTY: 0.0049560, AVERAGE_POPULARITY: 0.0905612, DIVERSITY_MEAN_INTER_LIST: 0.9894932, DIVERSITY_HERFINDAHL: 0.9989318, COVERAGE_ITEM: 0.4733090, COVERAGE_ITEM_CORRECT: 0.0406237, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1799169, DIVERSITY_GINI: 0.1737466, SHANNON_ENTROPY: 11.9659655, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.7707245171897448, 'l1_ratio': 0.9156296904369782, 'topK': 949, 'normalize': False} - results: ROC_AUC: 0.1291177, PRECISION: 0.0270331, PRECISION_RECALL_MIN_DEN: 0.1014947, RECALL: 0.0988085, MAP: 0.0437988, MRR: 0.0903320, NDCG: 0.0675402, F1: 0.0424487, HIT_RATE: 0.2703307, ARHR: 0.1019487, NOVELTY: 0.0052578, AVERAGE_POPULARITY: 0.0242261, DIVERSITY_MEAN_INTER_LIST: 0.9976885, DIVERSITY_HERFINDAHL: 0.9997512, COVERAGE_ITEM: 0.6003619, COVERAGE_ITEM_CORRECT: 0.0485467, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1511010, DIVERSITY_GINI: 0.2859634, SHANNON_ENTROPY: 13.0833740, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.29815446809299745, 'l1_ratio': 0.8205541349751163, 'topK': 112, 'normalize': True} - results: ROC_AUC: 0.1900271, PRECISION: 0.0417522, PRECISION_RECALL_MIN_DEN: 0.1471262, RECALL: 0.1426047, MAP: 0.0680995, MRR: 0.1412819, NDCG: 0.1023383, F1: 0.0645910, HIT_RATE: 0.4175222, ARHR: 0.1651458, NOVELTY: 0.0049662, AVERAGE_POPULARITY: 0.0854765, DIVERSITY_MEAN_INTER_LIST: 0.9906105, DIVERSITY_HERFINDAHL: 0.9990435, COVERAGE_ITEM: 0.5140404, COVERAGE_ITEM_CORRECT: 0.0557998, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2140430, DIVERSITY_GINI: 0.1970913, SHANNON_ENTROPY: 12.1498436, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.16451383666897593, 'l1_ratio': 0.7280753668239933, 'topK': 622, 'normalize': False} - results: ROC_AUC: 0.1984640, PRECISION: 0.0426588, PRECISION_RECALL_MIN_DEN: 0.1549287, RECALL: 0.1506578, MAP: 0.0716727, MRR: 0.1469154, NDCG: 0.1075367, F1: 0.0664903, HIT_RATE: 0.4265883, ARHR: 0.1710245, NOVELTY: 0.0050061, AVERAGE_POPULARITY: 0.0756921, DIVERSITY_MEAN_INTER_LIST: 0.9923675, DIVERSITY_HERFINDAHL: 0.9992192, COVERAGE_ITEM: 0.5381482, COVERAGE_ITEM_CORRECT: 0.0590029, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211904, DIVERSITY_GINI: 0.2146534, SHANNON_ENTROPY: 12.3437696, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.9968320853303564, 'l1_ratio': 0.6946326006316155, 'topK': 666, 'normalize': False} - results: ROC_AUC: 0.1870564, PRECISION: 0.0400195, PRECISION_RECALL_MIN_DEN: 0.1467105, RECALL: 0.1427410, MAP: 0.0674175, MRR: 0.1379369, NDCG: 0.1013365, F1: 0.0625124, HIT_RATE: 0.4001952, ARHR: 0.1594009, NOVELTY: 0.0050993, AVERAGE_POPULARITY: 0.0575744, DIVERSITY_MEAN_INTER_LIST: 0.9951515, DIVERSITY_HERFINDAHL: 0.9994976, COVERAGE_ITEM: 0.5668219, COVERAGE_ITEM_CORRECT: 0.0589413, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2103184, DIVERSITY_GINI: 0.2451872, SHANNON_ENTROPY: 12.6804227, 
