
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7511204788831619, 'l1_ratio': 0.7934628472897416, 'topK': 72, 'normalize': False} - results: ROC_AUC: 0.1750469, PRECISION: 0.0373720, PRECISION_RECALL_MIN_DEN: 0.1367384, RECALL: 0.1328322, MAP: 0.0619657, MRR: 0.1268641, NDCG: 0.0935788, F1: 0.0583312, HIT_RATE: 0.3737204, ARHR: 0.1462513, NOVELTY: 0.0051451, AVERAGE_POPULARITY: 0.0475598, DIVERSITY_MEAN_INTER_LIST: 0.9964893, DIVERSITY_HERFINDAHL: 0.9996313, COVERAGE_ITEM: 0.6101405, COVERAGE_ITEM_CORRECT: 0.0585486, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1985907, DIVERSITY_GINI: 0.2866438, SHANNON_ENTROPY: 12.9687332, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.21685925030987402, 'l1_ratio': 0.49316761518677255, 'topK': 942, 'normalize': False} - results: ROC_AUC: 0.1986850, PRECISION: 0.0432195, PRECISION_RECALL_MIN_DEN: 0.1536366, RECALL: 0.1491340, MAP: 0.0718127, MRR: 0.1486178, NDCG: 0.1075166, F1: 0.0670166, HIT_RATE: 0.4321950, ARHR: 0.1732618, NOVELTY: 0.0048662, AVERAGE_POPULARITY: 0.1006450, DIVERSITY_MEAN_INTER_LIST: 0.9873110, DIVERSITY_HERFINDAHL: 0.9987137, COVERAGE_ITEM: 0.4634379, COVERAGE_ITEM_CORRECT: 0.0542907, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220712, DIVERSITY_GINI: 0.1545533, SHANNON_ENTROPY: 11.6871537, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3546099424555544, 'l1_ratio': 0.0231404167152709, 'topK': 903, 'normalize': False} - results: ROC_AUC: 0.1764029, PRECISION: 0.0372181, PRECISION_RECALL_MIN_DEN: 0.1306202, RECALL: 0.1265660, MAP: 0.0614625, MRR: 0.1311440, NDCG: 0.0923317, F1: 0.0575195, HIT_RATE: 0.3721815, ARHR: 0.1512365, NOVELTY: 0.0047759, AVERAGE_POPULARITY: 0.1182718, DIVERSITY_MEAN_INTER_LIST: 0.9816079, DIVERSITY_HERFINDAHL: 0.9981434, COVERAGE_ITEM: 0.4405621, COVERAGE_ITEM_CORRECT: 0.0412551, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1963508, DIVERSITY_GINI: 0.1328938, SHANNON_ENTROPY: 11.2686978, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.4897603097609554, 'l1_ratio': 0.8344870336203927, 'topK': 348, 'normalize': False} - results: ROC_AUC: 0.1746697, PRECISION: 0.0370579, PRECISION_RECALL_MIN_DEN: 0.1358630, RECALL: 0.1321665, MAP: 0.0617679, MRR: 0.1273030, NDCG: 0.0934406, F1: 0.0578852, HIT_RATE: 0.3705786, ARHR: 0.1462067, NOVELTY: 0.0051423, AVERAGE_POPULARITY: 0.0469916, DIVERSITY_MEAN_INTER_LIST: 0.9964641, DIVERSITY_HERFINDAHL: 0.9996288, COVERAGE_ITEM: 0.5878653, COVERAGE_ITEM_CORRECT: 0.0573167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972568, DIVERSITY_GINI: 0.2676835, SHANNON_ENTROPY: 12.8848269, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.31421860531069906, 'l1_ratio': 0.140796751036825, 'topK': 757, 'normalize': False} - results: ROC_AUC: 0.1820729, PRECISION: 0.0386744, PRECISION_RECALL_MIN_DEN: 0.1360716, RECALL: 0.1318230, MAP: 0.0639325, MRR: 0.1352786, NDCG: 0.0958979, F1: 0.0598014, HIT_RATE: 0.3867440, ARHR: 0.1565828, NOVELTY: 0.0047941, AVERAGE_POPULARITY: 0.1133224, DIVERSITY_MEAN_INTER_LIST: 0.9834025, DIVERSITY_HERFINDAHL: 0.9983229, COVERAGE_ITEM: 0.4391761, COVERAGE_ITEM_CORRECT: 0.0444735, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025922, DIVERSITY_GINI: 0.1350645, SHANNON_ENTROPY: 11.3629702, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.06858980656042159, 'l1_ratio': 0.5435341354163687, 'topK': 57, 'normalize': True} - results: ROC_AUC: 0.1821340, PRECISION: 0.0383585, PRECISION_RECALL_MIN_DEN: 0.1345241, RECALL: 0.1303057, MAP: 0.0642192, MRR: 0.1358360, NDCG: 0.0958603, F1: 0.0592687, HIT_RATE: 0.3835855, ARHR: 0.1564986, NOVELTY: 0.0049086, AVERAGE_POPULARITY: 0.0900010, DIVERSITY_MEAN_INTER_LIST: 0.9905985, DIVERSITY_HERFINDAHL: 0.9990424, COVERAGE_ITEM: 0.4779365, COVERAGE_ITEM_CORRECT: 0.0493013, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013087, DIVERSITY_GINI: 0.1671543, SHANNON_ENTROPY: 11.9258350, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.7707245171897448, 'l1_ratio': 0.9156296904369782, 'topK': 949, 'normalize': False} - results: ROC_AUC: 0.1365538, PRECISION: 0.0285987, PRECISION_RECALL_MIN_DEN: 0.1071856, RECALL: 0.1043670, MAP: 0.0467264, MRR: 0.0963557, NDCG: 0.0717841, F1: 0.0448931, HIT_RATE: 0.2859871, ARHR: 0.1089523, NOVELTY: 0.0052411, AVERAGE_POPULARITY: 0.0274218, DIVERSITY_MEAN_INTER_LIST: 0.9976011, DIVERSITY_HERFINDAHL: 0.9997425, COVERAGE_ITEM: 0.5976208, COVERAGE_ITEM_CORRECT: 0.0499172, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1587014, DIVERSITY_GINI: 0.2830564, SHANNON_ENTROPY: 13.0608124, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.29815446809299745, 'l1_ratio': 0.8205541349751163, 'topK': 112, 'normalize': True} - results: ROC_AUC: 0.1984211, PRECISION: 0.0433921, PRECISION_RECALL_MIN_DEN: 0.1541728, RECALL: 0.1495446, MAP: 0.0722222, MRR: 0.1484941, NDCG: 0.1078151, F1: 0.0672644, HIT_RATE: 0.4339210, ARHR: 0.1733587, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.0777178, DIVERSITY_MEAN_INTER_LIST: 0.9928700, DIVERSITY_HERFINDAHL: 0.9992695, COVERAGE_ITEM: 0.5220789, COVERAGE_ITEM_CORRECT: 0.0607353, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2222222, DIVERSITY_GINI: 0.2020545, SHANNON_ENTROPY: 12.2827942, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.16451383666897593, 'l1_ratio': 0.7280753668239933, 'topK': 622, 'normalize': False} - results: ROC_AUC: 0.2017474, PRECISION: 0.0442539, PRECISION_RECALL_MIN_DEN: 0.1590140, RECALL: 0.1544833, MAP: 0.0736987, MRR: 0.1507953, NDCG: 0.1104419, F1: 0.0687983, HIT_RATE: 0.4425388, ARHR: 0.1761051, NOVELTY: 0.0049724, AVERAGE_POPULARITY: 0.0789986, DIVERSITY_MEAN_INTER_LIST: 0.9923769, DIVERSITY_HERFINDAHL: 0.9992202, COVERAGE_ITEM: 0.5094899, COVERAGE_ITEM_CORRECT: 0.0609278, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2269536, DIVERSITY_GINI: 0.1936438, SHANNON_ENTROPY: 12.2068696, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.9968320853303564, 'l1_ratio': 0.6946326006316155, 'topK': 666, 'normalize': False} - results: ROC_AUC: 0.1945527, PRECISION: 0.0417618, PRECISION_RECALL_MIN_DEN: 0.1520202, RECALL: 0.1477682, MAP: 0.0701335, MRR: 0.1435176, NDCG: 0.1052253, F1: 0.0651193, HIT_RATE: 0.4176180, ARHR: 0.1668190, NOVELTY: 0.0050428, AVERAGE_POPULARITY: 0.0685263, DIVERSITY_MEAN_INTER_LIST: 0.9935538, DIVERSITY_HERFINDAHL: 0.9993378, COVERAGE_ITEM: 0.5478268, COVERAGE_ITEM_CORRECT: 0.0589721, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2169120, DIVERSITY_GINI: 0.2252847, SHANNON_ENTROPY: 12.4697765, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.5239710668272983, 'l1_ratio': 0.311555796938018, 'topK': 899, 'normalize': False} - results: ROC_AUC: 0.1892471, PRECISION: 0.0407384, PRECISION_RECALL_MIN_DEN: 0.1439263, RECALL: 0.1395502, MAP: 0.0675625, MRR: 0.1410050, NDCG: 0.1011443, F1: 0.0630650, HIT_RATE: 0.4073841, ARHR: 0.1638518, NOVELTY: 0.0048147, AVERAGE_POPULARITY: 0.1113676, DIVERSITY_MEAN_INTER_LIST: 0.9838546, DIVERSITY_HERFINDAHL: 0.9983681, COVERAGE_ITEM: 0.4455823, COVERAGE_ITEM_CORRECT: 0.0484928, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2111489, DIVERSITY_GINI: 0.1403738, SHANNON_ENTROPY: 11.4316366, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.03651542577594392, 'l1_ratio': 0.5314123568664026, 'topK': 226, 'normalize': False} - results: ROC_AUC: 0.1891966, PRECISION: 0.0413630, PRECISION_RECALL_MIN_DEN: 0.1444087, RECALL: 0.1397500, MAP: 0.0675882, MRR: 0.1420362, NDCG: 0.1013450, F1: 0.0638320, HIT_RATE: 0.4136302, ARHR: 0.1655674, NOVELTY: 0.0048850, AVERAGE_POPULARITY: 0.0936134, DIVERSITY_MEAN_INTER_LIST: 0.9897971, DIVERSITY_HERFINDAHL: 0.9989622, COVERAGE_ITEM: 0.4593186, COVERAGE_ITEM_CORRECT: 0.0532050, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2122562, DIVERSITY_GINI: 0.1560968, SHANNON_ENTROPY: 11.8204049, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.12033435932790473, 'l1_ratio': 0.6282229929294818, 'topK': 381, 'normalize': False} - results: ROC_AUC: 0.1994786, PRECISION: 0.0439623, PRECISION_RECALL_MIN_DEN: 0.1561476, RECALL: 0.1514677, MAP: 0.0726599, MRR: 0.1502931, NDCG: 0.1088176, F1: 0.0681444, HIT_RATE: 0.4396231, ARHR: 0.1757178, NOVELTY: 0.0049267, AVERAGE_POPULARITY: 0.0877540, DIVERSITY_MEAN_INTER_LIST: 0.9907904, DIVERSITY_HERFINDAHL: 0.9990615, COVERAGE_ITEM: 0.4854360, COVERAGE_ITEM_CORRECT: 0.0586333, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2242607, DIVERSITY_GINI: 0.1736559, SHANNON_ENTROPY: 11.9907270, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'alpha': 0.1726313442001605, 'l1_ratio': 0.5170248083803548, 'topK': 925, 'normalize': True} - results: ROC_AUC: 0.1922638, PRECISION: 0.0419379, PRECISION_RECALL_MIN_DEN: 0.1466488, RECALL: 0.1419650, MAP: 0.0686595, MRR: 0.1444506, NDCG: 0.1029372, F1: 0.0647476, HIT_RATE: 0.4193788, ARHR: 0.1683364, NOVELTY: 0.0048485, AVERAGE_POPULARITY: 0.0973296, DIVERSITY_MEAN_INTER_LIST: 0.9890598, DIVERSITY_HERFINDAHL: 0.9988885, COVERAGE_ITEM: 0.4420712, COVERAGE_ITEM_CORRECT: 0.0531665, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2154775, DIVERSITY_GINI: 0.1448712, SHANNON_ENTROPY: 11.6941892, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'alpha': 0.6262126297664293, 'l1_ratio': 0.2997560075819286, 'topK': 990, 'normalize': False} - results: ROC_AUC: 0.1884103, PRECISION: 0.0405865, PRECISION_RECALL_MIN_DEN: 0.1434881, RECALL: 0.1391348, MAP: 0.0672096, MRR: 0.1403153, NDCG: 0.1007130, F1: 0.0628408, HIT_RATE: 0.4058650, ARHR: 0.1630157, NOVELTY: 0.0048085, AVERAGE_POPULARITY: 0.1126461, DIVERSITY_MEAN_INTER_LIST: 0.9833968, DIVERSITY_HERFINDAHL: 0.9983223, COVERAGE_ITEM: 0.4437421, COVERAGE_ITEM_CORRECT: 0.0480385, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2104945, DIVERSITY_GINI: 0.1388625, SHANNON_ENTROPY: 11.4023272, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'alpha': 0.9023621129038708, 'l1_ratio': 0.6514977445489802, 'topK': 613, 'normalize': False} - results: ROC_AUC: 0.1987065, PRECISION: 0.0433518, PRECISION_RECALL_MIN_DEN: 0.1568390, RECALL: 0.1523815, MAP: 0.0723913, MRR: 0.1479453, NDCG: 0.1085733, F1: 0.0674993, HIT_RATE: 0.4335182, ARHR: 0.1724139, NOVELTY: 0.0050043, AVERAGE_POPULARITY: 0.0762378, DIVERSITY_MEAN_INTER_LIST: 0.9922762, DIVERSITY_HERFINDAHL: 0.9992101, COVERAGE_ITEM: 0.5316266, COVERAGE_ITEM_CORRECT: 0.0598114, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2232541, DIVERSITY_GINI: 0.2098068, SHANNON_ENTROPY: 12.3054194, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'alpha': 0.1311248631327128, 'l1_ratio': 0.02354996866557247, 'topK': 413, 'normalize': True} - results: ROC_AUC: 0.1809840, PRECISION: 0.0390860, PRECISION_RECALL_MIN_DEN: 0.1360283, RECALL: 0.1315663, MAP: 0.0636432, MRR: 0.1353888, NDCG: 0.0956367, F1: 0.0602666, HIT_RATE: 0.3908598, ARHR: 0.1569013, NOVELTY: 0.0048362, AVERAGE_POPULARITY: 0.0995199, DIVERSITY_MEAN_INTER_LIST: 0.9885746, DIVERSITY_HERFINDAHL: 0.9988400, COVERAGE_ITEM: 0.4333551, COVERAGE_ITEM_CORRECT: 0.0477151, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1389061, SHANNON_ENTROPY: 11.6274853, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'alpha': 0.94494185239894, 'l1_ratio': 0.41751866835867546, 'topK': 522, 'normalize': False} - results: ROC_AUC: 0.1960451, PRECISION: 0.0428407, PRECISION_RECALL_MIN_DEN: 0.1510423, RECALL: 0.1464647, MAP: 0.0707714, MRR: 0.1467553, NDCG: 0.1058998, F1: 0.0662901, HIT_RATE: 0.4284071, ARHR: 0.1714213, NOVELTY: 0.0048808, AVERAGE_POPULARITY: 0.1006223, DIVERSITY_MEAN_INTER_LIST: 0.9869212, DIVERSITY_HERFINDAHL: 0.9986747, COVERAGE_ITEM: 0.4709220, COVERAGE_ITEM_CORRECT: 0.0538210, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193784, DIVERSITY_GINI: 0.1589759, SHANNON_ENTROPY: 11.7045953, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'alpha': 0.3317664009889189, 'l1_ratio': 0.7611958276854777, 'topK': 538, 'normalize': True} - results: ROC_AUC: 0.2001798, PRECISION: 0.0440916, PRECISION_RECALL_MIN_DEN: 0.1572421, RECALL: 0.1526129, MAP: 0.0726116, MRR: 0.1494616, NDCG: 0.1090647, F1: 0.0684156, HIT_RATE: 0.4409158, ARHR: 0.1747368, NOVELTY: 0.0049556, AVERAGE_POPULARITY: 0.0792889, DIVERSITY_MEAN_INTER_LIST: 0.9926263, DIVERSITY_HERFINDAHL: 0.9992451, COVERAGE_ITEM: 0.5027449, COVERAGE_ITEM_CORRECT: 0.0612435, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2257204, DIVERSITY_GINI: 0.1890540, SHANNON_ENTROPY: 12.1915685, 
