
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7511204788831619, 'l1_ratio': 0.7934628472897416, 'topK': 72, 'normalize': False} - results: ROC_AUC: 0.1732794, PRECISION: 0.0371531, PRECISION_RECALL_MIN_DEN: 0.1358922, RECALL: 0.1320039, MAP: 0.0615152, MRR: 0.1257848, NDCG: 0.0929103, F1: 0.0579846, HIT_RATE: 0.3715307, ARHR: 0.1450108, NOVELTY: 0.0051484, AVERAGE_POPULARITY: 0.0471396, DIVERSITY_MEAN_INTER_LIST: 0.9965020, DIVERSITY_HERFINDAHL: 0.9996326, COVERAGE_ITEM: 0.6115573, COVERAGE_ITEM_CORRECT: 0.0583099, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1971058, DIVERSITY_GINI: 0.2878772, SHANNON_ENTROPY: 12.9761234, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.21685925030987402, 'l1_ratio': 0.49316761518677255, 'topK': 942, 'normalize': False} - results: ROC_AUC: 0.1967909, PRECISION: 0.0429935, PRECISION_RECALL_MIN_DEN: 0.1526542, RECALL: 0.1481892, MAP: 0.0712310, MRR: 0.1473894, NDCG: 0.1067349, F1: 0.0666487, HIT_RATE: 0.4299351, ARHR: 0.1718854, NOVELTY: 0.0048651, AVERAGE_POPULARITY: 0.1045716, DIVERSITY_MEAN_INTER_LIST: 0.9857320, DIVERSITY_HERFINDAHL: 0.9985558, COVERAGE_ITEM: 0.4690279, COVERAGE_ITEM_CORRECT: 0.0533128, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2209387, DIVERSITY_GINI: 0.1572084, SHANNON_ENTROPY: 11.6480977, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3546099424555544, 'l1_ratio': 0.0231404167152709, 'topK': 903, 'normalize': False} - results: ROC_AUC: 0.1754539, PRECISION: 0.0368439, PRECISION_RECALL_MIN_DEN: 0.1296719, RECALL: 0.1256564, MAP: 0.0605375, MRR: 0.1295953, NDCG: 0.0912663, F1: 0.0569780, HIT_RATE: 0.3684387, ARHR: 0.1494496, NOVELTY: 0.0047731, AVERAGE_POPULARITY: 0.1205607, DIVERSITY_MEAN_INTER_LIST: 0.9805481, DIVERSITY_HERFINDAHL: 0.9980375, COVERAGE_ITEM: 0.4446891, COVERAGE_ITEM_CORRECT: 0.0407392, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1946647, DIVERSITY_GINI: 0.1344900, SHANNON_ENTROPY: 11.2454095, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.4897603097609554, 'l1_ratio': 0.8344870336203927, 'topK': 348, 'normalize': False} - results: ROC_AUC: 0.1700705, PRECISION: 0.0361564, PRECISION_RECALL_MIN_DEN: 0.1325007, RECALL: 0.1288292, MAP: 0.0602023, MRR: 0.1237556, NDCG: 0.0910005, F1: 0.0564652, HIT_RATE: 0.3615639, ARHR: 0.1421085, NOVELTY: 0.0051501, AVERAGE_POPULARITY: 0.0459060, DIVERSITY_MEAN_INTER_LIST: 0.9964691, DIVERSITY_HERFINDAHL: 0.9996293, COVERAGE_ITEM: 0.5907757, COVERAGE_ITEM_CORRECT: 0.0561848, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1926010, DIVERSITY_GINI: 0.2707573, SHANNON_ENTROPY: 12.9024357, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.31421860531069906, 'l1_ratio': 0.140796751036825, 'topK': 757, 'normalize': False} - results: ROC_AUC: 0.1804304, PRECISION: 0.0382078, PRECISION_RECALL_MIN_DEN: 0.1344918, RECALL: 0.1303306, MAP: 0.0629295, MRR: 0.1336986, NDCG: 0.0946432, F1: 0.0590907, HIT_RATE: 0.3820784, ARHR: 0.1545978, NOVELTY: 0.0047885, AVERAGE_POPULARITY: 0.1165326, DIVERSITY_MEAN_INTER_LIST: 0.9820463, DIVERSITY_HERFINDAHL: 0.9981873, COVERAGE_ITEM: 0.4409009, COVERAGE_ITEM_CORRECT: 0.0434110, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2005285, DIVERSITY_GINI: 0.1355621, SHANNON_ENTROPY: 11.3209581, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.06858980656042159, 'l1_ratio': 0.5435341354163687, 'topK': 57, 'normalize': True} - results: ROC_AUC: 0.1615612, PRECISION: 0.0338551, PRECISION_RECALL_MIN_DEN: 0.1179853, RECALL: 0.1141284, MAP: 0.0557384, MRR: 0.1189134, NDCG: 0.0836048, F1: 0.0522160, HIT_RATE: 0.3385507, ARHR: 0.1366798, NOVELTY: 0.0049662, AVERAGE_POPULARITY: 0.0902747, DIVERSITY_MEAN_INTER_LIST: 0.9895007, DIVERSITY_HERFINDAHL: 0.9989326, COVERAGE_ITEM: 0.4821790, COVERAGE_ITEM_CORRECT: 0.0405236, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1798918, DIVERSITY_GINI: 0.1780271, SHANNON_ENTROPY: 11.9895833, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.7707245171897448, 'l1_ratio': 0.9156296904369782, 'topK': 949, 'normalize': False} - results: ROC_AUC: 0.1348468, PRECISION: 0.0282840, PRECISION_RECALL_MIN_DEN: 0.1060169, RECALL: 0.1032266, MAP: 0.0460472, MRR: 0.0949696, NDCG: 0.0708411, F1: 0.0443991, HIT_RATE: 0.2828401, ARHR: 0.1073691, NOVELTY: 0.0052440, AVERAGE_POPULARITY: 0.0269893, DIVERSITY_MEAN_INTER_LIST: 0.9976052, DIVERSITY_HERFINDAHL: 0.9997429, COVERAGE_ITEM: 0.5977440, COVERAGE_ITEM_CORRECT: 0.0494783, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1570656, DIVERSITY_GINI: 0.2832373, SHANNON_ENTROPY: 13.0623190, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.29815446809299745, 'l1_ratio': 0.8205541349751163, 'topK': 112, 'normalize': True} - results: ROC_AUC: 0.1902220, PRECISION: 0.0417944, PRECISION_RECALL_MIN_DEN: 0.1470970, RECALL: 0.1425744, MAP: 0.0681184, MRR: 0.1415048, NDCG: 0.1023866, F1: 0.0646383, HIT_RATE: 0.4179441, ARHR: 0.1653874, NOVELTY: 0.0049683, AVERAGE_POPULARITY: 0.0854508, DIVERSITY_MEAN_INTER_LIST: 0.9905881, DIVERSITY_HERFINDAHL: 0.9990413, COVERAGE_ITEM: 0.5161501, COVERAGE_ITEM_CORRECT: 0.0558306, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2140430, DIVERSITY_GINI: 0.1984229, SHANNON_ENTROPY: 12.1556386, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.16451383666897593, 'l1_ratio': 0.7280753668239933, 'topK': 622, 'normalize': False} - results: ROC_AUC: 0.2001040, PRECISION: 0.0433874, PRECISION_RECALL_MIN_DEN: 0.1566921, RECALL: 0.1522561, MAP: 0.0725918, MRR: 0.1488036, NDCG: 0.1088226, F1: 0.0675304, HIT_RATE: 0.4338744, ARHR: 0.1736305, NOVELTY: 0.0049761, AVERAGE_POPULARITY: 0.0824042, DIVERSITY_MEAN_INTER_LIST: 0.9910452, DIVERSITY_HERFINDAHL: 0.9990870, COVERAGE_ITEM: 0.5260058, COVERAGE_ITEM_CORRECT: 0.0587103, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2234051, DIVERSITY_GINI: 0.2032356, SHANNON_ENTROPY: 12.2060573, 
