
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.03232459256773846, 'l1_ratio': 0.38226443311257674, 'topK': 553, 'normalize': False} - results: ROC_AUC: 0.1885630, PRECISION: 0.0411565, PRECISION_RECALL_MIN_DEN: 0.1434483, RECALL: 0.1387718, MAP: 0.0671593, MRR: 0.1416368, NDCG: 0.1007214, F1: 0.0634833, HIT_RATE: 0.4115655, ARHR: 0.1649179, NOVELTY: 0.0048520, AVERAGE_POPULARITY: 0.0955964, DIVERSITY_MEAN_INTER_LIST: 0.9896038, DIVERSITY_HERFINDAHL: 0.9989429, COVERAGE_ITEM: 0.4410549, COVERAGE_ITEM_CORRECT: 0.0524042, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2114760, DIVERSITY_GINI: 0.1453899, SHANNON_ENTROPY: 11.7288192, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.6611830064277996, 'l1_ratio': 0.5708802808210774, 'topK': 446, 'normalize': True} - results: ROC_AUC: 0.1953267, PRECISION: 0.0417335, PRECISION_RECALL_MIN_DEN: 0.1516608, RECALL: 0.1475758, MAP: 0.0704862, MRR: 0.1444889, NDCG: 0.1057480, F1: 0.0650660, HIT_RATE: 0.4173354, ARHR: 0.1673244, NOVELTY: 0.0050355, AVERAGE_POPULARITY: 0.0655207, DIVERSITY_MEAN_INTER_LIST: 0.9943681, DIVERSITY_HERFINDAHL: 0.9994192, COVERAGE_ITEM: 0.5543176, COVERAGE_ITEM_CORRECT: 0.0601963, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171134, DIVERSITY_GINI: 0.2316197, SHANNON_ENTROPY: 12.5540813, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9466795167949232, 'l1_ratio': 0.658757801739034, 'topK': 564, 'normalize': False} - results: ROC_AUC: 0.1139708, PRECISION: 0.0243153, PRECISION_RECALL_MIN_DEN: 0.0896651, RECALL: 0.0870478, MAP: 0.0383463, MRR: 0.0797451, NDCG: 0.0593486, F1: 0.0380110, HIT_RATE: 0.2431526, ARHR: 0.0902572, NOVELTY: 0.0052785, AVERAGE_POPULARITY: 0.0193366, DIVERSITY_MEAN_INTER_LIST: 0.9978264, DIVERSITY_HERFINDAHL: 0.9997650, COVERAGE_ITEM: 0.6093397, COVERAGE_ITEM_CORRECT: 0.0462368, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1351453, DIVERSITY_GINI: 0.2946691, SHANNON_ENTROPY: 13.1360948, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.1405078017653594, 'l1_ratio': 0.38934299623893687, 'topK': 228, 'normalize': False} - results: ROC_AUC: 0.1985503, PRECISION: 0.0436856, PRECISION_RECALL_MIN_DEN: 0.1553726, RECALL: 0.1507877, MAP: 0.0722459, MRR: 0.1487454, NDCG: 0.1082588, F1: 0.0677430, HIT_RATE: 0.4368556, ARHR: 0.1736806, NOVELTY: 0.0049633, AVERAGE_POPULARITY: 0.0779241, DIVERSITY_MEAN_INTER_LIST: 0.9928722, DIVERSITY_HERFINDAHL: 0.9992697, COVERAGE_ITEM: 0.5147565, COVERAGE_ITEM_CORRECT: 0.0610202, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2238832, DIVERSITY_GINI: 0.1975529, SHANNON_ENTROPY: 12.2594211, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.4021159029233453, 'l1_ratio': 0.4405517393653591, 'topK': 149, 'normalize': True} - results: ROC_AUC: 0.1996539, PRECISION: 0.0438030, PRECISION_RECALL_MIN_DEN: 0.1550444, RECALL: 0.1503300, MAP: 0.0722718, MRR: 0.1494454, NDCG: 0.1081999, F1: 0.0678377, HIT_RATE: 0.4380299, ARHR: 0.1744348, NOVELTY: 0.0049276, AVERAGE_POPULARITY: 0.0862720, DIVERSITY_MEAN_INTER_LIST: 0.9911517, DIVERSITY_HERFINDAHL: 0.9990977, COVERAGE_ITEM: 0.4993263, COVERAGE_ITEM_CORRECT: 0.0591492, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244872, DIVERSITY_GINI: 0.1827075, SHANNON_ENTROPY: 12.0692659, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.12791879334744052, 'l1_ratio': 0.28855920558629317, 'topK': 120, 'normalize': False} - results: ROC_AUC: 0.1968012, PRECISION: 0.0432236, PRECISION_RECALL_MIN_DEN: 0.1525935, RECALL: 0.1479539, MAP: 0.0711672, MRR: 0.1471267, NDCG: 0.1065885, F1: 0.0669014, HIT_RATE: 0.4322358, ARHR: 0.1716619, NOVELTY: 0.0049331, AVERAGE_POPULARITY: 0.0839676, DIVERSITY_MEAN_INTER_LIST: 0.9917635, DIVERSITY_HERFINDAHL: 0.9991588, COVERAGE_ITEM: 0.4981097, COVERAGE_ITEM_CORRECT: 0.0588258, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2216937, DIVERSITY_GINI: 0.1835607, SHANNON_ENTROPY: 12.1069054, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.27541350260836145, 'l1_ratio': 0.19092118164545896, 'topK': 533, 'normalize': True} - results: ROC_AUC: 0.1888356, PRECISION: 0.0412416, PRECISION_RECALL_MIN_DEN: 0.1441229, RECALL: 0.1394914, MAP: 0.0674538, MRR: 0.1418989, NDCG: 0.1011481, F1: 0.0636598, HIT_RATE: 0.4124162, ARHR: 0.1650605, NOVELTY: 0.0048370, AVERAGE_POPULARITY: 0.1005735, DIVERSITY_MEAN_INTER_LIST: 0.9881806, DIVERSITY_HERFINDAHL: 0.9988006, COVERAGE_ITEM: 0.4428951, COVERAGE_ITEM_CORRECT: 0.0509490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2122814, DIVERSITY_GINI: 0.1434976, SHANNON_ENTROPY: 11.6449294, 

