
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 992, 'shrink': 544, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0752597, PRECISION: 0.0154879, PRECISION_RECALL_MIN_DEN: 0.0532728, RECALL: 0.0514870, MAP: 0.0232602, MRR: 0.0523683, NDCG: 0.0365199, F1: 0.0238102, HIT_RATE: 0.1548790, ARHR: 0.0581426, NOVELTY: 0.0052987, AVERAGE_POPULARITY: 0.0147636, DIVERSITY_MEAN_INTER_LIST: 0.9969077, DIVERSITY_HERFINDAHL: 0.9996732, COVERAGE_ITEM: 0.4990645, COVERAGE_ITEM_CORRECT: 0.0300289, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0891406, DIVERSITY_GINI: 0.2235063, SHANNON_ENTROPY: 12.7262908, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 583, 'shrink': 234, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0988978, PRECISION: 0.0212622, PRECISION_RECALL_MIN_DEN: 0.0745189, RECALL: 0.0720730, MAP: 0.0322970, MRR: 0.0693865, NDCG: 0.0502000, F1: 0.0328351, HIT_RATE: 0.2126220, ARHR: 0.0788486, NOVELTY: 0.0052916, AVERAGE_POPULARITY: 0.0163715, DIVERSITY_MEAN_INTER_LIST: 0.9981522, DIVERSITY_HERFINDAHL: 0.9997976, COVERAGE_ITEM: 0.6344793, COVERAGE_ITEM_CORRECT: 0.0413859, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1169498, DIVERSITY_GINI: 0.3237648, SHANNON_ENTROPY: 13.2788667, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 260, 'shrink': 921, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0924304, PRECISION: 0.0199341, PRECISION_RECALL_MIN_DEN: 0.0696792, RECALL: 0.0672985, MAP: 0.0296174, MRR: 0.0639449, NDCG: 0.0464279, F1: 0.0307561, HIT_RATE: 0.1993409, ARHR: 0.0725200, NOVELTY: 0.0052861, AVERAGE_POPULARITY: 0.0155573, DIVERSITY_MEAN_INTER_LIST: 0.9977967, DIVERSITY_HERFINDAHL: 0.9997620, COVERAGE_ITEM: 0.5651973, COVERAGE_ITEM_CORRECT: 0.0384062, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1103561, DIVERSITY_GINI: 0.2750633, SHANNON_ENTROPY: 13.0491748, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 502, 'shrink': 295, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0870395, PRECISION: 0.0187501, PRECISION_RECALL_MIN_DEN: 0.0622546, RECALL: 0.0598786, MAP: 0.0274405, MRR: 0.0617147, NDCG: 0.0427044, F1: 0.0285569, HIT_RATE: 0.1875007, ARHR: 0.0701143, NOVELTY: 0.0052842, AVERAGE_POPULARITY: 0.0167723, DIVERSITY_MEAN_INTER_LIST: 0.9981717, DIVERSITY_HERFINDAHL: 0.9997995, COVERAGE_ITEM: 0.6478999, COVERAGE_ITEM_CORRECT: 0.0367815, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1031836, DIVERSITY_GINI: 0.3299261, SHANNON_ENTROPY: 13.3012911, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 322, 'shrink': 921, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0967493, PRECISION: 0.0207745, PRECISION_RECALL_MIN_DEN: 0.0728640, RECALL: 0.0703807, MAP: 0.0314116, MRR: 0.0676417, NDCG: 0.0488827, F1: 0.0320784, HIT_RATE: 0.2077448, ARHR: 0.0768032, NOVELTY: 0.0052893, AVERAGE_POPULARITY: 0.0159122, DIVERSITY_MEAN_INTER_LIST: 0.9981023, DIVERSITY_HERFINDAHL: 0.9997926, COVERAGE_ITEM: 0.6069066, COVERAGE_ITEM_CORRECT: 0.0403080, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1146093, DIVERSITY_GINI: 0.3070743, SHANNON_ENTROPY: 13.2120641, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 428, 'shrink': 403, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0758132, PRECISION: 0.0156218, PRECISION_RECALL_MIN_DEN: 0.0535802, RECALL: 0.0517629, MAP: 0.0233943, MRR: 0.0528649, NDCG: 0.0367494, F1: 0.0239974, HIT_RATE: 0.1562183, ARHR: 0.0588789, NOVELTY: 0.0052952, AVERAGE_POPULARITY: 0.0147478, DIVERSITY_MEAN_INTER_LIST: 0.9972366, DIVERSITY_HERFINDAHL: 0.9997060, COVERAGE_ITEM: 0.5083811, COVERAGE_ITEM_CORRECT: 0.0303908, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0891909, DIVERSITY_GINI: 0.2328514, SHANNON_ENTROPY: 12.8023874, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 488, 'shrink': 354, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0868458, PRECISION: 0.0187678, PRECISION_RECALL_MIN_DEN: 0.0620323, RECALL: 0.0596425, MAP: 0.0274160, MRR: 0.0616754, NDCG: 0.0426290, F1: 0.0285505, HIT_RATE: 0.1876784, ARHR: 0.0701698, NOVELTY: 0.0052844, AVERAGE_POPULARITY: 0.0166842, DIVERSITY_MEAN_INTER_LIST: 0.9981832, DIVERSITY_HERFINDAHL: 0.9998007, COVERAGE_ITEM: 0.6473686, COVERAGE_ITEM_CORRECT: 0.0367584, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1028061, DIVERSITY_GINI: 0.3301169, SHANNON_ENTROPY: 13.3038394, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 633, 'shrink': 152, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0758059, PRECISION: 0.0155901, PRECISION_RECALL_MIN_DEN: 0.0534331, RECALL: 0.0516228, MAP: 0.0234273, MRR: 0.0528680, NDCG: 0.0367250, F1: 0.0239445, HIT_RATE: 0.1559011, ARHR: 0.0587462, NOVELTY: 0.0052966, AVERAGE_POPULARITY: 0.0147673, DIVERSITY_MEAN_INTER_LIST: 0.9971130, DIVERSITY_HERFINDAHL: 0.9996937, COVERAGE_ITEM: 0.5034918, COVERAGE_ITEM_CORRECT: 0.0302984, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0894426, DIVERSITY_GINI: 0.2283323, SHANNON_ENTROPY: 12.7682213, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 30, 'shrink': 297, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0839508, PRECISION: 0.0177609, PRECISION_RECALL_MIN_DEN: 0.0611144, RECALL: 0.0589236, MAP: 0.0275465, MRR: 0.0589830, NDCG: 0.0420862, F1: 0.0272920, HIT_RATE: 0.1776088, ARHR: 0.0670180, NOVELTY: 0.0052898, AVERAGE_POPULARITY: 0.0152997, DIVERSITY_MEAN_INTER_LIST: 0.9978269, DIVERSITY_HERFINDAHL: 0.9997651, COVERAGE_ITEM: 0.5931319, COVERAGE_ITEM_CORRECT: 0.0348797, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0983012, DIVERSITY_GINI: 0.2969914, SHANNON_ENTROPY: 13.1502447, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 8, 'shrink': 138, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0629761, PRECISION: 0.0119756, PRECISION_RECALL_MIN_DEN: 0.0404249, RECALL: 0.0389199, MAP: 0.0192882, MRR: 0.0447507, NDCG: 0.0293461, F1: 0.0183141, HIT_RATE: 0.1197565, ARHR: 0.0493575, NOVELTY: 0.0053031, AVERAGE_POPULARITY: 0.0148890, DIVERSITY_MEAN_INTER_LIST: 0.9928618, DIVERSITY_HERFINDAHL: 0.9992686, COVERAGE_ITEM: 0.5848547, COVERAGE_ITEM_CORRECT: 0.0239230, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0695357, DIVERSITY_GINI: 0.2745617, SHANNON_ENTROPY: 12.8263092, 
