
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 187, 'shrink': 854, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0987881, PRECISION: 0.0208995, PRECISION_RECALL_MIN_DEN: 0.0760489, RECALL: 0.0736536, MAP: 0.0313797, MRR: 0.0679170, NDCG: 0.0495786, F1: 0.0325588, HIT_RATE: 0.2089954, ARHR: 0.0762208, NOVELTY: 0.0052886, AVERAGE_POPULARITY: 0.0178208, DIVERSITY_MEAN_INTER_LIST: 0.9975648, DIVERSITY_HERFINDAHL: 0.9997389, COVERAGE_ITEM: 0.5418903, COVERAGE_ITEM_CORRECT: 0.0402464, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1189631, DIVERSITY_GINI: 0.2505395, SHANNON_ENTROPY: 12.9216020, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 609, 'shrink': 460, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0951415, PRECISION: 0.0196770, PRECISION_RECALL_MIN_DEN: 0.0727220, RECALL: 0.0705497, MAP: 0.0303852, MRR: 0.0654527, NDCG: 0.0477452, F1: 0.0307707, HIT_RATE: 0.1967696, ARHR: 0.0729837, NOVELTY: 0.0052892, AVERAGE_POPULARITY: 0.0177292, DIVERSITY_MEAN_INTER_LIST: 0.9969992, DIVERSITY_HERFINDAHL: 0.9996823, COVERAGE_ITEM: 0.4996035, COVERAGE_ITEM_CORRECT: 0.0372974, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1134265, DIVERSITY_GINI: 0.2160531, SHANNON_ENTROPY: 12.6928361, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 747, 'shrink': 585, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0932873, PRECISION: 0.0193484, PRECISION_RECALL_MIN_DEN: 0.0717406, RECALL: 0.0696086, MAP: 0.0299528, MRR: 0.0641893, NDCG: 0.0470503, F1: 0.0302780, HIT_RATE: 0.1934844, ARHR: 0.0716613, NOVELTY: 0.0052903, AVERAGE_POPULARITY: 0.0176846, DIVERSITY_MEAN_INTER_LIST: 0.9968395, DIVERSITY_HERFINDAHL: 0.9996663, COVERAGE_ITEM: 0.4918037, COVERAGE_ITEM_CORRECT: 0.0365351, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1113376, DIVERSITY_GINI: 0.2093954, SHANNON_ENTROPY: 12.6400445, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 917, 'shrink': 16, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1011717, PRECISION: 0.0209640, PRECISION_RECALL_MIN_DEN: 0.0785803, RECALL: 0.0763902, MAP: 0.0334847, MRR: 0.0704660, NDCG: 0.0520051, F1: 0.0328957, HIT_RATE: 0.2096404, ARHR: 0.0785436, NOVELTY: 0.0052916, AVERAGE_POPULARITY: 0.0182794, DIVERSITY_MEAN_INTER_LIST: 0.9974079, DIVERSITY_HERFINDAHL: 0.9997232, COVERAGE_ITEM: 0.5451088, COVERAGE_ITEM_CORRECT: 0.0400924, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1200956, DIVERSITY_GINI: 0.2491876, SHANNON_ENTROPY: 12.8999181, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 92, 'shrink': 337, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1003086, PRECISION: 0.0214606, PRECISION_RECALL_MIN_DEN: 0.0778271, RECALL: 0.0752681, MAP: 0.0328530, MRR: 0.0697601, NDCG: 0.0512393, F1: 0.0333976, HIT_RATE: 0.2146056, ARHR: 0.0790097, NOVELTY: 0.0052870, AVERAGE_POPULARITY: 0.0178889, DIVERSITY_MEAN_INTER_LIST: 0.9978755, DIVERSITY_HERFINDAHL: 0.9997699, COVERAGE_ITEM: 0.5691704, COVERAGE_ITEM_CORRECT: 0.0417863, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1198691, DIVERSITY_GINI: 0.2736785, SHANNON_ENTROPY: 13.0612489, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 491, 'shrink': 973, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0954565, PRECISION: 0.0196626, PRECISION_RECALL_MIN_DEN: 0.0729368, RECALL: 0.0707617, MAP: 0.0304955, MRR: 0.0653555, NDCG: 0.0478750, F1: 0.0307731, HIT_RATE: 0.1966264, ARHR: 0.0728931, NOVELTY: 0.0052887, AVERAGE_POPULARITY: 0.0177655, DIVERSITY_MEAN_INTER_LIST: 0.9970433, DIVERSITY_HERFINDAHL: 0.9996867, COVERAGE_ITEM: 0.5061328, COVERAGE_ITEM_CORRECT: 0.0374206, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1132754, DIVERSITY_GINI: 0.2206486, SHANNON_ENTROPY: 12.7192594, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 573, 'shrink': 826, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0945202, PRECISION: 0.0196131, PRECISION_RECALL_MIN_DEN: 0.0724651, RECALL: 0.0703033, MAP: 0.0302961, MRR: 0.0649166, NDCG: 0.0475759, F1: 0.0306686, HIT_RATE: 0.1961315, ARHR: 0.0724377, NOVELTY: 0.0052896, AVERAGE_POPULARITY: 0.0177372, DIVERSITY_MEAN_INTER_LIST: 0.9969529, DIVERSITY_HERFINDAHL: 0.9996777, COVERAGE_ITEM: 0.5005659, COVERAGE_ITEM_CORRECT: 0.0372358, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1128476, DIVERSITY_GINI: 0.2160699, SHANNON_ENTROPY: 12.6868332, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 590, 'shrink': 25, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1019334, PRECISION: 0.0210619, PRECISION_RECALL_MIN_DEN: 0.0779931, RECALL: 0.0757088, MAP: 0.0333784, MRR: 0.0707444, NDCG: 0.0518036, F1: 0.0329529, HIT_RATE: 0.2106185, ARHR: 0.0791467, NOVELTY: 0.0052897, AVERAGE_POPULARITY: 0.0181278, DIVERSITY_MEAN_INTER_LIST: 0.9975228, DIVERSITY_HERFINDAHL: 0.9997347, COVERAGE_ITEM: 0.5501829, COVERAGE_ITEM_CORRECT: 0.0405313, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1198691, DIVERSITY_GINI: 0.2550848, SHANNON_ENTROPY: 12.9411772, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 913, 'shrink': 821, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0917885, PRECISION: 0.0190761, PRECISION_RECALL_MIN_DEN: 0.0710645, RECALL: 0.0689853, MAP: 0.0296815, MRR: 0.0632704, NDCG: 0.0465811, F1: 0.0298854, HIT_RATE: 0.1907607, ARHR: 0.0704595, NOVELTY: 0.0052886, AVERAGE_POPULARITY: 0.0177022, DIVERSITY_MEAN_INTER_LIST: 0.9966066, DIVERSITY_HERFINDAHL: 0.9996430, COVERAGE_ITEM: 0.4849817, COVERAGE_ITEM_CORRECT: 0.0360962, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1100289, DIVERSITY_GINI: 0.2029811, SHANNON_ENTROPY: 12.5823022, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 715, 'shrink': 593, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0936897, PRECISION: 0.0194295, PRECISION_RECALL_MIN_DEN: 0.0720872, RECALL: 0.0699500, MAP: 0.0300394, MRR: 0.0643921, NDCG: 0.0472361, F1: 0.0304098, HIT_RATE: 0.1942952, ARHR: 0.0718396, NOVELTY: 0.0052900, AVERAGE_POPULARITY: 0.0176669, DIVERSITY_MEAN_INTER_LIST: 0.9968611, DIVERSITY_HERFINDAHL: 0.9996685, COVERAGE_ITEM: 0.4933821, COVERAGE_ITEM_CORRECT: 0.0368200, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1119164, DIVERSITY_GINI: 0.2105785, SHANNON_ENTROPY: 12.6484387, 
