
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 739, 'shrink': 500, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5016706168066108, 'tversky_beta': 0.4804705848361376} - results: ROC_AUC: 0.0927371, PRECISION: 0.0191999, PRECISION_RECALL_MIN_DEN: 0.0713795, RECALL: 0.0692860, MAP: 0.0297393, MRR: 0.0635717, NDCG: 0.0467579, F1: 0.0300660, HIT_RATE: 0.1919995, ARHR: 0.0709171, NOVELTY: 0.0052910, AVERAGE_POPULARITY: 0.0176682, DIVERSITY_MEAN_INTER_LIST: 0.9967583, DIVERSITY_HERFINDAHL: 0.9996582, COVERAGE_ITEM: 0.4922117, COVERAGE_ITEM_CORRECT: 0.0362733, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1107084, DIVERSITY_GINI: 0.2088364, SHANNON_ENTROPY: 12.6287500, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 560, 'shrink': 249, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8098196470877659, 'tversky_beta': 1.9566677868337625} - results: ROC_AUC: 0.0976406, PRECISION: 0.0203096, PRECISION_RECALL_MIN_DEN: 0.0748665, RECALL: 0.0726203, MAP: 0.0313689, MRR: 0.0672451, NDCG: 0.0492003, F1: 0.0317402, HIT_RATE: 0.2030962, ARHR: 0.0751450, NOVELTY: 0.0052887, AVERAGE_POPULARITY: 0.0177962, DIVERSITY_MEAN_INTER_LIST: 0.9972519, DIVERSITY_HERFINDAHL: 0.9997076, COVERAGE_ITEM: 0.5122002, COVERAGE_ITEM_CORRECT: 0.0387988, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1166981, DIVERSITY_GINI: 0.2289030, SHANNON_ENTROPY: 12.7890523, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 224, 'shrink': 482, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7456089009014094, 'tversky_beta': 1.0845333874974101} - results: ROC_AUC: 0.0978507, PRECISION: 0.0206693, PRECISION_RECALL_MIN_DEN: 0.0754799, RECALL: 0.0731640, MAP: 0.0312308, MRR: 0.0674856, NDCG: 0.0493098, F1: 0.0322313, HIT_RATE: 0.2066929, ARHR: 0.0757849, NOVELTY: 0.0052869, AVERAGE_POPULARITY: 0.0177541, DIVERSITY_MEAN_INTER_LIST: 0.9974915, DIVERSITY_HERFINDAHL: 0.9997315, COVERAGE_ITEM: 0.5347218, COVERAGE_ITEM_CORRECT: 0.0397459, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1174531, DIVERSITY_GINI: 0.2448023, SHANNON_ENTROPY: 12.8874087, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 821, 'shrink': 992, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1120012212355115, 'tversky_beta': 0.11351713869412008} - results: ROC_AUC: 0.0923839, PRECISION: 0.0190516, PRECISION_RECALL_MIN_DEN: 0.0708616, RECALL: 0.0687741, MAP: 0.0296267, MRR: 0.0632353, NDCG: 0.0464990, F1: 0.0298357, HIT_RATE: 0.1905160, ARHR: 0.0705199, NOVELTY: 0.0052903, AVERAGE_POPULARITY: 0.0176716, DIVERSITY_MEAN_INTER_LIST: 0.9966915, DIVERSITY_HERFINDAHL: 0.9996515, COVERAGE_ITEM: 0.4899326, COVERAGE_ITEM_CORRECT: 0.0360577, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1098024, DIVERSITY_GINI: 0.2066240, SHANNON_ENTROPY: 12.6099980, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 315, 'shrink': 553, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5488464943454522, 'tversky_beta': 0.8074234130111846} - results: ROC_AUC: 0.0959972, PRECISION: 0.0201247, PRECISION_RECALL_MIN_DEN: 0.0740713, RECALL: 0.0718592, MAP: 0.0306829, MRR: 0.0658269, NDCG: 0.0483959, F1: 0.0314416, HIT_RATE: 0.2012467, ARHR: 0.0737551, NOVELTY: 0.0052879, AVERAGE_POPULARITY: 0.0176785, DIVERSITY_MEAN_INTER_LIST: 0.9972853, DIVERSITY_HERFINDAHL: 0.9997109, COVERAGE_ITEM: 0.5218171, COVERAGE_ITEM_CORRECT: 0.0385371, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1149365, DIVERSITY_GINI: 0.2335040, SHANNON_ENTROPY: 12.8096666, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 654, 'shrink': 821, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8334241465321248, 'tversky_beta': 0.16424176931837667} - results: ROC_AUC: 0.0947327, PRECISION: 0.0195179, PRECISION_RECALL_MIN_DEN: 0.0721304, RECALL: 0.0699531, MAP: 0.0301910, MRR: 0.0648949, NDCG: 0.0474150, F1: 0.0305189, HIT_RATE: 0.1951787, ARHR: 0.0723683, NOVELTY: 0.0052897, AVERAGE_POPULARITY: 0.0176714, DIVERSITY_MEAN_INTER_LIST: 0.9969739, DIVERSITY_HERFINDAHL: 0.9996798, COVERAGE_ITEM: 0.4980712, COVERAGE_ITEM_CORRECT: 0.0370125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1124953, DIVERSITY_GINI: 0.2147650, SHANNON_ENTROPY: 12.6830581, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 950, 'shrink': 782, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9232660277643114, 'tversky_beta': 0.7869624253717842} - results: ROC_AUC: 0.0922405, PRECISION: 0.0192311, PRECISION_RECALL_MIN_DEN: 0.0714834, RECALL: 0.0693743, MAP: 0.0299363, MRR: 0.0637694, NDCG: 0.0469196, F1: 0.0301128, HIT_RATE: 0.1923112, ARHR: 0.0710585, NOVELTY: 0.0052873, AVERAGE_POPULARITY: 0.0177277, DIVERSITY_MEAN_INTER_LIST: 0.9967413, DIVERSITY_HERFINDAHL: 0.9996565, COVERAGE_ITEM: 0.4869143, COVERAGE_ITEM_CORRECT: 0.0362733, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1105323, DIVERSITY_GINI: 0.2053235, SHANNON_ENTROPY: 12.6090305, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 806, 'shrink': 216, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4701544565159352, 'tversky_beta': 1.516561884836252} - results: ROC_AUC: 0.0955470, PRECISION: 0.0197153, PRECISION_RECALL_MIN_DEN: 0.0731155, RECALL: 0.0709631, MAP: 0.0309016, MRR: 0.0661112, NDCG: 0.0482825, F1: 0.0308560, HIT_RATE: 0.1971534, ARHR: 0.0738765, NOVELTY: 0.0052878, AVERAGE_POPULARITY: 0.0177656, DIVERSITY_MEAN_INTER_LIST: 0.9970673, DIVERSITY_HERFINDAHL: 0.9996891, COVERAGE_ITEM: 0.5008046, COVERAGE_ITEM_CORRECT: 0.0374822, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1130238, DIVERSITY_GINI: 0.2187964, SHANNON_ENTROPY: 12.7181917, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 128, 'shrink': 628, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.47876866726767064, 'tversky_beta': 0.8190359197960124} - results: ROC_AUC: 0.0996583, PRECISION: 0.0209837, PRECISION_RECALL_MIN_DEN: 0.0761882, RECALL: 0.0737922, MAP: 0.0319868, MRR: 0.0686221, NDCG: 0.0501341, F1: 0.0326749, HIT_RATE: 0.2098368, ARHR: 0.0774166, NOVELTY: 0.0052906, AVERAGE_POPULARITY: 0.0178790, DIVERSITY_MEAN_INTER_LIST: 0.9977177, DIVERSITY_HERFINDAHL: 0.9997541, COVERAGE_ITEM: 0.5541405, COVERAGE_ITEM_CORRECT: 0.0407161, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1181578, DIVERSITY_GINI: 0.2611773, SHANNON_ENTROPY: 12.9875909, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 336, 'shrink': 528, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9975524575382755, 'tversky_beta': 0.25865506083603945} - results: ROC_AUC: 0.0965075, PRECISION: 0.0202096, PRECISION_RECALL_MIN_DEN: 0.0740789, RECALL: 0.0718339, MAP: 0.0306974, MRR: 0.0659823, NDCG: 0.0484372, F1: 0.0315438, HIT_RATE: 0.2020958, ARHR: 0.0739081, NOVELTY: 0.0052854, AVERAGE_POPULARITY: 0.0176695, DIVERSITY_MEAN_INTER_LIST: 0.9973269, DIVERSITY_HERFINDAHL: 0.9997151, COVERAGE_ITEM: 0.5234880, COVERAGE_ITEM_CORRECT: 0.0386449, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1155405, DIVERSITY_GINI: 0.2348322, SHANNON_ENTROPY: 12.8212526, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 316, 'shrink': 982, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8271921171697294, 'tversky_beta': 1.3716536383620876} - results: ROC_AUC: 0.0966181, PRECISION: 0.0202135, PRECISION_RECALL_MIN_DEN: 0.0741742, RECALL: 0.0719337, MAP: 0.0307544, MRR: 0.0661308, NDCG: 0.0485046, F1: 0.0315576, HIT_RATE: 0.2021350, ARHR: 0.0741311, NOVELTY: 0.0052860, AVERAGE_POPULARITY: 0.0177030, DIVERSITY_MEAN_INTER_LIST: 0.9973291, DIVERSITY_HERFINDAHL: 0.9997153, COVERAGE_ITEM: 0.5232339, COVERAGE_ITEM_CORRECT: 0.0386064, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1153895, DIVERSITY_GINI: 0.2349554, SHANNON_ENTROPY: 12.8223363, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 337, 'shrink': 333, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1381803495036837, 'tversky_beta': 1.9885116880265112} - results: ROC_AUC: 0.0972799, PRECISION: 0.0204641, PRECISION_RECALL_MIN_DEN: 0.0747535, RECALL: 0.0724811, MAP: 0.0310374, MRR: 0.0669233, NDCG: 0.0489645, F1: 0.0319158, HIT_RATE: 0.2046406, ARHR: 0.0749618, NOVELTY: 0.0052856, AVERAGE_POPULARITY: 0.0177417, DIVERSITY_MEAN_INTER_LIST: 0.9973484, DIVERSITY_HERFINDAHL: 0.9997172, COVERAGE_ITEM: 0.5211781, COVERAGE_ITEM_CORRECT: 0.0391915, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1168995, DIVERSITY_GINI: 0.2347614, SHANNON_ENTROPY: 12.8252654, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 271, 'shrink': 162, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7984047674628769, 'tversky_beta': 0.42706664053836485} - results: ROC_AUC: 0.0982663, PRECISION: 0.0206657, PRECISION_RECALL_MIN_DEN: 0.0752400, RECALL: 0.0729267, MAP: 0.0315246, MRR: 0.0681758, NDCG: 0.0495425, F1: 0.0322041, HIT_RATE: 0.2066570, ARHR: 0.0765003, NOVELTY: 0.0052846, AVERAGE_POPULARITY: 0.0177235, DIVERSITY_MEAN_INTER_LIST: 0.9975463, DIVERSITY_HERFINDAHL: 0.9997370, COVERAGE_ITEM: 0.5362156, COVERAGE_ITEM_CORRECT: 0.0397690, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1173273, DIVERSITY_GINI: 0.2474488, SHANNON_ENTROPY: 12.9083137, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 316, 'shrink': 360, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8933880920109127, 'tversky_beta': 1.2454030697429503} - results: ROC_AUC: 0.0970491, PRECISION: 0.0202698, PRECISION_RECALL_MIN_DEN: 0.0744002, RECALL: 0.0721537, MAP: 0.0308990, MRR: 0.0665173, NDCG: 0.0487036, F1: 0.0316479, HIT_RATE: 0.2026981, ARHR: 0.0745247, NOVELTY: 0.0052849, AVERAGE_POPULARITY: 0.0177152, DIVERSITY_MEAN_INTER_LIST: 0.9973556, DIVERSITY_HERFINDAHL: 0.9997179, COVERAGE_ITEM: 0.5232339, COVERAGE_ITEM_CORRECT: 0.0388219, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1158676, DIVERSITY_GINI: 0.2357214, SHANNON_ENTROPY: 12.8298454, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 990, 'shrink': 32, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.07371963178191422, 'tversky_beta': 1.6688535611408322} - results: ROC_AUC: 0.0908719, PRECISION: 0.0188529, PRECISION_RECALL_MIN_DEN: 0.0701198, RECALL: 0.0680417, MAP: 0.0292871, MRR: 0.0622805, NDCG: 0.0459086, F1: 0.0295231, HIT_RATE: 0.1885287, ARHR: 0.0694320, NOVELTY: 0.0052926, AVERAGE_POPULARITY: 0.0179712, DIVERSITY_MEAN_INTER_LIST: 0.9965351, DIVERSITY_HERFINDAHL: 0.9996359, COVERAGE_ITEM: 0.4760654, COVERAGE_ITEM_CORRECT: 0.0357498, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1087203, DIVERSITY_GINI: 0.1984157, SHANNON_ENTROPY: 12.5529545, 
