
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 464, 'shrink': 145, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1792105, PRECISION: 0.0390776, PRECISION_RECALL_MIN_DEN: 0.1386302, RECALL: 0.1344722, MAP: 0.0641837, MRR: 0.1330770, NDCG: 0.0964316, F1: 0.0605565, HIT_RATE: 0.3907764, ARHR: 0.1548275, NOVELTY: 0.0051884, AVERAGE_POPULARITY: 0.0468728, DIVERSITY_MEAN_INTER_LIST: 0.9968004, DIVERSITY_HERFINDAHL: 0.9996624, COVERAGE_ITEM: 0.6100096, COVERAGE_ITEM_CORRECT: 0.0605736, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025670, DIVERSITY_GINI: 0.2794830, SHANNON_ENTROPY: 12.9490733, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 818, 'shrink': 180, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1778516, PRECISION: 0.0373427, PRECISION_RECALL_MIN_DEN: 0.1381810, RECALL: 0.1344924, MAP: 0.0636467, MRR: 0.1308247, NDCG: 0.0956737, F1: 0.0584526, HIT_RATE: 0.3734272, ARHR: 0.1501940, NOVELTY: 0.0046409, AVERAGE_POPULARITY: 0.1407451, DIVERSITY_MEAN_INTER_LIST: 0.9709704, DIVERSITY_HERFINDAHL: 0.9970799, COVERAGE_ITEM: 0.3935861, COVERAGE_ITEM_CORRECT: 0.0423330, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1992198, DIVERSITY_GINI: 0.1070312, SHANNON_ENTROPY: 10.7739754, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 209, 'shrink': 807, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1611176, PRECISION: 0.0354486, PRECISION_RECALL_MIN_DEN: 0.1228231, RECALL: 0.1187655, MAP: 0.0573051, MRR: 0.1196100, NDCG: 0.0858603, F1: 0.0545996, HIT_RATE: 0.3544858, ARHR: 0.1390966, NOVELTY: 0.0053266, AVERAGE_POPULARITY: 0.0279171, DIVERSITY_MEAN_INTER_LIST: 0.9983256, DIVERSITY_HERFINDAHL: 0.9998149, COVERAGE_ITEM: 0.6469374, COVERAGE_ITEM_CORRECT: 0.0614206, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1835913, DIVERSITY_GINI: 0.3274690, SHANNON_ENTROPY: 13.3136281, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 497, 'shrink': 517, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1885552, PRECISION: 0.0415380, PRECISION_RECALL_MIN_DEN: 0.1464037, RECALL: 0.1418750, MAP: 0.0676664, MRR: 0.1401403, NDCG: 0.1017129, F1: 0.0642603, HIT_RATE: 0.4153797, ARHR: 0.1638775, NOVELTY: 0.0050383, AVERAGE_POPULARITY: 0.0637230, DIVERSITY_MEAN_INTER_LIST: 0.9945875, DIVERSITY_HERFINDAHL: 0.9994412, COVERAGE_ITEM: 0.5529702, COVERAGE_ITEM_CORRECT: 0.0591415, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2122310, DIVERSITY_GINI: 0.2230948, SHANNON_ENTROPY: 12.4890277, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 116, 'shrink': 496, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1642287, PRECISION: 0.0341266, PRECISION_RECALL_MIN_DEN: 0.1225870, RECALL: 0.1189490, MAP: 0.0582643, MRR: 0.1226958, NDCG: 0.0868587, F1: 0.0530345, HIT_RATE: 0.3412655, ARHR: 0.1404652, NOVELTY: 0.0047227, AVERAGE_POPULARITY: 0.1232262, DIVERSITY_MEAN_INTER_LIST: 0.9782458, DIVERSITY_HERFINDAHL: 0.9978073, COVERAGE_ITEM: 0.4191954, COVERAGE_ITEM_CORRECT: 0.0386833, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1821316, DIVERSITY_GINI: 0.1230295, SHANNON_ENTROPY: 11.1144438, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 481, 'shrink': 713, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1623194, PRECISION: 0.0335362, PRECISION_RECALL_MIN_DEN: 0.1217507, RECALL: 0.1182765, MAP: 0.0570459, MRR: 0.1200299, NDCG: 0.0855138, F1: 0.0522541, HIT_RATE: 0.3353623, ARHR: 0.1370723, NOVELTY: 0.0046458, AVERAGE_POPULARITY: 0.1394353, DIVERSITY_MEAN_INTER_LIST: 0.9710057, DIVERSITY_HERFINDAHL: 0.9970834, COVERAGE_ITEM: 0.3750221, COVERAGE_ITEM_CORRECT: 0.0361270, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1806216, DIVERSITY_GINI: 0.0993580, SHANNON_ENTROPY: 10.7145464, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 244, 'shrink': 179, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1798769, PRECISION: 0.0380004, PRECISION_RECALL_MIN_DEN: 0.1394464, RECALL: 0.1356284, MAP: 0.0645276, MRR: 0.1328949, NDCG: 0.0968257, F1: 0.0593657, HIT_RATE: 0.3800041, ARHR: 0.1529573, NOVELTY: 0.0046864, AVERAGE_POPULARITY: 0.1305223, DIVERSITY_MEAN_INTER_LIST: 0.9755387, DIVERSITY_HERFINDAHL: 0.9975366, COVERAGE_ITEM: 0.4148989, COVERAGE_ITEM_CORRECT: 0.0444273, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2015855, DIVERSITY_GINI: 0.1196659, SHANNON_ENTROPY: 11.0057427, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 739, 'shrink': 458, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1884671, PRECISION: 0.0415764, PRECISION_RECALL_MIN_DEN: 0.1466163, RECALL: 0.1421330, MAP: 0.0675017, MRR: 0.1400046, NDCG: 0.1016822, F1: 0.0643329, HIT_RATE: 0.4157643, ARHR: 0.1635638, NOVELTY: 0.0050437, AVERAGE_POPULARITY: 0.0628282, DIVERSITY_MEAN_INTER_LIST: 0.9946980, DIVERSITY_HERFINDAHL: 0.9994522, COVERAGE_ITEM: 0.5551261, COVERAGE_ITEM_CORRECT: 0.0592108, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2131622, DIVERSITY_GINI: 0.2246721, SHANNON_ENTROPY: 12.5033422, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 814, 'shrink': 119, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1778824, PRECISION: 0.0373321, PRECISION_RECALL_MIN_DEN: 0.1381493, RECALL: 0.1344662, MAP: 0.0636610, MRR: 0.1309021, NDCG: 0.0956835, F1: 0.0584372, HIT_RATE: 0.3733208, ARHR: 0.1502661, NOVELTY: 0.0046411, AVERAGE_POPULARITY: 0.1407091, DIVERSITY_MEAN_INTER_LIST: 0.9709922, DIVERSITY_HERFINDAHL: 0.9970821, COVERAGE_ITEM: 0.3936477, COVERAGE_ITEM_CORRECT: 0.0423099, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991695, DIVERSITY_GINI: 0.1070800, SHANNON_ENTROPY: 10.7749105, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 489, 'shrink': 929, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1790690, PRECISION: 0.0377879, PRECISION_RECALL_MIN_DEN: 0.1394458, RECALL: 0.1356813, MAP: 0.0641438, MRR: 0.1319204, NDCG: 0.0964516, F1: 0.0591103, HIT_RATE: 0.3778793, ARHR: 0.1516005, NOVELTY: 0.0046592, AVERAGE_POPULARITY: 0.1364105, DIVERSITY_MEAN_INTER_LIST: 0.9729752, DIVERSITY_HERFINDAHL: 0.9972803, COVERAGE_ITEM: 0.4020250, COVERAGE_ITEM_CORRECT: 0.0434110, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2011828, DIVERSITY_GINI: 0.1119518, SHANNON_ENTROPY: 10.8694315, 
