
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 276, 'shrink': 98, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1671229, PRECISION: 0.0363806, PRECISION_RECALL_MIN_DEN: 0.1284184, RECALL: 0.1242144, MAP: 0.0577257, MRR: 0.1222774, NDCG: 0.0879082, F1: 0.0562752, HIT_RATE: 0.3638060, ARHR: 0.1414696, NOVELTY: 0.0050393, AVERAGE_POPULARITY: 0.0579671, DIVERSITY_MEAN_INTER_LIST: 0.9948592, DIVERSITY_HERFINDAHL: 0.9994683, COVERAGE_ITEM: 0.5146795, COVERAGE_ITEM_CORRECT: 0.0523118, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1918460, DIVERSITY_GINI: 0.2143035, SHANNON_ENTROPY: 12.5054151, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 713, 'shrink': 958, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1668188, PRECISION: 0.0351576, PRECISION_RECALL_MIN_DEN: 0.1247589, RECALL: 0.1207010, MAP: 0.0572299, MRR: 0.1223135, NDCG: 0.0865762, F1: 0.0544535, HIT_RATE: 0.3515756, ARHR: 0.1401284, NOVELTY: 0.0049170, AVERAGE_POPULARITY: 0.0825886, DIVERSITY_MEAN_INTER_LIST: 0.9891051, DIVERSITY_HERFINDAHL: 0.9988930, COVERAGE_ITEM: 0.4471222, COVERAGE_ITEM_CORRECT: 0.0450125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1875676, DIVERSITY_GINI: 0.1575043, SHANNON_ENTROPY: 11.8414171, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 737, 'shrink': 240, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1671379, PRECISION: 0.0354263, PRECISION_RECALL_MIN_DEN: 0.1260706, RECALL: 0.1220264, MAP: 0.0571761, MRR: 0.1218123, NDCG: 0.0868548, F1: 0.0549103, HIT_RATE: 0.3542627, ARHR: 0.1399924, NOVELTY: 0.0049763, AVERAGE_POPULARITY: 0.0692452, DIVERSITY_MEAN_INTER_LIST: 0.9923401, DIVERSITY_HERFINDAHL: 0.9992165, COVERAGE_ITEM: 0.4622445, COVERAGE_ITEM_CORRECT: 0.0476381, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1888763, DIVERSITY_GINI: 0.1731649, SHANNON_ENTROPY: 12.1080151, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 767, 'shrink': 249, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1669142, PRECISION: 0.0354258, PRECISION_RECALL_MIN_DEN: 0.1260495, RECALL: 0.1219905, MAP: 0.0571819, MRR: 0.1219219, NDCG: 0.0868558, F1: 0.0549060, HIT_RATE: 0.3542584, ARHR: 0.1401241, NOVELTY: 0.0049735, AVERAGE_POPULARITY: 0.0697420, DIVERSITY_MEAN_INTER_LIST: 0.9922113, DIVERSITY_HERFINDAHL: 0.9992036, COVERAGE_ITEM: 0.4606198, COVERAGE_ITEM_CORRECT: 0.0475765, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1887505, DIVERSITY_GINI: 0.1717446, SHANNON_ENTROPY: 12.0916270, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 396, 'shrink': 616, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1685592, PRECISION: 0.0359345, PRECISION_RECALL_MIN_DEN: 0.1269158, RECALL: 0.1227535, MAP: 0.0579797, MRR: 0.1237699, NDCG: 0.0878402, F1: 0.0555936, HIT_RATE: 0.3593445, ARHR: 0.1422509, NOVELTY: 0.0049335, AVERAGE_POPULARITY: 0.0789776, DIVERSITY_MEAN_INTER_LIST: 0.9903038, DIVERSITY_HERFINDAHL: 0.9990129, COVERAGE_ITEM: 0.4664254, COVERAGE_ITEM_CORRECT: 0.0472223, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1908141, DIVERSITY_GINI: 0.1715530, SHANNON_ENTROPY: 11.9935001, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 313, 'shrink': 391, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1690359, PRECISION: 0.0364254, PRECISION_RECALL_MIN_DEN: 0.1284666, RECALL: 0.1242350, MAP: 0.0585821, MRR: 0.1246155, NDCG: 0.0887360, F1: 0.0563324, HIT_RATE: 0.3642540, ARHR: 0.1436771, NOVELTY: 0.0049513, AVERAGE_POPULARITY: 0.0749926, DIVERSITY_MEAN_INTER_LIST: 0.9913705, DIVERSITY_HERFINDAHL: 0.9991195, COVERAGE_ITEM: 0.4778903, COVERAGE_ITEM_CORRECT: 0.0486930, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1919970, DIVERSITY_GINI: 0.1807533, SHANNON_ENTROPY: 12.1050762, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 228, 'shrink': 527, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1704050, PRECISION: 0.0367541, PRECISION_RECALL_MIN_DEN: 0.1293485, RECALL: 0.1250441, MAP: 0.0589361, MRR: 0.1257436, NDCG: 0.0893056, F1: 0.0568084, HIT_RATE: 0.3675406, ARHR: 0.1450985, NOVELTY: 0.0049397, AVERAGE_POPULARITY: 0.0775617, DIVERSITY_MEAN_INTER_LIST: 0.9908901, DIVERSITY_HERFINDAHL: 0.9990715, COVERAGE_ITEM: 0.4855515, COVERAGE_ITEM_CORRECT: 0.0489009, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1939852, DIVERSITY_GINI: 0.1843934, SHANNON_ENTROPY: 12.1018767, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 587, 'shrink': 336, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1682293, PRECISION: 0.0356238, PRECISION_RECALL_MIN_DEN: 0.1262005, RECALL: 0.1221196, MAP: 0.0577400, MRR: 0.1230676, NDCG: 0.0874191, F1: 0.0551567, HIT_RATE: 0.3562379, ARHR: 0.1413720, NOVELTY: 0.0049555, AVERAGE_POPULARITY: 0.0733620, DIVERSITY_MEAN_INTER_LIST: 0.9915024, DIVERSITY_HERFINDAHL: 0.9991327, COVERAGE_ITEM: 0.4616439, COVERAGE_ITEM_CORRECT: 0.0472916, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1897068, DIVERSITY_GINI: 0.1707938, SHANNON_ENTROPY: 12.0484647, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 714, 'shrink': 958, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1668176, PRECISION: 0.0351541, PRECISION_RECALL_MIN_DEN: 0.1246883, RECALL: 0.1206275, MAP: 0.0572318, MRR: 0.1223232, NDCG: 0.0865632, F1: 0.0544419, HIT_RATE: 0.3515409, ARHR: 0.1401298, NOVELTY: 0.0049169, AVERAGE_POPULARITY: 0.0825941, DIVERSITY_MEAN_INTER_LIST: 0.9891041, DIVERSITY_HERFINDAHL: 0.9988929, COVERAGE_ITEM: 0.4470298, COVERAGE_ITEM_CORRECT: 0.0450125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1875676, DIVERSITY_GINI: 0.1574841, SHANNON_ENTROPY: 11.8412500, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 264, 'shrink': 843, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1692289, PRECISION: 0.0364078, PRECISION_RECALL_MIN_DEN: 0.1282252, RECALL: 0.1239372, MAP: 0.0587273, MRR: 0.1252390, NDCG: 0.0888035, F1: 0.0562809, HIT_RATE: 0.3640784, ARHR: 0.1443341, NOVELTY: 0.0049256, AVERAGE_POPULARITY: 0.0810639, DIVERSITY_MEAN_INTER_LIST: 0.9899598, DIVERSITY_HERFINDAHL: 0.9989785, COVERAGE_ITEM: 0.4780751, COVERAGE_ITEM_CORRECT: 0.0475765, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916698, DIVERSITY_GINI: 0.1776968, SHANNON_ENTROPY: 12.0156579, 
