
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 809, 'shrink': 625, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1451631, PRECISION: 0.0295321, PRECISION_RECALL_MIN_DEN: 0.1035609, RECALL: 0.1003108, MAP: 0.0484325, MRR: 0.1065495, NDCG: 0.0733570, F1: 0.0456297, HIT_RATE: 0.2953214, ARHR: 0.1214638, NOVELTY: 0.0047301, AVERAGE_POPULARITY: 0.1370147, DIVERSITY_MEAN_INTER_LIST: 0.9708214, DIVERSITY_HERFINDAHL: 0.9970650, COVERAGE_ITEM: 0.4011396, COVERAGE_ITEM_CORRECT: 0.0288816, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1599597, DIVERSITY_GINI: 0.1070040, SHANNON_ENTROPY: 10.7250957, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 68, 'shrink': 965, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0797689, PRECISION: 0.0166953, PRECISION_RECALL_MIN_DEN: 0.0589918, RECALL: 0.0569757, MAP: 0.0269029, MRR: 0.0570277, NDCG: 0.0406827, F1: 0.0258232, HIT_RATE: 0.1669528, ARHR: 0.0648945, NOVELTY: 0.0059065, AVERAGE_POPULARITY: 0.0091992, DIVERSITY_MEAN_INTER_LIST: 0.9986403, DIVERSITY_HERFINDAHL: 0.9998464, COVERAGE_ITEM: 0.7022599, COVERAGE_ITEM_CORRECT: 0.0347488, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0912042, DIVERSITY_GINI: 0.4393890, SHANNON_ENTROPY: 13.7408793, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 307, 'shrink': 619, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1462283, PRECISION: 0.0300476, PRECISION_RECALL_MIN_DEN: 0.1045179, RECALL: 0.1010840, MAP: 0.0494171, MRR: 0.1084969, NDCG: 0.0743973, F1: 0.0463225, HIT_RATE: 0.3004764, ARHR: 0.1240960, NOVELTY: 0.0047774, AVERAGE_POPULARITY: 0.1287184, DIVERSITY_MEAN_INTER_LIST: 0.9747843, DIVERSITY_HERFINDAHL: 0.9974612, COVERAGE_ITEM: 0.4200654, COVERAGE_ITEM_CORRECT: 0.0302830, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1613942, DIVERSITY_GINI: 0.1186370, SHANNON_ENTROPY: 10.9291039, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 189, 'shrink': 660, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0813393, PRECISION: 0.0171438, PRECISION_RECALL_MIN_DEN: 0.0604926, RECALL: 0.0585492, MAP: 0.0273274, MRR: 0.0579788, NDCG: 0.0415571, F1: 0.0265207, HIT_RATE: 0.1714384, ARHR: 0.0659190, NOVELTY: 0.0058723, AVERAGE_POPULARITY: 0.0098406, DIVERSITY_MEAN_INTER_LIST: 0.9986803, DIVERSITY_HERFINDAHL: 0.9998504, COVERAGE_ITEM: 0.7163195, COVERAGE_ITEM_CORRECT: 0.0355573, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0943752, DIVERSITY_GINI: 0.4495143, SHANNON_ENTROPY: 13.7714686, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 390, 'shrink': 98, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1488866, PRECISION: 0.0309484, PRECISION_RECALL_MIN_DEN: 0.1065829, RECALL: 0.1029591, MAP: 0.0502768, MRR: 0.1106959, NDCG: 0.0757824, F1: 0.0475896, HIT_RATE: 0.3094835, ARHR: 0.1272200, NOVELTY: 0.0048272, AVERAGE_POPULARITY: 0.1114035, DIVERSITY_MEAN_INTER_LIST: 0.9813007, DIVERSITY_HERFINDAHL: 0.9981127, COVERAGE_ITEM: 0.4210972, COVERAGE_ITEM_CORRECT: 0.0323619, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1648924, DIVERSITY_GINI: 0.1216938, SHANNON_ENTROPY: 11.1438222, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 694, 'shrink': 502, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0831674, PRECISION: 0.0175708, PRECISION_RECALL_MIN_DEN: 0.0609091, RECALL: 0.0588619, MAP: 0.0276212, MRR: 0.0591572, NDCG: 0.0420748, F1: 0.0270608, HIT_RATE: 0.1757085, ARHR: 0.0672792, NOVELTY: 0.0058410, AVERAGE_POPULARITY: 0.0105193, DIVERSITY_MEAN_INTER_LIST: 0.9987066, DIVERSITY_HERFINDAHL: 0.9998530, COVERAGE_ITEM: 0.7248739, COVERAGE_ITEM_CORRECT: 0.0363041, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0967157, DIVERSITY_GINI: 0.4541857, SHANNON_ENTROPY: 13.7865327, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 829, 'shrink': 836, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0832859, PRECISION: 0.0176237, PRECISION_RECALL_MIN_DEN: 0.0611042, RECALL: 0.0590460, MAP: 0.0275828, MRR: 0.0591752, NDCG: 0.0420770, F1: 0.0271429, HIT_RATE: 0.1762375, ARHR: 0.0672402, NOVELTY: 0.0058387, AVERAGE_POPULARITY: 0.0105771, DIVERSITY_MEAN_INTER_LIST: 0.9987075, DIVERSITY_HERFINDAHL: 0.9998531, COVERAGE_ITEM: 0.7263908, COVERAGE_ITEM_CORRECT: 0.0363965, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0969422, DIVERSITY_GINI: 0.4550966, SHANNON_ENTROPY: 13.7892494, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'topK': 921, 'shrink': 74, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1538375, PRECISION: 0.0315614, PRECISION_RECALL_MIN_DEN: 0.1133235, RECALL: 0.1099975, MAP: 0.0526381, MRR: 0.1130141, NDCG: 0.0795273, F1: 0.0490466, HIT_RATE: 0.3156142, ARHR: 0.1287538, NOVELTY: 0.0045782, AVERAGE_POPULARITY: 0.1551160, DIVERSITY_MEAN_INTER_LIST: 0.9645362, DIVERSITY_HERFINDAHL: 0.9964366, COVERAGE_ITEM: 0.3225332, COVERAGE_ITEM_CORRECT: 0.0302522, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1710331, DIVERSITY_GINI: 0.0743727, SHANNON_ENTROPY: 10.2611670, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 135, 'shrink': 120, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1483677, PRECISION: 0.0308600, PRECISION_RECALL_MIN_DEN: 0.1050374, RECALL: 0.1013816, MAP: 0.0500986, MRR: 0.1107985, NDCG: 0.0753204, F1: 0.0473161, HIT_RATE: 0.3086001, ARHR: 0.1273468, NOVELTY: 0.0048660, AVERAGE_POPULARITY: 0.1073879, DIVERSITY_MEAN_INTER_LIST: 0.9829756, DIVERSITY_HERFINDAHL: 0.9982802, COVERAGE_ITEM: 0.4379365, COVERAGE_ITEM_CORRECT: 0.0327392, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1633824, DIVERSITY_GINI: 0.1323180, SHANNON_ENTROPY: 11.2795288, 
