
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 925, 'shrink': 642, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1462622, PRECISION: 0.0298564, PRECISION_RECALL_MIN_DEN: 0.1041137, RECALL: 0.1007790, MAP: 0.0488356, MRR: 0.1076589, NDCG: 0.0738432, F1: 0.0460642, HIT_RATE: 0.2985639, ARHR: 0.1229179, NOVELTY: 0.0047420, AVERAGE_POPULARITY: 0.1290695, DIVERSITY_MEAN_INTER_LIST: 0.9738426, DIVERSITY_HERFINDAHL: 0.9973671, COVERAGE_ITEM: 0.4006853, COVERAGE_ITEM_CORRECT: 0.0296747, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1610167, DIVERSITY_GINI: 0.1070580, SHANNON_ENTROPY: 10.7814942, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 267, 'shrink': 793, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1472962, PRECISION: 0.0302951, PRECISION_RECALL_MIN_DEN: 0.1052328, RECALL: 0.1017458, MAP: 0.0497765, MRR: 0.1095102, NDCG: 0.0748999, F1: 0.0466872, HIT_RATE: 0.3029509, ARHR: 0.1252315, NOVELTY: 0.0047925, AVERAGE_POPULARITY: 0.1227880, DIVERSITY_MEAN_INTER_LIST: 0.9768477, DIVERSITY_HERFINDAHL: 0.9976675, COVERAGE_ITEM: 0.4239692, COVERAGE_ITEM_CORRECT: 0.0307680, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1622751, DIVERSITY_GINI: 0.1211576, SHANNON_ENTROPY: 10.9981643, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 854, 'shrink': 998, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1455016, PRECISION: 0.0297083, PRECISION_RECALL_MIN_DEN: 0.1037054, RECALL: 0.1003991, MAP: 0.0486162, MRR: 0.1070479, NDCG: 0.0735525, F1: 0.0458484, HIT_RATE: 0.2970833, ARHR: 0.1221395, NOVELTY: 0.0047335, AVERAGE_POPULARITY: 0.1333904, DIVERSITY_MEAN_INTER_LIST: 0.9722109, DIVERSITY_HERFINDAHL: 0.9972039, COVERAGE_ITEM: 0.4014321, COVERAGE_ITEM_CORRECT: 0.0291973, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1604127, DIVERSITY_GINI: 0.1070479, SHANNON_ENTROPY: 10.7476271, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 165, 'shrink': 55, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1473197, PRECISION: 0.0313060, PRECISION_RECALL_MIN_DEN: 0.1056558, RECALL: 0.1018883, MAP: 0.0489324, MRR: 0.1083918, NDCG: 0.0744106, F1: 0.0478940, HIT_RATE: 0.3130602, ARHR: 0.1252199, NOVELTY: 0.0049978, AVERAGE_POPULARITY: 0.0806017, DIVERSITY_MEAN_INTER_LIST: 0.9904540, DIVERSITY_HERFINDAHL: 0.9990279, COVERAGE_ITEM: 0.4659403, COVERAGE_ITEM_CORRECT: 0.0376901, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1649931, DIVERSITY_GINI: 0.1580122, SHANNON_ENTROPY: 11.8226899, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 362, 'shrink': 8, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1282217, PRECISION: 0.0275114, PRECISION_RECALL_MIN_DEN: 0.0944917, RECALL: 0.0913396, MAP: 0.0424090, MRR: 0.0930605, NDCG: 0.0652198, F1: 0.0422847, HIT_RATE: 0.2751137, ARHR: 0.1071916, NOVELTY: 0.0053323, AVERAGE_POPULARITY: 0.0453397, DIVERSITY_MEAN_INTER_LIST: 0.9961803, DIVERSITY_HERFINDAHL: 0.9996004, COVERAGE_ITEM: 0.5622483, COVERAGE_ITEM_CORRECT: 0.0406545, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1468982, DIVERSITY_GINI: 0.2485920, SHANNON_ENTROPY: 12.7689114, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 181, 'shrink': 3, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1211010, PRECISION: 0.0263633, PRECISION_RECALL_MIN_DEN: 0.0884167, RECALL: 0.0852560, MAP: 0.0392987, MRR: 0.0875121, NDCG: 0.0608765, F1: 0.0402725, HIT_RATE: 0.2636325, ARHR: 0.1009543, NOVELTY: 0.0055066, AVERAGE_POPULARITY: 0.0366605, DIVERSITY_MEAN_INTER_LIST: 0.9970190, DIVERSITY_HERFINDAHL: 0.9996843, COVERAGE_ITEM: 0.6074918, COVERAGE_ITEM_CORRECT: 0.0408932, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1401787, DIVERSITY_GINI: 0.3008278, SHANNON_ENTROPY: 13.0828415, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 583, 'shrink': 829, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1462784, PRECISION: 0.0300544, PRECISION_RECALL_MIN_DEN: 0.1044360, RECALL: 0.1010339, MAP: 0.0489403, MRR: 0.1082142, NDCG: 0.0740734, F1: 0.0463260, HIT_RATE: 0.3005443, ARHR: 0.1236735, NOVELTY: 0.0047563, AVERAGE_POPULARITY: 0.1280800, DIVERSITY_MEAN_INTER_LIST: 0.9744264, DIVERSITY_HERFINDAHL: 0.9974254, COVERAGE_ITEM: 0.4085005, COVERAGE_ITEM_CORRECT: 0.0300751, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1617969, DIVERSITY_GINI: 0.1114646, SHANNON_ENTROPY: 10.8449562, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 606, 'shrink': 490, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1466178, PRECISION: 0.0302310, PRECISION_RECALL_MIN_DEN: 0.1048138, RECALL: 0.1013811, MAP: 0.0490991, MRR: 0.1088050, NDCG: 0.0743465, F1: 0.0465724, HIT_RATE: 0.3023098, ARHR: 0.1243753, NOVELTY: 0.0047700, AVERAGE_POPULARITY: 0.1225216, DIVERSITY_MEAN_INTER_LIST: 0.9764521, DIVERSITY_HERFINDAHL: 0.9976280, COVERAGE_ITEM: 0.4088778, COVERAGE_ITEM_CORRECT: 0.0305679, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1623757, DIVERSITY_GINI: 0.1121472, SHANNON_ENTROPY: 10.9015589, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 559, 'shrink': 970, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1457744, PRECISION: 0.0300084, PRECISION_RECALL_MIN_DEN: 0.1044163, RECALL: 0.1010289, MAP: 0.0489244, MRR: 0.1081186, NDCG: 0.0740240, F1: 0.0462712, HIT_RATE: 0.3000842, ARHR: 0.1235925, NOVELTY: 0.0047546, AVERAGE_POPULARITY: 0.1292499, DIVERSITY_MEAN_INTER_LIST: 0.9740407, DIVERSITY_HERFINDAHL: 0.9973869, COVERAGE_ITEM: 0.4088393, COVERAGE_ITEM_CORRECT: 0.0299750, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1613439, DIVERSITY_GINI: 0.1115827, SHANNON_ENTROPY: 10.8385538, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 24, 'shrink': 248, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1432123, PRECISION: 0.0293097, PRECISION_RECALL_MIN_DEN: 0.0997808, RECALL: 0.0963603, MAP: 0.0480155, MRR: 0.1061725, NDCG: 0.0719569, F1: 0.0449466, HIT_RATE: 0.2930965, ARHR: 0.1216061, NOVELTY: 0.0049537, AVERAGE_POPULARITY: 0.0932434, DIVERSITY_MEAN_INTER_LIST: 0.9866177, DIVERSITY_HERFINDAHL: 0.9986443, COVERAGE_ITEM: 0.4636612, COVERAGE_ITEM_CORRECT: 0.0331396, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1560589, DIVERSITY_GINI: 0.1520119, SHANNON_ENTROPY: 11.5878339, 
