
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 23, 'shrink': 733, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1412165, PRECISION: 0.0289030, PRECISION_RECALL_MIN_DEN: 0.0992443, RECALL: 0.0959765, MAP: 0.0476690, MRR: 0.1051486, NDCG: 0.0714877, F1: 0.0444251, HIT_RATE: 0.2890301, ARHR: 0.1199991, NOVELTY: 0.0049343, AVERAGE_POPULARITY: 0.0992478, DIVERSITY_MEAN_INTER_LIST: 0.9846879, DIVERSITY_HERFINDAHL: 0.9984514, COVERAGE_ITEM: 0.4625371, COVERAGE_ITEM_CORRECT: 0.0318614, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1545741, DIVERSITY_GINI: 0.1501634, SHANNON_ENTROPY: 11.4992019, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 634, 'shrink': 331, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1469534, PRECISION: 0.0303826, PRECISION_RECALL_MIN_DEN: 0.1047794, RECALL: 0.1013154, MAP: 0.0492830, MRR: 0.1092775, NDCG: 0.0745627, F1: 0.0467447, HIT_RATE: 0.3038256, ARHR: 0.1249894, NOVELTY: 0.0047839, AVERAGE_POPULARITY: 0.1176975, DIVERSITY_MEAN_INTER_LIST: 0.9782354, DIVERSITY_HERFINDAHL: 0.9978063, COVERAGE_ITEM: 0.4089317, COVERAGE_ITEM_CORRECT: 0.0310452, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1627784, DIVERSITY_GINI: 0.1129089, SHANNON_ENTROPY: 10.9588707, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 675, 'shrink': 675, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1464733, PRECISION: 0.0299196, PRECISION_RECALL_MIN_DEN: 0.1040786, RECALL: 0.1007233, MAP: 0.0489703, MRR: 0.1082066, NDCG: 0.0740298, F1: 0.0461328, HIT_RATE: 0.2991963, ARHR: 0.1235120, NOVELTY: 0.0047525, AVERAGE_POPULARITY: 0.1279081, DIVERSITY_MEAN_INTER_LIST: 0.9743202, DIVERSITY_HERFINDAHL: 0.9974148, COVERAGE_ITEM: 0.4049432, COVERAGE_ITEM_CORRECT: 0.0299288, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1612432, DIVERSITY_GINI: 0.1096459, SHANNON_ENTROPY: 10.8247278, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 411, 'shrink': 992, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1466020, PRECISION: 0.0301142, PRECISION_RECALL_MIN_DEN: 0.1045811, RECALL: 0.1011659, MAP: 0.0493056, MRR: 0.1088711, NDCG: 0.0744022, F1: 0.0464116, HIT_RATE: 0.3011419, ARHR: 0.1244156, NOVELTY: 0.0047674, AVERAGE_POPULARITY: 0.1279344, DIVERSITY_MEAN_INTER_LIST: 0.9746192, DIVERSITY_HERFINDAHL: 0.9974447, COVERAGE_ITEM: 0.4156381, COVERAGE_ITEM_CORRECT: 0.0302291, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1617969, DIVERSITY_GINI: 0.1155769, SHANNON_ENTROPY: 10.8938928, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 671, 'shrink': 666, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1463088, PRECISION: 0.0299161, PRECISION_RECALL_MIN_DEN: 0.1039879, RECALL: 0.1006262, MAP: 0.0489027, MRR: 0.1080510, NDCG: 0.0739499, F1: 0.0461185, HIT_RATE: 0.2991607, ARHR: 0.1233513, NOVELTY: 0.0047532, AVERAGE_POPULARITY: 0.1276720, DIVERSITY_MEAN_INTER_LIST: 0.9744216, DIVERSITY_HERFINDAHL: 0.9974249, COVERAGE_ITEM: 0.4052050, COVERAGE_ITEM_CORRECT: 0.0299134, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1611174, DIVERSITY_GINI: 0.1097386, SHANNON_ENTROPY: 10.8278211, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 329, 'shrink': 72, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1492031, PRECISION: 0.0313476, PRECISION_RECALL_MIN_DEN: 0.1065052, RECALL: 0.1027408, MAP: 0.0494350, MRR: 0.1095345, NDCG: 0.0750899, F1: 0.0480358, HIT_RATE: 0.3134756, ARHR: 0.1262751, NOVELTY: 0.0049398, AVERAGE_POPULARITY: 0.0875937, DIVERSITY_MEAN_INTER_LIST: 0.9886002, DIVERSITY_HERFINDAHL: 0.9988426, COVERAGE_ITEM: 0.4453513, COVERAGE_ITEM_CORRECT: 0.0362117, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1661759, DIVERSITY_GINI: 0.1422759, SHANNON_ENTROPY: 11.6135918, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 710, 'shrink': 292, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1475915, PRECISION: 0.0304037, PRECISION_RECALL_MIN_DEN: 0.1049024, RECALL: 0.1014745, MAP: 0.0492912, MRR: 0.1092057, NDCG: 0.0746231, F1: 0.0467872, HIT_RATE: 0.3040374, ARHR: 0.1248871, NOVELTY: 0.0047853, AVERAGE_POPULARITY: 0.1165180, DIVERSITY_MEAN_INTER_LIST: 0.9786138, DIVERSITY_HERFINDAHL: 0.9978441, COVERAGE_ITEM: 0.4070606, COVERAGE_ITEM_CORRECT: 0.0310144, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1632566, DIVERSITY_GINI: 0.1122580, SHANNON_ENTROPY: 10.9637953, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 63, 'shrink': 596, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1461068, PRECISION: 0.0303277, PRECISION_RECALL_MIN_DEN: 0.1037598, RECALL: 0.1002178, MAP: 0.0492833, MRR: 0.1088097, NDCG: 0.0741726, F1: 0.0465630, HIT_RATE: 0.3032770, ARHR: 0.1248207, NOVELTY: 0.0048778, AVERAGE_POPULARITY: 0.1087324, DIVERSITY_MEAN_INTER_LIST: 0.9822819, DIVERSITY_HERFINDAHL: 0.9982108, COVERAGE_ITEM: 0.4497863, COVERAGE_ITEM_CORRECT: 0.0321694, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1612432, DIVERSITY_GINI: 0.1392347, SHANNON_ENTROPY: 11.3148951, 
