
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 168, 'alpha': 0.761498004672347, 'beta': 1.2327646382741675, 'normalize_similarity': True} - results: ROC_AUC: 0.0563234, PRECISION: 0.0121280, PRECISION_RECALL_MIN_DEN: 0.0429708, RECALL: 0.0415044, MAP: 0.0185152, MRR: 0.0399187, NDCG: 0.0286624, F1: 0.0187700, HIT_RATE: 0.1212795, ARHR: 0.0456213, NOVELTY: 0.0061158, AVERAGE_POPULARITY: 0.0058532, DIVERSITY_MEAN_INTER_LIST: 0.9981558, DIVERSITY_HERFINDAHL: 0.9997979, COVERAGE_ITEM: 0.5444928, COVERAGE_ITEM_CORRECT: 0.0255938, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0662640, DIVERSITY_GINI: 0.2892982, SHANNON_ENTROPY: 13.1861054, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 841, 'alpha': 0.3928920989943697, 'beta': 1.8608451624743816, 'normalize_similarity': False} - results: ROC_AUC: 0.0474425, PRECISION: 0.0096512, PRECISION_RECALL_MIN_DEN: 0.0315888, RECALL: 0.0303302, MAP: 0.0150092, MRR: 0.0340025, NDCG: 0.0226846, F1: 0.0146421, HIT_RATE: 0.0965117, ARHR: 0.0386828, NOVELTY: 0.0062823, AVERAGE_POPULARITY: 0.0040268, DIVERSITY_MEAN_INTER_LIST: 0.9974158, DIVERSITY_HERFINDAHL: 0.9997240, COVERAGE_ITEM: 0.3538094, COVERAGE_ITEM_CORRECT: 0.0205351, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0529508, DIVERSITY_GINI: 0.1734240, SHANNON_ENTROPY: 12.4925601, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 583, 'alpha': 1.5805721072619527, 'beta': 0.5041446559984694, 'normalize_similarity': True} - results: ROC_AUC: 0.0701422, PRECISION: 0.0150054, PRECISION_RECALL_MIN_DEN: 0.0605554, RECALL: 0.0594420, MAP: 0.0237539, MRR: 0.0470470, NDCG: 0.0379614, F1: 0.0239613, HIT_RATE: 0.1500539, ARHR: 0.0519622, NOVELTY: 0.0057033, AVERAGE_POPULARITY: 0.0174091, DIVERSITY_MEAN_INTER_LIST: 0.9983874, DIVERSITY_HERFINDAHL: 0.9998211, COVERAGE_ITEM: 0.5753686, COVERAGE_ITEM_CORRECT: 0.0297363, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0885366, DIVERSITY_GINI: 0.3291569, SHANNON_ENTROPY: 13.3632840, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 861, 'alpha': 1.7302949573555375, 'beta': 1.4884506078532322, 'normalize_similarity': False} - results: ROC_AUC: 0.0498541, PRECISION: 0.0104217, PRECISION_RECALL_MIN_DEN: 0.0422773, RECALL: 0.0416502, MAP: 0.0171469, MRR: 0.0339283, NDCG: 0.0270936, F1: 0.0166712, HIT_RATE: 0.1042172, ARHR: 0.0374593, NOVELTY: 0.0059962, AVERAGE_POPULARITY: 0.0076347, DIVERSITY_MEAN_INTER_LIST: 0.9984559, DIVERSITY_HERFINDAHL: 0.9998279, COVERAGE_ITEM: 0.5913147, COVERAGE_ITEM_CORRECT: 0.0218287, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0612307, DIVERSITY_GINI: 0.3434935, SHANNON_ENTROPY: 13.4232377, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 121, 'alpha': 0.9301858740525117, 'beta': 1.2490189533090195, 'normalize_similarity': True} - results: ROC_AUC: 0.0550292, PRECISION: 0.0120080, PRECISION_RECALL_MIN_DEN: 0.0430520, RECALL: 0.0416720, MAP: 0.0183635, MRR: 0.0389349, NDCG: 0.0284985, F1: 0.0186431, HIT_RATE: 0.1200799, ARHR: 0.0443706, NOVELTY: 0.0060966, AVERAGE_POPULARITY: 0.0060732, DIVERSITY_MEAN_INTER_LIST: 0.9980720, DIVERSITY_HERFINDAHL: 0.9997896, COVERAGE_ITEM: 0.5392108, COVERAGE_ITEM_CORRECT: 0.0251935, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0659368, DIVERSITY_GINI: 0.2826431, SHANNON_ENTROPY: 13.1463572, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 628, 'alpha': 1.0688894943291036, 'beta': 0.6362798730023397, 'normalize_similarity': True} - results: ROC_AUC: 0.0694082, PRECISION: 0.0156696, PRECISION_RECALL_MIN_DEN: 0.0584667, RECALL: 0.0569251, MAP: 0.0239121, MRR: 0.0482760, NDCG: 0.0376336, F1: 0.0245723, HIT_RATE: 0.1566963, ARHR: 0.0548326, NOVELTY: 0.0058454, AVERAGE_POPULARITY: 0.0117325, DIVERSITY_MEAN_INTER_LIST: 0.9985397, DIVERSITY_HERFINDAHL: 0.9998363, COVERAGE_ITEM: 0.6230067, COVERAGE_ITEM_CORRECT: 0.0318383, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0877564, DIVERSITY_GINI: 0.3741316, SHANNON_ENTROPY: 13.5327303, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 434, 'alpha': 0.9052295502636634, 'beta': 1.2032034654418586, 'normalize_similarity': False} - results: ROC_AUC: 0.0549777, PRECISION: 0.0120786, PRECISION_RECALL_MIN_DEN: 0.0429354, RECALL: 0.0415371, MAP: 0.0185010, MRR: 0.0388318, NDCG: 0.0285725, F1: 0.0187138, HIT_RATE: 0.1207864, ARHR: 0.0444483, NOVELTY: 0.0061061, AVERAGE_POPULARITY: 0.0059058, DIVERSITY_MEAN_INTER_LIST: 0.9982868, DIVERSITY_HERFINDAHL: 0.9998110, COVERAGE_ITEM: 0.5495130, COVERAGE_ITEM_CORRECT: 0.0254090, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0661382, DIVERSITY_GINI: 0.3024645, SHANNON_ENTROPY: 13.2541471, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 990, 'alpha': 0.502443412332184, 'beta': 1.8916852106277597, 'normalize_similarity': False} - results: ROC_AUC: 0.0484980, PRECISION: 0.0099591, PRECISION_RECALL_MIN_DEN: 0.0325864, RECALL: 0.0312920, MAP: 0.0153446, MRR: 0.0348898, NDCG: 0.0232488, F1: 0.0151070, HIT_RATE: 0.0995909, ARHR: 0.0397866, NOVELTY: 0.0062732, AVERAGE_POPULARITY: 0.0041064, DIVERSITY_MEAN_INTER_LIST: 0.9975628, DIVERSITY_HERFINDAHL: 0.9997387, COVERAGE_ITEM: 0.3768470, COVERAGE_ITEM_CORRECT: 0.0212127, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0542846, DIVERSITY_GINI: 0.1841397, SHANNON_ENTROPY: 12.5820989, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 706, 'alpha': 1.4991176347582222, 'beta': 0.6976813044338904, 'normalize_similarity': True} - results: ROC_AUC: 0.0622257, PRECISION: 0.0133199, PRECISION_RECALL_MIN_DEN: 0.0534380, RECALL: 0.0524502, MAP: 0.0215853, MRR: 0.0423093, NDCG: 0.0340151, F1: 0.0212434, HIT_RATE: 0.1331993, ARHR: 0.0470202, NOVELTY: 0.0058188, AVERAGE_POPULARITY: 0.0121175, DIVERSITY_MEAN_INTER_LIST: 0.9984006, DIVERSITY_HERFINDAHL: 0.9998224, COVERAGE_ITEM: 0.5840000, COVERAGE_ITEM_CORRECT: 0.0274341, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0774380, DIVERSITY_GINI: 0.3350500, SHANNON_ENTROPY: 13.3858077, 
