
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 906, 'shrink': 682, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0100071, PRECISION: 0.0021668, PRECISION_RECALL_MIN_DEN: 0.0075907, RECALL: 0.0072596, MAP: 0.0021562, MRR: 0.0059267, NDCG: 0.0041434, F1: 0.0033350, HIT_RATE: 0.0216677, ARHR: 0.0060924, NOVELTY: 0.0053387, AVERAGE_POPULARITY: 0.0111409, DIVERSITY_MEAN_INTER_LIST: 0.9428481, DIVERSITY_HERFINDAHL: 0.9942682, COVERAGE_ITEM: 0.1258133, COVERAGE_ITEM_CORRECT: 0.0039577, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0147477, DIVERSITY_GINI: 0.0183359, SHANNON_ENTROPY: 8.7763235, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 969, 'shrink': 820, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0978514, PRECISION: 0.0208984, PRECISION_RECALL_MIN_DEN: 0.0768203, RECALL: 0.0745713, MAP: 0.0317877, MRR: 0.0662767, NDCG: 0.0500503, F1: 0.0326454, HIT_RATE: 0.2089844, ARHR: 0.0746966, NOVELTY: 0.0052941, AVERAGE_POPULARITY: 0.0170894, DIVERSITY_MEAN_INTER_LIST: 0.9964842, DIVERSITY_HERFINDAHL: 0.9996308, COVERAGE_ITEM: 0.4955457, COVERAGE_ITEM_CORRECT: 0.0398460, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1182585, DIVERSITY_GINI: 0.2128469, SHANNON_ENTROPY: 12.6338890, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 55, 'shrink': 454, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1087025, PRECISION: 0.0233819, PRECISION_RECALL_MIN_DEN: 0.0850473, RECALL: 0.0824171, MAP: 0.0372565, MRR: 0.0770397, NDCG: 0.0569250, F1: 0.0364269, HIT_RATE: 0.2338195, ARHR: 0.0877608, NOVELTY: 0.0052775, AVERAGE_POPULARITY: 0.0181159, DIVERSITY_MEAN_INTER_LIST: 0.9981289, DIVERSITY_HERFINDAHL: 0.9997953, COVERAGE_ITEM: 0.6435265, COVERAGE_ITEM_CORRECT: 0.0455977, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1285265, DIVERSITY_GINI: 0.3275964, SHANNON_ENTROPY: 13.2934512, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 695, 'shrink': 810, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0990867, PRECISION: 0.0212907, PRECISION_RECALL_MIN_DEN: 0.0782027, RECALL: 0.0758918, MAP: 0.0323282, MRR: 0.0677344, NDCG: 0.0509134, F1: 0.0332510, HIT_RATE: 0.2129071, ARHR: 0.0763748, NOVELTY: 0.0052910, AVERAGE_POPULARITY: 0.0171158, DIVERSITY_MEAN_INTER_LIST: 0.9967533, DIVERSITY_HERFINDAHL: 0.9996577, COVERAGE_ITEM: 0.5022137, COVERAGE_ITEM_CORRECT: 0.0406314, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1199195, DIVERSITY_GINI: 0.2187819, SHANNON_ENTROPY: 12.6856386, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 211, 'shrink': 41, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1018686, PRECISION: 0.0220083, PRECISION_RECALL_MIN_DEN: 0.0803399, RECALL: 0.0778293, MAP: 0.0332230, MRR: 0.0700947, NDCG: 0.0522545, F1: 0.0343123, HIT_RATE: 0.2200826, ARHR: 0.0793644, NOVELTY: 0.0052858, AVERAGE_POPULARITY: 0.0171897, DIVERSITY_MEAN_INTER_LIST: 0.9973987, DIVERSITY_HERFINDAHL: 0.9997222, COVERAGE_ITEM: 0.5300327, COVERAGE_ITEM_CORRECT: 0.0422329, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1234680, DIVERSITY_GINI: 0.2430777, SHANNON_ENTROPY: 12.8682582, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 650, 'shrink': 937, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0626840, PRECISION: 0.0125817, PRECISION_RECALL_MIN_DEN: 0.0432667, RECALL: 0.0416260, MAP: 0.0185925, MRR: 0.0433901, NDCG: 0.0293378, F1: 0.0193186, HIT_RATE: 0.1258166, ARHR: 0.0475410, NOVELTY: 0.0053160, AVERAGE_POPULARITY: 0.0172436, DIVERSITY_MEAN_INTER_LIST: 0.9933345, DIVERSITY_HERFINDAHL: 0.9993159, COVERAGE_ITEM: 0.3009124, COVERAGE_ITEM_CORRECT: 0.0230452, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0743929, DIVERSITY_GINI: 0.1045889, SHANNON_ENTROPY: 11.6419815, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 808, 'shrink': 834, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1089582, PRECISION: 0.0232453, PRECISION_RECALL_MIN_DEN: 0.0862658, RECALL: 0.0837792, MAP: 0.0369561, MRR: 0.0763109, NDCG: 0.0570052, F1: 0.0363909, HIT_RATE: 0.2324525, ARHR: 0.0863877, NOVELTY: 0.0052860, AVERAGE_POPULARITY: 0.0180531, DIVERSITY_MEAN_INTER_LIST: 0.9977739, DIVERSITY_HERFINDAHL: 0.9997598, COVERAGE_ITEM: 0.6063292, COVERAGE_ITEM_CORRECT: 0.0446891, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1297597, DIVERSITY_GINI: 0.2914747, SHANNON_ENTROPY: 13.1175727, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 802, 'shrink': 913, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1090287, PRECISION: 0.0233580, PRECISION_RECALL_MIN_DEN: 0.0863219, RECALL: 0.0838038, MAP: 0.0369381, MRR: 0.0764359, NDCG: 0.0570392, F1: 0.0365316, HIT_RATE: 0.2335800, ARHR: 0.0865292, NOVELTY: 0.0052864, AVERAGE_POPULARITY: 0.0180171, DIVERSITY_MEAN_INTER_LIST: 0.9977805, DIVERSITY_HERFINDAHL: 0.9997604, COVERAGE_ITEM: 0.6063985, COVERAGE_ITEM_CORRECT: 0.0448970, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1303637, DIVERSITY_GINI: 0.2915965, SHANNON_ENTROPY: 13.1191313, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 273, 'shrink': 946, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1014630, PRECISION: 0.0220539, PRECISION_RECALL_MIN_DEN: 0.0809823, RECALL: 0.0784619, MAP: 0.0337277, MRR: 0.0705050, NDCG: 0.0526938, F1: 0.0344295, HIT_RATE: 0.2205391, ARHR: 0.0798569, NOVELTY: 0.0052750, AVERAGE_POPULARITY: 0.0181545, DIVERSITY_MEAN_INTER_LIST: 0.9974401, DIVERSITY_HERFINDAHL: 0.9997264, COVERAGE_ITEM: 0.5719269, COVERAGE_ITEM_CORRECT: 0.0427719, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1233925, DIVERSITY_GINI: 0.2610098, SHANNON_ENTROPY: 12.9401633, 
