
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 729, 'shrink': 425, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0938938, PRECISION: 0.0195254, PRECISION_RECALL_MIN_DEN: 0.0721717, RECALL: 0.0700094, MAP: 0.0301318, MRR: 0.0646364, NDCG: 0.0473504, F1: 0.0305329, HIT_RATE: 0.1952537, ARHR: 0.0721920, NOVELTY: 0.0052903, AVERAGE_POPULARITY: 0.0176680, DIVERSITY_MEAN_INTER_LIST: 0.9969276, DIVERSITY_HERFINDAHL: 0.9996751, COVERAGE_ITEM: 0.4947064, COVERAGE_ITEM_CORRECT: 0.0369201, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1120926, DIVERSITY_GINI: 0.2122069, SHANNON_ENTROPY: 12.6647932, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 236, 'shrink': 756, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0972824, PRECISION: 0.0206199, PRECISION_RECALL_MIN_DEN: 0.0755123, RECALL: 0.0731950, MAP: 0.0312420, MRR: 0.0673663, NDCG: 0.0492755, F1: 0.0321744, HIT_RATE: 0.2061988, ARHR: 0.0756683, NOVELTY: 0.0052854, AVERAGE_POPULARITY: 0.0176760, DIVERSITY_MEAN_INTER_LIST: 0.9974736, DIVERSITY_HERFINDAHL: 0.9997297, COVERAGE_ITEM: 0.5350991, COVERAGE_ITEM_CORRECT: 0.0397382, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1172266, DIVERSITY_GINI: 0.2445197, SHANNON_ENTROPY: 12.8837951, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 898, 'shrink': 130, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0954968, PRECISION: 0.0197684, PRECISION_RECALL_MIN_DEN: 0.0734573, RECALL: 0.0713071, MAP: 0.0309023, MRR: 0.0664819, NDCG: 0.0483842, F1: 0.0309524, HIT_RATE: 0.1976841, ARHR: 0.0741440, NOVELTY: 0.0052871, AVERAGE_POPULARITY: 0.0176483, DIVERSITY_MEAN_INTER_LIST: 0.9970863, DIVERSITY_HERFINDAHL: 0.9996910, COVERAGE_ITEM: 0.5029143, COVERAGE_ITEM_CORRECT: 0.0374591, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1135271, DIVERSITY_GINI: 0.2203858, SHANNON_ENTROPY: 12.7289834, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 799, 'shrink': 113, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0962847, PRECISION: 0.0199101, PRECISION_RECALL_MIN_DEN: 0.0734726, RECALL: 0.0713157, MAP: 0.0311051, MRR: 0.0668825, NDCG: 0.0486256, F1: 0.0311270, HIT_RATE: 0.1991014, ARHR: 0.0747249, NOVELTY: 0.0052887, AVERAGE_POPULARITY: 0.0176311, DIVERSITY_MEAN_INTER_LIST: 0.9971868, DIVERSITY_HERFINDAHL: 0.9997011, COVERAGE_ITEM: 0.5088662, COVERAGE_ITEM_CORRECT: 0.0378980, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1141060, DIVERSITY_GINI: 0.2256593, SHANNON_ENTROPY: 12.7667705, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 742, 'shrink': 292, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0943359, PRECISION: 0.0195643, PRECISION_RECALL_MIN_DEN: 0.0721772, RECALL: 0.0700317, MAP: 0.0303636, MRR: 0.0651574, NDCG: 0.0475799, F1: 0.0305828, HIT_RATE: 0.1956431, ARHR: 0.0728022, NOVELTY: 0.0052893, AVERAGE_POPULARITY: 0.0176719, DIVERSITY_MEAN_INTER_LIST: 0.9969984, DIVERSITY_HERFINDAHL: 0.9996822, COVERAGE_ITEM: 0.4970626, COVERAGE_ITEM_CORRECT: 0.0370279, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1120926, DIVERSITY_GINI: 0.2146493, SHANNON_ENTROPY: 12.6864583, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 646, 'shrink': 746, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0939599, PRECISION: 0.0194223, PRECISION_RECALL_MIN_DEN: 0.0720759, RECALL: 0.0699378, MAP: 0.0300248, MRR: 0.0644159, NDCG: 0.0472148, F1: 0.0304004, HIT_RATE: 0.1942226, ARHR: 0.0718402, NOVELTY: 0.0052909, AVERAGE_POPULARITY: 0.0176608, DIVERSITY_MEAN_INTER_LIST: 0.9969067, DIVERSITY_HERFINDAHL: 0.9996731, COVERAGE_ITEM: 0.4974090, COVERAGE_ITEM_CORRECT: 0.0368431, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1120423, DIVERSITY_GINI: 0.2134077, SHANNON_ENTROPY: 12.6679805, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 958, 'shrink': 72, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0970807, PRECISION: 0.0201047, PRECISION_RECALL_MIN_DEN: 0.0742837, RECALL: 0.0720718, MAP: 0.0316947, MRR: 0.0675251, NDCG: 0.0493013, F1: 0.0314342, HIT_RATE: 0.2010472, ARHR: 0.0755025, NOVELTY: 0.0052898, AVERAGE_POPULARITY: 0.0176583, DIVERSITY_MEAN_INTER_LIST: 0.9972287, DIVERSITY_HERFINDAHL: 0.9997052, COVERAGE_ITEM: 0.5155034, COVERAGE_ITEM_CORRECT: 0.0382368, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1151630, DIVERSITY_GINI: 0.2305611, SHANNON_ENTROPY: 12.7961255, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'topK': 178, 'shrink': 583, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0997286, PRECISION: 0.0209493, PRECISION_RECALL_MIN_DEN: 0.0762179, RECALL: 0.0738045, MAP: 0.0317218, MRR: 0.0686909, NDCG: 0.0499079, F1: 0.0326341, HIT_RATE: 0.2094928, ARHR: 0.0771602, NOVELTY: 0.0052887, AVERAGE_POPULARITY: 0.0178587, DIVERSITY_MEAN_INTER_LIST: 0.9976230, DIVERSITY_HERFINDAHL: 0.9997447, COVERAGE_ITEM: 0.5463715, COVERAGE_ITEM_CORRECT: 0.0403619, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1189128, DIVERSITY_GINI: 0.2543410, SHANNON_ENTROPY: 12.9463045, 
