
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 401, 'shrink': 259, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0964815, PRECISION: 0.0202349, PRECISION_RECALL_MIN_DEN: 0.0743264, RECALL: 0.0721027, MAP: 0.0310391, MRR: 0.0667695, NDCG: 0.0487911, F1: 0.0315999, HIT_RATE: 0.2023494, ARHR: 0.0747556, NOVELTY: 0.0052848, AVERAGE_POPULARITY: 0.0177162, DIVERSITY_MEAN_INTER_LIST: 0.9973094, DIVERSITY_HERFINDAHL: 0.9997133, COVERAGE_ITEM: 0.5173975, COVERAGE_ITEM_CORRECT: 0.0386910, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1154901, DIVERSITY_GINI: 0.2321552, SHANNON_ENTROPY: 12.8087361, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 788, 'shrink': 267, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0942700, PRECISION: 0.0195357, PRECISION_RECALL_MIN_DEN: 0.0719975, RECALL: 0.0698291, MAP: 0.0303744, MRR: 0.0651265, NDCG: 0.0475282, F1: 0.0305286, HIT_RATE: 0.1953572, ARHR: 0.0727682, NOVELTY: 0.0052879, AVERAGE_POPULARITY: 0.0177034, DIVERSITY_MEAN_INTER_LIST: 0.9969509, DIVERSITY_HERFINDAHL: 0.9996775, COVERAGE_ITEM: 0.4948604, COVERAGE_ITEM_CORRECT: 0.0370587, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1120674, DIVERSITY_GINI: 0.2130475, SHANNON_ENTROPY: 12.6736949, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 495, 'shrink': 286, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0968015, PRECISION: 0.0198535, PRECISION_RECALL_MIN_DEN: 0.0736263, RECALL: 0.0714335, MAP: 0.0309134, MRR: 0.0664924, NDCG: 0.0484573, F1: 0.0310700, HIT_RATE: 0.1985352, ARHR: 0.0741809, NOVELTY: 0.0052884, AVERAGE_POPULARITY: 0.0177693, DIVERSITY_MEAN_INTER_LIST: 0.9972043, DIVERSITY_HERFINDAHL: 0.9997028, COVERAGE_ITEM: 0.5096901, COVERAGE_ITEM_CORRECT: 0.0379211, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1141311, DIVERSITY_GINI: 0.2255594, SHANNON_ENTROPY: 12.7643322, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 554, 'shrink': 231, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0966097, PRECISION: 0.0200655, PRECISION_RECALL_MIN_DEN: 0.0739517, RECALL: 0.0717286, MAP: 0.0309935, MRR: 0.0664569, NDCG: 0.0486063, F1: 0.0313569, HIT_RATE: 0.2006549, ARHR: 0.0742778, NOVELTY: 0.0052893, AVERAGE_POPULARITY: 0.0177589, DIVERSITY_MEAN_INTER_LIST: 0.9971764, DIVERSITY_HERFINDAHL: 0.9997000, COVERAGE_ITEM: 0.5074803, COVERAGE_ITEM_CORRECT: 0.0381906, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1152636, DIVERSITY_GINI: 0.2239721, SHANNON_ENTROPY: 12.7544635, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 621, 'shrink': 311, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0955254, PRECISION: 0.0197155, PRECISION_RECALL_MIN_DEN: 0.0728977, RECALL: 0.0707286, MAP: 0.0306120, MRR: 0.0657613, NDCG: 0.0479978, F1: 0.0308348, HIT_RATE: 0.1971548, ARHR: 0.0733697, NOVELTY: 0.0052892, AVERAGE_POPULARITY: 0.0177418, DIVERSITY_MEAN_INTER_LIST: 0.9970564, DIVERSITY_HERFINDAHL: 0.9996880, COVERAGE_ITEM: 0.5014591, COVERAGE_ITEM_CORRECT: 0.0374283, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1136278, DIVERSITY_GINI: 0.2180376, SHANNON_ENTROPY: 12.7104272, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 894, 'shrink': 953, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0916543, PRECISION: 0.0190478, PRECISION_RECALL_MIN_DEN: 0.0709081, RECALL: 0.0688434, MAP: 0.0295861, MRR: 0.0630791, NDCG: 0.0464759, F1: 0.0298371, HIT_RATE: 0.1904784, ARHR: 0.0702650, NOVELTY: 0.0052894, AVERAGE_POPULARITY: 0.0176869, DIVERSITY_MEAN_INTER_LIST: 0.9965858, DIVERSITY_HERFINDAHL: 0.9996410, COVERAGE_ITEM: 0.4852897, COVERAGE_ITEM_CORRECT: 0.0360192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1098024, DIVERSITY_GINI: 0.2031213, SHANNON_ENTROPY: 12.5814702, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 831, 'shrink': 790, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0924993, PRECISION: 0.0191114, PRECISION_RECALL_MIN_DEN: 0.0709282, RECALL: 0.0688417, MAP: 0.0297398, MRR: 0.0634928, NDCG: 0.0466404, F1: 0.0299151, HIT_RATE: 0.1911140, ARHR: 0.0707429, NOVELTY: 0.0052910, AVERAGE_POPULARITY: 0.0176770, DIVERSITY_MEAN_INTER_LIST: 0.9966919, DIVERSITY_HERFINDAHL: 0.9996516, COVERAGE_ITEM: 0.4879692, COVERAGE_ITEM_CORRECT: 0.0361732, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1102303, DIVERSITY_GINI: 0.2055724, SHANNON_ENTROPY: 12.6046250, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 735, 'shrink': 510, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0936148, PRECISION: 0.0194298, PRECISION_RECALL_MIN_DEN: 0.0720320, RECALL: 0.0699024, MAP: 0.0300469, MRR: 0.0643531, NDCG: 0.0472174, F1: 0.0304056, HIT_RATE: 0.1942977, ARHR: 0.0718850, NOVELTY: 0.0052904, AVERAGE_POPULARITY: 0.0176808, DIVERSITY_MEAN_INTER_LIST: 0.9968707, DIVERSITY_HERFINDAHL: 0.9996695, COVERAGE_ITEM: 0.4928200, COVERAGE_ITEM_CORRECT: 0.0367122, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1116144, DIVERSITY_GINI: 0.2104351, SHANNON_ENTROPY: 12.6491509, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 14, 'shrink': 313, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0966885, PRECISION: 0.0204534, PRECISION_RECALL_MIN_DEN: 0.0727803, RECALL: 0.0702833, MAP: 0.0320942, MRR: 0.0677357, NDCG: 0.0491636, F1: 0.0316817, HIT_RATE: 0.2045338, ARHR: 0.0768550, NOVELTY: 0.0052890, AVERAGE_POPULARITY: 0.0180064, DIVERSITY_MEAN_INTER_LIST: 0.9971658, DIVERSITY_HERFINDAHL: 0.9996990, COVERAGE_ITEM: 0.6284196, COVERAGE_ITEM_CORRECT: 0.0401540, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1129231, DIVERSITY_GINI: 0.3085916, SHANNON_ENTROPY: 13.1466578, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 569, 'shrink': 152, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0973174, PRECISION: 0.0202178, PRECISION_RECALL_MIN_DEN: 0.0747048, RECALL: 0.0725041, MAP: 0.0313133, MRR: 0.0672008, NDCG: 0.0491240, F1: 0.0316169, HIT_RATE: 0.2021785, ARHR: 0.0750912, NOVELTY: 0.0052890, AVERAGE_POPULARITY: 0.0177622, DIVERSITY_MEAN_INTER_LIST: 0.9972457, DIVERSITY_HERFINDAHL: 0.9997069, COVERAGE_ITEM: 0.5111992, COVERAGE_ITEM_CORRECT: 0.0385833, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1160941, DIVERSITY_GINI: 0.2280460, SHANNON_ENTROPY: 12.7838318, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 483, 'shrink': 986, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0955625, PRECISION: 0.0196766, PRECISION_RECALL_MIN_DEN: 0.0729953, RECALL: 0.0708292, MAP: 0.0305307, MRR: 0.0655060, NDCG: 0.0479324, F1: 0.0307968, HIT_RATE: 0.1967664, ARHR: 0.0730481, NOVELTY: 0.0052886, AVERAGE_POPULARITY: 0.0177703, DIVERSITY_MEAN_INTER_LIST: 0.9970484, DIVERSITY_HERFINDAHL: 0.9996872, COVERAGE_ITEM: 0.5061020, COVERAGE_ITEM_CORRECT: 0.0374129, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1133510, DIVERSITY_GINI: 0.2208837, SHANNON_ENTROPY: 12.7210889, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 311, 'shrink': 155, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0986526, PRECISION: 0.0207611, PRECISION_RECALL_MIN_DEN: 0.0759482, RECALL: 0.0736551, MAP: 0.0316739, MRR: 0.0684725, NDCG: 0.0498568, F1: 0.0323907, HIT_RATE: 0.2076107, ARHR: 0.0767564, NOVELTY: 0.0052856, AVERAGE_POPULARITY: 0.0177305, DIVERSITY_MEAN_INTER_LIST: 0.9974849, DIVERSITY_HERFINDAHL: 0.9997309, COVERAGE_ITEM: 0.5324812, COVERAGE_ITEM_CORRECT: 0.0399615, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1180320, DIVERSITY_GINI: 0.2447284, SHANNON_ENTROPY: 12.8897679, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 582, 'shrink': 283, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0960812, PRECISION: 0.0198607, PRECISION_RECALL_MIN_DEN: 0.0732497, RECALL: 0.0710609, MAP: 0.0307168, MRR: 0.0659492, NDCG: 0.0481869, F1: 0.0310434, HIT_RATE: 0.1986072, ARHR: 0.0736817, NOVELTY: 0.0052893, AVERAGE_POPULARITY: 0.0177403, DIVERSITY_MEAN_INTER_LIST: 0.9971097, DIVERSITY_HERFINDAHL: 0.9996933, COVERAGE_ITEM: 0.5041155, COVERAGE_ITEM_CORRECT: 0.0377671, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1142570, DIVERSITY_GINI: 0.2206542, SHANNON_ENTROPY: 12.7298092, 

SearchBayesianSkopt-CV: New best config found. Config 13: {'topK': 54, 'shrink': 500, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1004745, PRECISION: 0.0215802, PRECISION_RECALL_MIN_DEN: 0.0774097, RECALL: 0.0747830, MAP: 0.0328310, MRR: 0.0699282, NDCG: 0.0511281, F1: 0.0334947, HIT_RATE: 0.2158018, ARHR: 0.0794799, NOVELTY: 0.0052857, AVERAGE_POPULARITY: 0.0178598, DIVERSITY_MEAN_INTER_LIST: 0.9979438, DIVERSITY_HERFINDAHL: 0.9997768, COVERAGE_ITEM: 0.5880038, COVERAGE_ITEM_CORRECT: 0.0421251, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1197181, DIVERSITY_GINI: 0.2872176, SHANNON_ENTROPY: 13.1246689, 
