
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 333, 'shrink': 998, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8954517764018277, 'tversky_beta': 0.8160475655924888} - results: ROC_AUC: 0.0965502, PRECISION: 0.0202096, PRECISION_RECALL_MIN_DEN: 0.0741123, RECALL: 0.0718913, MAP: 0.0307440, MRR: 0.0661540, NDCG: 0.0485033, F1: 0.0315491, HIT_RATE: 0.2020962, ARHR: 0.0740379, NOVELTY: 0.0052852, AVERAGE_POPULARITY: 0.0176862, DIVERSITY_MEAN_INTER_LIST: 0.9973206, DIVERSITY_HERFINDAHL: 0.9997144, COVERAGE_ITEM: 0.5221405, COVERAGE_ITEM_CORRECT: 0.0386756, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1155908, DIVERSITY_GINI: 0.2340951, SHANNON_ENTROPY: 12.8170324, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 163, 'shrink': 125, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7072061414781418, 'tversky_beta': 1.0877602839570328} - results: ROC_AUC: 0.1010152, PRECISION: 0.0213874, PRECISION_RECALL_MIN_DEN: 0.0773331, RECALL: 0.0748572, MAP: 0.0321796, MRR: 0.0695389, NDCG: 0.0506472, F1: 0.0332681, HIT_RATE: 0.2138741, ARHR: 0.0783880, NOVELTY: 0.0052879, AVERAGE_POPULARITY: 0.0179411, DIVERSITY_MEAN_INTER_LIST: 0.9977339, DIVERSITY_HERFINDAHL: 0.9997558, COVERAGE_ITEM: 0.5524235, COVERAGE_ITEM_CORRECT: 0.0413244, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1204731, DIVERSITY_GINI: 0.2614724, SHANNON_ENTROPY: 12.9935292, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 93, 'shrink': 986, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2868071208815013, 'tversky_beta': 1.234854227143949} - results: ROC_AUC: 0.0999275, PRECISION: 0.0214038, PRECISION_RECALL_MIN_DEN: 0.0776419, RECALL: 0.0750854, MAP: 0.0326190, MRR: 0.0693661, NDCG: 0.0509747, F1: 0.0333110, HIT_RATE: 0.2140378, ARHR: 0.0785518, NOVELTY: 0.0052874, AVERAGE_POPULARITY: 0.0178789, DIVERSITY_MEAN_INTER_LIST: 0.9978346, DIVERSITY_HERFINDAHL: 0.9997658, COVERAGE_ITEM: 0.5668142, COVERAGE_ITEM_CORRECT: 0.0416631, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1197433, DIVERSITY_GINI: 0.2710106, SHANNON_ENTROPY: 13.0441883, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 336, 'shrink': 411, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5700034855205784, 'tversky_beta': 1.026204126265806} - results: ROC_AUC: 0.0973893, PRECISION: 0.0203935, PRECISION_RECALL_MIN_DEN: 0.0745542, RECALL: 0.0722963, MAP: 0.0311452, MRR: 0.0671687, NDCG: 0.0489956, F1: 0.0318123, HIT_RATE: 0.2039351, ARHR: 0.0752510, NOVELTY: 0.0052847, AVERAGE_POPULARITY: 0.0177240, DIVERSITY_MEAN_INTER_LIST: 0.9973822, DIVERSITY_HERFINDAHL: 0.9997206, COVERAGE_ITEM: 0.5247045, COVERAGE_ITEM_CORRECT: 0.0390067, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1162703, DIVERSITY_GINI: 0.2374140, SHANNON_ENTROPY: 12.8420250, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 207, 'shrink': 748, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.914592699976005, 'tversky_beta': 0.41346174760321375} - results: ROC_AUC: 0.0988413, PRECISION: 0.0208078, PRECISION_RECALL_MIN_DEN: 0.0760169, RECALL: 0.0736766, MAP: 0.0315716, MRR: 0.0683641, NDCG: 0.0497451, F1: 0.0324495, HIT_RATE: 0.2080780, ARHR: 0.0767352, NOVELTY: 0.0052856, AVERAGE_POPULARITY: 0.0178241, DIVERSITY_MEAN_INTER_LIST: 0.9975703, DIVERSITY_HERFINDAHL: 0.9997394, COVERAGE_ITEM: 0.5413667, COVERAGE_ITEM_CORRECT: 0.0400385, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1182585, DIVERSITY_GINI: 0.2503354, SHANNON_ENTROPY: 12.9226031, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 531, 'shrink': 116, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6340200559631175, 'tversky_beta': 0.13139667156265714} - results: ROC_AUC: 0.1003256, PRECISION: 0.0207480, PRECISION_RECALL_MIN_DEN: 0.0764772, RECALL: 0.0742183, MAP: 0.0326201, MRR: 0.0696742, NDCG: 0.0507688, F1: 0.0324267, HIT_RATE: 0.2074802, ARHR: 0.0779786, NOVELTY: 0.0052889, AVERAGE_POPULARITY: 0.0176891, DIVERSITY_MEAN_INTER_LIST: 0.9974819, DIVERSITY_HERFINDAHL: 0.9997306, COVERAGE_ITEM: 0.5338826, COVERAGE_ITEM_CORRECT: 0.0399692, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1184598, DIVERSITY_GINI: 0.2465271, SHANNON_ENTROPY: 12.8989922, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 475, 'shrink': 240, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7481961597099414, 'tversky_beta': 0.8663584056191616} - results: ROC_AUC: 0.0988242, PRECISION: 0.0204296, PRECISION_RECALL_MIN_DEN: 0.0754624, RECALL: 0.0732123, MAP: 0.0317754, MRR: 0.0683132, NDCG: 0.0497459, F1: 0.0319432, HIT_RATE: 0.2042961, ARHR: 0.0763359, NOVELTY: 0.0052867, AVERAGE_POPULARITY: 0.0177846, DIVERSITY_MEAN_INTER_LIST: 0.9973558, DIVERSITY_HERFINDAHL: 0.9997180, COVERAGE_ITEM: 0.5205775, COVERAGE_ITEM_CORRECT: 0.0390837, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1171763, DIVERSITY_GINI: 0.2356388, SHANNON_ENTROPY: 12.8326770, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 821, 'shrink': 868, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9464610338374078, 'tversky_beta': 1.5445907406281403} - results: ROC_AUC: 0.0925217, PRECISION: 0.0190938, PRECISION_RECALL_MIN_DEN: 0.0711836, RECALL: 0.0691036, MAP: 0.0296723, MRR: 0.0634072, NDCG: 0.0466165, F1: 0.0299184, HIT_RATE: 0.1909380, ARHR: 0.0706653, NOVELTY: 0.0052907, AVERAGE_POPULARITY: 0.0176807, DIVERSITY_MEAN_INTER_LIST: 0.9966558, DIVERSITY_HERFINDAHL: 0.9996480, COVERAGE_ITEM: 0.4862753, COVERAGE_ITEM_CORRECT: 0.0361270, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1101548, DIVERSITY_GINI: 0.2045038, SHANNON_ENTROPY: 12.5956208, 
