
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 987, 'shrink': 277, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4739529424088746, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0880286, PRECISION: 0.0194896, PRECISION_RECALL_MIN_DEN: 0.0675260, RECALL: 0.0646653, MAP: 0.0294371, MRR: 0.0624650, NDCG: 0.0448984, F1: 0.0299510, HIT_RATE: 0.1948956, ARHR: 0.0721023, NOVELTY: 0.0056627, AVERAGE_POPULARITY: 0.0156616, DIVERSITY_MEAN_INTER_LIST: 0.9985004, DIVERSITY_HERFINDAHL: 0.9998324, COVERAGE_ITEM: 0.6270568, COVERAGE_ITEM_CORRECT: 0.0390914, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1049704, DIVERSITY_GINI: 0.3702661, SHANNON_ENTROPY: 13.5174112, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 224, 'shrink': 819, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.005969767073824796, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0833405, PRECISION: 0.0175705, PRECISION_RECALL_MIN_DEN: 0.0603225, RECALL: 0.0582109, MAP: 0.0274530, MRR: 0.0596421, NDCG: 0.0417865, F1: 0.0269906, HIT_RATE: 0.1757050, ARHR: 0.0678491, NOVELTY: 0.0058468, AVERAGE_POPULARITY: 0.0102590, DIVERSITY_MEAN_INTER_LIST: 0.9987138, DIVERSITY_HERFINDAHL: 0.9998537, COVERAGE_ITEM: 0.7280539, COVERAGE_ITEM_CORRECT: 0.0362271, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0963382, DIVERSITY_GINI: 0.4576232, SHANNON_ENTROPY: 13.7972176, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 401, 'shrink': 279, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0455623918867323, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1514638, PRECISION: 0.0304661, PRECISION_RECALL_MIN_DEN: 0.1092677, RECALL: 0.1061475, MAP: 0.0516089, MRR: 0.1111264, NDCG: 0.0776824, F1: 0.0473379, HIT_RATE: 0.3046606, ARHR: 0.1262743, NOVELTY: 0.0046780, AVERAGE_POPULARITY: 0.1369644, DIVERSITY_MEAN_INTER_LIST: 0.9734216, DIVERSITY_HERFINDAHL: 0.9973250, COVERAGE_ITEM: 0.3549259, COVERAGE_ITEM_CORRECT: 0.0297286, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1656977, DIVERSITY_GINI: 0.0908165, SHANNON_ENTROPY: 10.6557542, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 454, 'shrink': 255, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5498934266023311, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1508576, PRECISION: 0.0308862, PRECISION_RECALL_MIN_DEN: 0.1104160, RECALL: 0.1071698, MAP: 0.0510240, MRR: 0.1111189, NDCG: 0.0774591, F1: 0.0479496, HIT_RATE: 0.3088617, ARHR: 0.1264050, NOVELTY: 0.0045941, AVERAGE_POPULARITY: 0.1513630, DIVERSITY_MEAN_INTER_LIST: 0.9668693, DIVERSITY_HERFINDAHL: 0.9966698, COVERAGE_ITEM: 0.3235188, COVERAGE_ITEM_CORRECT: 0.0294514, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1679124, DIVERSITY_GINI: 0.0753845, SHANNON_ENTROPY: 10.3239446, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 763, 'shrink': 338, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6487970853841208, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1568649, PRECISION: 0.0321301, PRECISION_RECALL_MIN_DEN: 0.1154846, RECALL: 0.1122397, MAP: 0.0541731, MRR: 0.1155602, NDCG: 0.0816301, F1: 0.0499544, HIT_RATE: 0.3213008, ARHR: 0.1315824, NOVELTY: 0.0046193, AVERAGE_POPULARITY: 0.1554994, DIVERSITY_MEAN_INTER_LIST: 0.9643183, DIVERSITY_HERFINDAHL: 0.9964148, COVERAGE_ITEM: 0.3486429, COVERAGE_ITEM_CORRECT: 0.0313070, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1742041, DIVERSITY_GINI: 0.0859808, SHANNON_ENTROPY: 10.4226088, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 757, 'shrink': 324, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.87123147208123, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0868989, PRECISION: 0.0191084, PRECISION_RECALL_MIN_DEN: 0.0665548, RECALL: 0.0637423, MAP: 0.0287292, MRR: 0.0613119, NDCG: 0.0439880, F1: 0.0294011, HIT_RATE: 0.1910836, ARHR: 0.0706023, NOVELTY: 0.0056356, AVERAGE_POPULARITY: 0.0170716, DIVERSITY_MEAN_INTER_LIST: 0.9984508, DIVERSITY_HERFINDAHL: 0.9998274, COVERAGE_ITEM: 0.6111800, COVERAGE_ITEM_CORRECT: 0.0383754, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1032088, DIVERSITY_GINI: 0.3556569, SHANNON_ENTROPY: 13.4637708, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 255, 'shrink': 508, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9315899598873851, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1476233, PRECISION: 0.0302550, PRECISION_RECALL_MIN_DEN: 0.1034774, RECALL: 0.1002751, MAP: 0.0486823, MRR: 0.1081296, NDCG: 0.0740723, F1: 0.0464802, HIT_RATE: 0.3025495, ARHR: 0.1233597, NOVELTY: 0.0048687, AVERAGE_POPULARITY: 0.1097653, DIVERSITY_MEAN_INTER_LIST: 0.9824263, DIVERSITY_HERFINDAHL: 0.9982253, COVERAGE_ITEM: 0.3926391, COVERAGE_ITEM_CORRECT: 0.0313070, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1633321, DIVERSITY_GINI: 0.1219913, SHANNON_ENTROPY: 11.2643062, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 525, 'shrink': 706, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.03204031808603559, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1493771, PRECISION: 0.0303849, PRECISION_RECALL_MIN_DEN: 0.1096214, RECALL: 0.1064513, MAP: 0.0506268, MRR: 0.1096780, NDCG: 0.0767866, F1: 0.0472734, HIT_RATE: 0.3038492, ARHR: 0.1243534, NOVELTY: 0.0045780, AVERAGE_POPULARITY: 0.1559302, DIVERSITY_MEAN_INTER_LIST: 0.9640707, DIVERSITY_HERFINDAHL: 0.9963900, COVERAGE_ITEM: 0.3194225, COVERAGE_ITEM_CORRECT: 0.0288816, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1661004, DIVERSITY_GINI: 0.0732312, SHANNON_ENTROPY: 10.2464650, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 726, 'shrink': 531, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4576523550993722, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1561295, PRECISION: 0.0320843, PRECISION_RECALL_MIN_DEN: 0.1150519, RECALL: 0.1117593, MAP: 0.0535875, MRR: 0.1147347, NDCG: 0.0809997, F1: 0.0498518, HIT_RATE: 0.3208433, ARHR: 0.1307221, NOVELTY: 0.0045846, AVERAGE_POPULARITY: 0.1602958, DIVERSITY_MEAN_INTER_LIST: 0.9619358, DIVERSITY_HERFINDAHL: 0.9961766, COVERAGE_ITEM: 0.3330125, COVERAGE_ITEM_CORRECT: 0.0308450, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1737763, DIVERSITY_GINI: 0.0783060, SHANNON_ENTROPY: 10.2774597, 
