
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 661, 'shrink': 410, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1535106, PRECISION: 0.0313562, PRECISION_RECALL_MIN_DEN: 0.1130736, RECALL: 0.1098939, MAP: 0.0524872, MRR: 0.1127403, NDCG: 0.0794114, F1: 0.0487870, HIT_RATE: 0.3135620, ARHR: 0.1282978, NOVELTY: 0.0045624, AVERAGE_POPULARITY: 0.1623521, DIVERSITY_MEAN_INTER_LIST: 0.9607767, DIVERSITY_HERFINDAHL: 0.9960607, COVERAGE_ITEM: 0.3195303, COVERAGE_ITEM_CORRECT: 0.0297979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1703536, DIVERSITY_GINI: 0.0725162, SHANNON_ENTROPY: 10.1767548, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 54, 'shrink': 653, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1490686, PRECISION: 0.0308726, PRECISION_RECALL_MIN_DEN: 0.1048789, RECALL: 0.1012735, MAP: 0.0498915, MRR: 0.1098115, NDCG: 0.0751010, F1: 0.0473178, HIT_RATE: 0.3087262, ARHR: 0.1260538, NOVELTY: 0.0050420, AVERAGE_POPULARITY: 0.0697793, DIVERSITY_MEAN_INTER_LIST: 0.9933690, DIVERSITY_HERFINDAHL: 0.9993194, COVERAGE_ITEM: 0.4646160, COVERAGE_ITEM_CORRECT: 0.0394764, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1640871, DIVERSITY_GINI: 0.1713773, SHANNON_ENTROPY: 12.1348305, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 653, 'shrink': 381, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1479239, PRECISION: 0.0299783, PRECISION_RECALL_MIN_DEN: 0.1080101, RECALL: 0.1048541, MAP: 0.0500780, MRR: 0.1084567, NDCG: 0.0758348, F1: 0.0466241, HIT_RATE: 0.2997825, ARHR: 0.1230077, NOVELTY: 0.0045531, AVERAGE_POPULARITY: 0.1631005, DIVERSITY_MEAN_INTER_LIST: 0.9595930, DIVERSITY_HERFINDAHL: 0.9959423, COVERAGE_ITEM: 0.3132166, COVERAGE_ITEM_CORRECT: 0.0279731, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1641122, DIVERSITY_GINI: 0.0698977, SHANNON_ENTROPY: 10.1229119, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 84, 'shrink': 160, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1401757, PRECISION: 0.0292267, PRECISION_RECALL_MIN_DEN: 0.0951662, RECALL: 0.0917079, MAP: 0.0446343, MRR: 0.1031446, NDCG: 0.0684036, F1: 0.0443256, HIT_RATE: 0.2922670, ARHR: 0.1186180, NOVELTY: 0.0050398, AVERAGE_POPULARITY: 0.0718369, DIVERSITY_MEAN_INTER_LIST: 0.9915834, DIVERSITY_HERFINDAHL: 0.9991408, COVERAGE_ITEM: 0.4629374, COVERAGE_ITEM_CORRECT: 0.0349490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1552284, DIVERSITY_GINI: 0.1671003, SHANNON_ENTROPY: 12.0058945, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 496, 'shrink': 79, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0950662, PRECISION: 0.0206878, PRECISION_RECALL_MIN_DEN: 0.0692350, RECALL: 0.0662849, MAP: 0.0308223, MRR: 0.0681218, NDCG: 0.0471489, F1: 0.0315326, HIT_RATE: 0.2068779, ARHR: 0.0784082, NOVELTY: 0.0057508, AVERAGE_POPULARITY: 0.0128700, DIVERSITY_MEAN_INTER_LIST: 0.9986825, DIVERSITY_HERFINDAHL: 0.9998506, COVERAGE_ITEM: 0.7041771, COVERAGE_ITEM_CORRECT: 0.0420019, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1112621, DIVERSITY_GINI: 0.4420376, SHANNON_ENTROPY: 13.7497395, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 227, 'shrink': 853, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0828234, PRECISION: 0.0175531, PRECISION_RECALL_MIN_DEN: 0.0599613, RECALL: 0.0578384, MAP: 0.0271809, MRR: 0.0591715, NDCG: 0.0414734, F1: 0.0269298, HIT_RATE: 0.1755307, ARHR: 0.0672929, NOVELTY: 0.0058504, AVERAGE_POPULARITY: 0.0101813, DIVERSITY_MEAN_INTER_LIST: 0.9986971, DIVERSITY_HERFINDAHL: 0.9998521, COVERAGE_ITEM: 0.7264909, COVERAGE_ITEM_CORRECT: 0.0362194, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0960866, DIVERSITY_GINI: 0.4569136, SHANNON_ENTROPY: 13.7937846, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 9, 'shrink': 887, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0712281, PRECISION: 0.0157224, PRECISION_RECALL_MIN_DEN: 0.0550568, RECALL: 0.0531972, MAP: 0.0235013, MRR: 0.0501816, NDCG: 0.0365622, F1: 0.0242650, HIT_RATE: 0.1572243, ARHR: 0.0577192, NOVELTY: 0.0057880, AVERAGE_POPULARITY: 0.0148561, DIVERSITY_MEAN_INTER_LIST: 0.9904864, DIVERSITY_HERFINDAHL: 0.9990311, COVERAGE_ITEM: 0.7205082, COVERAGE_ITEM_CORRECT: 0.0330395, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0854410, DIVERSITY_GINI: 0.4398133, SHANNON_ENTROPY: 13.3655145, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 162, 'shrink': 744, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0896891, PRECISION: 0.0193552, PRECISION_RECALL_MIN_DEN: 0.0643243, RECALL: 0.0615496, MAP: 0.0288849, MRR: 0.0638331, NDCG: 0.0440822, F1: 0.0294482, HIT_RATE: 0.1935517, ARHR: 0.0733299, NOVELTY: 0.0058180, AVERAGE_POPULARITY: 0.0108896, DIVERSITY_MEAN_INTER_LIST: 0.9987094, DIVERSITY_HERFINDAHL: 0.9998533, COVERAGE_ITEM: 0.7207931, COVERAGE_ITEM_CORRECT: 0.0396535, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1040896, DIVERSITY_GINI: 0.4579698, SHANNON_ENTROPY: 13.7959470, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 714, 'shrink': 656, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1469535, PRECISION: 0.0297734, PRECISION_RECALL_MIN_DEN: 0.1074161, RECALL: 0.1042840, MAP: 0.0497003, MRR: 0.1074124, NDCG: 0.0752857, F1: 0.0463199, HIT_RATE: 0.2977341, ARHR: 0.1218174, NOVELTY: 0.0045454, AVERAGE_POPULARITY: 0.1652947, DIVERSITY_MEAN_INTER_LIST: 0.9580310, DIVERSITY_HERFINDAHL: 0.9957862, COVERAGE_ITEM: 0.3109451, COVERAGE_ITEM_CORRECT: 0.0277036, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1631056, DIVERSITY_GINI: 0.0688133, SHANNON_ENTROPY: 10.0836589, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 514, 'shrink': 599, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0839801, PRECISION: 0.0177893, PRECISION_RECALL_MIN_DEN: 0.0609399, RECALL: 0.0587912, MAP: 0.0276257, MRR: 0.0600077, NDCG: 0.0421290, F1: 0.0273106, HIT_RATE: 0.1778932, ARHR: 0.0682381, NOVELTY: 0.0058355, AVERAGE_POPULARITY: 0.0106391, DIVERSITY_MEAN_INTER_LIST: 0.9987103, DIVERSITY_HERFINDAHL: 0.9998534, COVERAGE_ITEM: 0.7275919, COVERAGE_ITEM_CORRECT: 0.0366660, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0975714, DIVERSITY_GINI: 0.4561525, SHANNON_ENTROPY: 13.7925248, 

SearchBayesianSkopt-CV: New best config found. Config 10: {'topK': 200, 'shrink': 152, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1581961, PRECISION: 0.0325607, PRECISION_RECALL_MIN_DEN: 0.1144161, RECALL: 0.1109800, MAP: 0.0536974, MRR: 0.1167858, NDCG: 0.0811296, F1: 0.0503476, HIT_RATE: 0.3256067, ARHR: 0.1332952, NOVELTY: 0.0047364, AVERAGE_POPULARITY: 0.1182096, DIVERSITY_MEAN_INTER_LIST: 0.9818846, DIVERSITY_HERFINDAHL: 0.9981711, COVERAGE_ITEM: 0.3640731, COVERAGE_ITEM_CORRECT: 0.0337401, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1755379, DIVERSITY_GINI: 0.0984940, SHANNON_ENTROPY: 10.9790552, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 527, 'shrink': 603, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1428676, PRECISION: 0.0287633, PRECISION_RECALL_MIN_DEN: 0.1020963, RECALL: 0.0990078, MAP: 0.0475782, MRR: 0.1045742, NDCG: 0.0721939, F1: 0.0445754, HIT_RATE: 0.2876328, ARHR: 0.1184412, NOVELTY: 0.0046094, AVERAGE_POPULARITY: 0.1482079, DIVERSITY_MEAN_INTER_LIST: 0.9675748, DIVERSITY_HERFINDAHL: 0.9967404, COVERAGE_ITEM: 0.3272223, COVERAGE_ITEM_CORRECT: 0.0267026, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1574934, DIVERSITY_GINI: 0.0775477, SHANNON_ENTROPY: 10.3710502, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 336, 'shrink': 874, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0903314, PRECISION: 0.0196348, PRECISION_RECALL_MIN_DEN: 0.0651719, RECALL: 0.0623844, MAP: 0.0292471, MRR: 0.0646516, NDCG: 0.0446458, F1: 0.0298680, HIT_RATE: 0.1963480, ARHR: 0.0742564, NOVELTY: 0.0058087, AVERAGE_POPULARITY: 0.0112129, DIVERSITY_MEAN_INTER_LIST: 0.9987197, DIVERSITY_HERFINDAHL: 0.9998543, COVERAGE_ITEM: 0.7236959, COVERAGE_ITEM_CORRECT: 0.0402387, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1055493, DIVERSITY_GINI: 0.4592808, SHANNON_ENTROPY: 13.8003612, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 670, 'shrink': 131, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1534331, PRECISION: 0.0313314, PRECISION_RECALL_MIN_DEN: 0.1129525, RECALL: 0.1097759, MAP: 0.0524150, MRR: 0.1126293, NDCG: 0.0793266, F1: 0.0487454, HIT_RATE: 0.3133144, ARHR: 0.1281514, NOVELTY: 0.0045613, AVERAGE_POPULARITY: 0.1626844, DIVERSITY_MEAN_INTER_LIST: 0.9605709, DIVERSITY_HERFINDAHL: 0.9960401, COVERAGE_ITEM: 0.3192377, COVERAGE_ITEM_CORRECT: 0.0297671, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1702781, DIVERSITY_GINI: 0.0723804, SHANNON_ENTROPY: 10.1718275, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 27, 'shrink': 812, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1172969, PRECISION: 0.0250246, PRECISION_RECALL_MIN_DEN: 0.0760677, RECALL: 0.0725440, MAP: 0.0359068, MRR: 0.0874785, NDCG: 0.0552826, F1: 0.0372091, HIT_RATE: 0.2502455, ARHR: 0.1012876, NOVELTY: 0.0053009, AVERAGE_POPULARITY: 0.0427455, DIVERSITY_MEAN_INTER_LIST: 0.9850730, DIVERSITY_HERFINDAHL: 0.9984899, COVERAGE_ITEM: 0.5355688, COVERAGE_ITEM_CORRECT: 0.0374822, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1299862, DIVERSITY_GINI: 0.2330436, SHANNON_ENTROPY: 12.3852617, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 878, 'shrink': 576, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0914240, PRECISION: 0.0198424, PRECISION_RECALL_MIN_DEN: 0.0658325, RECALL: 0.0629894, MAP: 0.0295740, MRR: 0.0653015, NDCG: 0.0451063, F1: 0.0301767, HIT_RATE: 0.1984241, ARHR: 0.0750807, NOVELTY: 0.0057944, AVERAGE_POPULARITY: 0.0116934, DIVERSITY_MEAN_INTER_LIST: 0.9987167, DIVERSITY_HERFINDAHL: 0.9998540, COVERAGE_ITEM: 0.7219942, COVERAGE_ITEM_CORRECT: 0.0405698, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1066314, DIVERSITY_GINI: 0.4580621, SHANNON_ENTROPY: 13.7964338, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 999, 'shrink': 586, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0840072, PRECISION: 0.0177860, PRECISION_RECALL_MIN_DEN: 0.0610265, RECALL: 0.0588928, MAP: 0.0276251, MRR: 0.0599271, NDCG: 0.0421444, F1: 0.0273169, HIT_RATE: 0.1778595, ARHR: 0.0681058, NOVELTY: 0.0058308, AVERAGE_POPULARITY: 0.0108052, DIVERSITY_MEAN_INTER_LIST: 0.9987078, DIVERSITY_HERFINDAHL: 0.9998531, COVERAGE_ITEM: 0.7282541, COVERAGE_ITEM_CORRECT: 0.0366506, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0976972, DIVERSITY_GINI: 0.4558582, SHANNON_ENTROPY: 13.7916443, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 42, 'shrink': 140, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1445355, PRECISION: 0.0301020, PRECISION_RECALL_MIN_DEN: 0.0996594, RECALL: 0.0958965, MAP: 0.0482481, MRR: 0.1072328, NDCG: 0.0722161, F1: 0.0458191, HIT_RATE: 0.3010200, ARHR: 0.1236923, NOVELTY: 0.0050956, AVERAGE_POPULARITY: 0.0634438, DIVERSITY_MEAN_INTER_LIST: 0.9939664, DIVERSITY_HERFINDAHL: 0.9993791, COVERAGE_ITEM: 0.4853744, COVERAGE_ITEM_CORRECT: 0.0401386, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1584749, DIVERSITY_GINI: 0.1886616, SHANNON_ENTROPY: 12.3025241, 
