
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 759, 'shrink': 384, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1481614, PRECISION: 0.0300633, PRECISION_RECALL_MIN_DEN: 0.1082583, RECALL: 0.1051200, MAP: 0.0499969, MRR: 0.1083864, NDCG: 0.0758611, F1: 0.0467529, HIT_RATE: 0.3006331, ARHR: 0.1231416, NOVELTY: 0.0045397, AVERAGE_POPULARITY: 0.1670066, DIVERSITY_MEAN_INTER_LIST: 0.9573250, DIVERSITY_HERFINDAHL: 0.9957156, COVERAGE_ITEM: 0.3090279, COVERAGE_ITEM_CORRECT: 0.0280346, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1640619, DIVERSITY_GINI: 0.0679589, SHANNON_ENTROPY: 10.0573628, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 490, 'shrink': 380, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1513856, PRECISION: 0.0309887, PRECISION_RECALL_MIN_DEN: 0.1107323, RECALL: 0.1074920, MAP: 0.0511831, MRR: 0.1115370, NDCG: 0.0777215, F1: 0.0481049, HIT_RATE: 0.3098865, ARHR: 0.1269539, NOVELTY: 0.0045837, AVERAGE_POPULARITY: 0.1542434, DIVERSITY_MEAN_INTER_LIST: 0.9653078, DIVERSITY_HERFINDAHL: 0.9965137, COVERAGE_ITEM: 0.3204081, COVERAGE_ITEM_CORRECT: 0.0295053, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1681389, DIVERSITY_GINI: 0.0737650, SHANNON_ENTROPY: 10.2692951, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 589, 'shrink': 839, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1490990, PRECISION: 0.0302892, PRECISION_RECALL_MIN_DEN: 0.1087230, RECALL: 0.1055338, MAP: 0.0504439, MRR: 0.1093245, NDCG: 0.0763934, F1: 0.0470657, HIT_RATE: 0.3028916, ARHR: 0.1242146, NOVELTY: 0.0045641, AVERAGE_POPULARITY: 0.1598784, DIVERSITY_MEAN_INTER_LIST: 0.9617348, DIVERSITY_HERFINDAHL: 0.9961565, COVERAGE_ITEM: 0.3156805, COVERAGE_ITEM_CORRECT: 0.0284119, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1649931, DIVERSITY_GINI: 0.0712252, SHANNON_ENTROPY: 10.1735951, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 708, 'shrink': 244, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1496007, PRECISION: 0.0304128, PRECISION_RECALL_MIN_DEN: 0.1093190, RECALL: 0.1061455, MAP: 0.0505937, MRR: 0.1095646, NDCG: 0.0767117, F1: 0.0472767, HIT_RATE: 0.3041281, ARHR: 0.1245661, NOVELTY: 0.0045461, AVERAGE_POPULARITY: 0.1652227, DIVERSITY_MEAN_INTER_LIST: 0.9587017, DIVERSITY_HERFINDAHL: 0.9958532, COVERAGE_ITEM: 0.3111222, COVERAGE_ITEM_CORRECT: 0.0285274, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1655971, DIVERSITY_GINI: 0.0689297, SHANNON_ENTROPY: 10.0904202, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 595, 'shrink': 704, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1492931, PRECISION: 0.0302997, PRECISION_RECALL_MIN_DEN: 0.1088237, RECALL: 0.1056462, MAP: 0.0505345, MRR: 0.1095489, NDCG: 0.0765127, F1: 0.0470896, HIT_RATE: 0.3029968, ARHR: 0.1244687, NOVELTY: 0.0045629, AVERAGE_POPULARITY: 0.1602334, DIVERSITY_MEAN_INTER_LIST: 0.9615351, DIVERSITY_HERFINDAHL: 0.9961365, COVERAGE_ITEM: 0.3152955, COVERAGE_ITEM_CORRECT: 0.0283888, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1650686, DIVERSITY_GINI: 0.0710381, SHANNON_ENTROPY: 10.1676855, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 936, 'shrink': 929, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1455473, PRECISION: 0.0294761, PRECISION_RECALL_MIN_DEN: 0.1060720, RECALL: 0.1029634, MAP: 0.0492057, MRR: 0.1063581, NDCG: 0.0744814, F1: 0.0458285, HIT_RATE: 0.2947606, ARHR: 0.1206609, NOVELTY: 0.0045240, AVERAGE_POPULARITY: 0.1715473, DIVERSITY_MEAN_INTER_LIST: 0.9537390, DIVERSITY_HERFINDAHL: 0.9953571, COVERAGE_ITEM: 0.3053090, COVERAGE_ITEM_CORRECT: 0.0272031, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1611426, DIVERSITY_GINI: 0.0660115, SHANNON_ENTROPY: 9.9758904, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 51, 'shrink': 707, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1481045, PRECISION: 0.0307558, PRECISION_RECALL_MIN_DEN: 0.1039755, RECALL: 0.1003283, MAP: 0.0497597, MRR: 0.1094352, NDCG: 0.0746992, F1: 0.0470776, HIT_RATE: 0.3075577, ARHR: 0.1258360, NOVELTY: 0.0050522, AVERAGE_POPULARITY: 0.0687222, DIVERSITY_MEAN_INTER_LIST: 0.9934485, DIVERSITY_HERFINDAHL: 0.9993273, COVERAGE_ITEM: 0.4684119, COVERAGE_ITEM_CORRECT: 0.0395149, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1630552, DIVERSITY_GINI: 0.1743869, SHANNON_ENTROPY: 12.1630748, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'topK': 188, 'shrink': 161, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1600634, PRECISION: 0.0331369, PRECISION_RECALL_MIN_DEN: 0.1160391, RECALL: 0.1125215, MAP: 0.0543624, MRR: 0.1185203, NDCG: 0.0822352, F1: 0.0511939, HIT_RATE: 0.3313690, ARHR: 0.1355394, NOVELTY: 0.0047419, AVERAGE_POPULARITY: 0.1169084, DIVERSITY_MEAN_INTER_LIST: 0.9822932, DIVERSITY_HERFINDAHL: 0.9982120, COVERAGE_ITEM: 0.3646275, COVERAGE_ITEM_CORRECT: 0.0345640, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1775513, DIVERSITY_GINI: 0.0987733, SHANNON_ENTROPY: 10.9910717, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 539, 'shrink': 448, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1505607, PRECISION: 0.0306779, PRECISION_RECALL_MIN_DEN: 0.1098346, RECALL: 0.1066255, MAP: 0.0509337, MRR: 0.1109031, NDCG: 0.0772236, F1: 0.0476438, HIT_RATE: 0.3067787, ARHR: 0.1260970, NOVELTY: 0.0045733, AVERAGE_POPULARITY: 0.1572405, DIVERSITY_MEAN_INTER_LIST: 0.9635048, DIVERSITY_HERFINDAHL: 0.9963335, COVERAGE_ITEM: 0.3177286, COVERAGE_ITEM_CORRECT: 0.0289971, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1668051, DIVERSITY_GINI: 0.0723884, SHANNON_ENTROPY: 10.2188996, 
