
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 848, 'shrink': 896, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1463256, PRECISION: 0.0296316, PRECISION_RECALL_MIN_DEN: 0.1065429, RECALL: 0.1034173, MAP: 0.0494510, MRR: 0.1069493, NDCG: 0.0748473, F1: 0.0460619, HIT_RATE: 0.2963163, ARHR: 0.1213779, NOVELTY: 0.0045313, AVERAGE_POPULARITY: 0.1694695, DIVERSITY_MEAN_INTER_LIST: 0.9552136, DIVERSITY_HERFINDAHL: 0.9955045, COVERAGE_ITEM: 0.3073802, COVERAGE_ITEM_CORRECT: 0.0275034, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1618976, DIVERSITY_GINI: 0.0670066, SHANNON_ENTROPY: 10.0118922, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 875, 'shrink': 794, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1462024, PRECISION: 0.0295965, PRECISION_RECALL_MIN_DEN: 0.1064616, RECALL: 0.1033445, MAP: 0.0493959, MRR: 0.1069307, NDCG: 0.0747860, F1: 0.0460117, HIT_RATE: 0.2959647, ARHR: 0.1213347, NOVELTY: 0.0045291, AVERAGE_POPULARITY: 0.1701586, DIVERSITY_MEAN_INTER_LIST: 0.9547856, DIVERSITY_HERFINDAHL: 0.9954617, COVERAGE_ITEM: 0.3067950, COVERAGE_ITEM_CORRECT: 0.0274341, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1617717, DIVERSITY_GINI: 0.0667183, SHANNON_ENTROPY: 10.0017467, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 369, 'shrink': 996, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1523973, PRECISION: 0.0314269, PRECISION_RECALL_MIN_DEN: 0.1119763, RECALL: 0.1086979, MAP: 0.0514907, MRR: 0.1124708, NDCG: 0.0784327, F1: 0.0487536, HIT_RATE: 0.3142692, ARHR: 0.1279700, NOVELTY: 0.0046259, AVERAGE_POPULARITY: 0.1431195, DIVERSITY_MEAN_INTER_LIST: 0.9712232, DIVERSITY_HERFINDAHL: 0.9971052, COVERAGE_ITEM: 0.3319346, COVERAGE_ITEM_CORRECT: 0.0306526, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1704794, DIVERSITY_GINI: 0.0799579, SHANNON_ENTROPY: 10.4745246, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 108, 'shrink': 781, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1575854, PRECISION: 0.0327992, PRECISION_RECALL_MIN_DEN: 0.1142626, RECALL: 0.1106946, MAP: 0.0533162, MRR: 0.1163382, NDCG: 0.0807669, F1: 0.0506022, HIT_RATE: 0.3279916, ARHR: 0.1332085, NOVELTY: 0.0048733, AVERAGE_POPULARITY: 0.0937496, DIVERSITY_MEAN_INTER_LIST: 0.9891435, DIVERSITY_HERFINDAHL: 0.9988969, COVERAGE_ITEM: 0.4070298, COVERAGE_ITEM_CORRECT: 0.0370818, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1752108, DIVERSITY_GINI: 0.1269556, SHANNON_ENTROPY: 11.5382348, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 6, 'shrink': 906, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0919073, PRECISION: 0.0201545, PRECISION_RECALL_MIN_DEN: 0.0606261, RECALL: 0.0572400, MAP: 0.0287633, MRR: 0.0681958, NDCG: 0.0433405, F1: 0.0298110, HIT_RATE: 0.2015455, ARHR: 0.0796578, NOVELTY: 0.0054398, AVERAGE_POPULARITY: 0.0298782, DIVERSITY_MEAN_INTER_LIST: 0.9532648, DIVERSITY_HERFINDAHL: 0.9953096, COVERAGE_ITEM: 0.5564119, COVERAGE_ITEM_CORRECT: 0.0367353, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1031584, DIVERSITY_GINI: 0.2479974, SHANNON_ENTROPY: 11.8638990, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 812, 'shrink': 276, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1482411, PRECISION: 0.0302609, PRECISION_RECALL_MIN_DEN: 0.1086111, RECALL: 0.1054447, MAP: 0.0501505, MRR: 0.1086591, NDCG: 0.0761114, F1: 0.0470224, HIT_RATE: 0.3026085, ARHR: 0.1235662, NOVELTY: 0.0045363, AVERAGE_POPULARITY: 0.1682772, DIVERSITY_MEAN_INTER_LIST: 0.9565651, DIVERSITY_HERFINDAHL: 0.9956396, COVERAGE_ITEM: 0.3089355, COVERAGE_ITEM_CORRECT: 0.0283041, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1646407, DIVERSITY_GINI: 0.0677892, SHANNON_ENTROPY: 10.0422371, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 578, 'shrink': 848, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1492721, PRECISION: 0.0303210, PRECISION_RECALL_MIN_DEN: 0.1088678, RECALL: 0.1056778, MAP: 0.0505333, MRR: 0.1095454, NDCG: 0.0765159, F1: 0.0471187, HIT_RATE: 0.3032103, ARHR: 0.1244153, NOVELTY: 0.0045667, AVERAGE_POPULARITY: 0.1591814, DIVERSITY_MEAN_INTER_LIST: 0.9621546, DIVERSITY_HERFINDAHL: 0.9961985, COVERAGE_ITEM: 0.3164735, COVERAGE_ITEM_CORRECT: 0.0284735, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1652447, DIVERSITY_GINI: 0.0716174, SHANNON_ENTROPY: 10.1859952, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 753, 'shrink': 539, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1477747, PRECISION: 0.0299147, PRECISION_RECALL_MIN_DEN: 0.1074395, RECALL: 0.1042944, MAP: 0.0498804, MRR: 0.1083080, NDCG: 0.0755627, F1: 0.0464910, HIT_RATE: 0.2991467, ARHR: 0.1229426, NOVELTY: 0.0045409, AVERAGE_POPULARITY: 0.1666891, DIVERSITY_MEAN_INTER_LIST: 0.9573942, DIVERSITY_HERFINDAHL: 0.9957225, COVERAGE_ITEM: 0.3094283, COVERAGE_ITEM_CORRECT: 0.0278422, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1632566, DIVERSITY_GINI: 0.0681386, SHANNON_ENTROPY: 10.0616261, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 665, 'shrink': 356, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1491492, PRECISION: 0.0303916, PRECISION_RECALL_MIN_DEN: 0.1090781, RECALL: 0.1058993, MAP: 0.0504172, MRR: 0.1094172, NDCG: 0.0765042, F1: 0.0472266, HIT_RATE: 0.3039163, ARHR: 0.1244111, NOVELTY: 0.0045519, AVERAGE_POPULARITY: 0.1635331, DIVERSITY_MEAN_INTER_LIST: 0.9596228, DIVERSITY_HERFINDAHL: 0.9959453, COVERAGE_ITEM: 0.3128162, COVERAGE_ITEM_CORRECT: 0.0285120, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1654964, DIVERSITY_GINI: 0.0697188, SHANNON_ENTROPY: 10.1165130, 
