
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 496, 'shrink': 403, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7282175590509827, 'tversky_beta': 0.617401717843656} - results: ROC_AUC: 0.1522164, PRECISION: 0.0311939, PRECISION_RECALL_MIN_DEN: 0.1111637, RECALL: 0.1079017, MAP: 0.0513818, MRR: 0.1119138, NDCG: 0.0780430, F1: 0.0483929, HIT_RATE: 0.3119391, ARHR: 0.1275291, NOVELTY: 0.0045827, AVERAGE_POPULARITY: 0.1546424, DIVERSITY_MEAN_INTER_LIST: 0.9651515, DIVERSITY_HERFINDAHL: 0.9964981, COVERAGE_ITEM: 0.3205621, COVERAGE_ITEM_CORRECT: 0.0297363, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1691456, DIVERSITY_GINI: 0.0737155, SHANNON_ENTROPY: 10.2638108, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 971, 'shrink': 395, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6538221403595222, 'tversky_beta': 0.6165950733584556} - results: ROC_AUC: 0.1457477, PRECISION: 0.0295398, PRECISION_RECALL_MIN_DEN: 0.1060987, RECALL: 0.1029829, MAP: 0.0493311, MRR: 0.1068534, NDCG: 0.0746498, F1: 0.0459069, HIT_RATE: 0.2953984, ARHR: 0.1212439, NOVELTY: 0.0045225, AVERAGE_POPULARITY: 0.1720447, DIVERSITY_MEAN_INTER_LIST: 0.9535488, DIVERSITY_HERFINDAHL: 0.9953380, COVERAGE_ITEM: 0.3049163, COVERAGE_ITEM_CORRECT: 0.0273802, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1611426, DIVERSITY_GINI: 0.0658748, SHANNON_ENTROPY: 9.9713960, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 384, 'shrink': 228, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6729519968691915, 'tversky_beta': 1.0658537412963105} - results: ROC_AUC: 0.1550572, PRECISION: 0.0320485, PRECISION_RECALL_MIN_DEN: 0.1135165, RECALL: 0.1101564, MAP: 0.0524191, MRR: 0.1147057, NDCG: 0.0797199, F1: 0.0496481, HIT_RATE: 0.3204847, ARHR: 0.1309638, NOVELTY: 0.0046168, AVERAGE_POPULARITY: 0.1453219, DIVERSITY_MEAN_INTER_LIST: 0.9702348, DIVERSITY_HERFINDAHL: 0.9970063, COVERAGE_ITEM: 0.3289779, COVERAGE_ITEM_CORRECT: 0.0313917, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1730213, DIVERSITY_GINI: 0.0783561, SHANNON_ENTROPY: 10.4250222, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 459, 'shrink': 635, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.854743096339549, 'tversky_beta': 1.9778694287908702} - results: ROC_AUC: 0.1509533, PRECISION: 0.0309249, PRECISION_RECALL_MIN_DEN: 0.1104025, RECALL: 0.1071644, MAP: 0.0510777, MRR: 0.1114305, NDCG: 0.0775462, F1: 0.0479946, HIT_RATE: 0.3092493, ARHR: 0.1267073, NOVELTY: 0.0045942, AVERAGE_POPULARITY: 0.1514819, DIVERSITY_MEAN_INTER_LIST: 0.9667788, DIVERSITY_HERFINDAHL: 0.9966608, COVERAGE_ITEM: 0.3236651, COVERAGE_ITEM_CORRECT: 0.0296362, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1681641, DIVERSITY_GINI: 0.0754183, SHANNON_ENTROPY: 10.3215336, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 12, 'shrink': 319, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.211122706323736, 'tversky_beta': 1.3676729325384525} - results: ROC_AUC: 0.1156419, PRECISION: 0.0246298, PRECISION_RECALL_MIN_DEN: 0.0774985, RECALL: 0.0739239, MAP: 0.0375328, MRR: 0.0863270, NDCG: 0.0561874, F1: 0.0369451, HIT_RATE: 0.2462978, ARHR: 0.1003576, NOVELTY: 0.0053162, AVERAGE_POPULARITY: 0.0411024, DIVERSITY_MEAN_INTER_LIST: 0.9903647, DIVERSITY_HERFINDAHL: 0.9990190, COVERAGE_ITEM: 0.5524158, COVERAGE_ITEM_CORRECT: 0.0403003, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1276960, DIVERSITY_GINI: 0.2568943, SHANNON_ENTROPY: 12.6713627, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 591, 'shrink': 96, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8585737286924264, 'tversky_beta': 1.879802679127152} - results: ROC_AUC: 0.1523124, PRECISION: 0.0311940, PRECISION_RECALL_MIN_DEN: 0.1117207, RECALL: 0.1084458, MAP: 0.0517541, MRR: 0.1120028, NDCG: 0.0784099, F1: 0.0484479, HIT_RATE: 0.3119398, ARHR: 0.1276240, NOVELTY: 0.0045679, AVERAGE_POPULARITY: 0.1595770, DIVERSITY_MEAN_INTER_LIST: 0.9624313, DIVERSITY_HERFINDAHL: 0.9962261, COVERAGE_ITEM: 0.3178595, COVERAGE_ITEM_CORRECT: 0.0297209, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1692211, DIVERSITY_GINI: 0.0722417, SHANNON_ENTROPY: 10.1977305, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 901, 'shrink': 640, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3522543623814762, 'tversky_beta': 0.038867551598726464} - results: ROC_AUC: 0.1466579, PRECISION: 0.0297415, PRECISION_RECALL_MIN_DEN: 0.1069270, RECALL: 0.1038094, MAP: 0.0495604, MRR: 0.1073866, NDCG: 0.0750828, F1: 0.0462329, HIT_RATE: 0.2974147, ARHR: 0.1219557, NOVELTY: 0.0045269, AVERAGE_POPULARITY: 0.1707760, DIVERSITY_MEAN_INTER_LIST: 0.9545961, DIVERSITY_HERFINDAHL: 0.9954427, COVERAGE_ITEM: 0.3061251, COVERAGE_ITEM_CORRECT: 0.0276574, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1621492, DIVERSITY_GINI: 0.0664281, SHANNON_ENTROPY: 9.9941204, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 637, 'shrink': 140, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.4421738416593136, 'tversky_beta': 1.2080706940333845} - results: ROC_AUC: 0.1494993, PRECISION: 0.0305046, PRECISION_RECALL_MIN_DEN: 0.1094174, RECALL: 0.1062326, MAP: 0.0506400, MRR: 0.1098386, NDCG: 0.0768000, F1: 0.0473960, HIT_RATE: 0.3050458, ARHR: 0.1249034, NOVELTY: 0.0045566, AVERAGE_POPULARITY: 0.1622898, DIVERSITY_MEAN_INTER_LIST: 0.9604168, DIVERSITY_HERFINDAHL: 0.9960247, COVERAGE_ITEM: 0.3136862, COVERAGE_ITEM_CORRECT: 0.0286506, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1657732, DIVERSITY_GINI: 0.0702557, SHANNON_ENTROPY: 10.1379787, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 448, 'shrink': 408, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3315486795546843, 'tversky_beta': 0.1458953076611436} - results: ROC_AUC: 0.1523501, PRECISION: 0.0313845, PRECISION_RECALL_MIN_DEN: 0.1116843, RECALL: 0.1084080, MAP: 0.0515173, MRR: 0.1126971, NDCG: 0.0783648, F1: 0.0486734, HIT_RATE: 0.3138448, ARHR: 0.1283119, NOVELTY: 0.0045948, AVERAGE_POPULARITY: 0.1511205, DIVERSITY_MEAN_INTER_LIST: 0.9671021, DIVERSITY_HERFINDAHL: 0.9966931, COVERAGE_ITEM: 0.3232647, COVERAGE_ITEM_CORRECT: 0.0301444, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1699761, DIVERSITY_GINI: 0.0752594, SHANNON_ENTROPY: 10.3219094, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'topK': 189, 'shrink': 894, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0253583750978887, 'tversky_beta': 1.3501139792675294} - results: ROC_AUC: 0.1580034, PRECISION: 0.0324797, PRECISION_RECALL_MIN_DEN: 0.1142820, RECALL: 0.1108607, MAP: 0.0536539, MRR: 0.1168870, NDCG: 0.0810961, F1: 0.0502380, HIT_RATE: 0.3247970, ARHR: 0.1332957, NOVELTY: 0.0047506, AVERAGE_POPULARITY: 0.1155840, DIVERSITY_MEAN_INTER_LIST: 0.9828179, DIVERSITY_HERFINDAHL: 0.9982644, COVERAGE_ITEM: 0.3687777, COVERAGE_ITEM_CORRECT: 0.0339403, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1751604, DIVERSITY_GINI: 0.1013061, SHANNON_ENTROPY: 11.0402631, 
