SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.12325986413731685, 'l1_ratio': 0.47276566007137477} - results: ROC_AUC: 0.1508400, PRECISION: 0.0307382, PRECISION_RECALL_MIN_DEN: 0.1339766, RECALL: 0.1315126, MAP: 0.0572132, MRR: 0.1060315, NDCG: 0.0864009, F1: 0.0498298, HIT_RATE: 0.3073823, ARHR: 0.1185350, NOVELTY: 0.0048019, AVERAGE_POPULARITY: 0.1099843, DIVERSITY_MEAN_INTER_LIST: 0.9828237, DIVERSITY_HERFINDAHL: 0.9982615, COVERAGE_ITEM: 0.3979211, COVERAGE_ITEM_CORRECT: 0.0325698, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1450862, DIVERSITY_GINI: 0.1287187, SHANNON_ENTROPY: 11.3251706, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.3520922365167169, 'l1_ratio': 0.15620886711854268} - results: ROC_AUC: 0.1502985, PRECISION: 0.0298685, PRECISION_RECALL_MIN_DEN: 0.1312498, RECALL: 0.1288974, MAP: 0.0569594, MRR: 0.1058090, NDCG: 0.0854377, F1: 0.0484987, HIT_RATE: 0.2986848, ARHR: 0.1178277, NOVELTY: 0.0047933, AVERAGE_POPULARITY: 0.1115365, DIVERSITY_MEAN_INTER_LIST: 0.9820949, DIVERSITY_HERFINDAHL: 0.9981887, COVERAGE_ITEM: 0.3963426, COVERAGE_ITEM_CORRECT: 0.0313763, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1423179, DIVERSITY_GINI: 0.1271138, SHANNON_ENTROPY: 11.2843351, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.5695110173606764, 'l1_ratio': 0.8296492706373795} - results: ROC_AUC: 0.1448244, PRECISION: 0.0295291, PRECISION_RECALL_MIN_DEN: 0.1278998, RECALL: 0.1257195, MAP: 0.0555919, MRR: 0.1044352, NDCG: 0.0836122, F1: 0.0478250, HIT_RATE: 0.2952906, ARHR: 0.1166727, NOVELTY: 0.0050037, AVERAGE_POPULARITY: 0.0648962, DIVERSITY_MEAN_INTER_LIST: 0.9937542, DIVERSITY_HERFINDAHL: 0.9993543, COVERAGE_ITEM: 0.5299326, COVERAGE_ITEM_CORRECT: 0.0380751, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1377878, DIVERSITY_GINI: 0.2360850, SHANNON_ENTROPY: 12.5415995, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.26405720031977237, 'l1_ratio': 0.10375674178732266} - results: ROC_AUC: 0.1466291, PRECISION: 0.0293806, PRECISION_RECALL_MIN_DEN: 0.1271648, RECALL: 0.1248202, MAP: 0.0550954, MRR: 0.1030666, NDCG: 0.0828853, F1: 0.0475651, HIT_RATE: 0.2938057, ARHR: 0.1150554, NOVELTY: 0.0047882, AVERAGE_POPULARITY: 0.1123665, DIVERSITY_MEAN_INTER_LIST: 0.9818501, DIVERSITY_HERFINDAHL: 0.9981642, COVERAGE_ITEM: 0.3930318, COVERAGE_ITEM_CORRECT: 0.0301444, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1390462, DIVERSITY_GINI: 0.1249292, SHANNON_ENTROPY: 11.2564809, 
SearchBayesianSkopt: New best config found. Config 4: {'alpha': 0.783234453874868, 'l1_ratio': 0.3972559795981373} - results: ROC_AUC: 0.1515268, PRECISION: 0.0308019, PRECISION_RECALL_MIN_DEN: 0.1361563, RECALL: 0.1338483, MAP: 0.0576806, MRR: 0.1071348, NDCG: 0.0873946, F1: 0.0500792, HIT_RATE: 0.3080187, ARHR: 0.1193842, NOVELTY: 0.0048768, AVERAGE_POPULARITY: 0.0878199, DIVERSITY_MEAN_INTER_LIST: 0.9884306, DIVERSITY_HERFINDAHL: 0.9988221, COVERAGE_ITEM: 0.4921655, COVERAGE_ITEM_CORRECT: 0.0368431, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1462187, DIVERSITY_GINI: 0.1962658, SHANNON_ENTROPY: 12.0369010, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.8829865406662957, 'l1_ratio': 0.7963987104474072} - results: ROC_AUC: 0.1148977, PRECISION: 0.0233560, PRECISION_RECALL_MIN_DEN: 0.0985082, RECALL: 0.0966247, MAP: 0.0421740, MRR: 0.0812571, NDCG: 0.0641321, F1: 0.0376188, HIT_RATE: 0.2335596, ARHR: 0.0899987, NOVELTY: 0.0051252, AVERAGE_POPULARITY: 0.0384049, DIVERSITY_MEAN_INTER_LIST: 0.9970910, DIVERSITY_HERFINDAHL: 0.9996880, COVERAGE_ITEM: 0.5546102, COVERAGE_ITEM_CORRECT: 0.0343792, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1112369, DIVERSITY_GINI: 0.2710027, SHANNON_ENTROPY: 12.9455063, 
SearchBayesianSkopt: New best config found. Config 6: {'alpha': 0.1645556762573415, 'l1_ratio': 0.8670858012048547} - results: ROC_AUC: 0.1598817, PRECISION: 0.0322232, PRECISION_RECALL_MIN_DEN: 0.1426620, RECALL: 0.1401524, MAP: 0.0623989, MRR: 0.1137731, NDCG: 0.0930201, F1: 0.0523990, HIT_RATE: 0.3222317, ARHR: 0.1269934, NOVELTY: 0.0048289, AVERAGE_POPULARITY: 0.1041970, DIVERSITY_MEAN_INTER_LIST: 0.9846174, DIVERSITY_HERFINDAHL: 0.9984409, COVERAGE_ITEM: 0.4206737, COVERAGE_ITEM_CORRECT: 0.0356882, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1521329, DIVERSITY_GINI: 0.1436372, SHANNON_ENTROPY: 11.5108529, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.27392808628871096, 'l1_ratio': 0.1458020477479917} - results: ROC_AUC: 0.1484907, PRECISION: 0.0295927, PRECISION_RECALL_MIN_DEN: 0.1291444, RECALL: 0.1268063, MAP: 0.0559232, MRR: 0.1044245, NDCG: 0.0840572, F1: 0.0479868, HIT_RATE: 0.2959270, ARHR: 0.1164531, NOVELTY: 0.0047915, AVERAGE_POPULARITY: 0.1117948, DIVERSITY_MEAN_INTER_LIST: 0.9820414, DIVERSITY_HERFINDAHL: 0.9981833, COVERAGE_ITEM: 0.3940712, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1404304, DIVERSITY_GINI: 0.1258697, SHANNON_ENTROPY: 11.2723164, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.6483908786934796, 'l1_ratio': 0.27079987221277796} - results: ROC_AUC: 0.1580924, PRECISION: 0.0314807, PRECISION_RECALL_MIN_DEN: 0.1404654, RECALL: 0.1380816, MAP: 0.0614405, MRR: 0.1114783, NDCG: 0.0915367, F1: 0.0512721, HIT_RATE: 0.3148070, ARHR: 0.1243010, NOVELTY: 0.0048188, AVERAGE_POPULARITY: 0.1031502, DIVERSITY_MEAN_INTER_LIST: 0.9844269, DIVERSITY_HERFINDAHL: 0.9984218, COVERAGE_ITEM: 0.4461213, COVERAGE_ITEM_CORRECT: 0.0356882, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1493645, DIVERSITY_GINI: 0.1579332, SHANNON_ENTROPY: 11.6028557, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.06646345396094501, 'l1_ratio': 0.7398073903853507} - results: ROC_AUC: 0.1496264, PRECISION: 0.0306746, PRECISION_RECALL_MIN_DEN: 0.1327810, RECALL: 0.1303014, MAP: 0.0569031, MRR: 0.1057626, NDCG: 0.0858773, F1: 0.0496589, HIT_RATE: 0.3067459, ARHR: 0.1183494, NOVELTY: 0.0048006, AVERAGE_POPULARITY: 0.1101195, DIVERSITY_MEAN_INTER_LIST: 0.9828152, DIVERSITY_HERFINDAHL: 0.9982607, COVERAGE_ITEM: 0.3961116, COVERAGE_ITEM_CORRECT: 0.0324158, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1440795, DIVERSITY_GINI: 0.1279192, SHANNON_ENTROPY: 11.3195703, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.5259582763913189, 'l1_ratio': 0.8953967771579361} - results: ROC_AUC: 0.1462368, PRECISION: 0.0297836, PRECISION_RECALL_MIN_DEN: 0.1288869, RECALL: 0.1266918, MAP: 0.0559036, MRR: 0.1050477, NDCG: 0.0842127, F1: 0.0482292, HIT_RATE: 0.2978362, ARHR: 0.1173831, NOVELTY: 0.0050067, AVERAGE_POPULARITY: 0.0648648, DIVERSITY_MEAN_INTER_LIST: 0.9938054, DIVERSITY_HERFINDAHL: 0.9993595, COVERAGE_ITEM: 0.5285467, COVERAGE_ITEM_CORRECT: 0.0383061, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1387945, DIVERSITY_GINI: 0.2352806, SHANNON_ENTROPY: 12.5409990, 
