SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.26273516031150773, 'l1_ratio': 0.8788563969462558} - results: ROC_AUC: 0.1584587, PRECISION: 0.0321383, PRECISION_RECALL_MIN_DEN: 0.1394672, RECALL: 0.1370311, MAP: 0.0604822, MRR: 0.1131343, NDCG: 0.0911316, F1: 0.0520655, HIT_RATE: 0.3213831, ARHR: 0.1264818, NOVELTY: 0.0049029, AVERAGE_POPULARITY: 0.0865661, DIVERSITY_MEAN_INTER_LIST: 0.9893494, DIVERSITY_HERFINDAHL: 0.9989140, COVERAGE_ITEM: 0.4929740, COVERAGE_ITEM_CORRECT: 0.0381906, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1503712, DIVERSITY_GINI: 0.1970102, SHANNON_ENTROPY: 12.0824888, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.43711319177137875, 'l1_ratio': 0.07419609101222803} - results: ROC_AUC: 0.1466824, PRECISION: 0.0287017, PRECISION_RECALL_MIN_DEN: 0.1266560, RECALL: 0.1244069, MAP: 0.0553186, MRR: 0.1024108, NDCG: 0.0827602, F1: 0.0466426, HIT_RATE: 0.2870174, ARHR: 0.1136289, NOVELTY: 0.0047520, AVERAGE_POPULARITY: 0.1183625, DIVERSITY_MEAN_INTER_LIST: 0.9794775, DIVERSITY_HERFINDAHL: 0.9979270, COVERAGE_ITEM: 0.3847931, COVERAGE_ITEM_CORRECT: 0.0293744, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1372845, DIVERSITY_GINI: 0.1181053, SHANNON_ENTROPY: 11.1058823, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.7028589238241573, 'l1_ratio': 0.8359624254978859} - results: ROC_AUC: 0.1187581, PRECISION: 0.0245227, PRECISION_RECALL_MIN_DEN: 0.1032493, RECALL: 0.1012433, MAP: 0.0442291, MRR: 0.0848066, NDCG: 0.0671166, F1: 0.0394822, HIT_RATE: 0.2452270, ARHR: 0.0942986, NOVELTY: 0.0051165, AVERAGE_POPULARITY: 0.0406619, DIVERSITY_MEAN_INTER_LIST: 0.9969369, DIVERSITY_HERFINDAHL: 0.9996725, COVERAGE_ITEM: 0.5532243, COVERAGE_ITEM_CORRECT: 0.0354187, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1163961, DIVERSITY_GINI: 0.2683105, SHANNON_ENTROPY: 12.9194796, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.04091380180561744, 'l1_ratio': 0.7860955912453553} - results: ROC_AUC: 0.1507000, PRECISION: 0.0301867, PRECISION_RECALL_MIN_DEN: 0.1312717, RECALL: 0.1289559, MAP: 0.0566692, MRR: 0.1064263, NDCG: 0.0855791, F1: 0.0489215, HIT_RATE: 0.3018668, ARHR: 0.1184744, NOVELTY: 0.0047156, AVERAGE_POPULARITY: 0.1245881, DIVERSITY_MEAN_INTER_LIST: 0.9774533, DIVERSITY_HERFINDAHL: 0.9977246, COVERAGE_ITEM: 0.3700481, COVERAGE_ITEM_CORRECT: 0.0304909, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1430729, DIVERSITY_GINI: 0.1089194, SHANNON_ENTROPY: 10.9550053, 
SearchBayesianSkopt: New best config found. Config 4: {'alpha': 0.48445092348951047, 'l1_ratio': 0.3508310784921714} - results: ROC_AUC: 0.1611682, PRECISION: 0.0319898, PRECISION_RECALL_MIN_DEN: 0.1431820, RECALL: 0.1407122, MAP: 0.0622030, MRR: 0.1137986, NDCG: 0.0930546, F1: 0.0521286, HIT_RATE: 0.3198982, ARHR: 0.1268547, NOVELTY: 0.0048212, AVERAGE_POPULARITY: 0.1016564, DIVERSITY_MEAN_INTER_LIST: 0.9847794, DIVERSITY_HERFINDAHL: 0.9984570, COVERAGE_ITEM: 0.4585563, COVERAGE_ITEM_CORRECT: 0.0363041, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1507487, DIVERSITY_GINI: 0.1664399, SHANNON_ENTROPY: 11.6726555, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.2839003291560243, 'l1_ratio': 0.8667983700438968} - results: ROC_AUC: 0.1569077, PRECISION: 0.0317777, PRECISION_RECALL_MIN_DEN: 0.1379104, RECALL: 0.1354081, MAP: 0.0599799, MRR: 0.1121815, NDCG: 0.0901799, F1: 0.0514751, HIT_RATE: 0.3177768, ARHR: 0.1252811, NOVELTY: 0.0049133, AVERAGE_POPULARITY: 0.0839036, DIVERSITY_MEAN_INTER_LIST: 0.9899942, DIVERSITY_HERFINDAHL: 0.9989784, COVERAGE_ITEM: 0.4990183, COVERAGE_ITEM_CORRECT: 0.0382291, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1491129, DIVERSITY_GINI: 0.2022954, SHANNON_ENTROPY: 12.1463230, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.5273284752537101, 'l1_ratio': 0.7941706777479433} - results: ROC_AUC: 0.1358052, PRECISION: 0.0280441, PRECISION_RECALL_MIN_DEN: 0.1182263, RECALL: 0.1159444, MAP: 0.0507552, MRR: 0.0964601, NDCG: 0.0769718, F1: 0.0451641, HIT_RATE: 0.2804412, ARHR: 0.1081350, NOVELTY: 0.0050302, AVERAGE_POPULARITY: 0.0586060, DIVERSITY_MEAN_INTER_LIST: 0.9948410, DIVERSITY_HERFINDAHL: 0.9994630, COVERAGE_ITEM: 0.5370164, COVERAGE_ITEM_CORRECT: 0.0365736, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1303637, DIVERSITY_GINI: 0.2454685, SHANNON_ENTROPY: 12.6574469, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4201896668563593, 'l1_ratio': 0.5676061057310053} - results: ROC_AUC: 0.1587074, PRECISION: 0.0316928, PRECISION_RECALL_MIN_DEN: 0.1383488, RECALL: 0.1358302, MAP: 0.0602008, MRR: 0.1119599, NDCG: 0.0903759, F1: 0.0513940, HIT_RATE: 0.3169283, ARHR: 0.1252830, NOVELTY: 0.0048847, AVERAGE_POPULARITY: 0.0884916, DIVERSITY_MEAN_INTER_LIST: 0.9885706, DIVERSITY_HERFINDAHL: 0.9988361, COVERAGE_ITEM: 0.4908566, COVERAGE_ITEM_CORRECT: 0.0375361, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1489870, DIVERSITY_GINI: 0.1941832, SHANNON_ENTROPY: 12.0257938, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.7767012207773837, 'l1_ratio': 0.5960210247505042} - results: ROC_AUC: 0.1328059, PRECISION: 0.0272380, PRECISION_RECALL_MIN_DEN: 0.1151858, RECALL: 0.1129329, MAP: 0.0497140, MRR: 0.0950398, NDCG: 0.0751916, F1: 0.0438902, HIT_RATE: 0.2723801, ARHR: 0.1061617, NOVELTY: 0.0050030, AVERAGE_POPULARITY: 0.0621450, DIVERSITY_MEAN_INTER_LIST: 0.9940010, DIVERSITY_HERFINDAHL: 0.9993790, COVERAGE_ITEM: 0.5328200, COVERAGE_ITEM_CORRECT: 0.0356497, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1272178, DIVERSITY_GINI: 0.2407577, SHANNON_ENTROPY: 12.5855127, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.06698983887846023, 'l1_ratio': 0.518951097147758} - results: ROC_AUC: 0.1525689, PRECISION: 0.0302715, PRECISION_RECALL_MIN_DEN: 0.1327763, RECALL: 0.1304947, MAP: 0.0575216, MRR: 0.1073653, NDCG: 0.0866110, F1: 0.0491431, HIT_RATE: 0.3027153, ARHR: 0.1194202, NOVELTY: 0.0047179, AVERAGE_POPULARITY: 0.1241731, DIVERSITY_MEAN_INTER_LIST: 0.9776223, DIVERSITY_HERFINDAHL: 0.9977415, COVERAGE_ITEM: 0.3710876, COVERAGE_ITEM_CORRECT: 0.0306833, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1440795, DIVERSITY_GINI: 0.1095720, SHANNON_ENTROPY: 10.9670180, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.706527657088623, 'l1_ratio': 0.6810992778951258} - results: ROC_AUC: 0.1298852, PRECISION: 0.0270259, PRECISION_RECALL_MIN_DEN: 0.1142216, RECALL: 0.1120452, MAP: 0.0488705, MRR: 0.0935399, NDCG: 0.0741646, F1: 0.0435478, HIT_RATE: 0.2702588, ARHR: 0.1047497, NOVELTY: 0.0050365, AVERAGE_POPULARITY: 0.0566390, DIVERSITY_MEAN_INTER_LIST: 0.9949925, DIVERSITY_HERFINDAHL: 0.9994781, COVERAGE_ITEM: 0.5390953, COVERAGE_ITEM_CORRECT: 0.0359962, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1257078, DIVERSITY_GINI: 0.2486811, SHANNON_ENTROPY: 12.6861805, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'alpha': 0.46731359092900293, 'l1_ratio': 0.756332220199326} - results: ROC_AUC: 0.1439610, PRECISION: 0.0293806, PRECISION_RECALL_MIN_DEN: 0.1260483, RECALL: 0.1236486, MAP: 0.0543748, MRR: 0.1026514, NDCG: 0.0820810, F1: 0.0474794, HIT_RATE: 0.2938057, ARHR: 0.1148410, NOVELTY: 0.0049823, AVERAGE_POPULARITY: 0.0680469, DIVERSITY_MEAN_INTER_LIST: 0.9932377, DIVERSITY_HERFINDAHL: 0.9993027, COVERAGE_ITEM: 0.5243118, COVERAGE_ITEM_CORRECT: 0.0368046, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1369070, DIVERSITY_GINI: 0.2299599, SHANNON_ENTROPY: 12.4783002, 
