SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.23127746676269062, 'l1_ratio': 0.47037997538194565} - results: ROC_AUC: 0.1608324, PRECISION: 0.0318838, PRECISION_RECALL_MIN_DEN: 0.1438913, RECALL: 0.1415914, MAP: 0.0626716, MRR: 0.1142682, NDCG: 0.0935978, F1: 0.0520474, HIT_RATE: 0.3188375, ARHR: 0.1268364, NOVELTY: 0.0048611, AVERAGE_POPULARITY: 0.0909086, DIVERSITY_MEAN_INTER_LIST: 0.9885495, DIVERSITY_HERFINDAHL: 0.9988340, COVERAGE_ITEM: 0.4714148, COVERAGE_ITEM_CORRECT: 0.0379596, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1511262, DIVERSITY_GINI: 0.1783051, SHANNON_ENTROPY: 11.8982319, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.27793129547455114, 'l1_ratio': 0.2827599485279268} - results: ROC_AUC: 0.1590052, PRECISION: 0.0315019, PRECISION_RECALL_MIN_DEN: 0.1407665, RECALL: 0.1384137, MAP: 0.0625445, MRR: 0.1137050, NDCG: 0.0926245, F1: 0.0513231, HIT_RATE: 0.3150191, ARHR: 0.1265309, NOVELTY: 0.0048118, AVERAGE_POPULARITY: 0.1026636, DIVERSITY_MEAN_INTER_LIST: 0.9851267, DIVERSITY_HERFINDAHL: 0.9984918, COVERAGE_ITEM: 0.4420789, COVERAGE_ITEM_CORRECT: 0.0356497, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1491129, DIVERSITY_GINI: 0.1543701, SHANNON_ENTROPY: 11.5829319, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.13652208895232534, 'l1_ratio': 0.799979110811569} - results: ROC_AUC: 0.1580335, PRECISION: 0.0314171, PRECISION_RECALL_MIN_DEN: 0.1404671, RECALL: 0.1381920, MAP: 0.0615995, MRR: 0.1124172, NDCG: 0.0918658, F1: 0.0511952, HIT_RATE: 0.3141706, ARHR: 0.1247543, NOVELTY: 0.0049114, AVERAGE_POPULARITY: 0.0802683, DIVERSITY_MEAN_INTER_LIST: 0.9912835, DIVERSITY_HERFINDAHL: 0.9991073, COVERAGE_ITEM: 0.4876227, COVERAGE_ITEM_CORRECT: 0.0392300, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1491129, DIVERSITY_GINI: 0.1939357, SHANNON_ENTROPY: 12.1298534, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.8029073381651766, 'l1_ratio': 0.16335058554470008} - results: ROC_AUC: 0.1498066, PRECISION: 0.0297200, PRECISION_RECALL_MIN_DEN: 0.1336999, RECALL: 0.1314410, MAP: 0.0583849, MRR: 0.1057822, NDCG: 0.0868767, F1: 0.0484785, HIT_RATE: 0.2971998, ARHR: 0.1173761, NOVELTY: 0.0047834, AVERAGE_POPULARITY: 0.1070264, DIVERSITY_MEAN_INTER_LIST: 0.9830003, DIVERSITY_HERFINDAHL: 0.9982792, COVERAGE_ITEM: 0.4405005, COVERAGE_ITEM_CORRECT: 0.0336092, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1415629, DIVERSITY_GINI: 0.1525812, SHANNON_ENTROPY: 11.5024523, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.580269971716379, 'l1_ratio': 0.819436368135993} - results: ROC_AUC: 0.1163910, PRECISION: 0.0233772, PRECISION_RECALL_MIN_DEN: 0.1018591, RECALL: 0.1000525, MAP: 0.0436924, MRR: 0.0817469, NDCG: 0.0660753, F1: 0.0378992, HIT_RATE: 0.2337717, ARHR: 0.0900667, NOVELTY: 0.0051134, AVERAGE_POPULARITY: 0.0396437, DIVERSITY_MEAN_INTER_LIST: 0.9969924, DIVERSITY_HERFINDAHL: 0.9996781, COVERAGE_ITEM: 0.5514148, COVERAGE_ITEM_CORRECT: 0.0342252, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1121178, DIVERSITY_GINI: 0.2674541, SHANNON_ENTROPY: 12.9202018, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.8231161225865464, 'l1_ratio': 0.9253683575164515} - results: ROC_AUC: 0.0967040, PRECISION: 0.0189860, PRECISION_RECALL_MIN_DEN: 0.0843441, RECALL: 0.0829677, MAP: 0.0354478, MRR: 0.0670095, NDCG: 0.0540444, F1: 0.0309008, HIT_RATE: 0.1898600, ARHR: 0.0729893, NOVELTY: 0.0052009, AVERAGE_POPULARITY: 0.0236109, DIVERSITY_MEAN_INTER_LIST: 0.9978640, DIVERSITY_HERFINDAHL: 0.9997652, COVERAGE_ITEM: 0.5645428, COVERAGE_ITEM_CORRECT: 0.0314148, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.0942494, DIVERSITY_GINI: 0.2848928, SHANNON_ENTROPY: 13.0842595, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.4782798145493835, 'l1_ratio': 0.9615083028671122} - results: ROC_AUC: 0.1113578, PRECISION: 0.0217013, PRECISION_RECALL_MIN_DEN: 0.0988799, RECALL: 0.0974749, MAP: 0.0422178, MRR: 0.0772980, NDCG: 0.0636931, F1: 0.0354993, HIT_RATE: 0.2170132, ARHR: 0.0842528, NOVELTY: 0.0051456, AVERAGE_POPULARITY: 0.0343212, DIVERSITY_MEAN_INTER_LIST: 0.9974077, DIVERSITY_HERFINDAHL: 0.9997196, COVERAGE_ITEM: 0.5556112, COVERAGE_ITEM_CORRECT: 0.0336092, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1072103, DIVERSITY_GINI: 0.2739252, SHANNON_ENTROPY: 12.9883116, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.474808972563042, 'l1_ratio': 0.25117200314327764} - results: ROC_AUC: 0.1558804, PRECISION: 0.0311837, PRECISION_RECALL_MIN_DEN: 0.1410603, RECALL: 0.1387922, MAP: 0.0609722, MRR: 0.1109405, NDCG: 0.0912147, F1: 0.0509255, HIT_RATE: 0.3118371, ARHR: 0.1233713, NOVELTY: 0.0048145, AVERAGE_POPULARITY: 0.1006347, DIVERSITY_MEAN_INTER_LIST: 0.9852526, DIVERSITY_HERFINDAHL: 0.9985044, COVERAGE_ITEM: 0.4551299, COVERAGE_ITEM_CORRECT: 0.0358807, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1479804, DIVERSITY_GINI: 0.1635983, SHANNON_ENTROPY: 11.6635300, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.7156251661417166, 'l1_ratio': 0.826968012451891} - results: ROC_AUC: 0.1096355, PRECISION: 0.0219347, PRECISION_RECALL_MIN_DEN: 0.0954277, RECALL: 0.0937425, MAP: 0.0408575, MRR: 0.0767850, NDCG: 0.0618227, F1: 0.0355508, HIT_RATE: 0.2193466, ARHR: 0.0842477, NOVELTY: 0.0051457, AVERAGE_POPULARITY: 0.0342653, DIVERSITY_MEAN_INTER_LIST: 0.9973753, DIVERSITY_HERFINDAHL: 0.9997164, COVERAGE_ITEM: 0.5568046, COVERAGE_ITEM_CORRECT: 0.0332628, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1064553, DIVERSITY_GINI: 0.2742869, SHANNON_ENTROPY: 12.9856112, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.48598179399716634, 'l1_ratio': 0.874082371748135} - results: ROC_AUC: 0.1181959, PRECISION: 0.0232499, PRECISION_RECALL_MIN_DEN: 0.1035668, RECALL: 0.1018677, MAP: 0.0449137, MRR: 0.0826617, NDCG: 0.0674257, F1: 0.0378590, HIT_RATE: 0.2324989, ARHR: 0.0906702, NOVELTY: 0.0051142, AVERAGE_POPULARITY: 0.0398216, DIVERSITY_MEAN_INTER_LIST: 0.9969951, DIVERSITY_HERFINDAHL: 0.9996784, COVERAGE_ITEM: 0.5512608, COVERAGE_ITEM_CORRECT: 0.0345332, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1126211, DIVERSITY_GINI: 0.2670177, SHANNON_ENTROPY: 12.9183167, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.5954886361602101, 'l1_ratio': 0.5330052216688687} - results: ROC_AUC: 0.1395985, PRECISION: 0.0281502, PRECISION_RECALL_MIN_DEN: 0.1233327, RECALL: 0.1211370, MAP: 0.0525999, MRR: 0.0994453, NDCG: 0.0797113, F1: 0.0456842, HIT_RATE: 0.2815019, ARHR: 0.1101899, NOVELTY: 0.0049599, AVERAGE_POPULARITY: 0.0688090, DIVERSITY_MEAN_INTER_LIST: 0.9929004, DIVERSITY_HERFINDAHL: 0.9992690, COVERAGE_ITEM: 0.5221944, COVERAGE_ITEM_CORRECT: 0.0358807, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1333837, DIVERSITY_GINI: 0.2280921, SHANNON_ENTROPY: 12.4489672, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'alpha': 0.9959071931808496, 'l1_ratio': 0.04535100283071137} - results: ROC_AUC: 0.1370065, PRECISION: 0.0267713, PRECISION_RECALL_MIN_DEN: 0.1181812, RECALL: 0.1161097, MAP: 0.0530246, MRR: 0.0978548, NDCG: 0.0784051, F1: 0.0435105, HIT_RATE: 0.2677132, ARHR: 0.1080411, NOVELTY: 0.0047735, AVERAGE_POPULARITY: 0.1149406, DIVERSITY_MEAN_INTER_LIST: 0.9804498, DIVERSITY_HERFINDAHL: 0.9980242, COVERAGE_ITEM: 0.4035034, COVERAGE_ITEM_CORRECT: 0.0281809, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1280987, DIVERSITY_GINI: 0.1285275, SHANNON_ENTROPY: 11.2266043, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'alpha': 0.9784042866326437, 'l1_ratio': 0.7816033287104113} - results: ROC_AUC: 0.1056251, PRECISION: 0.0214255, PRECISION_RECALL_MIN_DEN: 0.0910327, RECALL: 0.0892556, MAP: 0.0385810, MRR: 0.0743937, NDCG: 0.0588427, F1: 0.0345560, HIT_RATE: 0.2142554, ARHR: 0.0819460, NOVELTY: 0.0051574, AVERAGE_POPULARITY: 0.0317162, DIVERSITY_MEAN_INTER_LIST: 0.9975322, DIVERSITY_HERFINDAHL: 0.9997321, COVERAGE_ITEM: 0.5589220, COVERAGE_ITEM_CORRECT: 0.0327623, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1033094, DIVERSITY_GINI: 0.2769321, SHANNON_ENTROPY: 13.0117495, 
