SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.17630121183705175, 'l1_ratio': 0.22863460186744405} - results: ROC_AUC: 0.1525186, PRECISION: 0.0306322, PRECISION_RECALL_MIN_DEN: 0.1343118, RECALL: 0.1319711, MAP: 0.0574101, MRR: 0.1074871, NDCG: 0.0868860, F1: 0.0497230, HIT_RATE: 0.3063216, ARHR: 0.1197689, NOVELTY: 0.0047455, AVERAGE_POPULARITY: 0.1183633, DIVERSITY_MEAN_INTER_LIST: 0.9798958, DIVERSITY_HERFINDAHL: 0.9979688, COVERAGE_ITEM: 0.3779018, COVERAGE_ITEM_CORRECT: 0.0314148, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1449604, DIVERSITY_GINI: 0.1153915, SHANNON_ENTROPY: 11.1001129, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.1364416025991573, 'l1_ratio': 0.7307294731109838} - results: ROC_AUC: 0.1628586, PRECISION: 0.0323717, PRECISION_RECALL_MIN_DEN: 0.1438495, RECALL: 0.1414495, MAP: 0.0628090, MRR: 0.1155057, NDCG: 0.0939665, F1: 0.0526858, HIT_RATE: 0.3237166, ARHR: 0.1284622, NOVELTY: 0.0047725, AVERAGE_POPULARITY: 0.1132922, DIVERSITY_MEAN_INTER_LIST: 0.9815690, DIVERSITY_HERFINDAHL: 0.9981361, COVERAGE_ITEM: 0.4092782, COVERAGE_ITEM_CORRECT: 0.0348412, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1540204, DIVERSITY_GINI: 0.1334011, SHANNON_ENTROPY: 11.3115409, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.584901269167167, 'l1_ratio': 0.8083851124386167} - results: ROC_AUC: 0.1346746, PRECISION: 0.0272592, PRECISION_RECALL_MIN_DEN: 0.1163117, RECALL: 0.1142106, MAP: 0.0503680, MRR: 0.0959546, NDCG: 0.0760297, F1: 0.0440135, HIT_RATE: 0.2725923, ARHR: 0.1071372, NOVELTY: 0.0050706, AVERAGE_POPULARITY: 0.0511049, DIVERSITY_MEAN_INTER_LIST: 0.9959353, DIVERSITY_HERFINDAHL: 0.9995724, COVERAGE_ITEM: 0.5446391, COVERAGE_ITEM_CORRECT: 0.0370356, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1284762, DIVERSITY_GINI: 0.2557688, SHANNON_ENTROPY: 12.7828297, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.15591242159669197, 'l1_ratio': 0.26193530195819775} - results: ROC_AUC: 0.1524119, PRECISION: 0.0306958, PRECISION_RECALL_MIN_DEN: 0.1344462, RECALL: 0.1321078, MAP: 0.0573979, MRR: 0.1073515, NDCG: 0.0869512, F1: 0.0498165, HIT_RATE: 0.3069580, ARHR: 0.1196527, NOVELTY: 0.0047416, AVERAGE_POPULARITY: 0.1190562, DIVERSITY_MEAN_INTER_LIST: 0.9796461, DIVERSITY_HERFINDAHL: 0.9979438, COVERAGE_ITEM: 0.3766314, COVERAGE_ITEM_CORRECT: 0.0313378, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1453379, DIVERSITY_GINI: 0.1144754, SHANNON_ENTROPY: 11.0837255, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.22747937098302545, 'l1_ratio': 0.8676321868303117} - results: ROC_AUC: 0.1622590, PRECISION: 0.0329020, PRECISION_RECALL_MIN_DEN: 0.1450582, RECALL: 0.1426157, MAP: 0.0620497, MRR: 0.1157063, NDCG: 0.0938521, F1: 0.0534686, HIT_RATE: 0.3290199, ARHR: 0.1292646, NOVELTY: 0.0048751, AVERAGE_POPULARITY: 0.0927162, DIVERSITY_MEAN_INTER_LIST: 0.9877917, DIVERSITY_HERFINDAHL: 0.9987582, COVERAGE_ITEM: 0.4752262, COVERAGE_ITEM_CORRECT: 0.0386141, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1541462, DIVERSITY_GINI: 0.1824852, SHANNON_ENTROPY: 11.9175126, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.17569408922407706, 'l1_ratio': 0.978542974336382} - results: ROC_AUC: 0.1631605, PRECISION: 0.0326686, PRECISION_RECALL_MIN_DEN: 0.1440767, RECALL: 0.1416996, MAP: 0.0622000, MRR: 0.1160012, NDCG: 0.0937945, F1: 0.0530961, HIT_RATE: 0.3266865, ARHR: 0.1295075, NOVELTY: 0.0048472, AVERAGE_POPULARITY: 0.0981204, DIVERSITY_MEAN_INTER_LIST: 0.9862988, DIVERSITY_HERFINDAHL: 0.9986090, COVERAGE_ITEM: 0.4617902, COVERAGE_ITEM_CORRECT: 0.0376131, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1530137, DIVERSITY_GINI: 0.1714706, SHANNON_ENTROPY: 11.7793367, 
SearchBayesianSkopt: New best config found. Config 6: {'alpha': 0.5710372888472115, 'l1_ratio': 0.403058072105703} - results: ROC_AUC: 0.1633081, PRECISION: 0.0333687, PRECISION_RECALL_MIN_DEN: 0.1470961, RECALL: 0.1444466, MAP: 0.0635698, MRR: 0.1172977, NDCG: 0.0954545, F1: 0.0542135, HIT_RATE: 0.3336869, ARHR: 0.1311733, NOVELTY: 0.0048886, AVERAGE_POPULARITY: 0.0907466, DIVERSITY_MEAN_INTER_LIST: 0.9883271, DIVERSITY_HERFINDAHL: 0.9988117, COVERAGE_ITEM: 0.4752647, COVERAGE_ITEM_CORRECT: 0.0389220, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1557821, DIVERSITY_GINI: 0.1833115, SHANNON_ENTROPY: 11.9437457, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.9414884421911056, 'l1_ratio': 0.9371238641735332} - results: ROC_AUC: 0.0945713, PRECISION: 0.0188163, PRECISION_RECALL_MIN_DEN: 0.0811727, RECALL: 0.0797084, MAP: 0.0349303, MRR: 0.0662746, NDCG: 0.0528578, F1: 0.0304455, HIT_RATE: 0.1881629, ARHR: 0.0725281, NOVELTY: 0.0052171, AVERAGE_POPULARITY: 0.0208647, DIVERSITY_MEAN_INTER_LIST: 0.9979248, DIVERSITY_HERFINDAHL: 0.9997713, COVERAGE_ITEM: 0.5656978, COVERAGE_ITEM_CORRECT: 0.0314148, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.0921102, DIVERSITY_GINI: 0.2872782, SHANNON_ENTROPY: 13.1018124, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.9612642329079336, 'l1_ratio': 0.3122447481422654} - results: ROC_AUC: 0.1620205, PRECISION: 0.0330081, PRECISION_RECALL_MIN_DEN: 0.1457291, RECALL: 0.1432045, MAP: 0.0628870, MRR: 0.1159844, NDCG: 0.0945254, F1: 0.0536500, HIT_RATE: 0.3300806, ARHR: 0.1294775, NOVELTY: 0.0049118, AVERAGE_POPULARITY: 0.0865670, DIVERSITY_MEAN_INTER_LIST: 0.9893765, DIVERSITY_HERFINDAHL: 0.9989167, COVERAGE_ITEM: 0.4840808, COVERAGE_ITEM_CORRECT: 0.0393455, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1550271, DIVERSITY_GINI: 0.1914266, SHANNON_ENTROPY: 12.0484591, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.5474966340717045, 'l1_ratio': 0.9885387843028391} - results: ROC_AUC: 0.1216865, PRECISION: 0.0252015, PRECISION_RECALL_MIN_DEN: 0.1057168, RECALL: 0.1036431, MAP: 0.0450537, MRR: 0.0864374, NDCG: 0.0685712, F1: 0.0405444, HIT_RATE: 0.2520153, ARHR: 0.0962627, NOVELTY: 0.0051281, AVERAGE_POPULARITY: 0.0396667, DIVERSITY_MEAN_INTER_LIST: 0.9970661, DIVERSITY_HERFINDAHL: 0.9996855, COVERAGE_ITEM: 0.5544177, COVERAGE_ITEM_CORRECT: 0.0360731, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1192903, DIVERSITY_GINI: 0.2693668, SHANNON_ENTROPY: 12.9352107, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.18995574086124029, 'l1_ratio': 0.213446138633183} - results: ROC_AUC: 0.1522843, PRECISION: 0.0307170, PRECISION_RECALL_MIN_DEN: 0.1347912, RECALL: 0.1324323, MAP: 0.0574450, MRR: 0.1074766, NDCG: 0.0870108, F1: 0.0498675, HIT_RATE: 0.3071701, ARHR: 0.1197440, NOVELTY: 0.0047472, AVERAGE_POPULARITY: 0.1180470, DIVERSITY_MEAN_INTER_LIST: 0.9800166, DIVERSITY_HERFINDAHL: 0.9979809, COVERAGE_ITEM: 0.3790183, COVERAGE_ITEM_CORRECT: 0.0315303, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1453379, DIVERSITY_GINI: 0.1159043, SHANNON_ENTROPY: 11.1085900, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'alpha': 0.6245743566773954, 'l1_ratio': 0.7626514327053039} - results: ROC_AUC: 0.1354365, PRECISION: 0.0273865, PRECISION_RECALL_MIN_DEN: 0.1164848, RECALL: 0.1143627, MAP: 0.0509244, MRR: 0.0967790, NDCG: 0.0765924, F1: 0.0441906, HIT_RATE: 0.2738651, ARHR: 0.1079639, NOVELTY: 0.0050663, AVERAGE_POPULARITY: 0.0519910, DIVERSITY_MEAN_INTER_LIST: 0.9958274, DIVERSITY_HERFINDAHL: 0.9995616, COVERAGE_ITEM: 0.5447161, COVERAGE_ITEM_CORRECT: 0.0369586, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1286020, DIVERSITY_GINI: 0.2551695, SHANNON_ENTROPY: 12.7723314, 
