SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.025474317618860882, 'l1_ratio': 0.34675938144781143} - results: ROC_AUC: 0.1418195, PRECISION: 0.0281714, PRECISION_RECALL_MIN_DEN: 0.1164833, RECALL: 0.1140734, MAP: 0.0511430, MRR: 0.1002009, NDCG: 0.0775340, F1: 0.0451842, HIT_RATE: 0.2817140, ARHR: 0.1116134, NOVELTY: 0.0048352, AVERAGE_POPULARITY: 0.0958102, DIVERSITY_MEAN_INTER_LIST: 0.9894558, DIVERSITY_HERFINDAHL: 0.9989246, COVERAGE_ITEM: 0.3807122, COVERAGE_ITEM_CORRECT: 0.0318383, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1332578, DIVERSITY_GINI: 0.1284239, SHANNON_ENTROPY: 11.6046265, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.21356241536616333, 'l1_ratio': 0.2089306770214044} - results: ROC_AUC: 0.1468393, PRECISION: 0.0296563, PRECISION_RECALL_MIN_DEN: 0.1227919, RECALL: 0.1202508, MAP: 0.0534851, MRR: 0.1038910, NDCG: 0.0812243, F1: 0.0475788, HIT_RATE: 0.2965634, ARHR: 0.1159723, NOVELTY: 0.0048452, AVERAGE_POPULARITY: 0.0953804, DIVERSITY_MEAN_INTER_LIST: 0.9893746, DIVERSITY_HERFINDAHL: 0.9989165, COVERAGE_ITEM: 0.3909143, COVERAGE_ITEM_CORRECT: 0.0330703, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1390462, DIVERSITY_GINI: 0.1327514, SHANNON_ENTROPY: 11.6313480, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.27500768461456854, 'l1_ratio': 0.9474844760145368} - results: ROC_AUC: 0.1596370, PRECISION: 0.0320110, PRECISION_RECALL_MIN_DEN: 0.1364611, RECALL: 0.1338121, MAP: 0.0597960, MRR: 0.1132670, NDCG: 0.0899491, F1: 0.0516630, HIT_RATE: 0.3201103, ARHR: 0.1265650, NOVELTY: 0.0048990, AVERAGE_POPULARITY: 0.0859821, DIVERSITY_MEAN_INTER_LIST: 0.9915455, DIVERSITY_HERFINDAHL: 0.9991335, COVERAGE_ITEM: 0.4194033, COVERAGE_ITEM_CORRECT: 0.0387295, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1507487, DIVERSITY_GINI: 0.1526139, SHANNON_ENTROPY: 11.8946757, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.42024999487791803, 'l1_ratio': 0.048932272353763864} - results: ROC_AUC: 0.1468743, PRECISION: 0.0296988, PRECISION_RECALL_MIN_DEN: 0.1233768, RECALL: 0.1208717, MAP: 0.0534117, MRR: 0.1029463, NDCG: 0.0811767, F1: 0.0476819, HIT_RATE: 0.2969877, ARHR: 0.1150284, NOVELTY: 0.0048334, AVERAGE_POPULARITY: 0.0981846, DIVERSITY_MEAN_INTER_LIST: 0.9882688, DIVERSITY_HERFINDAHL: 0.9988059, COVERAGE_ITEM: 0.3903369, COVERAGE_ITEM_CORRECT: 0.0324543, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1390462, DIVERSITY_GINI: 0.1311880, SHANNON_ENTROPY: 11.5672216, 
SearchBayesianSkopt: New best config found. Config 4: {'alpha': 0.6568039816697487, 'l1_ratio': 0.6945570441815794} - results: ROC_AUC: 0.1582271, PRECISION: 0.0319474, PRECISION_RECALL_MIN_DEN: 0.1388087, RECALL: 0.1364009, MAP: 0.0609590, MRR: 0.1145612, NDCG: 0.0913903, F1: 0.0517695, HIT_RATE: 0.3194739, ARHR: 0.1276665, NOVELTY: 0.0050021, AVERAGE_POPULARITY: 0.0667915, DIVERSITY_MEAN_INTER_LIST: 0.9944941, DIVERSITY_HERFINDAHL: 0.9994283, COVERAGE_ITEM: 0.5016362, COVERAGE_ITEM_CORRECT: 0.0420404, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1498679, DIVERSITY_GINI: 0.2140925, SHANNON_ENTROPY: 12.4553979, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.8125903776467366, 'l1_ratio': 0.5893027832639693} - results: ROC_AUC: 0.1543188, PRECISION: 0.0305897, PRECISION_RECALL_MIN_DEN: 0.1325797, RECALL: 0.1302878, MAP: 0.0586692, MRR: 0.1109050, NDCG: 0.0878423, F1: 0.0495466, HIT_RATE: 0.3058973, ARHR: 0.1234351, NOVELTY: 0.0050200, AVERAGE_POPULARITY: 0.0634085, DIVERSITY_MEAN_INTER_LIST: 0.9946770, DIVERSITY_HERFINDAHL: 0.9994466, COVERAGE_ITEM: 0.5188065, COVERAGE_ITEM_CORRECT: 0.0401155, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1437020, DIVERSITY_GINI: 0.2286548, SHANNON_ENTROPY: 12.5505915, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.1837984602855999, 'l1_ratio': 0.03975834744555163} - results: ROC_AUC: 0.1429501, PRECISION: 0.0289775, PRECISION_RECALL_MIN_DEN: 0.1203662, RECALL: 0.1178771, MAP: 0.0519117, MRR: 0.1015312, NDCG: 0.0791758, F1: 0.0465193, HIT_RATE: 0.2897751, ARHR: 0.1131102, NOVELTY: 0.0048383, AVERAGE_POPULARITY: 0.0962083, DIVERSITY_MEAN_INTER_LIST: 0.9891879, DIVERSITY_HERFINDAHL: 0.9988978, COVERAGE_ITEM: 0.3866025, COVERAGE_ITEM_CORRECT: 0.0319923, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1366553, DIVERSITY_GINI: 0.1307117, SHANNON_ENTROPY: 11.6075994, 
SearchBayesianSkopt: New best config found. Config 7: {'alpha': 0.5290703490271916, 'l1_ratio': 0.706140445326089} - results: ROC_AUC: 0.1633490, PRECISION: 0.0327747, PRECISION_RECALL_MIN_DEN: 0.1405127, RECALL: 0.1379802, MAP: 0.0616071, MRR: 0.1164199, NDCG: 0.0926535, F1: 0.0529679, HIT_RATE: 0.3277471, ARHR: 0.1297595, NOVELTY: 0.0049566, AVERAGE_POPULARITY: 0.0760740, DIVERSITY_MEAN_INTER_LIST: 0.9931725, DIVERSITY_HERFINDAHL: 0.9992962, COVERAGE_ITEM: 0.4671800, COVERAGE_ITEM_CORRECT: 0.0412705, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1543979, DIVERSITY_GINI: 0.1859572, SHANNON_ENTROPY: 12.2050494, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.35996798847301653, 'l1_ratio': 0.03842693363863448} - results: ROC_AUC: 0.1453832, PRECISION: 0.0294018, PRECISION_RECALL_MIN_DEN: 0.1217038, RECALL: 0.1192020, MAP: 0.0529475, MRR: 0.1023321, NDCG: 0.0803592, F1: 0.0471691, HIT_RATE: 0.2940178, ARHR: 0.1143758, NOVELTY: 0.0048346, AVERAGE_POPULARITY: 0.0976562, DIVERSITY_MEAN_INTER_LIST: 0.9885437, DIVERSITY_HERFINDAHL: 0.9988334, COVERAGE_ITEM: 0.3891049, COVERAGE_ITEM_CORRECT: 0.0323003, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1374103, DIVERSITY_GINI: 0.1310363, SHANNON_ENTROPY: 11.5792515, 
SearchBayesianSkopt: New best config found. Config 9: {'alpha': 0.9137152463788316, 'l1_ratio': 0.1928288176098995} - results: ROC_AUC: 0.1633296, PRECISION: 0.0326686, PRECISION_RECALL_MIN_DEN: 0.1442969, RECALL: 0.1417709, MAP: 0.0634765, MRR: 0.1162016, NDCG: 0.0945250, F1: 0.0531011, HIT_RATE: 0.3266865, ARHR: 0.1294067, NOVELTY: 0.0048467, AVERAGE_POPULARITY: 0.0995466, DIVERSITY_MEAN_INTER_LIST: 0.9864792, DIVERSITY_HERFINDAHL: 0.9986270, COVERAGE_ITEM: 0.4266410, COVERAGE_ITEM_CORRECT: 0.0371126, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1547754, DIVERSITY_GINI: 0.1496752, SHANNON_ENTROPY: 11.6349708, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.6386558607509942, 'l1_ratio': 0.15042847805108664} - results: ROC_AUC: 0.1550436, PRECISION: 0.0312686, PRECISION_RECALL_MIN_DEN: 0.1338726, RECALL: 0.1312392, MAP: 0.0574232, MRR: 0.1091999, NDCG: 0.0871297, F1: 0.0505042, HIT_RATE: 0.3126856, ARHR: 0.1216041, NOVELTY: 0.0048398, AVERAGE_POPULARITY: 0.0987417, DIVERSITY_MEAN_INTER_LIST: 0.9876600, DIVERSITY_HERFINDAHL: 0.9987450, COVERAGE_ITEM: 0.3995380, COVERAGE_ITEM_CORRECT: 0.0344562, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1473512, DIVERSITY_GINI: 0.1353473, SHANNON_ENTROPY: 11.5742127, 
