SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.29866693520121496, 'l1_ratio': 0.6897447849659003} - results: ROC_AUC: 0.1474506, PRECISION: 0.0294654, PRECISION_RECALL_MIN_DEN: 0.1271628, RECALL: 0.1248372, MAP: 0.0547682, MRR: 0.1046949, NDCG: 0.0830355, F1: 0.0476775, HIT_RATE: 0.2946542, ARHR: 0.1162081, NOVELTY: 0.0048767, AVERAGE_POPULARITY: 0.1007711, DIVERSITY_MEAN_INTER_LIST: 0.9859247, DIVERSITY_HERFINDAHL: 0.9985716, COVERAGE_ITEM: 0.4480462, COVERAGE_ITEM_CORRECT: 0.0328008, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1395495, DIVERSITY_GINI: 0.1677888, SHANNON_ENTROPY: 11.7831507, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.4498648586539177, 'l1_ratio': 0.7696083055020052} - results: ROC_AUC: 0.1520431, PRECISION: 0.0302291, PRECISION_RECALL_MIN_DEN: 0.1294509, RECALL: 0.1270201, MAP: 0.0567179, MRR: 0.1078698, NDCG: 0.0853716, F1: 0.0488359, HIT_RATE: 0.3022910, ARHR: 0.1201808, NOVELTY: 0.0049414, AVERAGE_POPULARITY: 0.0827044, DIVERSITY_MEAN_INTER_LIST: 0.9905276, DIVERSITY_HERFINDAHL: 0.9990317, COVERAGE_ITEM: 0.5068335, COVERAGE_ITEM_CORRECT: 0.0363041, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1428212, DIVERSITY_GINI: 0.2113026, SHANNON_ENTROPY: 12.2458357, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.294702815658989, 'l1_ratio': 0.9339157467044668} - results: ROC_AUC: 0.1491018, PRECISION: 0.0298473, PRECISION_RECALL_MIN_DEN: 0.1284223, RECALL: 0.1259684, MAP: 0.0564262, MRR: 0.1072044, NDCG: 0.0846877, F1: 0.0482597, HIT_RATE: 0.2984726, ARHR: 0.1189713, NOVELTY: 0.0049060, AVERAGE_POPULARITY: 0.0933855, DIVERSITY_MEAN_INTER_LIST: 0.9879341, DIVERSITY_HERFINDAHL: 0.9987725, COVERAGE_ITEM: 0.4744947, COVERAGE_ITEM_CORRECT: 0.0343407, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1408079, DIVERSITY_GINI: 0.1864592, SHANNON_ENTROPY: 11.9866276, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.29083266057349716, 'l1_ratio': 0.7715261453461577} - results: ROC_AUC: 0.1483941, PRECISION: 0.0295715, PRECISION_RECALL_MIN_DEN: 0.1279139, RECALL: 0.1256181, MAP: 0.0549683, MRR: 0.1049073, NDCG: 0.0833933, F1: 0.0478732, HIT_RATE: 0.2957149, ARHR: 0.1163539, NOVELTY: 0.0048876, AVERAGE_POPULARITY: 0.0988218, DIVERSITY_MEAN_INTER_LIST: 0.9864838, DIVERSITY_HERFINDAHL: 0.9986275, COVERAGE_ITEM: 0.4548989, COVERAGE_ITEM_CORRECT: 0.0333013, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1408079, DIVERSITY_GINI: 0.1728823, SHANNON_ENTROPY: 11.8399247, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.6559418325168893, 'l1_ratio': 0.622523579461617} - results: ROC_AUC: 0.1476157, PRECISION: 0.0291684, PRECISION_RECALL_MIN_DEN: 0.1253573, RECALL: 0.1230479, MAP: 0.0556891, MRR: 0.1059397, NDCG: 0.0833097, F1: 0.0471581, HIT_RATE: 0.2916843, ARHR: 0.1178233, NOVELTY: 0.0049943, AVERAGE_POPULARITY: 0.0683983, DIVERSITY_MEAN_INTER_LIST: 0.9933920, DIVERSITY_HERFINDAHL: 0.9993181, COVERAGE_ITEM: 0.5294706, COVERAGE_ITEM_CORRECT: 0.0367661, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1377878, DIVERSITY_GINI: 0.2345464, SHANNON_ENTROPY: 12.5190359, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.6194186791739694, 'l1_ratio': 0.6393465648961099} - results: ROC_AUC: 0.1487360, PRECISION: 0.0294866, PRECISION_RECALL_MIN_DEN: 0.1276336, RECALL: 0.1252524, MAP: 0.0562935, MRR: 0.1067904, NDCG: 0.0842882, F1: 0.0477355, HIT_RATE: 0.2948664, ARHR: 0.1188234, NOVELTY: 0.0049848, AVERAGE_POPULARITY: 0.0711568, DIVERSITY_MEAN_INTER_LIST: 0.9929029, DIVERSITY_HERFINDAHL: 0.9992692, COVERAGE_ITEM: 0.5258133, COVERAGE_ITEM_CORRECT: 0.0366506, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1389203, DIVERSITY_GINI: 0.2304765, SHANNON_ENTROPY: 12.4711048, 
SearchBayesianSkopt: New best config found. Config 6: {'alpha': 0.7790618501016526, 'l1_ratio': 0.19681318440478573} - results: ROC_AUC: 0.1580409, PRECISION: 0.0320747, PRECISION_RECALL_MIN_DEN: 0.1411640, RECALL: 0.1387513, MAP: 0.0610479, MRR: 0.1134065, NDCG: 0.0918412, F1: 0.0521045, HIT_RATE: 0.3207467, ARHR: 0.1264303, NOVELTY: 0.0048223, AVERAGE_POPULARITY: 0.1062906, DIVERSITY_MEAN_INTER_LIST: 0.9840702, DIVERSITY_HERFINDAHL: 0.9983861, COVERAGE_ITEM: 0.4427334, COVERAGE_ITEM_CORRECT: 0.0357652, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1508745, DIVERSITY_GINI: 0.1572440, SHANNON_ENTROPY: 11.5985087, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.02682657608713846, 'l1_ratio': 0.525399637241461} - results: ROC_AUC: 0.1261531, PRECISION: 0.0244378, PRECISION_RECALL_MIN_DEN: 0.1037725, RECALL: 0.1018437, MAP: 0.0443985, MRR: 0.0888715, NDCG: 0.0681152, F1: 0.0394173, HIT_RATE: 0.2443784, ARHR: 0.0978120, NOVELTY: 0.0048496, AVERAGE_POPULARITY: 0.1119633, DIVERSITY_MEAN_INTER_LIST: 0.9823416, DIVERSITY_HERFINDAHL: 0.9982133, COVERAGE_ITEM: 0.4001925, COVERAGE_ITEM_CORRECT: 0.0246006, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1184095, DIVERSITY_GINI: 0.1393930, SHANNON_ENTROPY: 11.4659313, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.9424934232226947, 'l1_ratio': 0.4992402708821534} - results: ROC_AUC: 0.1327386, PRECISION: 0.0268774, PRECISION_RECALL_MIN_DEN: 0.1142325, RECALL: 0.1120753, MAP: 0.0494497, MRR: 0.0946897, NDCG: 0.0747466, F1: 0.0433571, HIT_RATE: 0.2687739, ARHR: 0.1058436, NOVELTY: 0.0050773, AVERAGE_POPULARITY: 0.0497126, DIVERSITY_MEAN_INTER_LIST: 0.9961272, DIVERSITY_HERFINDAHL: 0.9995916, COVERAGE_ITEM: 0.5456785, COVERAGE_ITEM_CORRECT: 0.0366506, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1263370, DIVERSITY_GINI: 0.2579647, SHANNON_ENTROPY: 12.8088681, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.4278462436720242, 'l1_ratio': 0.6519211832344288} - results: ROC_AUC: 0.1530379, PRECISION: 0.0303564, PRECISION_RECALL_MIN_DEN: 0.1302488, RECALL: 0.1278184, MAP: 0.0575827, MRR: 0.1093486, NDCG: 0.0863130, F1: 0.0490610, HIT_RATE: 0.3035639, ARHR: 0.1214692, NOVELTY: 0.0049067, AVERAGE_POPULARITY: 0.0914550, DIVERSITY_MEAN_INTER_LIST: 0.9884249, DIVERSITY_HERFINDAHL: 0.9988215, COVERAGE_ITEM: 0.4838499, COVERAGE_ITEM_CORRECT: 0.0353417, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1433245, DIVERSITY_GINI: 0.1923228, SHANNON_ENTROPY: 12.0368843, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.20351369132943548, 'l1_ratio': 0.019451153832478755} - results: ROC_AUC: 0.1280387, PRECISION: 0.0245651, PRECISION_RECALL_MIN_DEN: 0.1038792, RECALL: 0.1019110, MAP: 0.0456792, MRR: 0.0906476, NDCG: 0.0692552, F1: 0.0395878, HIT_RATE: 0.2456513, ARHR: 0.0998507, NOVELTY: 0.0048320, AVERAGE_POPULARITY: 0.1147056, DIVERSITY_MEAN_INTER_LIST: 0.9814530, DIVERSITY_HERFINDAHL: 0.9981245, COVERAGE_ITEM: 0.3948797, COVERAGE_ITEM_CORRECT: 0.0241001, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1186611, DIVERSITY_GINI: 0.1346802, SHANNON_ENTROPY: 11.3879128, 
