SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.7429571595604444, 'l1_ratio': 0.3735986520021776} - results: ROC_AUC: 0.1621871, PRECISION: 0.0328384, PRECISION_RECALL_MIN_DEN: 0.1408340, RECALL: 0.1382018, MAP: 0.0607429, MRR: 0.1147091, NDCG: 0.0919146, F1: 0.0530673, HIT_RATE: 0.3283835, ARHR: 0.1280751, NOVELTY: 0.0048962, AVERAGE_POPULARITY: 0.0886340, DIVERSITY_MEAN_INTER_LIST: 0.9906080, DIVERSITY_HERFINDAHL: 0.9990398, COVERAGE_ITEM: 0.4380366, COVERAGE_ITEM_CORRECT: 0.0391145, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1542721, DIVERSITY_GINI: 0.1620208, SHANNON_ENTROPY: 11.9167180, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.5038769660382457, 'l1_ratio': 0.09043324300155976} - results: ROC_AUC: 0.1450728, PRECISION: 0.0286169, PRECISION_RECALL_MIN_DEN: 0.1212081, RECALL: 0.1188716, MAP: 0.0528429, MRR: 0.1022303, NDCG: 0.0799971, F1: 0.0461288, HIT_RATE: 0.2861689, ARHR: 0.1134062, NOVELTY: 0.0048276, AVERAGE_POPULARITY: 0.1043685, DIVERSITY_MEAN_INTER_LIST: 0.9863930, DIVERSITY_HERFINDAHL: 0.9986184, COVERAGE_ITEM: 0.3923773, COVERAGE_ITEM_CORRECT: 0.0303754, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1362778, DIVERSITY_GINI: 0.1323301, SHANNON_ENTROPY: 11.5120014, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.6374709128605144, 'l1_ratio': 0.9903140246115174} - results: ROC_AUC: 0.1284005, PRECISION: 0.0254773, PRECISION_RECALL_MIN_DEN: 0.1097359, RECALL: 0.1078024, MAP: 0.0488503, MRR: 0.0931857, NDCG: 0.0729976, F1: 0.0412143, HIT_RATE: 0.2547730, ARHR: 0.1025133, NOVELTY: 0.0051018, AVERAGE_POPULARITY: 0.0453503, DIVERSITY_MEAN_INTER_LIST: 0.9965598, DIVERSITY_HERFINDAHL: 0.9996348, COVERAGE_ITEM: 0.5529548, COVERAGE_ITEM_CORRECT: 0.0357267, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1220586, DIVERSITY_GINI: 0.2665949, SHANNON_ENTROPY: 12.8902182, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.24465191142654924, 'l1_ratio': 0.6505910196918991} - results: ROC_AUC: 0.1456079, PRECISION: 0.0290412, PRECISION_RECALL_MIN_DEN: 0.1245745, RECALL: 0.1222986, MAP: 0.0530823, MRR: 0.1023448, NDCG: 0.0810666, F1: 0.0469367, HIT_RATE: 0.2904115, ARHR: 0.1136722, NOVELTY: 0.0048701, AVERAGE_POPULARITY: 0.1036764, DIVERSITY_MEAN_INTER_LIST: 0.9853774, DIVERSITY_HERFINDAHL: 0.9985168, COVERAGE_ITEM: 0.4283734, COVERAGE_ITEM_CORRECT: 0.0315303, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1379137, DIVERSITY_GINI: 0.1549757, SHANNON_ENTROPY: 11.6706883, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.7001787924093275, 'l1_ratio': 0.12222028948925248} - results: ROC_AUC: 0.1500276, PRECISION: 0.0298897, PRECISION_RECALL_MIN_DEN: 0.1261992, RECALL: 0.1237212, MAP: 0.0552707, MRR: 0.1068759, NDCG: 0.0834915, F1: 0.0481475, HIT_RATE: 0.2988969, ARHR: 0.1186920, NOVELTY: 0.0048356, AVERAGE_POPULARITY: 0.0996220, DIVERSITY_MEAN_INTER_LIST: 0.9880796, DIVERSITY_HERFINDAHL: 0.9987870, COVERAGE_ITEM: 0.3912993, COVERAGE_ITEM_CORRECT: 0.0330318, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1411854, DIVERSITY_GINI: 0.1322239, SHANNON_ENTROPY: 11.5758441, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.685220395420089, 'l1_ratio': 0.6272813359016474} - results: ROC_AUC: 0.1591244, PRECISION: 0.0318201, PRECISION_RECALL_MIN_DEN: 0.1381016, RECALL: 0.1356763, MAP: 0.0606182, MRR: 0.1141841, NDCG: 0.0910067, F1: 0.0515502, HIT_RATE: 0.3182011, ARHR: 0.1272961, NOVELTY: 0.0049861, AVERAGE_POPULARITY: 0.0716460, DIVERSITY_MEAN_INTER_LIST: 0.9935097, DIVERSITY_HERFINDAHL: 0.9993299, COVERAGE_ITEM: 0.5064485, COVERAGE_ITEM_CORRECT: 0.0407315, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1493645, DIVERSITY_GINI: 0.2150168, SHANNON_ENTROPY: 12.4065732, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.4060444663769742, 'l1_ratio': 0.47195138919665547} - results: ROC_AUC: 0.1519781, PRECISION: 0.0305261, PRECISION_RECALL_MIN_DEN: 0.1307007, RECALL: 0.1282726, MAP: 0.0561243, MRR: 0.1076992, NDCG: 0.0852965, F1: 0.0493160, HIT_RATE: 0.3052609, ARHR: 0.1199526, NOVELTY: 0.0048714, AVERAGE_POPULARITY: 0.0998262, DIVERSITY_MEAN_INTER_LIST: 0.9870488, DIVERSITY_HERFINDAHL: 0.9986839, COVERAGE_ITEM: 0.4307988, COVERAGE_ITEM_CORRECT: 0.0337247, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1437020, DIVERSITY_GINI: 0.1554649, SHANNON_ENTROPY: 11.7247161, 
SearchBayesianSkopt: New best config found. Config 7: {'alpha': 0.7904592291595413, 'l1_ratio': 0.3814950447466986} - results: ROC_AUC: 0.1630084, PRECISION: 0.0329020, PRECISION_RECALL_MIN_DEN: 0.1410378, RECALL: 0.1383374, MAP: 0.0613591, MRR: 0.1152379, NDCG: 0.0924468, F1: 0.0531604, HIT_RATE: 0.3290199, ARHR: 0.1288864, NOVELTY: 0.0049091, AVERAGE_POPULARITY: 0.0859819, DIVERSITY_MEAN_INTER_LIST: 0.9912464, DIVERSITY_HERFINDAHL: 0.9991036, COVERAGE_ITEM: 0.4431954, COVERAGE_ITEM_CORRECT: 0.0397305, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1541462, DIVERSITY_GINI: 0.1661583, SHANNON_ENTROPY: 11.9767344, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.6549734304462758, 'l1_ratio': 0.054643320947818666} - results: ROC_AUC: 0.1442679, PRECISION: 0.0292321, PRECISION_RECALL_MIN_DEN: 0.1231507, RECALL: 0.1207133, MAP: 0.0531832, MRR: 0.1033507, NDCG: 0.0808646, F1: 0.0470665, HIT_RATE: 0.2923207, ARHR: 0.1148145, NOVELTY: 0.0048244, AVERAGE_POPULARITY: 0.1017656, DIVERSITY_MEAN_INTER_LIST: 0.9874793, DIVERSITY_HERFINDAHL: 0.9987270, COVERAGE_ITEM: 0.3869105, COVERAGE_ITEM_CORRECT: 0.0319153, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1380395, DIVERSITY_GINI: 0.1293484, SHANNON_ENTROPY: 11.5267104, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.9512445260023363, 'l1_ratio': 0.7319669178684816} - results: ROC_AUC: 0.1308202, PRECISION: 0.0260713, PRECISION_RECALL_MIN_DEN: 0.1123779, RECALL: 0.1104460, MAP: 0.0495390, MRR: 0.0928230, NDCG: 0.0741942, F1: 0.0421847, HIT_RATE: 0.2607128, ARHR: 0.1025972, NOVELTY: 0.0051379, AVERAGE_POPULARITY: 0.0388308, DIVERSITY_MEAN_INTER_LIST: 0.9973717, DIVERSITY_HERFINDAHL: 0.9997160, COVERAGE_ITEM: 0.5497594, COVERAGE_ITEM_CORRECT: 0.0382676, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1245753, DIVERSITY_GINI: 0.2673450, SHANNON_ENTROPY: 12.9547296, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.909810363543787, 'l1_ratio': 0.6333848571855427} - results: ROC_AUC: 0.1493527, PRECISION: 0.0292533, PRECISION_RECALL_MIN_DEN: 0.1266368, RECALL: 0.1243843, MAP: 0.0574269, MRR: 0.1075387, NDCG: 0.0850060, F1: 0.0473667, HIT_RATE: 0.2925329, ARHR: 0.1191613, NOVELTY: 0.0050713, AVERAGE_POPULARITY: 0.0528320, DIVERSITY_MEAN_INTER_LIST: 0.9962914, DIVERSITY_HERFINDAHL: 0.9996080, COVERAGE_ITEM: 0.5309336, COVERAGE_ITEM_CORRECT: 0.0405390, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1387945, DIVERSITY_GINI: 0.2437250, SHANNON_ENTROPY: 12.7425908, 
