SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.44839479608145416, 'l1_ratio': 0.77948606595262} - results: ROC_AUC: 0.1620325, PRECISION: 0.0328171, PRECISION_RECALL_MIN_DEN: 0.1410207, RECALL: 0.1384552, MAP: 0.0613444, MRR: 0.1153551, NDCG: 0.0924443, F1: 0.0530582, HIT_RATE: 0.3281714, ARHR: 0.1286921, NOVELTY: 0.0049515, AVERAGE_POPULARITY: 0.0764905, DIVERSITY_MEAN_INTER_LIST: 0.9932613, DIVERSITY_HERFINDAHL: 0.9993051, COVERAGE_ITEM: 0.4577478, COVERAGE_ITEM_CORRECT: 0.0414629, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1549012, DIVERSITY_GINI: 0.1800319, SHANNON_ENTROPY: 12.1736688, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.5596669907651232, 'l1_ratio': 0.03446113826088338} - results: ROC_AUC: 0.1466547, PRECISION: 0.0295078, PRECISION_RECALL_MIN_DEN: 0.1228632, RECALL: 0.1203338, MAP: 0.0531089, MRR: 0.1034346, NDCG: 0.0808910, F1: 0.0473939, HIT_RATE: 0.2950785, ARHR: 0.1154195, NOVELTY: 0.0048205, AVERAGE_POPULARITY: 0.0989450, DIVERSITY_MEAN_INTER_LIST: 0.9884479, DIVERSITY_HERFINDAHL: 0.9988238, COVERAGE_ITEM: 0.3802117, COVERAGE_ITEM_CORRECT: 0.0326853, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1387945, DIVERSITY_GINI: 0.1255126, SHANNON_ENTROPY: 11.5261675, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.7670225336876212, 'l1_ratio': 0.3850086966681021} - results: ROC_AUC: 0.1591887, PRECISION: 0.0315443, PRECISION_RECALL_MIN_DEN: 0.1383392, RECALL: 0.1359766, MAP: 0.0608897, MRR: 0.1140668, NDCG: 0.0911621, F1: 0.0512090, HIT_RATE: 0.3154434, ARHR: 0.1267057, NOVELTY: 0.0049925, AVERAGE_POPULARITY: 0.0673310, DIVERSITY_MEAN_INTER_LIST: 0.9944346, DIVERSITY_HERFINDAHL: 0.9994224, COVERAGE_ITEM: 0.4947064, COVERAGE_ITEM_CORRECT: 0.0421174, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1492387, DIVERSITY_GINI: 0.2086562, SHANNON_ENTROPY: 12.4167534, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.35230190470761297, 'l1_ratio': 0.781781047294424} - results: ROC_AUC: 0.1606213, PRECISION: 0.0323717, PRECISION_RECALL_MIN_DEN: 0.1384345, RECALL: 0.1357800, MAP: 0.0603869, MRR: 0.1145075, NDCG: 0.0909656, F1: 0.0522793, HIT_RATE: 0.3237166, ARHR: 0.1277651, NOVELTY: 0.0049099, AVERAGE_POPULARITY: 0.0840801, DIVERSITY_MEAN_INTER_LIST: 0.9918946, DIVERSITY_HERFINDAHL: 0.9991684, COVERAGE_ITEM: 0.4276035, COVERAGE_ITEM_CORRECT: 0.0394610, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1528879, DIVERSITY_GINI: 0.1581836, SHANNON_ENTROPY: 11.9524092, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.056216827358250634, 'l1_ratio': 0.04982990701842273} - results: ROC_AUC: 0.1414439, PRECISION: 0.0280441, PRECISION_RECALL_MIN_DEN: 0.1159459, RECALL: 0.1135574, MAP: 0.0506463, MRR: 0.0995512, NDCG: 0.0769834, F1: 0.0449800, HIT_RATE: 0.2804412, ARHR: 0.1109285, NOVELTY: 0.0048321, AVERAGE_POPULARITY: 0.0961649, DIVERSITY_MEAN_INTER_LIST: 0.9893723, DIVERSITY_HERFINDAHL: 0.9989162, COVERAGE_ITEM: 0.3784023, COVERAGE_ITEM_CORRECT: 0.0316843, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1327545, DIVERSITY_GINI: 0.1273438, SHANNON_ENTROPY: 11.5922926, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.36365501266764094, 'l1_ratio': 0.26126682200678336} - results: ROC_AUC: 0.1523597, PRECISION: 0.0303564, PRECISION_RECALL_MIN_DEN: 0.1283325, RECALL: 0.1258325, MAP: 0.0555774, MRR: 0.1077135, NDCG: 0.0844098, F1: 0.0489128, HIT_RATE: 0.3035639, ARHR: 0.1199941, NOVELTY: 0.0048485, AVERAGE_POPULARITY: 0.0942011, DIVERSITY_MEAN_INTER_LIST: 0.9897285, DIVERSITY_HERFINDAHL: 0.9989519, COVERAGE_ITEM: 0.3899134, COVERAGE_ITEM_CORRECT: 0.0350722, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1437020, DIVERSITY_GINI: 0.1326984, SHANNON_ENTROPY: 11.6476983, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.08907486854000969, 'l1_ratio': 0.06730610331545185} - results: ROC_AUC: 0.1419235, PRECISION: 0.0281502, PRECISION_RECALL_MIN_DEN: 0.1167995, RECALL: 0.1144110, MAP: 0.0512559, MRR: 0.1003572, NDCG: 0.0776730, F1: 0.0451833, HIT_RATE: 0.2815019, ARHR: 0.1118070, NOVELTY: 0.0048322, AVERAGE_POPULARITY: 0.0962543, DIVERSITY_MEAN_INTER_LIST: 0.9893374, DIVERSITY_HERFINDAHL: 0.9989127, COVERAGE_ITEM: 0.3792878, COVERAGE_ITEM_CORRECT: 0.0317998, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1332578, DIVERSITY_GINI: 0.1275495, SHANNON_ENTROPY: 11.5912423, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.8769162806335299, 'l1_ratio': 0.6059831946142136} - results: ROC_AUC: 0.1238793, PRECISION: 0.0247985, PRECISION_RECALL_MIN_DEN: 0.1099404, RECALL: 0.1081830, MAP: 0.0482886, MRR: 0.0886393, NDCG: 0.0720402, F1: 0.0403481, HIT_RATE: 0.2479847, ARHR: 0.0973745, NOVELTY: 0.0051413, AVERAGE_POPULARITY: 0.0373889, DIVERSITY_MEAN_INTER_LIST: 0.9973646, DIVERSITY_HERFINDAHL: 0.9997153, COVERAGE_ITEM: 0.5512993, COVERAGE_ITEM_CORRECT: 0.0376131, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1194161, DIVERSITY_GINI: 0.2690536, SHANNON_ENTROPY: 12.9618030, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.48127901694800745, 'l1_ratio': 0.24195185236805666} - results: ROC_AUC: 0.1568212, PRECISION: 0.0310564, PRECISION_RECALL_MIN_DEN: 0.1324962, RECALL: 0.1299703, MAP: 0.0574689, MRR: 0.1108087, NDCG: 0.0870704, F1: 0.0501335, HIT_RATE: 0.3105643, ARHR: 0.1231272, NOVELTY: 0.0048546, AVERAGE_POPULARITY: 0.0932524, DIVERSITY_MEAN_INTER_LIST: 0.9898742, DIVERSITY_HERFINDAHL: 0.9989664, COVERAGE_ITEM: 0.3971511, COVERAGE_ITEM_CORRECT: 0.0359192, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1477287, DIVERSITY_GINI: 0.1364019, SHANNON_ENTROPY: 11.6830595, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.9580919741269763, 'l1_ratio': 0.9614676615037032} - results: ROC_AUC: 0.0930907, PRECISION: 0.0183072, PRECISION_RECALL_MIN_DEN: 0.0806928, RECALL: 0.0793708, MAP: 0.0342543, MRR: 0.0645214, NDCG: 0.0520298, F1: 0.0297519, HIT_RATE: 0.1830717, ARHR: 0.0704863, NOVELTY: 0.0052256, AVERAGE_POPULARITY: 0.0196498, DIVERSITY_MEAN_INTER_LIST: 0.9979507, DIVERSITY_HERFINDAHL: 0.9997739, COVERAGE_ITEM: 0.5658903, COVERAGE_ITEM_CORRECT: 0.0309913, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.0903486, DIVERSITY_GINI: 0.2877958, SHANNON_ENTROPY: 13.1074019, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7858347809919832, 'l1_ratio': 0.7990052737893513} - results: ROC_AUC: 0.1280566, PRECISION: 0.0254561, PRECISION_RECALL_MIN_DEN: 0.1111521, RECALL: 0.1093353, MAP: 0.0487908, MRR: 0.0910100, NDCG: 0.0731039, F1: 0.0412971, HIT_RATE: 0.2545609, ARHR: 0.1001571, NOVELTY: 0.0051407, AVERAGE_POPULARITY: 0.0379557, DIVERSITY_MEAN_INTER_LIST: 0.9973996, DIVERSITY_HERFINDAHL: 0.9997188, COVERAGE_ITEM: 0.5504524, COVERAGE_ITEM_CORRECT: 0.0382291, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1226878, DIVERSITY_GINI: 0.2680987, SHANNON_ENTROPY: 12.9608823, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'alpha': 0.5627478019157869, 'l1_ratio': 0.8752145945609425} - results: ROC_AUC: 0.1565714, PRECISION: 0.0308231, PRECISION_RECALL_MIN_DEN: 0.1345895, RECALL: 0.1322687, MAP: 0.0591605, MRR: 0.1109924, NDCG: 0.0886647, F1: 0.0499955, HIT_RATE: 0.3082308, ARHR: 0.1234214, NOVELTY: 0.0050317, AVERAGE_POPULARITY: 0.0604644, DIVERSITY_MEAN_INTER_LIST: 0.9955399, DIVERSITY_HERFINDAHL: 0.9995329, COVERAGE_ITEM: 0.5074110, COVERAGE_ITEM_CORRECT: 0.0422329, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1460929, DIVERSITY_GINI: 0.2215482, SHANNON_ENTROPY: 12.5663906, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'alpha': 0.7988658426615902, 'l1_ratio': 0.3334016937588448} - results: ROC_AUC: 0.1597390, PRECISION: 0.0318838, PRECISION_RECALL_MIN_DEN: 0.1396456, RECALL: 0.1372946, MAP: 0.0613019, MRR: 0.1145249, NDCG: 0.0918911, F1: 0.0517497, HIT_RATE: 0.3188375, ARHR: 0.1273213, NOVELTY: 0.0049850, AVERAGE_POPULARITY: 0.0686763, DIVERSITY_MEAN_INTER_LIST: 0.9941893, DIVERSITY_HERFINDAHL: 0.9993978, COVERAGE_ITEM: 0.4935900, COVERAGE_ITEM_CORRECT: 0.0420789, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1503712, DIVERSITY_GINI: 0.2067879, SHANNON_ENTROPY: 12.3891665, 
SearchBayesianSkopt: New best config found. Config 13: {'alpha': 0.971790408072411, 'l1_ratio': 0.06455900567441976} - results: ROC_AUC: 0.1614679, PRECISION: 0.0329020, PRECISION_RECALL_MIN_DEN: 0.1421109, RECALL: 0.1395504, MAP: 0.0624793, MRR: 0.1164788, NDCG: 0.0935890, F1: 0.0532493, HIT_RATE: 0.3290199, ARHR: 0.1300482, NOVELTY: 0.0048526, AVERAGE_POPULARITY: 0.0931097, DIVERSITY_MEAN_INTER_LIST: 0.9887183, DIVERSITY_HERFINDAHL: 0.9988509, COVERAGE_ITEM: 0.4371896, COVERAGE_ITEM_CORRECT: 0.0388450, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1537687, DIVERSITY_GINI: 0.1554885, SHANNON_ENTROPY: 11.7379417, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'alpha': 0.9417196425704549, 'l1_ratio': 0.7742152295268792} - results: ROC_AUC: 0.1017009, PRECISION: 0.0200467, PRECISION_RECALL_MIN_DEN: 0.0892676, RECALL: 0.0878346, MAP: 0.0377111, MRR: 0.0702703, NDCG: 0.0572677, F1: 0.0326431, HIT_RATE: 0.2004667, ARHR: 0.0767485, NOVELTY: 0.0052022, AVERAGE_POPULARITY: 0.0245700, DIVERSITY_MEAN_INTER_LIST: 0.9978592, DIVERSITY_HERFINDAHL: 0.9997648, COVERAGE_ITEM: 0.5634649, COVERAGE_ITEM_CORRECT: 0.0329163, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.0991569, DIVERSITY_GINI: 0.2846329, SHANNON_ENTROPY: 13.0830817, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'alpha': 0.32295248910537694, 'l1_ratio': 0.3950913244219504} - results: ROC_AUC: 0.1543251, PRECISION: 0.0306958, PRECISION_RECALL_MIN_DEN: 0.1306487, RECALL: 0.1281320, MAP: 0.0565130, MRR: 0.1090365, NDCG: 0.0857455, F1: 0.0495268, HIT_RATE: 0.3069580, ARHR: 0.1212770, NOVELTY: 0.0048580, AVERAGE_POPULARITY: 0.0927034, DIVERSITY_MEAN_INTER_LIST: 0.9900895, DIVERSITY_HERFINDAHL: 0.9989879, COVERAGE_ITEM: 0.3952647, COVERAGE_ITEM_CORRECT: 0.0355727, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1458412, DIVERSITY_GINI: 0.1360970, SHANNON_ENTROPY: 11.6935767, 
