SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.4214963494302725, 'l1_ratio': 0.6850042626651418} - results: ROC_AUC: 0.1531783, PRECISION: 0.0305261, PRECISION_RECALL_MIN_DEN: 0.1306065, RECALL: 0.1280983, MAP: 0.0574936, MRR: 0.1089300, NDCG: 0.0862794, F1: 0.0493031, HIT_RATE: 0.3052609, ARHR: 0.1210768, NOVELTY: 0.0049200, AVERAGE_POPULARITY: 0.0881623, DIVERSITY_MEAN_INTER_LIST: 0.9892612, DIVERSITY_HERFINDAHL: 0.9989051, COVERAGE_ITEM: 0.4910106, COVERAGE_ITEM_CORRECT: 0.0359962, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1444570, DIVERSITY_GINI: 0.1983077, SHANNON_ENTROPY: 12.1119162, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.6590196361675328, 'l1_ratio': 0.6257483953653997} - results: ROC_AUC: 0.1433301, PRECISION: 0.0283623, PRECISION_RECALL_MIN_DEN: 0.1231702, RECALL: 0.1210332, MAP: 0.0546966, MRR: 0.1032608, NDCG: 0.0816651, F1: 0.0459556, HIT_RATE: 0.2836232, ARHR: 0.1144697, NOVELTY: 0.0050252, AVERAGE_POPULARITY: 0.0618248, DIVERSITY_MEAN_INTER_LIST: 0.9944879, DIVERSITY_HERFINDAHL: 0.9994277, COVERAGE_ITEM: 0.5371319, COVERAGE_ITEM_CORRECT: 0.0372666, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1340128, DIVERSITY_GINI: 0.2440891, SHANNON_ENTROPY: 12.6353458, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.5872584089309537, 'l1_ratio': 0.5873423182550485} - results: ROC_AUC: 0.1496694, PRECISION: 0.0297412, PRECISION_RECALL_MIN_DEN: 0.1295070, RECALL: 0.1271921, MAP: 0.0567325, MRR: 0.1070498, NDCG: 0.0851640, F1: 0.0482096, HIT_RATE: 0.2974120, ARHR: 0.1187988, NOVELTY: 0.0049718, AVERAGE_POPULARITY: 0.0741837, DIVERSITY_MEAN_INTER_LIST: 0.9923262, DIVERSITY_HERFINDAHL: 0.9992116, COVERAGE_ITEM: 0.5191530, COVERAGE_ITEM_CORRECT: 0.0370356, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1413112, DIVERSITY_GINI: 0.2243289, SHANNON_ENTROPY: 12.4078640, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.5890142562672722, 'l1_ratio': 0.5453945989541757} - results: ROC_AUC: 0.1505268, PRECISION: 0.0301443, PRECISION_RECALL_MIN_DEN: 0.1306273, RECALL: 0.1282256, MAP: 0.0571977, MRR: 0.1075795, NDCG: 0.0858626, F1: 0.0488131, HIT_RATE: 0.3014425, ARHR: 0.1196294, NOVELTY: 0.0049615, AVERAGE_POPULARITY: 0.0770763, DIVERSITY_MEAN_INTER_LIST: 0.9917569, DIVERSITY_HERFINDAHL: 0.9991546, COVERAGE_ITEM: 0.5151107, COVERAGE_ITEM_CORRECT: 0.0371126, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1426954, DIVERSITY_GINI: 0.2196199, SHANNON_ENTROPY: 12.3516193, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.8853898756852039, 'l1_ratio': 0.979203211907876} - results: ROC_AUC: 0.0963224, PRECISION: 0.0189860, PRECISION_RECALL_MIN_DEN: 0.0828897, RECALL: 0.0814283, MAP: 0.0353949, MRR: 0.0667193, NDCG: 0.0536370, F1: 0.0307924, HIT_RATE: 0.1898600, ARHR: 0.0730067, NOVELTY: 0.0052105, AVERAGE_POPULARITY: 0.0219555, DIVERSITY_MEAN_INTER_LIST: 0.9978994, DIVERSITY_HERFINDAHL: 0.9997688, COVERAGE_ITEM: 0.5655438, COVERAGE_ITEM_CORRECT: 0.0315303, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.0929911, DIVERSITY_GINI: 0.2863947, SHANNON_ENTROPY: 13.0954834, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.45782393784364206, 'l1_ratio': 0.7770336850743369} - results: ROC_AUC: 0.1503472, PRECISION: 0.0299109, PRECISION_RECALL_MIN_DEN: 0.1278661, RECALL: 0.1253810, MAP: 0.0562974, MRR: 0.1068857, NDCG: 0.0844899, F1: 0.0482995, HIT_RATE: 0.2991090, ARHR: 0.1189606, NOVELTY: 0.0049566, AVERAGE_POPULARITY: 0.0794037, DIVERSITY_MEAN_INTER_LIST: 0.9912544, DIVERSITY_HERFINDAHL: 0.9991044, COVERAGE_ITEM: 0.5120693, COVERAGE_ITEM_CORRECT: 0.0364196, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1411854, DIVERSITY_GINI: 0.2168835, SHANNON_ENTROPY: 12.3148096, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.25993132959001203, 'l1_ratio': 0.7114719990180849} - results: ROC_AUC: 0.1450554, PRECISION: 0.0290624, PRECISION_RECALL_MIN_DEN: 0.1242390, RECALL: 0.1219271, MAP: 0.0532858, MRR: 0.1017842, NDCG: 0.0810462, F1: 0.0469369, HIT_RATE: 0.2906237, ARHR: 0.1131736, NOVELTY: 0.0048754, AVERAGE_POPULARITY: 0.1021203, DIVERSITY_MEAN_INTER_LIST: 0.9855039, DIVERSITY_HERFINDAHL: 0.9985295, COVERAGE_ITEM: 0.4399230, COVERAGE_ITEM_CORRECT: 0.0320693, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1374103, DIVERSITY_GINI: 0.1630714, SHANNON_ENTROPY: 11.7401697, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.11084804910272886, 'l1_ratio': 0.6472861325224547} - results: ROC_AUC: 0.1325711, PRECISION: 0.0259652, PRECISION_RECALL_MIN_DEN: 0.1121362, RECALL: 0.1100771, MAP: 0.0472541, MRR: 0.0936396, NDCG: 0.0726714, F1: 0.0420189, HIT_RATE: 0.2596521, ARHR: 0.1031974, NOVELTY: 0.0048551, AVERAGE_POPULARITY: 0.1100422, DIVERSITY_MEAN_INTER_LIST: 0.9829971, DIVERSITY_HERFINDAHL: 0.9982789, COVERAGE_ITEM: 0.4058903, COVERAGE_ITEM_CORRECT: 0.0269105, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1253303, DIVERSITY_GINI: 0.1429721, SHANNON_ENTROPY: 11.5126443, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.03529775222743648, 'l1_ratio': 0.6409104664076231} - results: ROC_AUC: 0.1261970, PRECISION: 0.0245439, PRECISION_RECALL_MIN_DEN: 0.1038078, RECALL: 0.1018299, MAP: 0.0444022, MRR: 0.0888074, NDCG: 0.0681302, F1: 0.0395541, HIT_RATE: 0.2454391, ARHR: 0.0978032, NOVELTY: 0.0048507, AVERAGE_POPULARITY: 0.1116898, DIVERSITY_MEAN_INTER_LIST: 0.9824436, DIVERSITY_HERFINDAHL: 0.9982235, COVERAGE_ITEM: 0.4006930, COVERAGE_ITEM_CORRECT: 0.0247931, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1185353, DIVERSITY_GINI: 0.1399216, SHANNON_ENTROPY: 11.4726880, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.07557349509778168, 'l1_ratio': 0.6136752752475266} - results: ROC_AUC: 0.1292455, PRECISION: 0.0250955, PRECISION_RECALL_MIN_DEN: 0.1071118, RECALL: 0.1050919, MAP: 0.0456427, MRR: 0.0906882, NDCG: 0.0700066, F1: 0.0405159, HIT_RATE: 0.2509546, ARHR: 0.1000313, NOVELTY: 0.0048532, AVERAGE_POPULARITY: 0.1108963, DIVERSITY_MEAN_INTER_LIST: 0.9827136, DIVERSITY_HERFINDAHL: 0.9982505, COVERAGE_ITEM: 0.4030414, COVERAGE_ITEM_CORRECT: 0.0255245, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1209261, DIVERSITY_GINI: 0.1411552, SHANNON_ENTROPY: 11.4889387, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.26077504050201167, 'l1_ratio': 0.36524230133986896} - results: ROC_AUC: 0.1369195, PRECISION: 0.0268774, PRECISION_RECALL_MIN_DEN: 0.1150367, RECALL: 0.1129158, MAP: 0.0488514, MRR: 0.0962677, NDCG: 0.0749694, F1: 0.0434196, HIT_RATE: 0.2687739, ARHR: 0.1064581, NOVELTY: 0.0048571, AVERAGE_POPULARITY: 0.1086974, DIVERSITY_MEAN_INTER_LIST: 0.9834790, DIVERSITY_HERFINDAHL: 0.9983270, COVERAGE_ITEM: 0.4112031, COVERAGE_ITEM_CORRECT: 0.0281809, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1286020, DIVERSITY_GINI: 0.1454002, SHANNON_ENTROPY: 11.5400823, 
