SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.02707719195658021, 'l1_ratio': 0.0035997913434642212} - results: ROC_AUC: 0.1427230, PRECISION: 0.0284260, PRECISION_RECALL_MIN_DEN: 0.1203687, RECALL: 0.1180913, MAP: 0.0531144, MRR: 0.1015317, NDCG: 0.0798617, F1: 0.0458220, HIT_RATE: 0.2842597, ARHR: 0.1129409, NOVELTY: 0.0047182, AVERAGE_POPULARITY: 0.1261235, DIVERSITY_MEAN_INTER_LIST: 0.9763287, DIVERSITY_HERFINDAHL: 0.9976122, COVERAGE_ITEM: 0.3506064, COVERAGE_ITEM_CORRECT: 0.0276805, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1350195, DIVERSITY_GINI: 0.0993066, SHANNON_ENTROPY: 10.8190637, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.8533360644348241, 'l1_ratio': 0.7376363141415301} - results: ROC_AUC: 0.1331912, PRECISION: 0.0261773, PRECISION_RECALL_MIN_DEN: 0.1112557, RECALL: 0.1091775, MAP: 0.0491501, MRR: 0.0933259, NDCG: 0.0736680, F1: 0.0422294, HIT_RATE: 0.2617734, ARHR: 0.1037640, NOVELTY: 0.0047775, AVERAGE_POPULARITY: 0.1160835, DIVERSITY_MEAN_INTER_LIST: 0.9797564, DIVERSITY_HERFINDAHL: 0.9979549, COVERAGE_ITEM: 0.3752069, COVERAGE_ITEM_CORRECT: 0.0259095, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1252045, DIVERSITY_GINI: 0.1137652, SHANNON_ENTROPY: 11.0721818, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.8231375887635296, 'l1_ratio': 0.5029057504456423} - results: ROC_AUC: 0.1377762, PRECISION: 0.0277047, PRECISION_RECALL_MIN_DEN: 0.1180056, RECALL: 0.1158317, MAP: 0.0513434, MRR: 0.0972684, NDCG: 0.0773973, F1: 0.0447146, HIT_RATE: 0.2770471, ARHR: 0.1079758, NOVELTY: 0.0047809, AVERAGE_POPULARITY: 0.1151315, DIVERSITY_MEAN_INTER_LIST: 0.9802335, DIVERSITY_HERFINDAHL: 0.9980026, COVERAGE_ITEM: 0.3722810, COVERAGE_ITEM_CORRECT: 0.0274495, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1326287, DIVERSITY_GINI: 0.1131050, SHANNON_ENTROPY: 11.0868434, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.4721549617059573, 'l1_ratio': 0.8372668114475441} - results: ROC_AUC: 0.1376485, PRECISION: 0.0273653, PRECISION_RECALL_MIN_DEN: 0.1165976, RECALL: 0.1144137, MAP: 0.0516830, MRR: 0.0979931, NDCG: 0.0773797, F1: 0.0441668, HIT_RATE: 0.2736529, ARHR: 0.1087269, NOVELTY: 0.0047592, AVERAGE_POPULARITY: 0.1185083, DIVERSITY_MEAN_INTER_LIST: 0.9789414, DIVERSITY_HERFINDAHL: 0.9978734, COVERAGE_ITEM: 0.3650433, COVERAGE_ITEM_CORRECT: 0.0267565, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1306153, DIVERSITY_GINI: 0.1080759, SHANNON_ENTROPY: 10.9899972, 
SearchBayesianSkopt: New best config found. Config 4: {'alpha': 0.15641705414053367, 'l1_ratio': 0.3354640592244203} - results: ROC_AUC: 0.1439862, PRECISION: 0.0287017, PRECISION_RECALL_MIN_DEN: 0.1228783, RECALL: 0.1205692, MAP: 0.0536089, MRR: 0.1017473, NDCG: 0.0807639, F1: 0.0463660, HIT_RATE: 0.2870174, ARHR: 0.1129978, NOVELTY: 0.0047394, AVERAGE_POPULARITY: 0.1218099, DIVERSITY_MEAN_INTER_LIST: 0.9779550, DIVERSITY_HERFINDAHL: 0.9977747, COVERAGE_ITEM: 0.3573821, COVERAGE_ITEM_CORRECT: 0.0283349, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1369070, DIVERSITY_GINI: 0.1035948, SHANNON_ENTROPY: 10.9121351, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.9858111935184665, 'l1_ratio': 0.8608579743620981} - results: ROC_AUC: 0.1280212, PRECISION: 0.0253712, PRECISION_RECALL_MIN_DEN: 0.1063191, RECALL: 0.1041964, MAP: 0.0479485, MRR: 0.0910988, NDCG: 0.0713399, F1: 0.0408064, HIT_RATE: 0.2537123, ARHR: 0.1010105, NOVELTY: 0.0047763, AVERAGE_POPULARITY: 0.1167221, DIVERSITY_MEAN_INTER_LIST: 0.9794761, DIVERSITY_HERFINDAHL: 0.9979268, COVERAGE_ITEM: 0.3780558, COVERAGE_ITEM_CORRECT: 0.0252936, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1208003, DIVERSITY_GINI: 0.1147800, SHANNON_ENTROPY: 11.0692775, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.5485588336332424, 'l1_ratio': 0.5333015816007697} - results: ROC_AUC: 0.1405020, PRECISION: 0.0280229, PRECISION_RECALL_MIN_DEN: 0.1199749, RECALL: 0.1177372, MAP: 0.0522795, MRR: 0.0991803, NDCG: 0.0787527, F1: 0.0452708, HIT_RATE: 0.2802291, ARHR: 0.1102124, NOVELTY: 0.0047691, AVERAGE_POPULARITY: 0.1167771, DIVERSITY_MEAN_INTER_LIST: 0.9796540, DIVERSITY_HERFINDAHL: 0.9979446, COVERAGE_ITEM: 0.3671222, COVERAGE_ITEM_CORRECT: 0.0276420, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1343903, DIVERSITY_GINI: 0.1100854, SHANNON_ENTROPY: 11.0360692, 
SearchBayesianSkopt: New best config found. Config 7: {'alpha': 0.4839913037555045, 'l1_ratio': 0.029429572884514872} - results: ROC_AUC: 0.1422810, PRECISION: 0.0290624, PRECISION_RECALL_MIN_DEN: 0.1228703, RECALL: 0.1204839, MAP: 0.0537888, MRR: 0.1013093, NDCG: 0.0808253, F1: 0.0468290, HIT_RATE: 0.2906237, ARHR: 0.1132477, NOVELTY: 0.0047784, AVERAGE_POPULARITY: 0.1152018, DIVERSITY_MEAN_INTER_LIST: 0.9804792, DIVERSITY_HERFINDAHL: 0.9980271, COVERAGE_ITEM: 0.3704716, COVERAGE_ITEM_CORRECT: 0.0293359, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1366553, DIVERSITY_GINI: 0.1122788, SHANNON_ENTROPY: 11.0836888, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.6155037143303864, 'l1_ratio': 0.6772939645908332} - results: ROC_AUC: 0.1376558, PRECISION: 0.0272592, PRECISION_RECALL_MIN_DEN: 0.1163068, RECALL: 0.1141643, MAP: 0.0514872, MRR: 0.0974653, NDCG: 0.0770903, F1: 0.0440101, HIT_RATE: 0.2725923, ARHR: 0.1082203, NOVELTY: 0.0047708, AVERAGE_POPULARITY: 0.1167614, DIVERSITY_MEAN_INTER_LIST: 0.9795864, DIVERSITY_HERFINDAHL: 0.9979379, COVERAGE_ITEM: 0.3692397, COVERAGE_ITEM_CORRECT: 0.0270645, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1301120, DIVERSITY_GINI: 0.1107043, SHANNON_ENTROPY: 11.0397180, 
SearchBayesianSkopt: New best config found. Config 9: {'alpha': 0.198492640563733, 'l1_ratio': 0.4963415842594706} - results: ROC_AUC: 0.1444208, PRECISION: 0.0285532, PRECISION_RECALL_MIN_DEN: 0.1221923, RECALL: 0.1198906, MAP: 0.0538864, MRR: 0.1021877, NDCG: 0.0808437, F1: 0.0461220, HIT_RATE: 0.2855325, ARHR: 0.1134903, NOVELTY: 0.0047414, AVERAGE_POPULARITY: 0.1214540, DIVERSITY_MEAN_INTER_LIST: 0.9780277, DIVERSITY_HERFINDAHL: 0.9977820, COVERAGE_ITEM: 0.3570356, COVERAGE_ITEM_CORRECT: 0.0280269, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1361520, DIVERSITY_GINI: 0.1037522, SHANNON_ENTROPY: 10.9168641, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.8060023229682611, 'l1_ratio': 0.3903839616707848} - results: ROC_AUC: 0.1389731, PRECISION: 0.0278744, PRECISION_RECALL_MIN_DEN: 0.1190206, RECALL: 0.1168104, MAP: 0.0517392, MRR: 0.0982858, NDCG: 0.0780355, F1: 0.0450085, HIT_RATE: 0.2787442, ARHR: 0.1093379, NOVELTY: 0.0047819, AVERAGE_POPULARITY: 0.1147330, DIVERSITY_MEAN_INTER_LIST: 0.9804465, DIVERSITY_HERFINDAHL: 0.9980238, COVERAGE_ITEM: 0.3711646, COVERAGE_ITEM_CORRECT: 0.0277190, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1330062, DIVERSITY_GINI: 0.1129008, SHANNON_ENTROPY: 11.0926365, 
