SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.7680611185689196, 'l1_ratio': 0.4795971758073071} - results: ROC_AUC: 0.1399899, PRECISION: 0.0279381, PRECISION_RECALL_MIN_DEN: 0.1172874, RECALL: 0.1149915, MAP: 0.0510424, MRR: 0.0987266, NDCG: 0.0774047, F1: 0.0449542, HIT_RATE: 0.2793806, ARHR: 0.1100022, NOVELTY: 0.0047815, AVERAGE_POPULARITY: 0.1120009, DIVERSITY_MEAN_INTER_LIST: 0.9826301, DIVERSITY_HERFINDAHL: 0.9982422, COVERAGE_ITEM: 0.3614629, COVERAGE_ITEM_CORRECT: 0.0282964, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1326287, DIVERSITY_GINI: 0.1110078, SHANNON_ENTROPY: 11.1587915, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.9839689045423123, 'l1_ratio': 0.6022102055224544} - results: ROC_AUC: 0.1320093, PRECISION: 0.0265804, PRECISION_RECALL_MIN_DEN: 0.1125641, RECALL: 0.1103661, MAP: 0.0491503, MRR: 0.0939851, NDCG: 0.0740723, F1: 0.0428426, HIT_RATE: 0.2658040, ARHR: 0.1044271, NOVELTY: 0.0047646, AVERAGE_POPULARITY: 0.1178738, DIVERSITY_MEAN_INTER_LIST: 0.9792230, DIVERSITY_HERFINDAHL: 0.9979015, COVERAGE_ITEM: 0.3699326, COVERAGE_ITEM_CORRECT: 0.0262945, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1264628, DIVERSITY_GINI: 0.1113338, SHANNON_ENTROPY: 11.0286319, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.9843855368681594, 'l1_ratio': 0.8429709598691837} - results: ROC_AUC: 0.1285246, PRECISION: 0.0252864, PRECISION_RECALL_MIN_DEN: 0.1063350, RECALL: 0.1041908, MAP: 0.0474050, MRR: 0.0910173, NDCG: 0.0709455, F1: 0.0406961, HIT_RATE: 0.2528638, ARHR: 0.1008249, NOVELTY: 0.0047690, AVERAGE_POPULARITY: 0.1173874, DIVERSITY_MEAN_INTER_LIST: 0.9793186, DIVERSITY_HERFINDAHL: 0.9979111, COVERAGE_ITEM: 0.3723965, COVERAGE_ITEM_CORRECT: 0.0250241, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1209261, DIVERSITY_GINI: 0.1128310, SHANNON_ENTROPY: 11.0476453, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.2797152860606145, 'l1_ratio': 0.06465817300472167} - results: ROC_AUC: 0.1386438, PRECISION: 0.0281502, PRECISION_RECALL_MIN_DEN: 0.1147521, RECALL: 0.1123006, MAP: 0.0504952, MRR: 0.0994711, NDCG: 0.0766124, F1: 0.0450162, HIT_RATE: 0.2815019, ARHR: 0.1109501, NOVELTY: 0.0048294, AVERAGE_POPULARITY: 0.0992206, DIVERSITY_MEAN_INTER_LIST: 0.9878861, DIVERSITY_HERFINDAHL: 0.9987677, COVERAGE_ITEM: 0.3600385, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1323770, DIVERSITY_GINI: 0.1168514, SHANNON_ENTROPY: 11.4307945, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.7875262449712215, 'l1_ratio': 0.7441421374418284} - results: ROC_AUC: 0.1374261, PRECISION: 0.0272380, PRECISION_RECALL_MIN_DEN: 0.1143782, RECALL: 0.1121499, MAP: 0.0498630, MRR: 0.0961286, NDCG: 0.0755344, F1: 0.0438308, HIT_RATE: 0.2723801, ARHR: 0.1070639, NOVELTY: 0.0047855, AVERAGE_POPULARITY: 0.1119777, DIVERSITY_MEAN_INTER_LIST: 0.9822698, DIVERSITY_HERFINDAHL: 0.9982061, COVERAGE_ITEM: 0.3659673, COVERAGE_ITEM_CORRECT: 0.0272570, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1298603, DIVERSITY_GINI: 0.1130705, SHANNON_ENTROPY: 11.1658147, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.01736044948601623, 'l1_ratio': 0.161447950182989} - results: ROC_AUC: 0.1383206, PRECISION: 0.0275562, PRECISION_RECALL_MIN_DEN: 0.1118108, RECALL: 0.1093989, MAP: 0.0494647, MRR: 0.0980018, NDCG: 0.0750260, F1: 0.0440235, HIT_RATE: 0.2755622, ARHR: 0.1093881, NOVELTY: 0.0048427, AVERAGE_POPULARITY: 0.0962478, DIVERSITY_MEAN_INTER_LIST: 0.9888148, DIVERSITY_HERFINDAHL: 0.9988605, COVERAGE_ITEM: 0.3610780, COVERAGE_ITEM_CORRECT: 0.0308373, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1301120, DIVERSITY_GINI: 0.1189206, SHANNON_ENTROPY: 11.4928575, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.018840498670757103, 'l1_ratio': 0.6041400672557514} - results: ROC_AUC: 0.1382740, PRECISION: 0.0275562, PRECISION_RECALL_MIN_DEN: 0.1118866, RECALL: 0.1094728, MAP: 0.0494584, MRR: 0.0980208, NDCG: 0.0750422, F1: 0.0440294, HIT_RATE: 0.2755622, ARHR: 0.1093532, NOVELTY: 0.0048428, AVERAGE_POPULARITY: 0.0963840, DIVERSITY_MEAN_INTER_LIST: 0.9887788, DIVERSITY_HERFINDAHL: 0.9988569, COVERAGE_ITEM: 0.3614244, COVERAGE_ITEM_CORRECT: 0.0308758, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1301120, DIVERSITY_GINI: 0.1190144, SHANNON_ENTROPY: 11.4922191, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.039216445488674985, 'l1_ratio': 0.9785329061125807} - results: ROC_AUC: 0.1385312, PRECISION: 0.0275986, PRECISION_RECALL_MIN_DEN: 0.1123639, RECALL: 0.1099661, MAP: 0.0496305, MRR: 0.0978995, NDCG: 0.0752676, F1: 0.0441234, HIT_RATE: 0.2759864, ARHR: 0.1092701, NOVELTY: 0.0048425, AVERAGE_POPULARITY: 0.0967608, DIVERSITY_MEAN_INTER_LIST: 0.9886543, DIVERSITY_HERFINDAHL: 0.9988445, COVERAGE_ITEM: 0.3620789, COVERAGE_ITEM_CORRECT: 0.0307603, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1303637, DIVERSITY_GINI: 0.1191754, SHANNON_ENTROPY: 11.4874089, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.019052187243480238, 'l1_ratio': 0.5655422233493604} - results: ROC_AUC: 0.1382044, PRECISION: 0.0275562, PRECISION_RECALL_MIN_DEN: 0.1118229, RECALL: 0.1094091, MAP: 0.0494577, MRR: 0.0979966, NDCG: 0.0750248, F1: 0.0440243, HIT_RATE: 0.2755622, ARHR: 0.1093540, NOVELTY: 0.0048427, AVERAGE_POPULARITY: 0.0963849, DIVERSITY_MEAN_INTER_LIST: 0.9887795, DIVERSITY_HERFINDAHL: 0.9988570, COVERAGE_ITEM: 0.3614629, COVERAGE_ITEM_CORRECT: 0.0308373, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1299862, DIVERSITY_GINI: 0.1190192, SHANNON_ENTROPY: 11.4922862, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.11741917891993306, 'l1_ratio': 0.4954690494863453} - results: ROC_AUC: 0.1386588, PRECISION: 0.0276835, PRECISION_RECALL_MIN_DEN: 0.1127230, RECALL: 0.1103361, MAP: 0.0498024, MRR: 0.0983011, NDCG: 0.0755375, F1: 0.0442617, HIT_RATE: 0.2768350, ARHR: 0.1096191, NOVELTY: 0.0048390, AVERAGE_POPULARITY: 0.0976651, DIVERSITY_MEAN_INTER_LIST: 0.9883695, DIVERSITY_HERFINDAHL: 0.9988160, COVERAGE_ITEM: 0.3628874, COVERAGE_ITEM_CORRECT: 0.0306064, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1306153, DIVERSITY_GINI: 0.1188146, SHANNON_ENTROPY: 11.4694698, 
SearchBayesianSkopt: New best config found. Config 10: {'alpha': 0.667548638997641, 'l1_ratio': 0.29875467547147766} - results: ROC_AUC: 0.1408138, PRECISION: 0.0283623, PRECISION_RECALL_MIN_DEN: 0.1176826, RECALL: 0.1153324, MAP: 0.0514219, MRR: 0.1002855, NDCG: 0.0780314, F1: 0.0455284, HIT_RATE: 0.2836232, ARHR: 0.1118069, NOVELTY: 0.0047916, AVERAGE_POPULARITY: 0.1087416, DIVERSITY_MEAN_INTER_LIST: 0.9842349, DIVERSITY_HERFINDAHL: 0.9984026, COVERAGE_ITEM: 0.3610395, COVERAGE_ITEM_CORRECT: 0.0292589, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1335095, DIVERSITY_GINI: 0.1121171, SHANNON_ENTROPY: 11.2269310, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'alpha': 0.39724651361969077, 'l1_ratio': 0.5360542617548242} - results: ROC_AUC: 0.1400199, PRECISION: 0.0281926, PRECISION_RECALL_MIN_DEN: 0.1151537, RECALL: 0.1126965, MAP: 0.0507520, MRR: 0.0999725, NDCG: 0.0769551, F1: 0.0451023, HIT_RATE: 0.2819262, ARHR: 0.1114621, NOVELTY: 0.0048212, AVERAGE_POPULARITY: 0.1025220, DIVERSITY_MEAN_INTER_LIST: 0.9866203, DIVERSITY_HERFINDAHL: 0.9986411, COVERAGE_ITEM: 0.3651203, COVERAGE_ITEM_CORRECT: 0.0300289, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1325028, DIVERSITY_GINI: 0.1171966, SHANNON_ENTROPY: 11.3742582, 
SearchBayesianSkopt: New best config found. Config 12: {'alpha': 0.6931667041707932, 'l1_ratio': 0.26617939192527246} - results: ROC_AUC: 0.1407411, PRECISION: 0.0284684, PRECISION_RECALL_MIN_DEN: 0.1184180, RECALL: 0.1160369, MAP: 0.0515358, MRR: 0.1006766, NDCG: 0.0782995, F1: 0.0457199, HIT_RATE: 0.2846839, ARHR: 0.1122769, NOVELTY: 0.0047884, AVERAGE_POPULARITY: 0.1094547, DIVERSITY_MEAN_INTER_LIST: 0.9839292, DIVERSITY_HERFINDAHL: 0.9983720, COVERAGE_ITEM: 0.3604620, COVERAGE_ITEM_CORRECT: 0.0292589, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1337612, DIVERSITY_GINI: 0.1115937, SHANNON_ENTROPY: 11.2099305, 
