SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.5451891383351377, 'l1_ratio': 0.37768299349786383} - results: ROC_AUC: 0.1378663, PRECISION: 0.0275562, PRECISION_RECALL_MIN_DEN: 0.1148430, RECALL: 0.1126383, MAP: 0.0503661, MRR: 0.0986817, NDCG: 0.0764034, F1: 0.0442797, HIT_RATE: 0.2755622, ARHR: 0.1092473, NOVELTY: 0.0048113, AVERAGE_POPULARITY: 0.1092738, DIVERSITY_MEAN_INTER_LIST: 0.9843692, DIVERSITY_HERFINDAHL: 0.9984160, COVERAGE_ITEM: 0.3782868, COVERAGE_ITEM_CORRECT: 0.0276420, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1309928, DIVERSITY_GINI: 0.1246511, SHANNON_ENTROPY: 11.3720363, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.6968727602536432, 'l1_ratio': 0.6845432823290661} - results: ROC_AUC: 0.1376903, PRECISION: 0.0270683, PRECISION_RECALL_MIN_DEN: 0.1141691, RECALL: 0.1120216, MAP: 0.0507170, MRR: 0.0985658, NDCG: 0.0763130, F1: 0.0436011, HIT_RATE: 0.2706831, ARHR: 0.1090192, NOVELTY: 0.0047860, AVERAGE_POPULARITY: 0.1135846, DIVERSITY_MEAN_INTER_LIST: 0.9823445, DIVERSITY_HERFINDAHL: 0.9982136, COVERAGE_ITEM: 0.3730125, COVERAGE_ITEM_CORRECT: 0.0267950, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1294828, DIVERSITY_GINI: 0.1193677, SHANNON_ENTROPY: 11.2501706, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.08144552476915935, 'l1_ratio': 0.07709861220828608} - results: ROC_AUC: 0.1257571, PRECISION: 0.0241409, PRECISION_RECALL_MIN_DEN: 0.0997204, RECALL: 0.0977147, MAP: 0.0440917, MRR: 0.0895766, NDCG: 0.0671209, F1: 0.0387166, HIT_RATE: 0.2414086, ARHR: 0.0985998, NOVELTY: 0.0048563, AVERAGE_POPULARITY: 0.1112845, DIVERSITY_MEAN_INTER_LIST: 0.9828565, DIVERSITY_HERFINDAHL: 0.9982648, COVERAGE_ITEM: 0.3880269, COVERAGE_ITEM_CORRECT: 0.0234456, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1168995, DIVERSITY_GINI: 0.1348418, SHANNON_ENTROPY: 11.4472183, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.11190841347292094, 'l1_ratio': 0.596552186303399} - results: ROC_AUC: 0.1259021, PRECISION: 0.0240136, PRECISION_RECALL_MIN_DEN: 0.0995711, RECALL: 0.0975856, MAP: 0.0442913, MRR: 0.0896158, NDCG: 0.0671981, F1: 0.0385427, HIT_RATE: 0.2401358, ARHR: 0.0986469, NOVELTY: 0.0048569, AVERAGE_POPULARITY: 0.1123810, DIVERSITY_MEAN_INTER_LIST: 0.9822367, DIVERSITY_HERFINDAHL: 0.9982028, COVERAGE_ITEM: 0.3906064, COVERAGE_ITEM_CORRECT: 0.0232916, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1160186, DIVERSITY_GINI: 0.1354504, SHANNON_ENTROPY: 11.4279656, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.04850372808614102, 'l1_ratio': 0.22713761114651382} - results: ROC_AUC: 0.1240727, PRECISION: 0.0236742, PRECISION_RECALL_MIN_DEN: 0.0981465, RECALL: 0.0962190, MAP: 0.0432187, MRR: 0.0880962, NDCG: 0.0659145, F1: 0.0379989, HIT_RATE: 0.2367416, ARHR: 0.0968882, NOVELTY: 0.0048647, AVERAGE_POPULARITY: 0.1114374, DIVERSITY_MEAN_INTER_LIST: 0.9825729, DIVERSITY_HERFINDAHL: 0.9982364, COVERAGE_ITEM: 0.3901059, COVERAGE_ITEM_CORRECT: 0.0229451, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1147603, DIVERSITY_GINI: 0.1366381, SHANNON_ENTROPY: 11.4549191, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.2852362797653483, 'l1_ratio': 0.3924878009482622} - results: ROC_AUC: 0.1312357, PRECISION: 0.0256894, PRECISION_RECALL_MIN_DEN: 0.1059689, RECALL: 0.1038397, MAP: 0.0469074, MRR: 0.0940368, NDCG: 0.0712096, F1: 0.0411889, HIT_RATE: 0.2568944, ARHR: 0.1040346, NOVELTY: 0.0048350, AVERAGE_POPULARITY: 0.1116244, DIVERSITY_MEAN_INTER_LIST: 0.9830218, DIVERSITY_HERFINDAHL: 0.9982813, COVERAGE_ITEM: 0.3870260, COVERAGE_ITEM_CORRECT: 0.0252166, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1221845, DIVERSITY_GINI: 0.1313624, SHANNON_ENTROPY: 11.4024221, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.1378149038218013, 'l1_ratio': 0.3786595858911237} - results: ROC_AUC: 0.1267542, PRECISION: 0.0245015, PRECISION_RECALL_MIN_DEN: 0.1012934, RECALL: 0.0992810, MAP: 0.0448181, MRR: 0.0907923, NDCG: 0.0681638, F1: 0.0393033, HIT_RATE: 0.2450148, ARHR: 0.0999656, NOVELTY: 0.0048537, AVERAGE_POPULARITY: 0.1117914, DIVERSITY_MEAN_INTER_LIST: 0.9826454, DIVERSITY_HERFINDAHL: 0.9982437, COVERAGE_ITEM: 0.3914148, COVERAGE_ITEM_CORRECT: 0.0238306, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1181578, DIVERSITY_GINI: 0.1352847, SHANNON_ENTROPY: 11.4363941, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.22185524922610972, 'l1_ratio': 0.5703329101195442} - results: ROC_AUC: 0.1279478, PRECISION: 0.0250106, PRECISION_RECALL_MIN_DEN: 0.1039466, RECALL: 0.1018441, MAP: 0.0455633, MRR: 0.0921624, NDCG: 0.0694298, F1: 0.0401591, HIT_RATE: 0.2501061, ARHR: 0.1014988, NOVELTY: 0.0048405, AVERAGE_POPULARITY: 0.1131189, DIVERSITY_MEAN_INTER_LIST: 0.9821768, DIVERSITY_HERFINDAHL: 0.9981968, COVERAGE_ITEM: 0.3889894, COVERAGE_ITEM_CORRECT: 0.0242156, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1199195, DIVERSITY_GINI: 0.1327945, SHANNON_ENTROPY: 11.3921973, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.10445494442675665, 'l1_ratio': 0.36460097923212437} - results: ROC_AUC: 0.1261868, PRECISION: 0.0241621, PRECISION_RECALL_MIN_DEN: 0.0996633, RECALL: 0.0976686, MAP: 0.0443131, MRR: 0.0899904, NDCG: 0.0673109, F1: 0.0387403, HIT_RATE: 0.2416207, ARHR: 0.0990690, NOVELTY: 0.0048573, AVERAGE_POPULARITY: 0.1117634, DIVERSITY_MEAN_INTER_LIST: 0.9825901, DIVERSITY_HERFINDAHL: 0.9982382, COVERAGE_ITEM: 0.3909913, COVERAGE_ITEM_CORRECT: 0.0234456, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1166478, DIVERSITY_GINI: 0.1356594, SHANNON_ENTROPY: 11.4407817, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.13382538406064862, 'l1_ratio': 0.7638934815647106} - results: ROC_AUC: 0.1257770, PRECISION: 0.0240136, PRECISION_RECALL_MIN_DEN: 0.0996842, RECALL: 0.0976794, MAP: 0.0442833, MRR: 0.0897659, NDCG: 0.0672063, F1: 0.0385500, HIT_RATE: 0.2401358, ARHR: 0.0987020, NOVELTY: 0.0048542, AVERAGE_POPULARITY: 0.1131337, DIVERSITY_MEAN_INTER_LIST: 0.9818704, DIVERSITY_HERFINDAHL: 0.9981662, COVERAGE_ITEM: 0.3907603, COVERAGE_ITEM_CORRECT: 0.0230221, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1158928, DIVERSITY_GINI: 0.1351937, SHANNON_ENTROPY: 11.4128077, 
SearchBayesianSkopt: New best config found. Config 10: {'alpha': 0.5968872709428481, 'l1_ratio': 0.18687186817618176} - results: ROC_AUC: 0.1387910, PRECISION: 0.0280441, PRECISION_RECALL_MIN_DEN: 0.1163226, RECALL: 0.1140423, MAP: 0.0509792, MRR: 0.0993811, NDCG: 0.0772713, F1: 0.0450179, HIT_RATE: 0.2804412, ARHR: 0.1102540, NOVELTY: 0.0048167, AVERAGE_POPULARITY: 0.1061568, DIVERSITY_MEAN_INTER_LIST: 0.9858214, DIVERSITY_HERFINDAHL: 0.9985612, COVERAGE_ITEM: 0.3742445, COVERAGE_ITEM_CORRECT: 0.0290279, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1328803, DIVERSITY_GINI: 0.1239056, SHANNON_ENTROPY: 11.4248009, 
