SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.06883424965496644, 'l1_ratio': 0.07460250562381655} - results: ROC_AUC: 0.1413879, PRECISION: 0.0290199, PRECISION_RECALL_MIN_DEN: 0.1221172, RECALL: 0.1197189, MAP: 0.0527941, MRR: 0.1002477, NDCG: 0.0798362, F1: 0.0467159, HIT_RATE: 0.2901994, ARHR: 0.1121093, NOVELTY: 0.0048005, AVERAGE_POPULARITY: 0.1118282, DIVERSITY_MEAN_INTER_LIST: 0.9817001, DIVERSITY_HERFINDAHL: 0.9981492, COVERAGE_ITEM: 0.3762464, COVERAGE_ITEM_CORRECT: 0.0294899, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1360262, DIVERSITY_GINI: 0.1169438, SHANNON_ENTROPY: 11.1755750, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.7684506545810683, 'l1_ratio': 0.1350627691092954} - results: ROC_AUC: 0.1421685, PRECISION: 0.0284472, PRECISION_RECALL_MIN_DEN: 0.1205904, RECALL: 0.1182873, MAP: 0.0528977, MRR: 0.1004890, NDCG: 0.0795463, F1: 0.0458643, HIT_RATE: 0.2844718, ARHR: 0.1121283, NOVELTY: 0.0047852, AVERAGE_POPULARITY: 0.1128141, DIVERSITY_MEAN_INTER_LIST: 0.9814555, DIVERSITY_HERFINDAHL: 0.9981247, COVERAGE_ITEM: 0.3661983, COVERAGE_ITEM_CORRECT: 0.0284119, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1348937, DIVERSITY_GINI: 0.1109943, SHANNON_ENTROPY: 11.0971475, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.5052793952523134, 'l1_ratio': 0.20221265106304037} - results: ROC_AUC: 0.1421271, PRECISION: 0.0288502, PRECISION_RECALL_MIN_DEN: 0.1223193, RECALL: 0.1199678, MAP: 0.0530380, MRR: 0.1009757, NDCG: 0.0801035, F1: 0.0465145, HIT_RATE: 0.2885023, ARHR: 0.1127285, NOVELTY: 0.0047909, AVERAGE_POPULARITY: 0.1126260, DIVERSITY_MEAN_INTER_LIST: 0.9814182, DIVERSITY_HERFINDAHL: 0.9981210, COVERAGE_ITEM: 0.3706641, COVERAGE_ITEM_CORRECT: 0.0287969, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1365295, DIVERSITY_GINI: 0.1134674, SHANNON_ENTROPY: 11.1268915, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.8311444500273019, 'l1_ratio': 0.7553474001616096} - results: ROC_AUC: 0.1315524, PRECISION: 0.0260713, PRECISION_RECALL_MIN_DEN: 0.1106053, RECALL: 0.1084731, MAP: 0.0488259, MRR: 0.0929778, NDCG: 0.0732179, F1: 0.0420387, HIT_RATE: 0.2607128, ARHR: 0.1030666, NOVELTY: 0.0047778, AVERAGE_POPULARITY: 0.1159348, DIVERSITY_MEAN_INTER_LIST: 0.9798014, DIVERSITY_HERFINDAHL: 0.9979594, COVERAGE_ITEM: 0.3752069, COVERAGE_ITEM_CORRECT: 0.0259095, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1247011, DIVERSITY_GINI: 0.1137589, SHANNON_ENTROPY: 11.0731465, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.8483660723626161, 'l1_ratio': 0.7034510724043016} - results: ROC_AUC: 0.1317460, PRECISION: 0.0260501, PRECISION_RECALL_MIN_DEN: 0.1106123, RECALL: 0.1084816, MAP: 0.0491837, MRR: 0.0931269, NDCG: 0.0734690, F1: 0.0420117, HIT_RATE: 0.2605006, ARHR: 0.1032358, NOVELTY: 0.0047773, AVERAGE_POPULARITY: 0.1159932, DIVERSITY_MEAN_INTER_LIST: 0.9798009, DIVERSITY_HERFINDAHL: 0.9979593, COVERAGE_ITEM: 0.3752454, COVERAGE_ITEM_CORRECT: 0.0257940, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1244495, DIVERSITY_GINI: 0.1137283, SHANNON_ENTROPY: 11.0716044, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.38569161278077646, 'l1_ratio': 0.7592023484864666} - results: ROC_AUC: 0.1390293, PRECISION: 0.0278532, PRECISION_RECALL_MIN_DEN: 0.1185539, RECALL: 0.1163276, MAP: 0.0514081, MRR: 0.0984605, NDCG: 0.0777245, F1: 0.0449449, HIT_RATE: 0.2785320, ARHR: 0.1096726, NOVELTY: 0.0047878, AVERAGE_POPULARITY: 0.1137945, DIVERSITY_MEAN_INTER_LIST: 0.9808280, DIVERSITY_HERFINDAHL: 0.9980620, COVERAGE_ITEM: 0.3717806, COVERAGE_ITEM_CORRECT: 0.0276420, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1326287, DIVERSITY_GINI: 0.1138170, SHANNON_ENTROPY: 11.1150891, 
SearchBayesianSkopt: New best config found. Config 6: {'alpha': 0.4318367153026247, 'l1_ratio': 0.06753630242082177} - results: ROC_AUC: 0.1429525, PRECISION: 0.0291048, PRECISION_RECALL_MIN_DEN: 0.1234511, RECALL: 0.1210566, MAP: 0.0532817, MRR: 0.1014438, NDCG: 0.0805809, F1: 0.0469272, HIT_RATE: 0.2910479, ARHR: 0.1134036, NOVELTY: 0.0047967, AVERAGE_POPULARITY: 0.1118404, DIVERSITY_MEAN_INTER_LIST: 0.9817785, DIVERSITY_HERFINDAHL: 0.9981570, COVERAGE_ITEM: 0.3733590, COVERAGE_ITEM_CORRECT: 0.0294514, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1372845, DIVERSITY_GINI: 0.1151133, SHANNON_ENTROPY: 11.1552028, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.7347995015275732, 'l1_ratio': 0.32065552816044546} - results: ROC_AUC: 0.1408622, PRECISION: 0.0276835, PRECISION_RECALL_MIN_DEN: 0.1180309, RECALL: 0.1158655, MAP: 0.0522611, MRR: 0.0987748, NDCG: 0.0782511, F1: 0.0446894, HIT_RATE: 0.2768350, ARHR: 0.1097125, NOVELTY: 0.0047814, AVERAGE_POPULARITY: 0.1141202, DIVERSITY_MEAN_INTER_LIST: 0.9807943, DIVERSITY_HERFINDAHL: 0.9980586, COVERAGE_ITEM: 0.3671607, COVERAGE_ITEM_CORRECT: 0.0276035, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1330062, DIVERSITY_GINI: 0.1111255, SHANNON_ENTROPY: 11.0824306, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.7862715936003145, 'l1_ratio': 0.15417620166799242} - results: ROC_AUC: 0.1422479, PRECISION: 0.0281502, PRECISION_RECALL_MIN_DEN: 0.1195079, RECALL: 0.1172694, MAP: 0.0528657, MRR: 0.1004252, NDCG: 0.0792642, F1: 0.0454018, HIT_RATE: 0.2815019, ARHR: 0.1117784, NOVELTY: 0.0047840, AVERAGE_POPULARITY: 0.1131223, DIVERSITY_MEAN_INTER_LIST: 0.9813389, DIVERSITY_HERFINDAHL: 0.9981131, COVERAGE_ITEM: 0.3655823, COVERAGE_ITEM_CORRECT: 0.0281424, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1338870, DIVERSITY_GINI: 0.1106227, SHANNON_ENTROPY: 11.0897118, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.5667542378751691, 'l1_ratio': 0.23160560809428538} - results: ROC_AUC: 0.1415202, PRECISION: 0.0283835, PRECISION_RECALL_MIN_DEN: 0.1207554, RECALL: 0.1184619, MAP: 0.0526090, MRR: 0.1000474, NDCG: 0.0792887, F1: 0.0457947, HIT_RATE: 0.2838354, ARHR: 0.1116063, NOVELTY: 0.0047882, AVERAGE_POPULARITY: 0.1128437, DIVERSITY_MEAN_INTER_LIST: 0.9812968, DIVERSITY_HERFINDAHL: 0.9981089, COVERAGE_ITEM: 0.3685467, COVERAGE_ITEM_CORRECT: 0.0282964, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1347678, DIVERSITY_GINI: 0.1125326, SHANNON_ENTROPY: 11.1140344, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7427411867403407, 'l1_ratio': 0.4263781530003842} - results: ROC_AUC: 0.1390486, PRECISION: 0.0275986, PRECISION_RECALL_MIN_DEN: 0.1173781, RECALL: 0.1152138, MAP: 0.0521426, MRR: 0.0983064, NDCG: 0.0779058, F1: 0.0445304, HIT_RATE: 0.2759864, ARHR: 0.1093335, NOVELTY: 0.0047802, AVERAGE_POPULARITY: 0.1144994, DIVERSITY_MEAN_INTER_LIST: 0.9805427, DIVERSITY_HERFINDAHL: 0.9980335, COVERAGE_ITEM: 0.3698171, COVERAGE_ITEM_CORRECT: 0.0274110, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1321253, DIVERSITY_GINI: 0.1118448, SHANNON_ENTROPY: 11.0809728, 
