SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.12793156313060774, 'l1_ratio': 0.5741352542967344} - results: ROC_AUC: 0.1385251, PRECISION: 0.0277683, PRECISION_RECALL_MIN_DEN: 0.1132144, RECALL: 0.1108453, MAP: 0.0497873, MRR: 0.0980986, NDCG: 0.0756414, F1: 0.0444111, HIT_RATE: 0.2776835, ARHR: 0.1094777, NOVELTY: 0.0048401, AVERAGE_POPULARITY: 0.0975200, DIVERSITY_MEAN_INTER_LIST: 0.9884065, DIVERSITY_HERFINDAHL: 0.9988197, COVERAGE_ITEM: 0.3634649, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1309928, DIVERSITY_GINI: 0.1191473, SHANNON_ENTROPY: 11.4740370, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.9174835648036183, 'l1_ratio': 0.726809939145881} - results: ROC_AUC: 0.1317436, PRECISION: 0.0260501, PRECISION_RECALL_MIN_DEN: 0.1095493, RECALL: 0.1074182, MAP: 0.0488174, MRR: 0.0929730, NDCG: 0.0730527, F1: 0.0419313, HIT_RATE: 0.2605006, ARHR: 0.1033513, NOVELTY: 0.0047792, AVERAGE_POPULARITY: 0.1145470, DIVERSITY_MEAN_INTER_LIST: 0.9807862, DIVERSITY_HERFINDAHL: 0.9980578, COVERAGE_ITEM: 0.3705871, COVERAGE_ITEM_CORRECT: 0.0260635, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1241978, DIVERSITY_GINI: 0.1136721, SHANNON_ENTROPY: 11.1118687, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.8854496569140459, 'l1_ratio': 0.17103030574896252} - results: ROC_AUC: 0.1413663, PRECISION: 0.0284048, PRECISION_RECALL_MIN_DEN: 0.1194165, RECALL: 0.1170338, MAP: 0.0515942, MRR: 0.1000271, NDCG: 0.0784394, F1: 0.0457144, HIT_RATE: 0.2840475, ARHR: 0.1114621, NOVELTY: 0.0047849, AVERAGE_POPULARITY: 0.1100354, DIVERSITY_MEAN_INTER_LIST: 0.9835031, DIVERSITY_HERFINDAHL: 0.9983294, COVERAGE_ITEM: 0.3566891, COVERAGE_ITEM_CORRECT: 0.0285274, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1342645, DIVERSITY_GINI: 0.1090476, SHANNON_ENTROPY: 11.1619127, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.1162203552268112, 'l1_ratio': 0.6605587799878402} - results: ROC_AUC: 0.1385601, PRECISION: 0.0277683, PRECISION_RECALL_MIN_DEN: 0.1132144, RECALL: 0.1108453, MAP: 0.0498000, MRR: 0.0983190, NDCG: 0.0756765, F1: 0.0444111, HIT_RATE: 0.2776835, ARHR: 0.1096603, NOVELTY: 0.0048403, AVERAGE_POPULARITY: 0.0975560, DIVERSITY_MEAN_INTER_LIST: 0.9884004, DIVERSITY_HERFINDAHL: 0.9988191, COVERAGE_ITEM: 0.3637344, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1309928, DIVERSITY_GINI: 0.1192407, SHANNON_ENTROPY: 11.4746589, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.26647951152541743, 'l1_ratio': 0.7944423750588007} - results: ROC_AUC: 0.1390836, PRECISION: 0.0280229, PRECISION_RECALL_MIN_DEN: 0.1141234, RECALL: 0.1117075, MAP: 0.0503893, MRR: 0.0993819, NDCG: 0.0764231, F1: 0.0448058, HIT_RATE: 0.2802291, ARHR: 0.1107619, NOVELTY: 0.0048316, AVERAGE_POPULARITY: 0.1001735, DIVERSITY_MEAN_INTER_LIST: 0.9874564, DIVERSITY_HERFINDAHL: 0.9987247, COVERAGE_ITEM: 0.3657748, COVERAGE_ITEM_CORRECT: 0.0302214, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1321253, DIVERSITY_GINI: 0.1186466, SHANNON_ENTROPY: 11.4245424, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.5999485833095355, 'l1_ratio': 0.1826187882990741} - results: ROC_AUC: 0.1398112, PRECISION: 0.0282563, PRECISION_RECALL_MIN_DEN: 0.1163491, RECALL: 0.1139395, MAP: 0.0505138, MRR: 0.0994327, NDCG: 0.0770520, F1: 0.0452827, HIT_RATE: 0.2825626, ARHR: 0.1108111, NOVELTY: 0.0048192, AVERAGE_POPULARITY: 0.1023526, DIVERSITY_MEAN_INTER_LIST: 0.9867064, DIVERSITY_HERFINDAHL: 0.9986497, COVERAGE_ITEM: 0.3629259, COVERAGE_ITEM_CORRECT: 0.0301829, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1330062, DIVERSITY_GINI: 0.1157360, SHANNON_ENTROPY: 11.3602505, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.6260986258287866, 'l1_ratio': 0.5351459955201439} - results: ROC_AUC: 0.1396993, PRECISION: 0.0277896, PRECISION_RECALL_MIN_DEN: 0.1153461, RECALL: 0.1130124, MAP: 0.0508874, MRR: 0.0989923, NDCG: 0.0769335, F1: 0.0446097, HIT_RATE: 0.2778956, ARHR: 0.1103189, NOVELTY: 0.0048058, AVERAGE_POPULARITY: 0.1060125, DIVERSITY_MEAN_INTER_LIST: 0.9851212, DIVERSITY_HERFINDAHL: 0.9984912, COVERAGE_ITEM: 0.3628489, COVERAGE_ITEM_CORRECT: 0.0289894, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1311187, DIVERSITY_GINI: 0.1143055, SHANNON_ENTROPY: 11.2836354, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.14015373393201805, 'l1_ratio': 0.21037860228886135} - results: ROC_AUC: 0.1387730, PRECISION: 0.0277259, PRECISION_RECALL_MIN_DEN: 0.1132195, RECALL: 0.1108217, MAP: 0.0497563, MRR: 0.0981243, NDCG: 0.0755789, F1: 0.0443549, HIT_RATE: 0.2772592, ARHR: 0.1095541, NOVELTY: 0.0048395, AVERAGE_POPULARITY: 0.0971753, DIVERSITY_MEAN_INTER_LIST: 0.9885359, DIVERSITY_HERFINDAHL: 0.9988326, COVERAGE_ITEM: 0.3613090, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1308670, DIVERSITY_GINI: 0.1184420, SHANNON_ENTROPY: 11.4748216, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.3522683492776621, 'l1_ratio': 0.1424676121467662} - results: ROC_AUC: 0.1395166, PRECISION: 0.0281290, PRECISION_RECALL_MIN_DEN: 0.1151413, RECALL: 0.1127338, MAP: 0.0504408, MRR: 0.0994452, NDCG: 0.0767123, F1: 0.0450238, HIT_RATE: 0.2812898, ARHR: 0.1109010, NOVELTY: 0.0048320, AVERAGE_POPULARITY: 0.0989472, DIVERSITY_MEAN_INTER_LIST: 0.9879759, DIVERSITY_HERFINDAHL: 0.9987766, COVERAGE_ITEM: 0.3616169, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1326287, DIVERSITY_GINI: 0.1173607, SHANNON_ENTROPY: 11.4374759, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.10800242740132207, 'l1_ratio': 0.2496221407447678} - results: ROC_AUC: 0.1387692, PRECISION: 0.0276835, PRECISION_RECALL_MIN_DEN: 0.1129366, RECALL: 0.1105389, MAP: 0.0498211, MRR: 0.0982954, NDCG: 0.0755692, F1: 0.0442780, HIT_RATE: 0.2768350, ARHR: 0.1097035, NOVELTY: 0.0048404, AVERAGE_POPULARITY: 0.0970212, DIVERSITY_MEAN_INTER_LIST: 0.9885817, DIVERSITY_HERFINDAHL: 0.9988372, COVERAGE_ITEM: 0.3616554, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1307412, DIVERSITY_GINI: 0.1186693, SHANNON_ENTROPY: 11.4793210, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.44208470272266787, 'l1_ratio': 0.9438574363810075} - results: ROC_AUC: 0.1392473, PRECISION: 0.0278532, PRECISION_RECALL_MIN_DEN: 0.1145915, RECALL: 0.1122295, MAP: 0.0506219, MRR: 0.0988049, NDCG: 0.0765907, F1: 0.0446301, HIT_RATE: 0.2785320, ARHR: 0.1101781, NOVELTY: 0.0048149, AVERAGE_POPULARITY: 0.1043302, DIVERSITY_MEAN_INTER_LIST: 0.9858031, DIVERSITY_HERFINDAHL: 0.9985594, COVERAGE_ITEM: 0.3654668, COVERAGE_ITEM_CORRECT: 0.0294514, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1311187, DIVERSITY_GINI: 0.1164613, SHANNON_ENTROPY: 11.3331752, 
