SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.42426262335472686, 'l1_ratio': 0.8579677112614934} - results: ROC_AUC: 0.1281946, PRECISION: 0.0252652, PRECISION_RECALL_MIN_DEN: 0.1054220, RECALL: 0.1033350, MAP: 0.0466305, MRR: 0.0928539, NDCG: 0.0706453, F1: 0.0406030, HIT_RATE: 0.2526517, ARHR: 0.1019465, NOVELTY: 0.0048107, AVERAGE_POPULARITY: 0.1182204, DIVERSITY_MEAN_INTER_LIST: 0.9796856, DIVERSITY_HERFINDAHL: 0.9979478, COVERAGE_ITEM: 0.3827911, COVERAGE_ITEM_CORRECT: 0.0239076, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1211778, DIVERSITY_GINI: 0.1260583, SHANNON_ENTROPY: 11.2394904, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.5932452455633175, 'l1_ratio': 0.9845812205217401} - results: ROC_AUC: 0.1311244, PRECISION: 0.0258167, PRECISION_RECALL_MIN_DEN: 0.1094017, RECALL: 0.1072473, MAP: 0.0482692, MRR: 0.0933802, NDCG: 0.0727202, F1: 0.0416157, HIT_RATE: 0.2581672, ARHR: 0.1027737, NOVELTY: 0.0047831, AVERAGE_POPULARITY: 0.1197334, DIVERSITY_MEAN_INTER_LIST: 0.9789484, DIVERSITY_HERFINDAHL: 0.9978741, COVERAGE_ITEM: 0.3819827, COVERAGE_ITEM_CORRECT: 0.0247161, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1238203, DIVERSITY_GINI: 0.1215783, SHANNON_ENTROPY: 11.1568399, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.07547130646125068, 'l1_ratio': 0.619138860675374} - results: ROC_AUC: 0.1229785, PRECISION: 0.0236954, PRECISION_RECALL_MIN_DEN: 0.0976872, RECALL: 0.0957593, MAP: 0.0430600, MRR: 0.0874289, NDCG: 0.0656308, F1: 0.0379902, HIT_RATE: 0.2369538, ARHR: 0.0960637, NOVELTY: 0.0048637, AVERAGE_POPULARITY: 0.1126050, DIVERSITY_MEAN_INTER_LIST: 0.9819511, DIVERSITY_HERFINDAHL: 0.9981743, COVERAGE_ITEM: 0.3913378, COVERAGE_ITEM_CORRECT: 0.0228296, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1143828, DIVERSITY_GINI: 0.1362262, SHANNON_ENTROPY: 11.4317860, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.40299980973728755, 'l1_ratio': 0.3497116301812984} - results: ROC_AUC: 0.1271429, PRECISION: 0.0245651, PRECISION_RECALL_MIN_DEN: 0.1024599, RECALL: 0.1004272, MAP: 0.0451271, MRR: 0.0910856, NDCG: 0.0686166, F1: 0.0394745, HIT_RATE: 0.2456513, ARHR: 0.1001030, NOVELTY: 0.0048307, AVERAGE_POPULARITY: 0.1162254, DIVERSITY_MEAN_INTER_LIST: 0.9806211, DIVERSITY_HERFINDAHL: 0.9980413, COVERAGE_ITEM: 0.3841771, COVERAGE_ITEM_CORRECT: 0.0232531, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1184095, DIVERSITY_GINI: 0.1290303, SHANNON_ENTROPY: 11.3089426, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.6079353498298327, 'l1_ratio': 0.02770401175546667} - results: ROC_AUC: 0.1286195, PRECISION: 0.0246924, PRECISION_RECALL_MIN_DEN: 0.1037496, RECALL: 0.1017961, MAP: 0.0457849, MRR: 0.0918782, NDCG: 0.0695302, F1: 0.0397442, HIT_RATE: 0.2469241, ARHR: 0.1009098, NOVELTY: 0.0048225, AVERAGE_POPULARITY: 0.1161302, DIVERSITY_MEAN_INTER_LIST: 0.9809920, DIVERSITY_HERFINDAHL: 0.9980784, COVERAGE_ITEM: 0.3779018, COVERAGE_ITEM_CORRECT: 0.0233301, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1195420, DIVERSITY_GINI: 0.1253284, SHANNON_ENTROPY: 11.2854982, 
SearchBayesianSkopt: New best config found. Config 5: {'alpha': 0.9083484410214647, 'l1_ratio': 0.27023920102996396} - results: ROC_AUC: 0.1387207, PRECISION: 0.0267289, PRECISION_RECALL_MIN_DEN: 0.1143494, RECALL: 0.1122675, MAP: 0.0519019, MRR: 0.0993162, NDCG: 0.0771372, F1: 0.0431779, HIT_RATE: 0.2672889, ARHR: 0.1092685, NOVELTY: 0.0047596, AVERAGE_POPULARITY: 0.1190872, DIVERSITY_MEAN_INTER_LIST: 0.9796787, DIVERSITY_HERFINDAHL: 0.9979471, COVERAGE_ITEM: 0.3668142, COVERAGE_ITEM_CORRECT: 0.0255245, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1292312, DIVERSITY_GINI: 0.1122001, SHANNON_ENTROPY: 11.0731748, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.7547551791639487, 'l1_ratio': 0.8087431158755997} - results: ROC_AUC: 0.1331229, PRECISION: 0.0257531, PRECISION_RECALL_MIN_DEN: 0.1105903, RECALL: 0.1084953, MAP: 0.0501143, MRR: 0.0948619, NDCG: 0.0742899, F1: 0.0416256, HIT_RATE: 0.2575308, ARHR: 0.1041732, NOVELTY: 0.0047690, AVERAGE_POPULARITY: 0.1194256, DIVERSITY_MEAN_INTER_LIST: 0.9790555, DIVERSITY_HERFINDAHL: 0.9978848, COVERAGE_ITEM: 0.3772474, COVERAGE_ITEM_CORRECT: 0.0249856, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1244495, DIVERSITY_GINI: 0.1174304, SHANNON_ENTROPY: 11.1127318, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.01903370466626109, 'l1_ratio': 0.280319804280688} - results: ROC_AUC: 0.1221995, PRECISION: 0.0234408, PRECISION_RECALL_MIN_DEN: 0.0970237, RECALL: 0.0951117, MAP: 0.0425541, MRR: 0.0865935, NDCG: 0.0649624, F1: 0.0376120, HIT_RATE: 0.2344081, ARHR: 0.0950112, NOVELTY: 0.0048707, AVERAGE_POPULARITY: 0.1115957, DIVERSITY_MEAN_INTER_LIST: 0.9823418, DIVERSITY_HERFINDAHL: 0.9982133, COVERAGE_ITEM: 0.3912223, COVERAGE_ITEM_CORRECT: 0.0226756, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1135020, DIVERSITY_GINI: 0.1371933, SHANNON_ENTROPY: 11.4575567, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.020196965181845553, 'l1_ratio': 0.5731605534915712} - results: ROC_AUC: 0.1223829, PRECISION: 0.0234408, PRECISION_RECALL_MIN_DEN: 0.0968139, RECALL: 0.0949199, MAP: 0.0425419, MRR: 0.0866771, NDCG: 0.0649527, F1: 0.0375969, HIT_RATE: 0.2344081, ARHR: 0.0951210, NOVELTY: 0.0048704, AVERAGE_POPULARITY: 0.1116601, DIVERSITY_MEAN_INTER_LIST: 0.9823094, DIVERSITY_HERFINDAHL: 0.9982101, COVERAGE_ITEM: 0.3917998, COVERAGE_ITEM_CORRECT: 0.0227526, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1136278, DIVERSITY_GINI: 0.1373571, SHANNON_ENTROPY: 11.4569790, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.43412710638346774, 'l1_ratio': 0.16867834889188485} - results: ROC_AUC: 0.1272160, PRECISION: 0.0243318, PRECISION_RECALL_MIN_DEN: 0.1017255, RECALL: 0.0997464, MAP: 0.0451155, MRR: 0.0908027, NDCG: 0.0683919, F1: 0.0391206, HIT_RATE: 0.2433178, ARHR: 0.0997292, NOVELTY: 0.0048341, AVERAGE_POPULARITY: 0.1156291, DIVERSITY_MEAN_INTER_LIST: 0.9809734, DIVERSITY_HERFINDAHL: 0.9980765, COVERAGE_ITEM: 0.3831761, COVERAGE_ITEM_CORRECT: 0.0230606, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1176545, DIVERSITY_GINI: 0.1292114, SHANNON_ENTROPY: 11.3254701, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.6979196326813425, 'l1_ratio': 0.4357030522844457} - results: ROC_AUC: 0.1341391, PRECISION: 0.0260713, PRECISION_RECALL_MIN_DEN: 0.1110783, RECALL: 0.1089676, MAP: 0.0493549, MRR: 0.0959459, NDCG: 0.0741911, F1: 0.0420757, HIT_RATE: 0.2607128, ARHR: 0.1052560, NOVELTY: 0.0047841, AVERAGE_POPULARITY: 0.1193477, DIVERSITY_MEAN_INTER_LIST: 0.9793913, DIVERSITY_HERFINDAHL: 0.9979184, COVERAGE_ITEM: 0.3745525, COVERAGE_ITEM_CORRECT: 0.0247161, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1262111, DIVERSITY_GINI: 0.1191197, SHANNON_ENTROPY: 11.1506023, 
