SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.5047303197739016, 'l1_ratio': 0.05817176321522145} - results: ROC_AUC: 0.1298979, PRECISION: 0.0254985, PRECISION_RECALL_MIN_DEN: 0.1057315, RECALL: 0.1035869, MAP: 0.0469779, MRR: 0.0938963, NDCG: 0.0710794, F1: 0.0409235, HIT_RATE: 0.2549852, ARHR: 0.1035942, NOVELTY: 0.0047983, AVERAGE_POPULARITY: 0.1183734, DIVERSITY_MEAN_INTER_LIST: 0.9801306, DIVERSITY_HERFINDAHL: 0.9979923, COVERAGE_ITEM: 0.3772089, COVERAGE_ITEM_CORRECT: 0.0242156, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1210520, DIVERSITY_GINI: 0.1236494, SHANNON_ENTROPY: 11.2394987, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.5770260389485072, 'l1_ratio': 0.1822075936680351} - results: ROC_AUC: 0.1323659, PRECISION: 0.0262622, PRECISION_RECALL_MIN_DEN: 0.1087729, RECALL: 0.1065964, MAP: 0.0485486, MRR: 0.0955401, NDCG: 0.0731397, F1: 0.0421419, HIT_RATE: 0.2626220, ARHR: 0.1056133, NOVELTY: 0.0047930, AVERAGE_POPULARITY: 0.1177867, DIVERSITY_MEAN_INTER_LIST: 0.9802810, DIVERSITY_HERFINDAHL: 0.9980073, COVERAGE_ITEM: 0.3782098, COVERAGE_ITEM_CORRECT: 0.0251011, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1241978, DIVERSITY_GINI: 0.1227634, SHANNON_ENTROPY: 11.2267122, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.9981736626036579, 'l1_ratio': 0.7710173519704685} - results: ROC_AUC: 0.1407034, PRECISION: 0.0288927, PRECISION_RECALL_MIN_DEN: 0.1213889, RECALL: 0.1188885, MAP: 0.0526557, MRR: 0.1006071, NDCG: 0.0795034, F1: 0.0464877, HIT_RATE: 0.2889266, ARHR: 0.1122917, NOVELTY: 0.0047763, AVERAGE_POPULARITY: 0.1132991, DIVERSITY_MEAN_INTER_LIST: 0.9818114, DIVERSITY_HERFINDAHL: 0.9981603, COVERAGE_ITEM: 0.3702406, COVERAGE_ITEM_CORRECT: 0.0291434, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1357745, DIVERSITY_GINI: 0.1158181, SHANNON_ENTROPY: 11.1938924, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.6440598238224091, 'l1_ratio': 0.33937427672600434} - results: ROC_AUC: 0.1348711, PRECISION: 0.0269622, PRECISION_RECALL_MIN_DEN: 0.1127163, RECALL: 0.1105135, MAP: 0.0499107, MRR: 0.0979232, NDCG: 0.0752656, F1: 0.0433486, HIT_RATE: 0.2696224, ARHR: 0.1081511, NOVELTY: 0.0047901, AVERAGE_POPULARITY: 0.1167483, DIVERSITY_MEAN_INTER_LIST: 0.9806522, DIVERSITY_HERFINDAHL: 0.9980444, COVERAGE_ITEM: 0.3767469, COVERAGE_ITEM_CORRECT: 0.0258710, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1282245, DIVERSITY_GINI: 0.1217066, SHANNON_ENTROPY: 11.2236796, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.11039176729343106, 'l1_ratio': 0.6923683439458295} - results: ROC_AUC: 0.1244825, PRECISION: 0.0235681, PRECISION_RECALL_MIN_DEN: 0.0974937, RECALL: 0.0955497, MAP: 0.0439983, MRR: 0.0887709, NDCG: 0.0663626, F1: 0.0378100, HIT_RATE: 0.2356810, ARHR: 0.0976597, NOVELTY: 0.0048549, AVERAGE_POPULARITY: 0.1120347, DIVERSITY_MEAN_INTER_LIST: 0.9823153, DIVERSITY_HERFINDAHL: 0.9982107, COVERAGE_ITEM: 0.3887584, COVERAGE_ITEM_CORRECT: 0.0226372, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1136278, DIVERSITY_GINI: 0.1348922, SHANNON_ENTROPY: 11.4325240, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.24621083651113557, 'l1_ratio': 0.856765549155507} - results: ROC_AUC: 0.1274112, PRECISION: 0.0247560, PRECISION_RECALL_MIN_DEN: 0.1022130, RECALL: 0.1001157, MAP: 0.0457979, MRR: 0.0919121, NDCG: 0.0691348, F1: 0.0396962, HIT_RATE: 0.2475605, ARHR: 0.1013625, NOVELTY: 0.0048422, AVERAGE_POPULARITY: 0.1123714, DIVERSITY_MEAN_INTER_LIST: 0.9822384, DIVERSITY_HERFINDAHL: 0.9982030, COVERAGE_ITEM: 0.3881039, COVERAGE_ITEM_CORRECT: 0.0237151, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1182836, DIVERSITY_GINI: 0.1330411, SHANNON_ENTROPY: 11.4021946, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.3559743062975875, 'l1_ratio': 0.628376540703573} - results: ROC_AUC: 0.1288028, PRECISION: 0.0255409, PRECISION_RECALL_MIN_DEN: 0.1061611, RECALL: 0.1040345, MAP: 0.0464805, MRR: 0.0935425, NDCG: 0.0707635, F1: 0.0410130, HIT_RATE: 0.2554094, ARHR: 0.1031688, NOVELTY: 0.0048298, AVERAGE_POPULARITY: 0.1132713, DIVERSITY_MEAN_INTER_LIST: 0.9819200, DIVERSITY_HERFINDAHL: 0.9981712, COVERAGE_ITEM: 0.3857555, COVERAGE_ITEM_CORRECT: 0.0244851, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1219328, DIVERSITY_GINI: 0.1303684, SHANNON_ENTROPY: 11.3611736, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.5282685997330746, 'l1_ratio': 0.020461792396837878} - results: ROC_AUC: 0.1303035, PRECISION: 0.0254349, PRECISION_RECALL_MIN_DEN: 0.1051564, RECALL: 0.1030407, MAP: 0.0474290, MRR: 0.0942328, NDCG: 0.0713092, F1: 0.0407988, HIT_RATE: 0.2543487, ARHR: 0.1039174, NOVELTY: 0.0047914, AVERAGE_POPULARITY: 0.1194008, DIVERSITY_MEAN_INTER_LIST: 0.9797328, DIVERSITY_HERFINDAHL: 0.9979525, COVERAGE_ITEM: 0.3753609, COVERAGE_ITEM_CORRECT: 0.0240616, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1208003, DIVERSITY_GINI: 0.1221732, SHANNON_ENTROPY: 11.2126107, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.49194606904097804, 'l1_ratio': 0.2980220469890242} - results: ROC_AUC: 0.1312737, PRECISION: 0.0260076, PRECISION_RECALL_MIN_DEN: 0.1079595, RECALL: 0.1057951, MAP: 0.0474474, MRR: 0.0944606, NDCG: 0.0720337, F1: 0.0417515, HIT_RATE: 0.2600764, ARHR: 0.1043982, NOVELTY: 0.0048091, AVERAGE_POPULARITY: 0.1157066, DIVERSITY_MEAN_INTER_LIST: 0.9810788, DIVERSITY_HERFINDAHL: 0.9980871, COVERAGE_ITEM: 0.3798268, COVERAGE_ITEM_CORRECT: 0.0249856, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1238203, DIVERSITY_GINI: 0.1256612, SHANNON_ENTROPY: 11.2857983, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.21648844750631552, 'l1_ratio': 0.8968523755954596} - results: ROC_AUC: 0.1264999, PRECISION: 0.0246288, PRECISION_RECALL_MIN_DEN: 0.1021615, RECALL: 0.1000887, MAP: 0.0450783, MRR: 0.0909415, NDCG: 0.0684708, F1: 0.0395303, HIT_RATE: 0.2462877, ARHR: 0.1002155, NOVELTY: 0.0048454, AVERAGE_POPULARITY: 0.1122034, DIVERSITY_MEAN_INTER_LIST: 0.9822940, DIVERSITY_HERFINDAHL: 0.9982086, COVERAGE_ITEM: 0.3882964, COVERAGE_ITEM_CORRECT: 0.0236766, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1181578, DIVERSITY_GINI: 0.1336226, SHANNON_ENTROPY: 11.4117052, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.3077684888145668, 'l1_ratio': 0.7989693306064596} - results: ROC_AUC: 0.1286153, PRECISION: 0.0252864, PRECISION_RECALL_MIN_DEN: 0.1046938, RECALL: 0.1025868, MAP: 0.0460825, MRR: 0.0931723, NDCG: 0.0701146, F1: 0.0405722, HIT_RATE: 0.2528638, ARHR: 0.1027903, NOVELTY: 0.0048355, AVERAGE_POPULARITY: 0.1126540, DIVERSITY_MEAN_INTER_LIST: 0.9821246, DIVERSITY_HERFINDAHL: 0.9981916, COVERAGE_ITEM: 0.3859480, COVERAGE_ITEM_CORRECT: 0.0242156, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1205486, DIVERSITY_GINI: 0.1312977, SHANNON_ENTROPY: 11.3794353, 
SearchBayesianSkopt: New best config found. Config 11: {'alpha': 0.9891656135463056, 'l1_ratio': 0.853700066881691} - results: ROC_AUC: 0.1405607, PRECISION: 0.0288714, PRECISION_RECALL_MIN_DEN: 0.1219190, RECALL: 0.1194691, MAP: 0.0527986, MRR: 0.1006610, NDCG: 0.0797136, F1: 0.0465044, HIT_RATE: 0.2887145, ARHR: 0.1122803, NOVELTY: 0.0047790, AVERAGE_POPULARITY: 0.1129531, DIVERSITY_MEAN_INTER_LIST: 0.9819428, DIVERSITY_HERFINDAHL: 0.9981735, COVERAGE_ITEM: 0.3722810, COVERAGE_ITEM_CORRECT: 0.0291049, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1360262, DIVERSITY_GINI: 0.1167072, SHANNON_ENTROPY: 11.2061674, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'alpha': 0.0886962783199692, 'l1_ratio': 0.9481823988223783} - results: ROC_AUC: 0.1246481, PRECISION: 0.0235893, PRECISION_RECALL_MIN_DEN: 0.0976973, RECALL: 0.0957620, MAP: 0.0437807, MRR: 0.0885004, NDCG: 0.0662414, F1: 0.0378540, HIT_RATE: 0.2358931, ARHR: 0.0974042, NOVELTY: 0.0048573, AVERAGE_POPULARITY: 0.1116847, DIVERSITY_MEAN_INTER_LIST: 0.9824200, DIVERSITY_HERFINDAHL: 0.9982212, COVERAGE_ITEM: 0.3887584, COVERAGE_ITEM_CORRECT: 0.0226756, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1138795, DIVERSITY_GINI: 0.1352419, SHANNON_ENTROPY: 11.4403117, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'alpha': 0.27228168050593676, 'l1_ratio': 0.751288883886439} - results: ROC_AUC: 0.1275936, PRECISION: 0.0249045, PRECISION_RECALL_MIN_DEN: 0.1034964, RECALL: 0.1014036, MAP: 0.0458960, MRR: 0.0923998, NDCG: 0.0695349, F1: 0.0399881, HIT_RATE: 0.2490454, ARHR: 0.1017714, NOVELTY: 0.0048396, AVERAGE_POPULARITY: 0.1126106, DIVERSITY_MEAN_INTER_LIST: 0.9821674, DIVERSITY_HERFINDAHL: 0.9981959, COVERAGE_ITEM: 0.3872955, COVERAGE_ITEM_CORRECT: 0.0238691, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1194161, DIVERSITY_GINI: 0.1325022, SHANNON_ENTROPY: 11.3939496, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'alpha': 0.6940287503656002, 'l1_ratio': 0.11545194772073256} - results: ROC_AUC: 0.1368222, PRECISION: 0.0270047, PRECISION_RECALL_MIN_DEN: 0.1122374, RECALL: 0.1100479, MAP: 0.0496420, MRR: 0.0975412, NDCG: 0.0750752, F1: 0.0433674, HIT_RATE: 0.2700467, ARHR: 0.1077868, NOVELTY: 0.0047687, AVERAGE_POPULARITY: 0.1204083, DIVERSITY_MEAN_INTER_LIST: 0.9792821, DIVERSITY_HERFINDAHL: 0.9979074, COVERAGE_ITEM: 0.3698941, COVERAGE_ITEM_CORRECT: 0.0257555, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1287278, DIVERSITY_GINI: 0.1168366, SHANNON_ENTROPY: 11.1323528, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'alpha': 0.019720073131758057, 'l1_ratio': 0.029583989824207298} - results: ROC_AUC: 0.1221506, PRECISION: 0.0234620, PRECISION_RECALL_MIN_DEN: 0.0971263, RECALL: 0.0952302, MAP: 0.0431097, MRR: 0.0871827, NDCG: 0.0654422, F1: 0.0376485, HIT_RATE: 0.2346203, ARHR: 0.0956510, NOVELTY: 0.0048605, AVERAGE_POPULARITY: 0.1119449, DIVERSITY_MEAN_INTER_LIST: 0.9823206, DIVERSITY_HERFINDAHL: 0.9982112, COVERAGE_ITEM: 0.3879885, COVERAGE_ITEM_CORRECT: 0.0227526, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1133761, DIVERSITY_GINI: 0.1355216, SHANNON_ENTROPY: 11.4456305, 
SearchBayesianSkopt: New best config found. Config 16: {'alpha': 0.9595683171219453, 'l1_ratio': 0.8747916676441719} - results: ROC_AUC: 0.1411803, PRECISION: 0.0289775, PRECISION_RECALL_MIN_DEN: 0.1227590, RECALL: 0.1203124, MAP: 0.0530645, MRR: 0.1009474, NDCG: 0.0801345, F1: 0.0467058, HIT_RATE: 0.2897751, ARHR: 0.1123768, NOVELTY: 0.0047796, AVERAGE_POPULARITY: 0.1130640, DIVERSITY_MEAN_INTER_LIST: 0.9819010, DIVERSITY_HERFINDAHL: 0.9981693, COVERAGE_ITEM: 0.3723580, COVERAGE_ITEM_CORRECT: 0.0292974, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1369070, DIVERSITY_GINI: 0.1168452, SHANNON_ENTROPY: 11.2069944, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'alpha': 0.5918203351990361, 'l1_ratio': 0.587508984779955} - results: ROC_AUC: 0.1346157, PRECISION: 0.0268350, PRECISION_RECALL_MIN_DEN: 0.1120964, RECALL: 0.1098848, MAP: 0.0497969, MRR: 0.0974457, NDCG: 0.0749411, F1: 0.0431357, HIT_RATE: 0.2683496, ARHR: 0.1076755, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.1145932, DIVERSITY_MEAN_INTER_LIST: 0.9814099, DIVERSITY_HERFINDAHL: 0.9981202, COVERAGE_ITEM: 0.3796343, COVERAGE_ITEM_CORRECT: 0.0260635, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1273437, DIVERSITY_GINI: 0.1245772, SHANNON_ENTROPY: 11.2770197, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'alpha': 0.513268273101754, 'l1_ratio': 0.8050668207295517} - results: ROC_AUC: 0.1340666, PRECISION: 0.0263471, PRECISION_RECALL_MIN_DEN: 0.1094911, RECALL: 0.1073102, MAP: 0.0491558, MRR: 0.0971301, NDCG: 0.0738229, F1: 0.0423068, HIT_RATE: 0.2634705, ARHR: 0.1072244, NOVELTY: 0.0048159, AVERAGE_POPULARITY: 0.1131580, DIVERSITY_MEAN_INTER_LIST: 0.9819054, DIVERSITY_HERFINDAHL: 0.9981697, COVERAGE_ITEM: 0.3848316, COVERAGE_ITEM_CORRECT: 0.0253321, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1255820, DIVERSITY_GINI: 0.1278616, SHANNON_ENTROPY: 11.3261054, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'alpha': 0.2727364016375016, 'l1_ratio': 0.0326754800803103} - results: ROC_AUC: 0.1258169, PRECISION: 0.0243106, PRECISION_RECALL_MIN_DEN: 0.1007416, RECALL: 0.0987343, MAP: 0.0447298, MRR: 0.0908357, NDCG: 0.0678982, F1: 0.0390148, HIT_RATE: 0.2431056, ARHR: 0.0998959, NOVELTY: 0.0048297, AVERAGE_POPULARITY: 0.1154113, DIVERSITY_MEAN_INTER_LIST: 0.9811941, DIVERSITY_HERFINDAHL: 0.9980986, COVERAGE_ITEM: 0.3824447, COVERAGE_ITEM_CORRECT: 0.0231761, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1170253, DIVERSITY_GINI: 0.1296904, SHANNON_ENTROPY: 11.3457374, 
