SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.45205785570427526, 'l1_ratio': 0.7608351066245566} - results: ROC_AUC: 0.1346574, PRECISION: 0.0266865, PRECISION_RECALL_MIN_DEN: 0.1118473, RECALL: 0.1097166, MAP: 0.0486440, MRR: 0.0970643, NDCG: 0.0740665, F1: 0.0429308, HIT_RATE: 0.2668647, ARHR: 0.1073624, NOVELTY: 0.0048311, AVERAGE_POPULARITY: 0.1098652, DIVERSITY_MEAN_INTER_LIST: 0.9834851, DIVERSITY_HERFINDAHL: 0.9983276, COVERAGE_ITEM: 0.3871415, COVERAGE_ITEM_CORRECT: 0.0263330, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1273437, DIVERSITY_GINI: 0.1310979, SHANNON_ENTROPY: 11.4055832, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.36519276364585734, 'l1_ratio': 0.9025882531593047} - results: ROC_AUC: 0.1310787, PRECISION: 0.0259016, PRECISION_RECALL_MIN_DEN: 0.1075101, RECALL: 0.1053732, MAP: 0.0474457, MRR: 0.0952511, NDCG: 0.0719552, F1: 0.0415820, HIT_RATE: 0.2590157, ARHR: 0.1052463, NOVELTY: 0.0048377, AVERAGE_POPULARITY: 0.1112460, DIVERSITY_MEAN_INTER_LIST: 0.9827063, DIVERSITY_HERFINDAHL: 0.9982498, COVERAGE_ITEM: 0.3907603, COVERAGE_ITEM_CORRECT: 0.0252166, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1231911, DIVERSITY_GINI: 0.1332916, SHANNON_ENTROPY: 11.4049276, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.8268426323594084, 'l1_ratio': 0.574065029566862} - results: ROC_AUC: 0.1425661, PRECISION: 0.0289139, PRECISION_RECALL_MIN_DEN: 0.1209248, RECALL: 0.1185700, MAP: 0.0518927, MRR: 0.1004571, NDCG: 0.0791239, F1: 0.0464907, HIT_RATE: 0.2891387, ARHR: 0.1118596, NOVELTY: 0.0048157, AVERAGE_POPULARITY: 0.1043099, DIVERSITY_MEAN_INTER_LIST: 0.9860534, DIVERSITY_HERFINDAHL: 0.9985844, COVERAGE_ITEM: 0.3750144, COVERAGE_ITEM_CORRECT: 0.0302984, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1372845, DIVERSITY_GINI: 0.1237342, SHANNON_ENTROPY: 11.4260613, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.9219282375529216, 'l1_ratio': 0.5055522757195421} - results: ROC_AUC: 0.1418552, PRECISION: 0.0287442, PRECISION_RECALL_MIN_DEN: 0.1182726, RECALL: 0.1158130, MAP: 0.0513096, MRR: 0.1000047, NDCG: 0.0780925, F1: 0.0460572, HIT_RATE: 0.2874417, ARHR: 0.1114697, NOVELTY: 0.0048222, AVERAGE_POPULARITY: 0.1016975, DIVERSITY_MEAN_INTER_LIST: 0.9870516, DIVERSITY_HERFINDAHL: 0.9986842, COVERAGE_ITEM: 0.3747064, COVERAGE_ITEM_CORRECT: 0.0303754, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1350195, DIVERSITY_GINI: 0.1241886, SHANNON_ENTROPY: 11.4695917, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.9313462191388977, 'l1_ratio': 0.40332879452922665} - results: ROC_AUC: 0.1411080, PRECISION: 0.0287017, PRECISION_RECALL_MIN_DEN: 0.1172447, RECALL: 0.1147479, MAP: 0.0512469, MRR: 0.0999928, NDCG: 0.0777958, F1: 0.0459181, HIT_RATE: 0.2870174, ARHR: 0.1116520, NOVELTY: 0.0048284, AVERAGE_POPULARITY: 0.1000268, DIVERSITY_MEAN_INTER_LIST: 0.9877540, DIVERSITY_HERFINDAHL: 0.9987544, COVERAGE_ITEM: 0.3738210, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1343903, DIVERSITY_GINI: 0.1247780, SHANNON_ENTROPY: 11.5056575, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.4732398556626949, 'l1_ratio': 0.7973657962799813} - results: ROC_AUC: 0.1350060, PRECISION: 0.0269835, PRECISION_RECALL_MIN_DEN: 0.1130496, RECALL: 0.1108883, MAP: 0.0487740, MRR: 0.0969921, NDCG: 0.0744660, F1: 0.0434048, HIT_RATE: 0.2698345, ARHR: 0.1073512, NOVELTY: 0.0048298, AVERAGE_POPULARITY: 0.1099023, DIVERSITY_MEAN_INTER_LIST: 0.9834280, DIVERSITY_HERFINDAHL: 0.9983219, COVERAGE_ITEM: 0.3874495, COVERAGE_ITEM_CORRECT: 0.0264485, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1288537, DIVERSITY_GINI: 0.1309719, SHANNON_ENTROPY: 11.4004023, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.7753202406620451, 'l1_ratio': 0.02812448701975146} - results: ROC_AUC: 0.1402936, PRECISION: 0.0279593, PRECISION_RECALL_MIN_DEN: 0.1145900, RECALL: 0.1122187, MAP: 0.0509738, MRR: 0.1001465, NDCG: 0.0769577, F1: 0.0447653, HIT_RATE: 0.2795927, ARHR: 0.1114353, NOVELTY: 0.0048242, AVERAGE_POPULARITY: 0.1004285, DIVERSITY_MEAN_INTER_LIST: 0.9880215, DIVERSITY_HERFINDAHL: 0.9987812, COVERAGE_ITEM: 0.3687007, COVERAGE_ITEM_CORRECT: 0.0302599, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1321253, DIVERSITY_GINI: 0.1222567, SHANNON_ENTROPY: 11.5009702, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.029914885349281557, 'l1_ratio': 0.31792730390250296} - results: ROC_AUC: 0.1223082, PRECISION: 0.0236105, PRECISION_RECALL_MIN_DEN: 0.0976339, RECALL: 0.0956982, MAP: 0.0425515, MRR: 0.0872641, NDCG: 0.0652158, F1: 0.0378763, HIT_RATE: 0.2361052, ARHR: 0.0958641, NOVELTY: 0.0048657, AVERAGE_POPULARITY: 0.1112651, DIVERSITY_MEAN_INTER_LIST: 0.9825895, DIVERSITY_HERFINDAHL: 0.9982381, COVERAGE_ITEM: 0.3900674, COVERAGE_ITEM_CORRECT: 0.0228296, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1143828, DIVERSITY_GINI: 0.1370912, SHANNON_ENTROPY: 11.4628109, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.6540982042680367, 'l1_ratio': 0.7472002803178799} - results: ROC_AUC: 0.1397013, PRECISION: 0.0284472, PRECISION_RECALL_MIN_DEN: 0.1197935, RECALL: 0.1175388, MAP: 0.0510168, MRR: 0.0990570, NDCG: 0.0780189, F1: 0.0458078, HIT_RATE: 0.2844718, ARHR: 0.1101448, NOVELTY: 0.0048147, AVERAGE_POPULARITY: 0.1085965, DIVERSITY_MEAN_INTER_LIST: 0.9841426, DIVERSITY_HERFINDAHL: 0.9983934, COVERAGE_ITEM: 0.3812127, COVERAGE_ITEM_CORRECT: 0.0285659, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1351453, DIVERSITY_GINI: 0.1262907, SHANNON_ENTROPY: 11.3750047, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.14311133266465972, 'l1_ratio': 0.6182036556540754} - results: ROC_AUC: 0.1259458, PRECISION: 0.0244378, PRECISION_RECALL_MIN_DEN: 0.1014576, RECALL: 0.0994599, MAP: 0.0445514, MRR: 0.0901892, NDCG: 0.0679197, F1: 0.0392354, HIT_RATE: 0.2443784, ARHR: 0.0994218, NOVELTY: 0.0048549, AVERAGE_POPULARITY: 0.1111193, DIVERSITY_MEAN_INTER_LIST: 0.9828437, DIVERSITY_HERFINDAHL: 0.9982635, COVERAGE_ITEM: 0.3909143, COVERAGE_ITEM_CORRECT: 0.0238691, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1175286, DIVERSITY_GINI: 0.1357410, SHANNON_ENTROPY: 11.4491409, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.014199646320958385, 'l1_ratio': 0.933332569019475} - results: ROC_AUC: 0.1217307, PRECISION: 0.0235257, PRECISION_RECALL_MIN_DEN: 0.0971907, RECALL: 0.0952836, MAP: 0.0425496, MRR: 0.0866695, NDCG: 0.0650371, F1: 0.0377346, HIT_RATE: 0.2352567, ARHR: 0.0951250, NOVELTY: 0.0048686, AVERAGE_POPULARITY: 0.1112862, DIVERSITY_MEAN_INTER_LIST: 0.9825042, DIVERSITY_HERFINDAHL: 0.9982296, COVERAGE_ITEM: 0.3906449, COVERAGE_ITEM_CORRECT: 0.0227141, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1141311, DIVERSITY_GINI: 0.1376401, SHANNON_ENTROPY: 11.4672353, 
