SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.9393968756018661, 'l1_ratio': 0.35449064862952767} - results: ROC_AUC: 0.1408559, PRECISION: 0.0281078, PRECISION_RECALL_MIN_DEN: 0.1149775, RECALL: 0.1125648, MAP: 0.0506289, MRR: 0.0999383, NDCG: 0.0768530, F1: 0.0449831, HIT_RATE: 0.2810776, ARHR: 0.1113158, NOVELTY: 0.0048116, AVERAGE_POPULARITY: 0.1016739, DIVERSITY_MEAN_INTER_LIST: 0.9876782, DIVERSITY_HERFINDAHL: 0.9987469, COVERAGE_ITEM: 0.3642348, COVERAGE_ITEM_CORRECT: 0.0301444, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1331320, DIVERSITY_GINI: 0.1193274, SHANNON_ENTROPY: 11.4562716, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.366082434907866, 'l1_ratio': 0.2795781047235338} - results: ROC_AUC: 0.1328185, PRECISION: 0.0265804, PRECISION_RECALL_MIN_DEN: 0.1102990, RECALL: 0.1080631, MAP: 0.0477125, MRR: 0.0956553, NDCG: 0.0729912, F1: 0.0426662, HIT_RATE: 0.2658040, ARHR: 0.1059202, NOVELTY: 0.0048266, AVERAGE_POPULARITY: 0.1097256, DIVERSITY_MEAN_INTER_LIST: 0.9841798, DIVERSITY_HERFINDAHL: 0.9983971, COVERAGE_ITEM: 0.3800192, COVERAGE_ITEM_CORRECT: 0.0262945, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1265886, DIVERSITY_GINI: 0.1281701, SHANNON_ENTROPY: 11.4157612, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.7385028649707576, 'l1_ratio': 0.4512926428061671} - results: ROC_AUC: 0.1407556, PRECISION: 0.0285957, PRECISION_RECALL_MIN_DEN: 0.1185214, RECALL: 0.1161214, MAP: 0.0515149, MRR: 0.1005925, NDCG: 0.0783492, F1: 0.0458905, HIT_RATE: 0.2859567, ARHR: 0.1118630, NOVELTY: 0.0047985, AVERAGE_POPULARITY: 0.1073394, DIVERSITY_MEAN_INTER_LIST: 0.9855825, DIVERSITY_HERFINDAHL: 0.9985373, COVERAGE_ITEM: 0.3661213, COVERAGE_ITEM_CORRECT: 0.0297594, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1345162, DIVERSITY_GINI: 0.1189413, SHANNON_ENTROPY: 11.3692076, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.12913959345508866, 'l1_ratio': 0.6927184738037948} - results: ROC_AUC: 0.1252237, PRECISION: 0.0239499, PRECISION_RECALL_MIN_DEN: 0.0993309, RECALL: 0.0973622, MAP: 0.0438167, MRR: 0.0890786, NDCG: 0.0667522, F1: 0.0384433, HIT_RATE: 0.2394994, ARHR: 0.0980745, NOVELTY: 0.0048486, AVERAGE_POPULARITY: 0.1125860, DIVERSITY_MEAN_INTER_LIST: 0.9823314, DIVERSITY_HERFINDAHL: 0.9982123, COVERAGE_ITEM: 0.3844081, COVERAGE_ITEM_CORRECT: 0.0229066, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1158928, DIVERSITY_GINI: 0.1330154, SHANNON_ENTROPY: 11.4153711, 
SearchBayesianSkopt: New best config found. Config 4: {'alpha': 0.778883634175871, 'l1_ratio': 0.6064222832318472} - results: ROC_AUC: 0.1416537, PRECISION: 0.0286381, PRECISION_RECALL_MIN_DEN: 0.1195638, RECALL: 0.1172163, MAP: 0.0518408, MRR: 0.1010719, NDCG: 0.0788682, F1: 0.0460302, HIT_RATE: 0.2863810, ARHR: 0.1122985, NOVELTY: 0.0047856, AVERAGE_POPULARITY: 0.1098929, DIVERSITY_MEAN_INTER_LIST: 0.9845746, DIVERSITY_HERFINDAHL: 0.9984366, COVERAGE_ITEM: 0.3635804, COVERAGE_ITEM_CORRECT: 0.0296439, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1352712, DIVERSITY_GINI: 0.1164735, SHANNON_ENTROPY: 11.3051347, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.5731440750228153, 'l1_ratio': 0.66157557270708} - results: ROC_AUC: 0.1357444, PRECISION: 0.0274077, PRECISION_RECALL_MIN_DEN: 0.1143763, RECALL: 0.1121232, MAP: 0.0490570, MRR: 0.0972418, NDCG: 0.0751556, F1: 0.0440482, HIT_RATE: 0.2740772, ARHR: 0.1077902, NOVELTY: 0.0047991, AVERAGE_POPULARITY: 0.1128778, DIVERSITY_MEAN_INTER_LIST: 0.9830944, DIVERSITY_HERFINDAHL: 0.9982886, COVERAGE_ITEM: 0.3726660, COVERAGE_ITEM_CORRECT: 0.0271415, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1301120, DIVERSITY_GINI: 0.1221226, SHANNON_ENTROPY: 11.3142348, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.6865060503810017, 'l1_ratio': 0.7904570905140101} - results: ROC_AUC: 0.1378684, PRECISION: 0.0279805, PRECISION_RECALL_MIN_DEN: 0.1172063, RECALL: 0.1148924, MAP: 0.0503258, MRR: 0.0990359, NDCG: 0.0769064, F1: 0.0450015, HIT_RATE: 0.2798048, ARHR: 0.1100033, NOVELTY: 0.0047776, AVERAGE_POPULARITY: 0.1156119, DIVERSITY_MEAN_INTER_LIST: 0.9820030, DIVERSITY_HERFINDAHL: 0.9981795, COVERAGE_ITEM: 0.3684312, COVERAGE_ITEM_CORRECT: 0.0276805, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1317478, DIVERSITY_GINI: 0.1176751, SHANNON_ENTROPY: 11.2263898, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.7537452269369294, 'l1_ratio': 0.6228751604538917} - results: ROC_AUC: 0.1411072, PRECISION: 0.0286381, PRECISION_RECALL_MIN_DEN: 0.1197002, RECALL: 0.1173896, MAP: 0.0514841, MRR: 0.1009425, NDCG: 0.0786520, F1: 0.0460435, HIT_RATE: 0.2863810, ARHR: 0.1120847, NOVELTY: 0.0047863, AVERAGE_POPULARITY: 0.1104147, DIVERSITY_MEAN_INTER_LIST: 0.9843138, DIVERSITY_HERFINDAHL: 0.9984105, COVERAGE_ITEM: 0.3650818, COVERAGE_ITEM_CORRECT: 0.0294899, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1355228, DIVERSITY_GINI: 0.1171683, SHANNON_ENTROPY: 11.3021154, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.27299463962912357, 'l1_ratio': 0.3648685728291266} - results: ROC_AUC: 0.1290912, PRECISION: 0.0255409, PRECISION_RECALL_MIN_DEN: 0.1052681, RECALL: 0.1031119, MAP: 0.0464963, MRR: 0.0935048, NDCG: 0.0706198, F1: 0.0409408, HIT_RATE: 0.2554094, ARHR: 0.1034892, NOVELTY: 0.0048336, AVERAGE_POPULARITY: 0.1110721, DIVERSITY_MEAN_INTER_LIST: 0.9834095, DIVERSITY_HERFINDAHL: 0.9983201, COVERAGE_ITEM: 0.3825987, COVERAGE_ITEM_CORRECT: 0.0249856, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1214295, DIVERSITY_GINI: 0.1300897, SHANNON_ENTROPY: 11.4131005, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.2749102253943257, 'l1_ratio': 0.014284910092847606} - results: ROC_AUC: 0.1317445, PRECISION: 0.0260289, PRECISION_RECALL_MIN_DEN: 0.1078789, RECALL: 0.1057289, MAP: 0.0471642, MRR: 0.0949238, NDCG: 0.0719314, F1: 0.0417737, HIT_RATE: 0.2602885, ARHR: 0.1051079, NOVELTY: 0.0048343, AVERAGE_POPULARITY: 0.1092303, DIVERSITY_MEAN_INTER_LIST: 0.9843064, DIVERSITY_HERFINDAHL: 0.9984098, COVERAGE_ITEM: 0.3816747, COVERAGE_ITEM_CORRECT: 0.0257170, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1243236, DIVERSITY_GINI: 0.1298883, SHANNON_ENTROPY: 11.4401594, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.9673777645904967, 'l1_ratio': 0.6110550010971483} - results: ROC_AUC: 0.1422813, PRECISION: 0.0283835, PRECISION_RECALL_MIN_DEN: 0.1169280, RECALL: 0.1145776, MAP: 0.0513430, MRR: 0.1011092, NDCG: 0.0780004, F1: 0.0454965, HIT_RATE: 0.2838354, ARHR: 0.1125295, NOVELTY: 0.0047857, AVERAGE_POPULARITY: 0.1069349, DIVERSITY_MEAN_INTER_LIST: 0.9857573, DIVERSITY_HERFINDAHL: 0.9985548, COVERAGE_ITEM: 0.3590760, COVERAGE_ITEM_CORRECT: 0.0297594, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1337612, DIVERSITY_GINI: 0.1145861, SHANNON_ENTROPY: 11.3324354, 
