SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.31179616010259, 'l1_ratio': 0.8330680026941446} - results: ROC_AUC: 0.1530987, PRECISION: 0.0301443, PRECISION_RECALL_MIN_DEN: 0.1310049, RECALL: 0.1287472, MAP: 0.0594937, MRR: 0.1091024, NDCG: 0.0876875, F1: 0.0488508, HIT_RATE: 0.3014425, ARHR: 0.1208792, NOVELTY: 0.0047803, AVERAGE_POPULARITY: 0.1094366, DIVERSITY_MEAN_INTER_LIST: 0.9829999, DIVERSITY_HERFINDAHL: 0.9982791, COVERAGE_ITEM: 0.4083542, COVERAGE_ITEM_CORRECT: 0.0329163, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1431987, DIVERSITY_GINI: 0.1328786, SHANNON_ENTROPY: 11.3502079, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.28988562983477056, 'l1_ratio': 0.3554016760059934} - results: ROC_AUC: 0.1534947, PRECISION: 0.0311413, PRECISION_RECALL_MIN_DEN: 0.1387817, RECALL: 0.1364090, MAP: 0.0605344, MRR: 0.1097961, NDCG: 0.0902293, F1: 0.0507066, HIT_RATE: 0.3114128, ARHR: 0.1221758, NOVELTY: 0.0047985, AVERAGE_POPULARITY: 0.1017179, DIVERSITY_MEAN_INTER_LIST: 0.9848413, DIVERSITY_HERFINDAHL: 0.9984632, COVERAGE_ITEM: 0.4574783, COVERAGE_ITEM_CORRECT: 0.0361886, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1463445, DIVERSITY_GINI: 0.1651973, SHANNON_ENTROPY: 11.6655432, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.7021255257436378, 'l1_ratio': 0.8799646154792433} - results: ROC_AUC: 0.1659354, PRECISION: 0.0331353, PRECISION_RECALL_MIN_DEN: 0.1459184, RECALL: 0.1433955, MAP: 0.0639849, MRR: 0.1164821, NDCG: 0.0954804, F1: 0.0538315, HIT_RATE: 0.3313534, ARHR: 0.1298331, NOVELTY: 0.0047961, AVERAGE_POPULARITY: 0.1011683, DIVERSITY_MEAN_INTER_LIST: 0.9864107, DIVERSITY_HERFINDAHL: 0.9986201, COVERAGE_ITEM: 0.4184793, COVERAGE_ITEM_CORRECT: 0.0375746, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1554046, DIVERSITY_GINI: 0.1420406, SHANNON_ENTROPY: 11.5544004, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.7339389263957207, 'l1_ratio': 0.3115280756331897} - results: ROC_AUC: 0.1385768, PRECISION: 0.0283411, PRECISION_RECALL_MIN_DEN: 0.1209381, RECALL: 0.1186816, MAP: 0.0523718, MRR: 0.0991713, NDCG: 0.0790003, F1: 0.0457558, HIT_RATE: 0.2834111, ARHR: 0.1108369, NOVELTY: 0.0050141, AVERAGE_POPULARITY: 0.0592934, DIVERSITY_MEAN_INTER_LIST: 0.9948376, DIVERSITY_HERFINDAHL: 0.9994627, COVERAGE_ITEM: 0.5365929, COVERAGE_ITEM_CORRECT: 0.0378826, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1317478, DIVERSITY_GINI: 0.2445334, SHANNON_ENTROPY: 12.6465766, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.46559552379858415, 'l1_ratio': 0.7407327205988676} - results: ROC_AUC: 0.1626445, PRECISION: 0.0329020, PRECISION_RECALL_MIN_DEN: 0.1461781, RECALL: 0.1437472, MAP: 0.0637092, MRR: 0.1150642, NDCG: 0.0950817, F1: 0.0535476, HIT_RATE: 0.3290199, ARHR: 0.1283755, NOVELTY: 0.0047961, AVERAGE_POPULARITY: 0.1026450, DIVERSITY_MEAN_INTER_LIST: 0.9852967, DIVERSITY_HERFINDAHL: 0.9985088, COVERAGE_ITEM: 0.4318383, COVERAGE_ITEM_CORRECT: 0.0374206, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1541462, DIVERSITY_GINI: 0.1486885, SHANNON_ENTROPY: 11.5572075, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.7949986976194582, 'l1_ratio': 0.15861195341129256} - results: ROC_AUC: 0.1194247, PRECISION: 0.0244591, PRECISION_RECALL_MIN_DEN: 0.1035388, RECALL: 0.1016405, MAP: 0.0442230, MRR: 0.0847889, NDCG: 0.0672609, F1: 0.0394297, HIT_RATE: 0.2445906, ARHR: 0.0942839, NOVELTY: 0.0051097, AVERAGE_POPULARITY: 0.0409545, DIVERSITY_MEAN_INTER_LIST: 0.9969494, DIVERSITY_HERFINDAHL: 0.9996738, COVERAGE_ITEM: 0.5537247, COVERAGE_ITEM_CORRECT: 0.0354957, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1148861, DIVERSITY_GINI: 0.2691471, SHANNON_ENTROPY: 12.9238903, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.8687867176194577, 'l1_ratio': 0.25363466102989213} - results: ROC_AUC: 0.1246586, PRECISION: 0.0252652, PRECISION_RECALL_MIN_DEN: 0.1071203, RECALL: 0.1051646, MAP: 0.0463788, MRR: 0.0881630, NDCG: 0.0701321, F1: 0.0407422, HIT_RATE: 0.2526517, ARHR: 0.0978867, NOVELTY: 0.0051100, AVERAGE_POPULARITY: 0.0415465, DIVERSITY_MEAN_INTER_LIST: 0.9969907, DIVERSITY_HERFINDAHL: 0.9996779, COVERAGE_ITEM: 0.5544562, COVERAGE_ITEM_CORRECT: 0.0365736, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1190386, DIVERSITY_GINI: 0.2692877, SHANNON_ENTROPY: 12.9269054, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4823878732615744, 'l1_ratio': 0.48700195486787623} - results: ROC_AUC: 0.1590527, PRECISION: 0.0322868, PRECISION_RECALL_MIN_DEN: 0.1448600, RECALL: 0.1424491, MAP: 0.0617891, MRR: 0.1135555, NDCG: 0.0930821, F1: 0.0526420, HIT_RATE: 0.3228681, ARHR: 0.1265988, NOVELTY: 0.0048366, AVERAGE_POPULARITY: 0.0922379, DIVERSITY_MEAN_INTER_LIST: 0.9878455, DIVERSITY_HERFINDAHL: 0.9987636, COVERAGE_ITEM: 0.4777671, COVERAGE_ITEM_CORRECT: 0.0384601, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1520070, DIVERSITY_GINI: 0.1827655, SHANNON_ENTROPY: 11.9068371, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.8416340030829476, 'l1_ratio': 0.6651408407090509} - results: ROC_AUC: 0.1658737, PRECISION: 0.0339415, PRECISION_RECALL_MIN_DEN: 0.1512691, RECALL: 0.1487478, MAP: 0.0639251, MRR: 0.1182523, NDCG: 0.0969302, F1: 0.0552711, HIT_RATE: 0.3394145, ARHR: 0.1321684, NOVELTY: 0.0048897, AVERAGE_POPULARITY: 0.0818705, DIVERSITY_MEAN_INTER_LIST: 0.9912367, DIVERSITY_HERFINDAHL: 0.9991026, COVERAGE_ITEM: 0.4860828, COVERAGE_ITEM_CORRECT: 0.0420404, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1582987, DIVERSITY_GINI: 0.1932315, SHANNON_ENTROPY: 12.1298312, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.6934738386138591, 'l1_ratio': 0.13584591082980593} - results: ROC_AUC: 0.1240638, PRECISION: 0.0257106, PRECISION_RECALL_MIN_DEN: 0.1081061, RECALL: 0.1060461, MAP: 0.0460586, MRR: 0.0883143, NDCG: 0.0701601, F1: 0.0413871, HIT_RATE: 0.2571065, ARHR: 0.0985396, NOVELTY: 0.0050601, AVERAGE_POPULARITY: 0.0502270, DIVERSITY_MEAN_INTER_LIST: 0.9958824, DIVERSITY_HERFINDAHL: 0.9995671, COVERAGE_ITEM: 0.5457555, COVERAGE_ITEM_CORRECT: 0.0356882, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1206745, DIVERSITY_GINI: 0.2575930, SHANNON_ENTROPY: 12.7886965, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7413781484785152, 'l1_ratio': 0.45110700191728925} - results: ROC_AUC: 0.1517102, PRECISION: 0.0311201, PRECISION_RECALL_MIN_DEN: 0.1351648, RECALL: 0.1328756, MAP: 0.0582644, MRR: 0.1090634, NDCG: 0.0879122, F1: 0.0504294, HIT_RATE: 0.3112007, ARHR: 0.1215343, NOVELTY: 0.0049567, AVERAGE_POPULARITY: 0.0703474, DIVERSITY_MEAN_INTER_LIST: 0.9931372, DIVERSITY_HERFINDAHL: 0.9992927, COVERAGE_ITEM: 0.5194225, COVERAGE_ITEM_CORRECT: 0.0396535, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1454637, DIVERSITY_GINI: 0.2243820, SHANNON_ENTROPY: 12.4292630, 
