SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.31179616010259, 'l1_ratio': 0.8330680026941446} - results: ROC_AUC: 0.1715786, PRECISION: 0.0343233, PRECISION_RECALL_MIN_DEN: 0.1487664, RECALL: 0.1461521, MAP: 0.0658039, MRR: 0.1214942, NDCG: 0.0982349, F1: 0.0555912, HIT_RATE: 0.3432329, ARHR: 0.1358337, NOVELTY: 0.0048051, AVERAGE_POPULARITY: 0.1002288, DIVERSITY_MEAN_INTER_LIST: 0.9870458, DIVERSITY_HERFINDAHL: 0.9986836, COVERAGE_ITEM: 0.4125120, COVERAGE_ITEM_CORRECT: 0.0394610, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1599346, DIVERSITY_GINI: 0.1385845, SHANNON_ENTROPY: 11.5464045, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.28988562983477056, 'l1_ratio': 0.3554016760059934} - results: ROC_AUC: 0.1582050, PRECISION: 0.0320747, PRECISION_RECALL_MIN_DEN: 0.1435776, RECALL: 0.1413620, MAP: 0.0614277, MRR: 0.1126058, NDCG: 0.0926388, F1: 0.0522858, HIT_RATE: 0.3207467, ARHR: 0.1250750, NOVELTY: 0.0049650, AVERAGE_POPULARITY: 0.0690367, DIVERSITY_MEAN_INTER_LIST: 0.9936492, DIVERSITY_HERFINDAHL: 0.9993438, COVERAGE_ITEM: 0.5099134, COVERAGE_ITEM_CORRECT: 0.0417324, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1516295, DIVERSITY_GINI: 0.2167857, SHANNON_ENTROPY: 12.4070536, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.7021255257436378, 'l1_ratio': 0.8799646154792433} - results: ROC_AUC: 0.1699156, PRECISION: 0.0343657, PRECISION_RECALL_MIN_DEN: 0.1492019, RECALL: 0.1465987, MAP: 0.0654905, MRR: 0.1199978, NDCG: 0.0979492, F1: 0.0556791, HIT_RATE: 0.3436572, ARHR: 0.1342944, NOVELTY: 0.0048139, AVERAGE_POPULARITY: 0.0964528, DIVERSITY_MEAN_INTER_LIST: 0.9882123, DIVERSITY_HERFINDAHL: 0.9988003, COVERAGE_ITEM: 0.4220982, COVERAGE_ITEM_CORRECT: 0.0401155, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1591796, DIVERSITY_GINI: 0.1460640, SHANNON_ENTROPY: 11.6628685, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.7339389263957207, 'l1_ratio': 0.3115280756331897} - results: ROC_AUC: 0.1309135, PRECISION: 0.0263046, PRECISION_RECALL_MIN_DEN: 0.1144607, RECALL: 0.1124796, MAP: 0.0497891, MRR: 0.0926597, NDCG: 0.0748045, F1: 0.0426379, HIT_RATE: 0.2630462, ARHR: 0.1025116, NOVELTY: 0.0051064, AVERAGE_POPULARITY: 0.0425290, DIVERSITY_MEAN_INTER_LIST: 0.9969692, DIVERSITY_HERFINDAHL: 0.9996758, COVERAGE_ITEM: 0.5533013, COVERAGE_ITEM_CORRECT: 0.0380366, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1243236, DIVERSITY_GINI: 0.2676491, SHANNON_ENTROPY: 12.9162631, 
SearchBayesianSkopt: New best config found. Config 4: {'alpha': 0.46559552379858415, 'l1_ratio': 0.7407327205988676} - results: ROC_AUC: 0.1725856, PRECISION: 0.0349809, PRECISION_RECALL_MIN_DEN: 0.1536863, RECALL: 0.1510456, MAP: 0.0668826, MRR: 0.1220012, NDCG: 0.1001677, F1: 0.0568060, HIT_RATE: 0.3498091, ARHR: 0.1370008, NOVELTY: 0.0048531, AVERAGE_POPULARITY: 0.0908075, DIVERSITY_MEAN_INTER_LIST: 0.9894961, DIVERSITY_HERFINDAHL: 0.9989286, COVERAGE_ITEM: 0.4502021, COVERAGE_ITEM_CORRECT: 0.0421944, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1609412, DIVERSITY_GINI: 0.1650486, SHANNON_ENTROPY: 11.8541875, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.7949986976194582, 'l1_ratio': 0.15861195341129256} - results: ROC_AUC: 0.1086226, PRECISION: 0.0216589, PRECISION_RECALL_MIN_DEN: 0.0952379, RECALL: 0.0936450, MAP: 0.0402819, MRR: 0.0749670, NDCG: 0.0612225, F1: 0.0351809, HIT_RATE: 0.2165889, ARHR: 0.0821552, NOVELTY: 0.0051756, AVERAGE_POPULARITY: 0.0287386, DIVERSITY_MEAN_INTER_LIST: 0.9977398, DIVERSITY_HERFINDAHL: 0.9997528, COVERAGE_ITEM: 0.5633879, COVERAGE_ITEM_CORRECT: 0.0344177, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1057003, DIVERSITY_GINI: 0.2824079, SHANNON_ENTROPY: 13.0590568, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.8687867176194577, 'l1_ratio': 0.25363466102989213} - results: ROC_AUC: 0.1187692, PRECISION: 0.0235045, PRECISION_RECALL_MIN_DEN: 0.1017393, RECALL: 0.1000154, MAP: 0.0441322, MRR: 0.0827471, NDCG: 0.0665328, F1: 0.0380636, HIT_RATE: 0.2350445, ARHR: 0.0910316, NOVELTY: 0.0051518, AVERAGE_POPULARITY: 0.0339066, DIVERSITY_MEAN_INTER_LIST: 0.9975448, DIVERSITY_HERFINDAHL: 0.9997333, COVERAGE_ITEM: 0.5612320, COVERAGE_ITEM_CORRECT: 0.0358422, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1132503, DIVERSITY_GINI: 0.2782221, SHANNON_ENTROPY: 13.0192995, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4823878732615744, 'l1_ratio': 0.48700195486787623} - results: ROC_AUC: 0.1595579, PRECISION: 0.0324353, PRECISION_RECALL_MIN_DEN: 0.1444310, RECALL: 0.1421013, MAP: 0.0615650, MRR: 0.1135459, NDCG: 0.0930169, F1: 0.0528153, HIT_RATE: 0.3243530, ARHR: 0.1265134, NOVELTY: 0.0049673, AVERAGE_POPULARITY: 0.0682279, DIVERSITY_MEAN_INTER_LIST: 0.9938790, DIVERSITY_HERFINDAHL: 0.9993668, COVERAGE_ITEM: 0.5135707, COVERAGE_ITEM_CORRECT: 0.0423484, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1522587, DIVERSITY_GINI: 0.2200095, SHANNON_ENTROPY: 12.4415111, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.8416340030829476, 'l1_ratio': 0.6651408407090509} - results: ROC_AUC: 0.1668338, PRECISION: 0.0342384, PRECISION_RECALL_MIN_DEN: 0.1514410, RECALL: 0.1489217, MAP: 0.0639020, MRR: 0.1178148, NDCG: 0.0970576, F1: 0.0556764, HIT_RATE: 0.3423844, ARHR: 0.1319257, NOVELTY: 0.0049206, AVERAGE_POPULARITY: 0.0763857, DIVERSITY_MEAN_INTER_LIST: 0.9925849, DIVERSITY_HERFINDAHL: 0.9992374, COVERAGE_ITEM: 0.4928970, COVERAGE_ITEM_CORRECT: 0.0433109, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1589279, DIVERSITY_GINI: 0.2012430, SHANNON_ENTROPY: 12.2559617, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.6934738386138591, 'l1_ratio': 0.13584591082980593} - results: ROC_AUC: 0.1101385, PRECISION: 0.0217013, PRECISION_RECALL_MIN_DEN: 0.0961118, RECALL: 0.0945725, MAP: 0.0407878, MRR: 0.0755987, NDCG: 0.0619162, F1: 0.0353020, HIT_RATE: 0.2170132, ARHR: 0.0827691, NOVELTY: 0.0051666, AVERAGE_POPULARITY: 0.0303655, DIVERSITY_MEAN_INTER_LIST: 0.9976556, DIVERSITY_HERFINDAHL: 0.9997444, COVERAGE_ITEM: 0.5618094, COVERAGE_ITEM_CORRECT: 0.0342637, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1062036, DIVERSITY_GINI: 0.2804048, SHANNON_ENTROPY: 13.0414514, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7413781484785152, 'l1_ratio': 0.45110700191728925} - results: ROC_AUC: 0.1458555, PRECISION: 0.0297624, PRECISION_RECALL_MIN_DEN: 0.1304940, RECALL: 0.1282795, MAP: 0.0562301, MRR: 0.1038480, NDCG: 0.0845786, F1: 0.0483151, HIT_RATE: 0.2976241, ARHR: 0.1159209, NOVELTY: 0.0050333, AVERAGE_POPULARITY: 0.0558458, DIVERSITY_MEAN_INTER_LIST: 0.9956817, DIVERSITY_HERFINDAHL: 0.9995471, COVERAGE_ITEM: 0.5387873, COVERAGE_ITEM_CORRECT: 0.0406160, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1394237, DIVERSITY_GINI: 0.2469541, SHANNON_ENTROPY: 12.7091547, 
