SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.31179616010259, 'l1_ratio': 0.8330680026941446} - results: ROC_AUC: 0.1565682, PRECISION: 0.0316080, PRECISION_RECALL_MIN_DEN: 0.1349571, RECALL: 0.1325228, MAP: 0.0590514, MRR: 0.1112072, NDCG: 0.0888828, F1: 0.0510420, HIT_RATE: 0.3160798, ARHR: 0.1238818, NOVELTY: 0.0047707, AVERAGE_POPULARITY: 0.1084608, DIVERSITY_MEAN_INTER_LIST: 0.9845933, DIVERSITY_HERFINDAHL: 0.9984384, COVERAGE_ITEM: 0.3814822, COVERAGE_ITEM_CORRECT: 0.0341867, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1478545, DIVERSITY_GINI: 0.1199359, SHANNON_ENTROPY: 11.2973832, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.28988562983477056, 'l1_ratio': 0.3554016760059934} - results: ROC_AUC: 0.1472834, PRECISION: 0.0290624, PRECISION_RECALL_MIN_DEN: 0.1242654, RECALL: 0.1220318, MAP: 0.0553394, MRR: 0.1043558, NDCG: 0.0826986, F1: 0.0469447, HIT_RATE: 0.2906237, ARHR: 0.1158852, NOVELTY: 0.0047626, AVERAGE_POPULARITY: 0.1131831, DIVERSITY_MEAN_INTER_LIST: 0.9823493, DIVERSITY_HERFINDAHL: 0.9982141, COVERAGE_ITEM: 0.3797113, COVERAGE_ITEM_CORRECT: 0.0299519, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1380395, DIVERSITY_GINI: 0.1169608, SHANNON_ENTROPY: 11.1850759, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.7021255257436378, 'l1_ratio': 0.8799646154792433} - results: ROC_AUC: 0.1583999, PRECISION: 0.0317777, PRECISION_RECALL_MIN_DEN: 0.1376227, RECALL: 0.1351934, MAP: 0.0597702, MRR: 0.1119182, NDCG: 0.0900022, F1: 0.0514596, HIT_RATE: 0.3177768, ARHR: 0.1248571, NOVELTY: 0.0047839, AVERAGE_POPULARITY: 0.1041061, DIVERSITY_MEAN_INTER_LIST: 0.9860095, DIVERSITY_HERFINDAHL: 0.9985800, COVERAGE_ITEM: 0.3961501, COVERAGE_ITEM_CORRECT: 0.0352262, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1488612, DIVERSITY_GINI: 0.1289596, SHANNON_ENTROPY: 11.4354558, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.7339389263957207, 'l1_ratio': 0.3115280756331897} - results: ROC_AUC: 0.1452211, PRECISION: 0.0289351, PRECISION_RECALL_MIN_DEN: 0.1239662, RECALL: 0.1217659, MAP: 0.0555376, MRR: 0.1038395, NDCG: 0.0826185, F1: 0.0467589, HIT_RATE: 0.2893509, ARHR: 0.1151487, NOVELTY: 0.0047752, AVERAGE_POPULARITY: 0.1113947, DIVERSITY_MEAN_INTER_LIST: 0.9825367, DIVERSITY_HERFINDAHL: 0.9982328, COVERAGE_ITEM: 0.3919153, COVERAGE_ITEM_CORRECT: 0.0304139, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1372845, DIVERSITY_GINI: 0.1238051, SHANNON_ENTROPY: 11.2586439, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.46559552379858415, 'l1_ratio': 0.7407327205988676} - results: ROC_AUC: 0.1554041, PRECISION: 0.0314383, PRECISION_RECALL_MIN_DEN: 0.1353740, RECALL: 0.1329502, MAP: 0.0588091, MRR: 0.1103869, NDCG: 0.0886321, F1: 0.0508518, HIT_RATE: 0.3143827, ARHR: 0.1229936, NOVELTY: 0.0047765, AVERAGE_POPULARITY: 0.1076436, DIVERSITY_MEAN_INTER_LIST: 0.9847047, DIVERSITY_HERFINDAHL: 0.9984496, COVERAGE_ITEM: 0.3862945, COVERAGE_ITEM_CORRECT: 0.0338402, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1472254, DIVERSITY_GINI: 0.1224482, SHANNON_ENTROPY: 11.3261025, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.7949986976194582, 'l1_ratio': 0.15861195341129256} - results: ROC_AUC: 0.1363690, PRECISION: 0.0270683, PRECISION_RECALL_MIN_DEN: 0.1155005, RECALL: 0.1133142, MAP: 0.0523860, MRR: 0.0979883, NDCG: 0.0774492, F1: 0.0436981, HIT_RATE: 0.2706831, ARHR: 0.1086683, NOVELTY: 0.0047719, AVERAGE_POPULARITY: 0.1142653, DIVERSITY_MEAN_INTER_LIST: 0.9812647, DIVERSITY_HERFINDAHL: 0.9981057, COVERAGE_ITEM: 0.3918383, COVERAGE_ITEM_CORRECT: 0.0277575, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1283503, DIVERSITY_GINI: 0.1229111, SHANNON_ENTROPY: 11.2070021, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.8687867176194577, 'l1_ratio': 0.25363466102989213} - results: ROC_AUC: 0.1423542, PRECISION: 0.0283411, PRECISION_RECALL_MIN_DEN: 0.1215851, RECALL: 0.1193983, MAP: 0.0549124, MRR: 0.1023586, NDCG: 0.0813327, F1: 0.0458088, HIT_RATE: 0.2834111, ARHR: 0.1134667, NOVELTY: 0.0047762, AVERAGE_POPULARITY: 0.1122338, DIVERSITY_MEAN_INTER_LIST: 0.9821447, DIVERSITY_HERFINDAHL: 0.9981936, COVERAGE_ITEM: 0.3945717, COVERAGE_ITEM_CORRECT: 0.0298749, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1345162, DIVERSITY_GINI: 0.1249092, SHANNON_ENTROPY: 11.2541234, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4823878732615744, 'l1_ratio': 0.48700195486787623} - results: ROC_AUC: 0.1512181, PRECISION: 0.0301018, PRECISION_RECALL_MIN_DEN: 0.1292477, RECALL: 0.1269057, MAP: 0.0574740, MRR: 0.1076144, NDCG: 0.0857869, F1: 0.0486613, HIT_RATE: 0.3010182, ARHR: 0.1194543, NOVELTY: 0.0047708, AVERAGE_POPULARITY: 0.1104483, DIVERSITY_MEAN_INTER_LIST: 0.9833449, DIVERSITY_HERFINDAHL: 0.9983136, COVERAGE_ITEM: 0.3861405, COVERAGE_ITEM_CORRECT: 0.0319923, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1421920, DIVERSITY_GINI: 0.1213628, SHANNON_ENTROPY: 11.2651482, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.8416340030829476, 'l1_ratio': 0.6651408407090509} - results: ROC_AUC: 0.1540429, PRECISION: 0.0312261, PRECISION_RECALL_MIN_DEN: 0.1357771, RECALL: 0.1333902, MAP: 0.0587068, MRR: 0.1093275, NDCG: 0.0884450, F1: 0.0506057, HIT_RATE: 0.3122613, ARHR: 0.1216173, NOVELTY: 0.0047799, AVERAGE_POPULARITY: 0.1064997, DIVERSITY_MEAN_INTER_LIST: 0.9849045, DIVERSITY_HERFINDAHL: 0.9984696, COVERAGE_ITEM: 0.3961886, COVERAGE_ITEM_CORRECT: 0.0338402, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1465962, DIVERSITY_GINI: 0.1277059, SHANNON_ENTROPY: 11.3809153, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.6934738386138591, 'l1_ratio': 0.13584591082980593} - results: ROC_AUC: 0.1364573, PRECISION: 0.0269835, PRECISION_RECALL_MIN_DEN: 0.1154931, RECALL: 0.1133197, MAP: 0.0519944, MRR: 0.0978000, NDCG: 0.0771786, F1: 0.0435879, HIT_RATE: 0.2698345, ARHR: 0.1082885, NOVELTY: 0.0047692, AVERAGE_POPULARITY: 0.1147702, DIVERSITY_MEAN_INTER_LIST: 0.9810780, DIVERSITY_HERFINDAHL: 0.9980870, COVERAGE_ITEM: 0.3915303, COVERAGE_ITEM_CORRECT: 0.0275650, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1284762, DIVERSITY_GINI: 0.1223180, SHANNON_ENTROPY: 11.1932790, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7413781484785152, 'l1_ratio': 0.45110700191728925} - results: ROC_AUC: 0.1503154, PRECISION: 0.0298473, PRECISION_RECALL_MIN_DEN: 0.1293365, RECALL: 0.1270937, MAP: 0.0572543, MRR: 0.1063607, NDCG: 0.0854375, F1: 0.0483417, HIT_RATE: 0.2984726, ARHR: 0.1180396, NOVELTY: 0.0047792, AVERAGE_POPULARITY: 0.1094653, DIVERSITY_MEAN_INTER_LIST: 0.9835068, DIVERSITY_HERFINDAHL: 0.9983298, COVERAGE_ITEM: 0.3923003, COVERAGE_ITEM_CORRECT: 0.0318768, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1409337, DIVERSITY_GINI: 0.1247856, SHANNON_ENTROPY: 11.3029606, 
