SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.31179616010259, 'l1_ratio': 0.8330680026941446} - results: ROC_AUC: 0.1433539, PRECISION: 0.0281502, PRECISION_RECALL_MIN_DEN: 0.1208099, RECALL: 0.1186020, MAP: 0.0548445, MRR: 0.1024241, NDCG: 0.0810826, F1: 0.0455008, HIT_RATE: 0.2815019, ARHR: 0.1134965, NOVELTY: 0.0047801, AVERAGE_POPULARITY: 0.1117323, DIVERSITY_MEAN_INTER_LIST: 0.9822722, DIVERSITY_HERFINDAHL: 0.9982064, COVERAGE_ITEM: 0.3959577, COVERAGE_ITEM_CORRECT: 0.0295669, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1337612, DIVERSITY_GINI: 0.1259708, SHANNON_ENTROPY: 11.2703785, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.28988562983477056, 'l1_ratio': 0.3554016760059934} - results: ROC_AUC: 0.1370978, PRECISION: 0.0268137, PRECISION_RECALL_MIN_DEN: 0.1141926, RECALL: 0.1120212, MAP: 0.0517670, MRR: 0.0972513, NDCG: 0.0766319, F1: 0.0432702, HIT_RATE: 0.2681375, ARHR: 0.1079258, NOVELTY: 0.0047785, AVERAGE_POPULARITY: 0.1140407, DIVERSITY_MEAN_INTER_LIST: 0.9811930, DIVERSITY_HERFINDAHL: 0.9980985, COVERAGE_ITEM: 0.3952262, COVERAGE_ITEM_CORRECT: 0.0275650, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1279728, DIVERSITY_GINI: 0.1249099, SHANNON_ENTROPY: 11.2254308, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.7021255257436378, 'l1_ratio': 0.8799646154792433} - results: ROC_AUC: 0.1535930, PRECISION: 0.0313110, PRECISION_RECALL_MIN_DEN: 0.1351159, RECALL: 0.1326699, MAP: 0.0587336, MRR: 0.1094841, NDCG: 0.0883502, F1: 0.0506648, HIT_RATE: 0.3131099, ARHR: 0.1217424, NOVELTY: 0.0047880, AVERAGE_POPULARITY: 0.1058971, DIVERSITY_MEAN_INTER_LIST: 0.9850242, DIVERSITY_HERFINDAHL: 0.9984815, COVERAGE_ITEM: 0.3968816, COVERAGE_ITEM_CORRECT: 0.0338402, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1474770, DIVERSITY_GINI: 0.1286002, SHANNON_ENTROPY: 11.3936312, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.7339389263957207, 'l1_ratio': 0.3115280756331897} - results: ROC_AUC: 0.1474761, PRECISION: 0.0296139, PRECISION_RECALL_MIN_DEN: 0.1269585, RECALL: 0.1246012, MAP: 0.0549003, MRR: 0.1033649, NDCG: 0.0829054, F1: 0.0478543, HIT_RATE: 0.2961392, ARHR: 0.1151715, NOVELTY: 0.0047876, AVERAGE_POPULARITY: 0.1103042, DIVERSITY_MEAN_INTER_LIST: 0.9830625, DIVERSITY_HERFINDAHL: 0.9982854, COVERAGE_ITEM: 0.3898364, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1408079, DIVERSITY_GINI: 0.1239120, SHANNON_ENTROPY: 11.2863724, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.46559552379858415, 'l1_ratio': 0.7407327205988676} - results: ROC_AUC: 0.1478518, PRECISION: 0.0293806, PRECISION_RECALL_MIN_DEN: 0.1263283, RECALL: 0.1240819, MAP: 0.0563497, MRR: 0.1051804, NDCG: 0.0839288, F1: 0.0475112, HIT_RATE: 0.2938057, ARHR: 0.1167628, NOVELTY: 0.0047855, AVERAGE_POPULARITY: 0.1096051, DIVERSITY_MEAN_INTER_LIST: 0.9832435, DIVERSITY_HERFINDAHL: 0.9983035, COVERAGE_ITEM: 0.3959577, COVERAGE_ITEM_CORRECT: 0.0312223, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1391720, DIVERSITY_GINI: 0.1265000, SHANNON_ENTROPY: 11.3098984, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.7949986976194582, 'l1_ratio': 0.15861195341129256} - results: ROC_AUC: 0.1468890, PRECISION: 0.0291896, PRECISION_RECALL_MIN_DEN: 0.1246357, RECALL: 0.1222847, MAP: 0.0550499, MRR: 0.1038066, NDCG: 0.0824327, F1: 0.0471294, HIT_RATE: 0.2918965, ARHR: 0.1156411, NOVELTY: 0.0047873, AVERAGE_POPULARITY: 0.1114213, DIVERSITY_MEAN_INTER_LIST: 0.9825165, DIVERSITY_HERFINDAHL: 0.9982308, COVERAGE_ITEM: 0.3896054, COVERAGE_ITEM_CORRECT: 0.0299904, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1387945, DIVERSITY_GINI: 0.1236661, SHANNON_ENTROPY: 11.2664522, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.8687867176194577, 'l1_ratio': 0.25363466102989213} - results: ROC_AUC: 0.1480092, PRECISION: 0.0296988, PRECISION_RECALL_MIN_DEN: 0.1268322, RECALL: 0.1243923, MAP: 0.0553738, MRR: 0.1047144, NDCG: 0.0833245, F1: 0.0479495, HIT_RATE: 0.2969877, ARHR: 0.1167156, NOVELTY: 0.0047903, AVERAGE_POPULARITY: 0.1097081, DIVERSITY_MEAN_INTER_LIST: 0.9832832, DIVERSITY_HERFINDAHL: 0.9983075, COVERAGE_ITEM: 0.3893744, COVERAGE_ITEM_CORRECT: 0.0306833, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1406820, DIVERSITY_GINI: 0.1241902, SHANNON_ENTROPY: 11.2978146, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4823878732615744, 'l1_ratio': 0.48700195486787623} - results: ROC_AUC: 0.1447052, PRECISION: 0.0289563, PRECISION_RECALL_MIN_DEN: 0.1241810, RECALL: 0.1219479, MAP: 0.0545708, MRR: 0.1022898, NDCG: 0.0817929, F1: 0.0468000, HIT_RATE: 0.2895630, ARHR: 0.1138171, NOVELTY: 0.0047850, AVERAGE_POPULARITY: 0.1111245, DIVERSITY_MEAN_INTER_LIST: 0.9825452, DIVERSITY_HERFINDAHL: 0.9982337, COVERAGE_ITEM: 0.3929163, COVERAGE_ITEM_CORRECT: 0.0300674, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1382912, DIVERSITY_GINI: 0.1250732, SHANNON_ENTROPY: 11.2765196, 
SearchBayesianSkopt: New best config found. Config 8: {'alpha': 0.8416340030829476, 'l1_ratio': 0.6651408407090509} - results: ROC_AUC: 0.1533602, PRECISION: 0.0317140, PRECISION_RECALL_MIN_DEN: 0.1353726, RECALL: 0.1328158, MAP: 0.0591137, MRR: 0.1100557, NDCG: 0.0887556, F1: 0.0512020, HIT_RATE: 0.3171404, ARHR: 0.1227628, NOVELTY: 0.0047949, AVERAGE_POPULARITY: 0.1055749, DIVERSITY_MEAN_INTER_LIST: 0.9851667, DIVERSITY_HERFINDAHL: 0.9984958, COVERAGE_ITEM: 0.3923388, COVERAGE_ITEM_CORRECT: 0.0343022, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1478545, DIVERSITY_GINI: 0.1269793, SHANNON_ENTROPY: 11.3918113, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.6934738386138591, 'l1_ratio': 0.13584591082980593} - results: ROC_AUC: 0.1446524, PRECISION: 0.0286593, PRECISION_RECALL_MIN_DEN: 0.1232282, RECALL: 0.1209614, MAP: 0.0541264, MRR: 0.1020041, NDCG: 0.0811659, F1: 0.0463394, HIT_RATE: 0.2865931, ARHR: 0.1134955, NOVELTY: 0.0047840, AVERAGE_POPULARITY: 0.1123336, DIVERSITY_MEAN_INTER_LIST: 0.9820591, DIVERSITY_HERFINDAHL: 0.9981851, COVERAGE_ITEM: 0.3900289, COVERAGE_ITEM_CORRECT: 0.0292589, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1369070, DIVERSITY_GINI: 0.1234776, SHANNON_ENTROPY: 11.2493244, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7413781484785152, 'l1_ratio': 0.45110700191728925} - results: ROC_AUC: 0.1503382, PRECISION: 0.0300806, PRECISION_RECALL_MIN_DEN: 0.1287793, RECALL: 0.1263795, MAP: 0.0563475, MRR: 0.1057378, NDCG: 0.0846748, F1: 0.0485948, HIT_RATE: 0.3008061, ARHR: 0.1177411, NOVELTY: 0.0047887, AVERAGE_POPULARITY: 0.1089673, DIVERSITY_MEAN_INTER_LIST: 0.9836643, DIVERSITY_HERFINDAHL: 0.9983456, COVERAGE_ITEM: 0.3894129, COVERAGE_ITEM_CORRECT: 0.0317228, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1425695, DIVERSITY_GINI: 0.1243862, SHANNON_ENTROPY: 11.3125942, 
