SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.31179616010259, 'l1_ratio': 0.8330680026941446} - results: ROC_AUC: 0.1527649, PRECISION: 0.0307170, PRECISION_RECALL_MIN_DEN: 0.1322013, RECALL: 0.1297980, MAP: 0.0572279, MRR: 0.1085199, NDCG: 0.0865251, F1: 0.0496777, HIT_RATE: 0.3071701, ARHR: 0.1207721, NOVELTY: 0.0047447, AVERAGE_POPULARITY: 0.1155191, DIVERSITY_MEAN_INTER_LIST: 0.9818575, DIVERSITY_HERFINDAHL: 0.9981649, COVERAGE_ITEM: 0.3725505, COVERAGE_ITEM_CORRECT: 0.0318383, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1450862, DIVERSITY_GINI: 0.1136229, SHANNON_ENTROPY: 11.1477298, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.28988562983477056, 'l1_ratio': 0.3554016760059934} - results: ROC_AUC: 0.1500423, PRECISION: 0.0293169, PRECISION_RECALL_MIN_DEN: 0.1266732, RECALL: 0.1244095, MAP: 0.0558003, MRR: 0.1055885, NDCG: 0.0836893, F1: 0.0474519, HIT_RATE: 0.2931693, ARHR: 0.1173170, NOVELTY: 0.0047511, AVERAGE_POPULARITY: 0.1163878, DIVERSITY_MEAN_INTER_LIST: 0.9810265, DIVERSITY_HERFINDAHL: 0.9980818, COVERAGE_ITEM: 0.3755919, COVERAGE_ITEM_CORRECT: 0.0297209, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1399270, DIVERSITY_GINI: 0.1150538, SHANNON_ENTROPY: 11.1325297, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.7021255257436378, 'l1_ratio': 0.8799646154792433} - results: ROC_AUC: 0.1569293, PRECISION: 0.0321171, PRECISION_RECALL_MIN_DEN: 0.1378348, RECALL: 0.1353150, MAP: 0.0598242, MRR: 0.1121343, NDCG: 0.0901920, F1: 0.0519127, HIT_RATE: 0.3211710, ARHR: 0.1248560, NOVELTY: 0.0047810, AVERAGE_POPULARITY: 0.1062567, DIVERSITY_MEAN_INTER_LIST: 0.9853483, DIVERSITY_HERFINDAHL: 0.9985139, COVERAGE_ITEM: 0.3879500, COVERAGE_ITEM_CORRECT: 0.0349952, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1503712, DIVERSITY_GINI: 0.1246424, SHANNON_ENTROPY: 11.3783090, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.7339389263957207, 'l1_ratio': 0.3115280756331897} - results: ROC_AUC: 0.1497907, PRECISION: 0.0305897, PRECISION_RECALL_MIN_DEN: 0.1300631, RECALL: 0.1275083, MAP: 0.0563913, MRR: 0.1063837, NDCG: 0.0850439, F1: 0.0493421, HIT_RATE: 0.3058973, ARHR: 0.1189129, NOVELTY: 0.0047831, AVERAGE_POPULARITY: 0.1098291, DIVERSITY_MEAN_INTER_LIST: 0.9834662, DIVERSITY_HERFINDAHL: 0.9983258, COVERAGE_ITEM: 0.3836381, COVERAGE_ITEM_CORRECT: 0.0316843, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1439537, DIVERSITY_GINI: 0.1216437, SHANNON_ENTROPY: 11.2833369, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.46559552379858415, 'l1_ratio': 0.7407327205988676} - results: ROC_AUC: 0.1546578, PRECISION: 0.0308019, PRECISION_RECALL_MIN_DEN: 0.1331004, RECALL: 0.1307083, MAP: 0.0577602, MRR: 0.1093357, NDCG: 0.0872412, F1: 0.0498552, HIT_RATE: 0.3080187, ARHR: 0.1216574, NOVELTY: 0.0047629, AVERAGE_POPULARITY: 0.1114154, DIVERSITY_MEAN_INTER_LIST: 0.9833608, DIVERSITY_HERFINDAHL: 0.9983152, COVERAGE_ITEM: 0.3787488, COVERAGE_ITEM_CORRECT: 0.0324928, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1454637, DIVERSITY_GINI: 0.1180942, SHANNON_ENTROPY: 11.2419855, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.7949986976194582, 'l1_ratio': 0.15861195341129256} - results: ROC_AUC: 0.1477213, PRECISION: 0.0299745, PRECISION_RECALL_MIN_DEN: 0.1267287, RECALL: 0.1242015, MAP: 0.0555493, MRR: 0.1045079, NDCG: 0.0834170, F1: 0.0482939, HIT_RATE: 0.2997454, ARHR: 0.1167478, NOVELTY: 0.0047831, AVERAGE_POPULARITY: 0.1111908, DIVERSITY_MEAN_INTER_LIST: 0.9827632, DIVERSITY_HERFINDAHL: 0.9982555, COVERAGE_ITEM: 0.3854090, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1411854, DIVERSITY_GINI: 0.1221862, SHANNON_ENTROPY: 11.2644343, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.8687867176194577, 'l1_ratio': 0.25363466102989213} - results: ROC_AUC: 0.1491654, PRECISION: 0.0303564, PRECISION_RECALL_MIN_DEN: 0.1286692, RECALL: 0.1261163, MAP: 0.0559614, MRR: 0.1054869, NDCG: 0.0843075, F1: 0.0489342, HIT_RATE: 0.3035639, ARHR: 0.1179278, NOVELTY: 0.0047876, AVERAGE_POPULARITY: 0.1095411, DIVERSITY_MEAN_INTER_LIST: 0.9835010, DIVERSITY_HERFINDAHL: 0.9983292, COVERAGE_ITEM: 0.3852166, COVERAGE_ITEM_CORRECT: 0.0314918, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1426954, DIVERSITY_GINI: 0.1227554, SHANNON_ENTROPY: 11.2964638, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4823878732615744, 'l1_ratio': 0.48700195486787623} - results: ROC_AUC: 0.1520433, PRECISION: 0.0303776, PRECISION_RECALL_MIN_DEN: 0.1311877, RECALL: 0.1288296, MAP: 0.0567285, MRR: 0.1072647, NDCG: 0.0857219, F1: 0.0491628, HIT_RATE: 0.3037760, ARHR: 0.1193933, NOVELTY: 0.0047693, AVERAGE_POPULARITY: 0.1115555, DIVERSITY_MEAN_INTER_LIST: 0.9829842, DIVERSITY_HERFINDAHL: 0.9982776, COVERAGE_ITEM: 0.3791338, COVERAGE_ITEM_CORRECT: 0.0314533, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1444570, DIVERSITY_GINI: 0.1183757, SHANNON_ENTROPY: 11.2319410, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.8416340030829476, 'l1_ratio': 0.6651408407090509} - results: ROC_AUC: 0.1561575, PRECISION: 0.0318201, PRECISION_RECALL_MIN_DEN: 0.1358113, RECALL: 0.1332779, MAP: 0.0597338, MRR: 0.1116930, NDCG: 0.0895522, F1: 0.0513745, HIT_RATE: 0.3182011, ARHR: 0.1243125, NOVELTY: 0.0047905, AVERAGE_POPULARITY: 0.1054100, DIVERSITY_MEAN_INTER_LIST: 0.9854150, DIVERSITY_HERFINDAHL: 0.9985206, COVERAGE_ITEM: 0.3891434, COVERAGE_ITEM_CORRECT: 0.0345332, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1489870, DIVERSITY_GINI: 0.1255042, SHANNON_ENTROPY: 11.3880861, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.6934738386138591, 'l1_ratio': 0.13584591082980593} - results: ROC_AUC: 0.1476440, PRECISION: 0.0297200, PRECISION_RECALL_MIN_DEN: 0.1262288, RECALL: 0.1237275, MAP: 0.0554465, MRR: 0.1044834, NDCG: 0.0831744, F1: 0.0479275, HIT_RATE: 0.2971998, ARHR: 0.1165720, NOVELTY: 0.0047782, AVERAGE_POPULARITY: 0.1121861, DIVERSITY_MEAN_INTER_LIST: 0.9823593, DIVERSITY_HERFINDAHL: 0.9982151, COVERAGE_ITEM: 0.3848316, COVERAGE_ITEM_CORRECT: 0.0304139, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1403045, DIVERSITY_GINI: 0.1215943, SHANNON_ENTROPY: 11.2434515, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7413781484785152, 'l1_ratio': 0.45110700191728925} - results: ROC_AUC: 0.1531074, PRECISION: 0.0309716, PRECISION_RECALL_MIN_DEN: 0.1322884, RECALL: 0.1298109, MAP: 0.0577602, MRR: 0.1089713, NDCG: 0.0869153, F1: 0.0500110, HIT_RATE: 0.3097157, ARHR: 0.1212993, NOVELTY: 0.0047850, AVERAGE_POPULARITY: 0.1083306, DIVERSITY_MEAN_INTER_LIST: 0.9841242, DIVERSITY_HERFINDAHL: 0.9983915, COVERAGE_ITEM: 0.3842541, COVERAGE_ITEM_CORRECT: 0.0327238, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1460929, DIVERSITY_GINI: 0.1225195, SHANNON_ENTROPY: 11.3140585, 
