SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.31179616010259, 'l1_ratio': 0.8330680026941446} - results: ROC_AUC: 0.1571405, PRECISION: 0.0316716, PRECISION_RECALL_MIN_DEN: 0.1342745, RECALL: 0.1317116, MAP: 0.0593474, MRR: 0.1127287, NDCG: 0.0890572, F1: 0.0510642, HIT_RATE: 0.3167162, ARHR: 0.1254276, NOVELTY: 0.0047770, AVERAGE_POPULARITY: 0.1072739, DIVERSITY_MEAN_INTER_LIST: 0.9850224, DIVERSITY_HERFINDAHL: 0.9984813, COVERAGE_ITEM: 0.3812897, COVERAGE_ITEM_CORRECT: 0.0341482, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1483579, DIVERSITY_GINI: 0.1205217, SHANNON_ENTROPY: 11.3204656, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.28988562983477056, 'l1_ratio': 0.3554016760059934} - results: ROC_AUC: 0.1506471, PRECISION: 0.0306534, PRECISION_RECALL_MIN_DEN: 0.1291061, RECALL: 0.1265419, MAP: 0.0566215, MRR: 0.1074450, NDCG: 0.0851779, F1: 0.0493518, HIT_RATE: 0.3065337, ARHR: 0.1198259, NOVELTY: 0.0047826, AVERAGE_POPULARITY: 0.1090665, DIVERSITY_MEAN_INTER_LIST: 0.9839560, DIVERSITY_HERFINDAHL: 0.9983747, COVERAGE_ITEM: 0.3823677, COVERAGE_ITEM_CORRECT: 0.0317613, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1439537, DIVERSITY_GINI: 0.1203041, SHANNON_ENTROPY: 11.2753373, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.7021255257436378, 'l1_ratio': 0.8799646154792433} - results: ROC_AUC: 0.1588116, PRECISION: 0.0321807, PRECISION_RECALL_MIN_DEN: 0.1384432, RECALL: 0.1359260, MAP: 0.0601001, MRR: 0.1127534, NDCG: 0.0905760, F1: 0.0520407, HIT_RATE: 0.3218074, ARHR: 0.1257645, NOVELTY: 0.0047933, AVERAGE_POPULARITY: 0.1032068, DIVERSITY_MEAN_INTER_LIST: 0.9863479, DIVERSITY_HERFINDAHL: 0.9986139, COVERAGE_ITEM: 0.3936477, COVERAGE_ITEM_CORRECT: 0.0356882, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1502454, DIVERSITY_GINI: 0.1284326, SHANNON_ENTROPY: 11.4475236, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.7339389263957207, 'l1_ratio': 0.3115280756331897} - results: ROC_AUC: 0.1514836, PRECISION: 0.0307170, PRECISION_RECALL_MIN_DEN: 0.1301382, RECALL: 0.1275318, MAP: 0.0568328, MRR: 0.1072322, NDCG: 0.0855295, F1: 0.0495093, HIT_RATE: 0.3071701, ARHR: 0.1196455, NOVELTY: 0.0047912, AVERAGE_POPULARITY: 0.1081400, DIVERSITY_MEAN_INTER_LIST: 0.9840581, DIVERSITY_HERFINDAHL: 0.9983849, COVERAGE_ITEM: 0.3869875, COVERAGE_ITEM_CORRECT: 0.0321078, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1445829, DIVERSITY_GINI: 0.1236297, SHANNON_ENTROPY: 11.3198108, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.46559552379858415, 'l1_ratio': 0.7407327205988676} - results: ROC_AUC: 0.1564881, PRECISION: 0.0317353, PRECISION_RECALL_MIN_DEN: 0.1355110, RECALL: 0.1329855, MAP: 0.0593409, MRR: 0.1119612, NDCG: 0.0892365, F1: 0.0512422, HIT_RATE: 0.3173526, ARHR: 0.1247021, NOVELTY: 0.0047851, AVERAGE_POPULARITY: 0.1059087, DIVERSITY_MEAN_INTER_LIST: 0.9853809, DIVERSITY_HERFINDAHL: 0.9985172, COVERAGE_ITEM: 0.3845621, COVERAGE_ITEM_CORRECT: 0.0344947, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1484837, DIVERSITY_GINI: 0.1227777, SHANNON_ENTROPY: 11.3584812, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.7949986976194582, 'l1_ratio': 0.15861195341129256} - results: ROC_AUC: 0.1488445, PRECISION: 0.0299321, PRECISION_RECALL_MIN_DEN: 0.1274683, RECALL: 0.1249638, MAP: 0.0558727, MRR: 0.1052778, NDCG: 0.0838939, F1: 0.0482961, HIT_RATE: 0.2993212, ARHR: 0.1174937, NOVELTY: 0.0047891, AVERAGE_POPULARITY: 0.1100056, DIVERSITY_MEAN_INTER_LIST: 0.9832240, DIVERSITY_HERFINDAHL: 0.9983015, COVERAGE_ITEM: 0.3867180, COVERAGE_ITEM_CORRECT: 0.0308373, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1413112, DIVERSITY_GINI: 0.1233181, SHANNON_ENTROPY: 11.2909877, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.8687867176194577, 'l1_ratio': 0.25363466102989213} - results: ROC_AUC: 0.1492060, PRECISION: 0.0305261, PRECISION_RECALL_MIN_DEN: 0.1294697, RECALL: 0.1268640, MAP: 0.0561518, MRR: 0.1055302, NDCG: 0.0846487, F1: 0.0492110, HIT_RATE: 0.3052609, ARHR: 0.1179760, NOVELTY: 0.0047908, AVERAGE_POPULARITY: 0.1088362, DIVERSITY_MEAN_INTER_LIST: 0.9837389, DIVERSITY_HERFINDAHL: 0.9983530, COVERAGE_ITEM: 0.3859095, COVERAGE_ITEM_CORRECT: 0.0317998, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1434504, DIVERSITY_GINI: 0.1232764, SHANNON_ENTROPY: 11.3097642, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4823878732615744, 'l1_ratio': 0.48700195486787623} - results: ROC_AUC: 0.1546403, PRECISION: 0.0313322, PRECISION_RECALL_MIN_DEN: 0.1336929, RECALL: 0.1311446, MAP: 0.0579383, MRR: 0.1096210, NDCG: 0.0875364, F1: 0.0505801, HIT_RATE: 0.3133220, ARHR: 0.1221969, NOVELTY: 0.0047874, AVERAGE_POPULARITY: 0.1072368, DIVERSITY_MEAN_INTER_LIST: 0.9846489, DIVERSITY_HERFINDAHL: 0.9984440, COVERAGE_ITEM: 0.3835611, COVERAGE_ITEM_CORRECT: 0.0331473, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1470995, DIVERSITY_GINI: 0.1222369, SHANNON_ENTROPY: 11.3254857, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.8416340030829476, 'l1_ratio': 0.6651408407090509} - results: ROC_AUC: 0.1565448, PRECISION: 0.0321383, PRECISION_RECALL_MIN_DEN: 0.1372558, RECALL: 0.1346734, MAP: 0.0599554, MRR: 0.1120312, NDCG: 0.0900914, F1: 0.0518929, HIT_RATE: 0.3213831, ARHR: 0.1248345, NOVELTY: 0.0047961, AVERAGE_POPULARITY: 0.1040218, DIVERSITY_MEAN_INTER_LIST: 0.9858975, DIVERSITY_HERFINDAHL: 0.9985688, COVERAGE_ITEM: 0.3903369, COVERAGE_ITEM_CORRECT: 0.0349567, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1499937, DIVERSITY_GINI: 0.1265755, SHANNON_ENTROPY: 11.4156502, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.6934738386138591, 'l1_ratio': 0.13584591082980593} - results: ROC_AUC: 0.1491089, PRECISION: 0.0300806, PRECISION_RECALL_MIN_DEN: 0.1285381, RECALL: 0.1260540, MAP: 0.0560408, MRR: 0.1057503, NDCG: 0.0843120, F1: 0.0485707, HIT_RATE: 0.3008061, ARHR: 0.1179317, NOVELTY: 0.0047886, AVERAGE_POPULARITY: 0.1101734, DIVERSITY_MEAN_INTER_LIST: 0.9831368, DIVERSITY_HERFINDAHL: 0.9982928, COVERAGE_ITEM: 0.3871800, COVERAGE_ITEM_CORRECT: 0.0309913, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1423179, DIVERSITY_GINI: 0.1232535, SHANNON_ENTROPY: 11.2852516, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7413781484785152, 'l1_ratio': 0.45110700191728925} - results: ROC_AUC: 0.1534060, PRECISION: 0.0312686, PRECISION_RECALL_MIN_DEN: 0.1330989, RECALL: 0.1305643, MAP: 0.0580687, MRR: 0.1089518, NDCG: 0.0873713, F1: 0.0504540, HIT_RATE: 0.3126856, ARHR: 0.1215877, NOVELTY: 0.0047910, AVERAGE_POPULARITY: 0.1067776, DIVERSITY_MEAN_INTER_LIST: 0.9847021, DIVERSITY_HERFINDAHL: 0.9984493, COVERAGE_ITEM: 0.3856785, COVERAGE_ITEM_CORRECT: 0.0333782, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1465962, DIVERSITY_GINI: 0.1235759, SHANNON_ENTROPY: 11.3441527, 
