SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.7731171120263264, 'l1_ratio': 0.38607240317916336} - results: ROC_AUC: 0.1431340, PRECISION: 0.0293806, PRECISION_RECALL_MIN_DEN: 0.1223817, RECALL: 0.1198272, MAP: 0.0519019, MRR: 0.1005908, NDCG: 0.0794744, F1: 0.0471905, HIT_RATE: 0.2938057, ARHR: 0.1124314, NOVELTY: 0.0048178, AVERAGE_POPULARITY: 0.1040301, DIVERSITY_MEAN_INTER_LIST: 0.9853951, DIVERSITY_HERFINDAHL: 0.9985186, COVERAGE_ITEM: 0.3685852, COVERAGE_ITEM_CORRECT: 0.0303754, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1382912, DIVERSITY_GINI: 0.1180134, SHANNON_ENTROPY: 11.3276705, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.22858496855875837, 'l1_ratio': 0.7143317570010815} - results: ROC_AUC: 0.1392757, PRECISION: 0.0279381, PRECISION_RECALL_MIN_DEN: 0.1138632, RECALL: 0.1114281, MAP: 0.0502471, MRR: 0.0991515, NDCG: 0.0762266, F1: 0.0446749, HIT_RATE: 0.2793806, ARHR: 0.1106629, NOVELTY: 0.0048415, AVERAGE_POPULARITY: 0.0968891, DIVERSITY_MEAN_INTER_LIST: 0.9885467, DIVERSITY_HERFINDAHL: 0.9988337, COVERAGE_ITEM: 0.3630414, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1314962, DIVERSITY_GINI: 0.1193182, SHANNON_ENTROPY: 11.4819356, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.22231147038913063, 'l1_ratio': 0.15485648060744087} - results: ROC_AUC: 0.1398011, PRECISION: 0.0282563, PRECISION_RECALL_MIN_DEN: 0.1152341, RECALL: 0.1127730, MAP: 0.0505871, MRR: 0.0999362, NDCG: 0.0768829, F1: 0.0451898, HIT_RATE: 0.2825626, ARHR: 0.1114319, NOVELTY: 0.0048457, AVERAGE_POPULARITY: 0.0967146, DIVERSITY_MEAN_INTER_LIST: 0.9884920, DIVERSITY_HERFINDAHL: 0.9988282, COVERAGE_ITEM: 0.3675842, COVERAGE_ITEM_CORRECT: 0.0307603, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1330062, DIVERSITY_GINI: 0.1213855, SHANNON_ENTROPY: 11.4955393, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.3862900283673121, 'l1_ratio': 0.863549282408132} - results: ROC_AUC: 0.1401782, PRECISION: 0.0282350, PRECISION_RECALL_MIN_DEN: 0.1147809, RECALL: 0.1122965, MAP: 0.0506973, MRR: 0.1000678, NDCG: 0.0768723, F1: 0.0451243, HIT_RATE: 0.2823504, ARHR: 0.1116835, NOVELTY: 0.0048359, AVERAGE_POPULARITY: 0.0979255, DIVERSITY_MEAN_INTER_LIST: 0.9882216, DIVERSITY_HERFINDAHL: 0.9988012, COVERAGE_ITEM: 0.3626179, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1327545, DIVERSITY_GINI: 0.1182528, SHANNON_ENTROPY: 11.4556971, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.7623951271146512, 'l1_ratio': 0.24830456058192513} - results: ROC_AUC: 0.1432688, PRECISION: 0.0293806, PRECISION_RECALL_MIN_DEN: 0.1225919, RECALL: 0.1200539, MAP: 0.0518633, MRR: 0.1004348, NDCG: 0.0794830, F1: 0.0472080, HIT_RATE: 0.2938057, ARHR: 0.1122771, NOVELTY: 0.0048175, AVERAGE_POPULARITY: 0.1043785, DIVERSITY_MEAN_INTER_LIST: 0.9852068, DIVERSITY_HERFINDAHL: 0.9984998, COVERAGE_ITEM: 0.3691242, COVERAGE_ITEM_CORRECT: 0.0304139, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1384170, DIVERSITY_GINI: 0.1182675, SHANNON_ENTROPY: 11.3243185, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.671806102750572, 'l1_ratio': 0.2659186455187386} - results: ROC_AUC: 0.1423364, PRECISION: 0.0289987, PRECISION_RECALL_MIN_DEN: 0.1198803, RECALL: 0.1173607, MAP: 0.0518241, MRR: 0.1005221, NDCG: 0.0788539, F1: 0.0465062, HIT_RATE: 0.2899873, ARHR: 0.1121547, NOVELTY: 0.0048252, AVERAGE_POPULARITY: 0.1022483, DIVERSITY_MEAN_INTER_LIST: 0.9861039, DIVERSITY_HERFINDAHL: 0.9985895, COVERAGE_ITEM: 0.3690857, COVERAGE_ITEM_CORRECT: 0.0304909, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1365295, DIVERSITY_GINI: 0.1191986, SHANNON_ENTROPY: 11.3692122, 
SearchBayesianSkopt: New best config found. Config 6: {'alpha': 0.9004644861204023, 'l1_ratio': 0.2572068688140184} - results: ROC_AUC: 0.1428572, PRECISION: 0.0293806, PRECISION_RECALL_MIN_DEN: 0.1220033, RECALL: 0.1194461, MAP: 0.0520645, MRR: 0.1007692, NDCG: 0.0794916, F1: 0.0471608, HIT_RATE: 0.2938057, ARHR: 0.1127340, NOVELTY: 0.0048035, AVERAGE_POPULARITY: 0.1084299, DIVERSITY_MEAN_INTER_LIST: 0.9833876, DIVERSITY_HERFINDAHL: 0.9983179, COVERAGE_ITEM: 0.3696631, COVERAGE_ITEM_CORRECT: 0.0299519, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1382912, DIVERSITY_GINI: 0.1164817, SHANNON_ENTROPY: 11.2377633, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.5840989880188501, 'l1_ratio': 0.1801111548983159} - results: ROC_AUC: 0.1432429, PRECISION: 0.0285745, PRECISION_RECALL_MIN_DEN: 0.1174682, RECALL: 0.1149733, MAP: 0.0512262, MRR: 0.1002931, NDCG: 0.0778836, F1: 0.0457729, HIT_RATE: 0.2857446, ARHR: 0.1118010, NOVELTY: 0.0048305, AVERAGE_POPULARITY: 0.1009884, DIVERSITY_MEAN_INTER_LIST: 0.9866755, DIVERSITY_HERFINDAHL: 0.9986466, COVERAGE_ITEM: 0.3697016, COVERAGE_ITEM_CORRECT: 0.0302214, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1345162, DIVERSITY_GINI: 0.1201438, SHANNON_ENTROPY: 11.4015681, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.04276729276918446, 'l1_ratio': 0.7104127807607172} - results: ROC_AUC: 0.1384316, PRECISION: 0.0275774, PRECISION_RECALL_MIN_DEN: 0.1116411, RECALL: 0.1092179, MAP: 0.0495145, MRR: 0.0980243, NDCG: 0.0750312, F1: 0.0440358, HIT_RATE: 0.2757743, ARHR: 0.1094485, NOVELTY: 0.0048427, AVERAGE_POPULARITY: 0.0962788, DIVERSITY_MEAN_INTER_LIST: 0.9888007, DIVERSITY_HERFINDAHL: 0.9988591, COVERAGE_ITEM: 0.3610780, COVERAGE_ITEM_CORRECT: 0.0308758, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1299862, DIVERSITY_GINI: 0.1190012, SHANNON_ENTROPY: 11.4932472, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.5086856475859781, 'l1_ratio': 0.6243974177511435} - results: ROC_AUC: 0.1409397, PRECISION: 0.0285532, PRECISION_RECALL_MIN_DEN: 0.1155385, RECALL: 0.1130316, MAP: 0.0505584, MRR: 0.0999042, NDCG: 0.0770212, F1: 0.0455899, HIT_RATE: 0.2855325, ARHR: 0.1115295, NOVELTY: 0.0048344, AVERAGE_POPULARITY: 0.0990276, DIVERSITY_MEAN_INTER_LIST: 0.9876588, DIVERSITY_HERFINDAHL: 0.9987449, COVERAGE_ITEM: 0.3662368, COVERAGE_ITEM_CORRECT: 0.0306833, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1337612, DIVERSITY_GINI: 0.1192711, SHANNON_ENTROPY: 11.4365757, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.477121972512363, 'l1_ratio': 0.8962962687270167} - results: ROC_AUC: 0.1402350, PRECISION: 0.0282987, PRECISION_RECALL_MIN_DEN: 0.1154433, RECALL: 0.1129685, MAP: 0.0505572, MRR: 0.0998151, NDCG: 0.0769046, F1: 0.0452598, HIT_RATE: 0.2829868, ARHR: 0.1114421, NOVELTY: 0.0048319, AVERAGE_POPULARITY: 0.0987378, DIVERSITY_MEAN_INTER_LIST: 0.9879515, DIVERSITY_HERFINDAHL: 0.9987742, COVERAGE_ITEM: 0.3614244, COVERAGE_ITEM_CORRECT: 0.0307603, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1328803, DIVERSITY_GINI: 0.1173735, SHANNON_ENTROPY: 11.4344484, 
