SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.10952480850324756, 'l1_ratio': 0.8726275878967751} - results: ROC_AUC: 0.1234014, PRECISION: 0.0235681, PRECISION_RECALL_MIN_DEN: 0.0974700, RECALL: 0.0955830, MAP: 0.0434097, MRR: 0.0880223, NDCG: 0.0658653, F1: 0.0378127, HIT_RATE: 0.2356810, ARHR: 0.0965380, NOVELTY: 0.0048574, AVERAGE_POPULARITY: 0.1120443, DIVERSITY_MEAN_INTER_LIST: 0.9822998, DIVERSITY_HERFINDAHL: 0.9982091, COVERAGE_ITEM: 0.3863330, COVERAGE_ITEM_CORRECT: 0.0227141, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1142570, DIVERSITY_GINI: 0.1345663, SHANNON_ENTROPY: 11.4333798, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.9054099734100151, 'l1_ratio': 0.6647715809641284} - results: ROC_AUC: 0.1414995, PRECISION: 0.0287866, PRECISION_RECALL_MIN_DEN: 0.1212199, RECALL: 0.1187693, MAP: 0.0521487, MRR: 0.1004694, NDCG: 0.0791350, F1: 0.0463413, HIT_RATE: 0.2878659, ARHR: 0.1118371, NOVELTY: 0.0047820, AVERAGE_POPULARITY: 0.1128284, DIVERSITY_MEAN_INTER_LIST: 0.9822572, DIVERSITY_HERFINDAHL: 0.9982049, COVERAGE_ITEM: 0.3702406, COVERAGE_ITEM_CORRECT: 0.0282964, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1362778, DIVERSITY_GINI: 0.1162961, SHANNON_ENTROPY: 11.2055844, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.7859389266755806, 'l1_ratio': 0.9930753833931361} - results: ROC_AUC: 0.1319015, PRECISION: 0.0255622, PRECISION_RECALL_MIN_DEN: 0.1065570, RECALL: 0.1045389, MAP: 0.0469322, MRR: 0.0935936, NDCG: 0.0713511, F1: 0.0410794, HIT_RATE: 0.2556216, ARHR: 0.1030876, NOVELTY: 0.0047880, AVERAGE_POPULARITY: 0.1174424, DIVERSITY_MEAN_INTER_LIST: 0.9808901, DIVERSITY_HERFINDAHL: 0.9980682, COVERAGE_ITEM: 0.3655438, COVERAGE_ITEM_CORRECT: 0.0238306, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1230653, DIVERSITY_GINI: 0.1164540, SHANNON_ENTROPY: 11.1862416, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.6092992364844994, 'l1_ratio': 0.8971954052735986} - results: ROC_AUC: 0.1293477, PRECISION: 0.0251591, PRECISION_RECALL_MIN_DEN: 0.1050342, RECALL: 0.1029803, MAP: 0.0465935, MRR: 0.0930458, NDCG: 0.0705163, F1: 0.0404386, HIT_RATE: 0.2515910, ARHR: 0.1024954, NOVELTY: 0.0048170, AVERAGE_POPULARITY: 0.1149357, DIVERSITY_MEAN_INTER_LIST: 0.9815239, DIVERSITY_HERFINDAHL: 0.9981316, COVERAGE_ITEM: 0.3760154, COVERAGE_ITEM_CORRECT: 0.0238691, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1202970, DIVERSITY_GINI: 0.1244110, SHANNON_ENTROPY: 11.2951445, 
SearchBayesianSkopt: New best config found. Config 4: {'alpha': 0.8413451567987273, 'l1_ratio': 0.3521514259120964} - results: ROC_AUC: 0.1409292, PRECISION: 0.0286805, PRECISION_RECALL_MIN_DEN: 0.1214993, RECALL: 0.1190702, MAP: 0.0525807, MRR: 0.1006585, NDCG: 0.0794642, F1: 0.0462265, HIT_RATE: 0.2868053, ARHR: 0.1119559, NOVELTY: 0.0047878, AVERAGE_POPULARITY: 0.1127826, DIVERSITY_MEAN_INTER_LIST: 0.9820710, DIVERSITY_HERFINDAHL: 0.9981863, COVERAGE_ITEM: 0.3732435, COVERAGE_ITEM_CORRECT: 0.0283349, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1357745, DIVERSITY_GINI: 0.1185668, SHANNON_ENTROPY: 11.2277618, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.4363993986303075, 'l1_ratio': 0.8844093481966935} - results: ROC_AUC: 0.1262349, PRECISION: 0.0243742, PRECISION_RECALL_MIN_DEN: 0.1020369, RECALL: 0.1000800, MAP: 0.0448544, MRR: 0.0903173, NDCG: 0.0682385, F1: 0.0392011, HIT_RATE: 0.2437420, ARHR: 0.0994193, NOVELTY: 0.0048337, AVERAGE_POPULARITY: 0.1140672, DIVERSITY_MEAN_INTER_LIST: 0.9817272, DIVERSITY_HERFINDAHL: 0.9981519, COVERAGE_ITEM: 0.3811357, COVERAGE_ITEM_CORRECT: 0.0232916, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1174028, DIVERSITY_GINI: 0.1290339, SHANNON_ENTROPY: 11.3547096, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.6529489582137442, 'l1_ratio': 0.41539582727165003} - results: ROC_AUC: 0.1355512, PRECISION: 0.0271744, PRECISION_RECALL_MIN_DEN: 0.1132980, RECALL: 0.1110883, MAP: 0.0498376, MRR: 0.0974166, NDCG: 0.0752999, F1: 0.0436670, HIT_RATE: 0.2717437, ARHR: 0.1078863, NOVELTY: 0.0048071, AVERAGE_POPULARITY: 0.1131414, DIVERSITY_MEAN_INTER_LIST: 0.9819683, DIVERSITY_HERFINDAHL: 0.9981760, COVERAGE_ITEM: 0.3801732, COVERAGE_ITEM_CORRECT: 0.0266025, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1288537, DIVERSITY_GINI: 0.1246053, SHANNON_ENTROPY: 11.2918312, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.4762349266633784, 'l1_ratio': 0.953599819410304} - results: ROC_AUC: 0.1264494, PRECISION: 0.0241833, PRECISION_RECALL_MIN_DEN: 0.1013669, RECALL: 0.0993966, MAP: 0.0448397, MRR: 0.0902202, NDCG: 0.0680347, F1: 0.0389017, HIT_RATE: 0.2418328, ARHR: 0.0991371, NOVELTY: 0.0048304, AVERAGE_POPULARITY: 0.1145710, DIVERSITY_MEAN_INTER_LIST: 0.9815739, DIVERSITY_HERFINDAHL: 0.9981366, COVERAGE_ITEM: 0.3787488, COVERAGE_ITEM_CORRECT: 0.0229836, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1170253, DIVERSITY_GINI: 0.1277779, SHANNON_ENTROPY: 11.3391262, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.07955625304045168, 'l1_ratio': 0.6821371134244617} - results: ROC_AUC: 0.1233636, PRECISION: 0.0235469, PRECISION_RECALL_MIN_DEN: 0.0974700, RECALL: 0.0955705, MAP: 0.0434722, MRR: 0.0877792, NDCG: 0.0658481, F1: 0.0377844, HIT_RATE: 0.2354688, ARHR: 0.0963349, NOVELTY: 0.0048590, AVERAGE_POPULARITY: 0.1117282, DIVERSITY_MEAN_INTER_LIST: 0.9824068, DIVERSITY_HERFINDAHL: 0.9982198, COVERAGE_ITEM: 0.3875650, COVERAGE_ITEM_CORRECT: 0.0227526, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1141311, DIVERSITY_GINI: 0.1351827, SHANNON_ENTROPY: 11.4417003, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.9461173139855297, 'l1_ratio': 0.6834905892503798} - results: ROC_AUC: 0.1421129, PRECISION: 0.0290624, PRECISION_RECALL_MIN_DEN: 0.1218185, RECALL: 0.1193483, MAP: 0.0524921, MRR: 0.1010604, NDCG: 0.0796208, F1: 0.0467425, HIT_RATE: 0.2906237, ARHR: 0.1127716, NOVELTY: 0.0047796, AVERAGE_POPULARITY: 0.1122136, DIVERSITY_MEAN_INTER_LIST: 0.9824814, DIVERSITY_HERFINDAHL: 0.9982273, COVERAGE_ITEM: 0.3680847, COVERAGE_ITEM_CORRECT: 0.0289509, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1366553, DIVERSITY_GINI: 0.1148934, SHANNON_ENTROPY: 11.1973208, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7878993885904746, 'l1_ratio': 0.27172154540780163} - results: ROC_AUC: 0.1395068, PRECISION: 0.0284260, PRECISION_RECALL_MIN_DEN: 0.1194801, RECALL: 0.1171218, MAP: 0.0518163, MRR: 0.0994142, NDCG: 0.0783902, F1: 0.0457486, HIT_RATE: 0.2842597, ARHR: 0.1107557, NOVELTY: 0.0047921, AVERAGE_POPULARITY: 0.1128695, DIVERSITY_MEAN_INTER_LIST: 0.9820351, DIVERSITY_HERFINDAHL: 0.9981827, COVERAGE_ITEM: 0.3754764, COVERAGE_ITEM_CORRECT: 0.0280269, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1343903, DIVERSITY_GINI: 0.1202411, SHANNON_ENTROPY: 11.2433388, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'alpha': 0.5374202776564745, 'l1_ratio': 0.4366945462398426} - results: ROC_AUC: 0.1320707, PRECISION: 0.0260289, PRECISION_RECALL_MIN_DEN: 0.1076294, RECALL: 0.1054616, MAP: 0.0482340, MRR: 0.0953836, NDCG: 0.0725291, F1: 0.0417528, HIT_RATE: 0.2602885, ARHR: 0.1054211, NOVELTY: 0.0048207, AVERAGE_POPULARITY: 0.1129289, DIVERSITY_MEAN_INTER_LIST: 0.9820549, DIVERSITY_HERFINDAHL: 0.9981847, COVERAGE_ITEM: 0.3811357, COVERAGE_ITEM_CORRECT: 0.0251396, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1236945, DIVERSITY_GINI: 0.1270763, SHANNON_ENTROPY: 11.3297907, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'alpha': 0.08596103869241058, 'l1_ratio': 0.7680763567243406} - results: ROC_AUC: 0.1234744, PRECISION: 0.0235045, PRECISION_RECALL_MIN_DEN: 0.0970458, RECALL: 0.0951427, MAP: 0.0433346, MRR: 0.0878240, NDCG: 0.0656846, F1: 0.0376963, HIT_RATE: 0.2350445, ARHR: 0.0963707, NOVELTY: 0.0048587, AVERAGE_POPULARITY: 0.1118123, DIVERSITY_MEAN_INTER_LIST: 0.9823816, DIVERSITY_HERFINDAHL: 0.9982173, COVERAGE_ITEM: 0.3875265, COVERAGE_ITEM_CORRECT: 0.0226756, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1138795, DIVERSITY_GINI: 0.1350948, SHANNON_ENTROPY: 11.4402963, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'alpha': 0.23151596861499407, 'l1_ratio': 0.30374128043147935} - results: ROC_AUC: 0.1268468, PRECISION: 0.0245439, PRECISION_RECALL_MIN_DEN: 0.1021438, RECALL: 0.1000863, MAP: 0.0451970, MRR: 0.0908042, NDCG: 0.0685161, F1: 0.0394208, HIT_RATE: 0.2454391, ARHR: 0.1000357, NOVELTY: 0.0048469, AVERAGE_POPULARITY: 0.1121407, DIVERSITY_MEAN_INTER_LIST: 0.9823117, DIVERSITY_HERFINDAHL: 0.9982103, COVERAGE_ITEM: 0.3870645, COVERAGE_ITEM_CORRECT: 0.0235611, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1180320, DIVERSITY_GINI: 0.1331564, SHANNON_ENTROPY: 11.4105305, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'alpha': 0.5167720138649408, 'l1_ratio': 0.82940983714615} - results: ROC_AUC: 0.1286778, PRECISION: 0.0247773, PRECISION_RECALL_MIN_DEN: 0.1030278, RECALL: 0.1009730, MAP: 0.0462494, MRR: 0.0927785, NDCG: 0.0697589, F1: 0.0397905, HIT_RATE: 0.2477726, ARHR: 0.1020422, NOVELTY: 0.0048279, AVERAGE_POPULARITY: 0.1139946, DIVERSITY_MEAN_INTER_LIST: 0.9817723, DIVERSITY_HERFINDAHL: 0.9981564, COVERAGE_ITEM: 0.3802117, COVERAGE_ITEM_CORRECT: 0.0234841, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1191645, DIVERSITY_GINI: 0.1275423, SHANNON_ENTROPY: 11.3362015, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'alpha': 0.18766826230156225, 'l1_ratio': 0.5570509520886755} - results: ROC_AUC: 0.1250850, PRECISION: 0.0236742, PRECISION_RECALL_MIN_DEN: 0.0978599, RECALL: 0.0959211, MAP: 0.0439515, MRR: 0.0887045, NDCG: 0.0664276, F1: 0.0379756, HIT_RATE: 0.2367416, ARHR: 0.0976881, NOVELTY: 0.0048515, AVERAGE_POPULARITY: 0.1121883, DIVERSITY_MEAN_INTER_LIST: 0.9822801, DIVERSITY_HERFINDAHL: 0.9982072, COVERAGE_ITEM: 0.3862945, COVERAGE_ITEM_CORRECT: 0.0227911, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1142570, DIVERSITY_GINI: 0.1335564, SHANNON_ENTROPY: 11.4194198, 
