SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.361862160180949, 'l1_ratio': 0.8929193600242332} - results: ROC_AUC: 0.1397834, PRECISION: 0.0278956, PRECISION_RECALL_MIN_DEN: 0.1137495, RECALL: 0.1113159, MAP: 0.0503113, MRR: 0.0994969, NDCG: 0.0762603, F1: 0.0446116, HIT_RATE: 0.2789563, ARHR: 0.1108848, NOVELTY: 0.0048295, AVERAGE_POPULARITY: 0.0984942, DIVERSITY_MEAN_INTER_LIST: 0.9881557, DIVERSITY_HERFINDAHL: 0.9987946, COVERAGE_ITEM: 0.3576131, COVERAGE_ITEM_CORRECT: 0.0305294, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1317478, DIVERSITY_GINI: 0.1158880, SHANNON_ENTROPY: 11.4339952, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.2252804995070578, 'l1_ratio': 0.4979681584289577} - results: ROC_AUC: 0.1390359, PRECISION: 0.0278320, PRECISION_RECALL_MIN_DEN: 0.1135550, RECALL: 0.1111214, MAP: 0.0500935, MRR: 0.0989893, NDCG: 0.0759794, F1: 0.0445146, HIT_RATE: 0.2783199, ARHR: 0.1104056, NOVELTY: 0.0048337, AVERAGE_POPULARITY: 0.0979430, DIVERSITY_MEAN_INTER_LIST: 0.9883266, DIVERSITY_HERFINDAHL: 0.9988117, COVERAGE_ITEM: 0.3590760, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1313703, DIVERSITY_GINI: 0.1171671, SHANNON_ENTROPY: 11.4542670, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.7858652871779587, 'l1_ratio': 0.42408329047175464} - results: ROC_AUC: 0.1430536, PRECISION: 0.0285745, PRECISION_RECALL_MIN_DEN: 0.1184587, RECALL: 0.1160818, MAP: 0.0518540, MRR: 0.1018838, NDCG: 0.0787506, F1: 0.0458601, HIT_RATE: 0.2857446, ARHR: 0.1134611, NOVELTY: 0.0047760, AVERAGE_POPULARITY: 0.1097630, DIVERSITY_MEAN_INTER_LIST: 0.9840892, DIVERSITY_HERFINDAHL: 0.9983880, COVERAGE_ITEM: 0.3493359, COVERAGE_ITEM_CORRECT: 0.0294899, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1346420, DIVERSITY_GINI: 0.1069221, SHANNON_ENTROPY: 11.1748162, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.7169847370305487, 'l1_ratio': 0.10477064322053223} - results: ROC_AUC: 0.1423302, PRECISION: 0.0286381, PRECISION_RECALL_MIN_DEN: 0.1187203, RECALL: 0.1163572, MAP: 0.0515303, MRR: 0.1017924, NDCG: 0.0786035, F1: 0.0459635, HIT_RATE: 0.2863810, ARHR: 0.1131552, NOVELTY: 0.0047810, AVERAGE_POPULARITY: 0.1091271, DIVERSITY_MEAN_INTER_LIST: 0.9843520, DIVERSITY_HERFINDAHL: 0.9984143, COVERAGE_ITEM: 0.3517613, COVERAGE_ITEM_CORRECT: 0.0295669, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1350195, DIVERSITY_GINI: 0.1084994, SHANNON_ENTROPY: 11.2033696, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.5102815848558468, 'l1_ratio': 0.12544611687798682} - results: ROC_AUC: 0.1409075, PRECISION: 0.0282563, PRECISION_RECALL_MIN_DEN: 0.1154392, RECALL: 0.1130294, MAP: 0.0509895, MRR: 0.1008514, NDCG: 0.0773508, F1: 0.0452104, HIT_RATE: 0.2825626, ARHR: 0.1123190, NOVELTY: 0.0048093, AVERAGE_POPULARITY: 0.1030364, DIVERSITY_MEAN_INTER_LIST: 0.9866681, DIVERSITY_HERFINDAHL: 0.9986459, COVERAGE_ITEM: 0.3565351, COVERAGE_ITEM_CORRECT: 0.0301829, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1332578, DIVERSITY_GINI: 0.1132635, SHANNON_ENTROPY: 11.3428545, 
SearchBayesianSkopt: New best config found. Config 5: {'alpha': 0.9386894107595882, 'l1_ratio': 0.43753515811405386} - results: ROC_AUC: 0.1449072, PRECISION: 0.0287017, PRECISION_RECALL_MIN_DEN: 0.1218623, RECALL: 0.1195787, MAP: 0.0521169, MRR: 0.1022435, NDCG: 0.0796958, F1: 0.0462922, HIT_RATE: 0.2870174, ARHR: 0.1135701, NOVELTY: 0.0047336, AVERAGE_POPULARITY: 0.1194206, DIVERSITY_MEAN_INTER_LIST: 0.9800000, DIVERSITY_HERFINDAHL: 0.9979792, COVERAGE_ITEM: 0.3422522, COVERAGE_ITEM_CORRECT: 0.0286044, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1371587, DIVERSITY_GINI: 0.0995009, SHANNON_ENTROPY: 10.9455578, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.6920694066588503, 'l1_ratio': 0.008547734919036822} - results: ROC_AUC: 0.1421594, PRECISION: 0.0286381, PRECISION_RECALL_MIN_DEN: 0.1188229, RECALL: 0.1164646, MAP: 0.0513893, MRR: 0.1014918, NDCG: 0.0785067, F1: 0.0459719, HIT_RATE: 0.2863810, ARHR: 0.1129150, NOVELTY: 0.0047835, AVERAGE_POPULARITY: 0.1086833, DIVERSITY_MEAN_INTER_LIST: 0.9845325, DIVERSITY_HERFINDAHL: 0.9984324, COVERAGE_ITEM: 0.3528008, COVERAGE_ITEM_CORRECT: 0.0296824, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1348937, DIVERSITY_GINI: 0.1091158, SHANNON_ENTROPY: 11.2167806, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.2506393929597714, 'l1_ratio': 0.9327821805442539} - results: ROC_AUC: 0.1393637, PRECISION: 0.0277047, PRECISION_RECALL_MIN_DEN: 0.1129296, RECALL: 0.1105118, MAP: 0.0500954, MRR: 0.0990826, NDCG: 0.0758540, F1: 0.0443029, HIT_RATE: 0.2770471, ARHR: 0.1105609, NOVELTY: 0.0048347, AVERAGE_POPULARITY: 0.0975663, DIVERSITY_MEAN_INTER_LIST: 0.9884370, DIVERSITY_HERFINDAHL: 0.9988227, COVERAGE_ITEM: 0.3584601, COVERAGE_ITEM_CORRECT: 0.0306449, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1307412, DIVERSITY_GINI: 0.1170192, SHANNON_ENTROPY: 11.4579217, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.8530450534092602, 'l1_ratio': 0.3717691915702173} - results: ROC_AUC: 0.1431512, PRECISION: 0.0288502, PRECISION_RECALL_MIN_DEN: 0.1225308, RECALL: 0.1201909, MAP: 0.0520200, MRR: 0.1014944, NDCG: 0.0796545, F1: 0.0465313, HIT_RATE: 0.2885023, ARHR: 0.1130051, NOVELTY: 0.0047572, AVERAGE_POPULARITY: 0.1139355, DIVERSITY_MEAN_INTER_LIST: 0.9824244, DIVERSITY_HERFINDAHL: 0.9982216, COVERAGE_ITEM: 0.3468335, COVERAGE_ITEM_CORRECT: 0.0292589, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1365295, DIVERSITY_GINI: 0.1037918, SHANNON_ENTROPY: 11.0789368, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.6530669381645119, 'l1_ratio': 0.4041798708424047} - results: ROC_AUC: 0.1422769, PRECISION: 0.0284684, PRECISION_RECALL_MIN_DEN: 0.1169586, RECALL: 0.1145750, MAP: 0.0510636, MRR: 0.1012410, NDCG: 0.0778495, F1: 0.0456053, HIT_RATE: 0.2846839, ARHR: 0.1127776, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1054398, DIVERSITY_MEAN_INTER_LIST: 0.9857713, DIVERSITY_HERFINDAHL: 0.9985562, COVERAGE_ITEM: 0.3539942, COVERAGE_ITEM_CORRECT: 0.0299519, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1342645, DIVERSITY_GINI: 0.1108950, SHANNON_ENTROPY: 11.2807777, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.013830461092412153, 'l1_ratio': 0.427521283960156} - results: ROC_AUC: 0.1383141, PRECISION: 0.0275562, PRECISION_RECALL_MIN_DEN: 0.1116199, RECALL: 0.1091986, MAP: 0.0494926, MRR: 0.0981484, NDCG: 0.0750075, F1: 0.0440072, HIT_RATE: 0.2755622, ARHR: 0.1095409, NOVELTY: 0.0048427, AVERAGE_POPULARITY: 0.0961405, DIVERSITY_MEAN_INTER_LIST: 0.9888469, DIVERSITY_HERFINDAHL: 0.9988637, COVERAGE_ITEM: 0.3606160, COVERAGE_ITEM_CORRECT: 0.0308373, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1299862, DIVERSITY_GINI: 0.1188361, SHANNON_ENTROPY: 11.4938331, 
