SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.37131509042658434, 'l1_ratio': 0.3889589216411907} - results: ROC_AUC: 0.1267290, PRECISION: 0.0245015, PRECISION_RECALL_MIN_DEN: 0.1023521, RECALL: 0.1003531, MAP: 0.0451430, MRR: 0.0911945, NDCG: 0.0686099, F1: 0.0393866, HIT_RATE: 0.2450148, ARHR: 0.1002333, NOVELTY: 0.0048175, AVERAGE_POPULARITY: 0.1166330, DIVERSITY_MEAN_INTER_LIST: 0.9808391, DIVERSITY_HERFINDAHL: 0.9980631, COVERAGE_ITEM: 0.3767854, COVERAGE_ITEM_CORRECT: 0.0232916, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1182836, DIVERSITY_GINI: 0.1259223, SHANNON_ENTROPY: 11.2989277, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.2755618182255363, 'l1_ratio': 0.61697830281608} - results: ROC_AUC: 0.1245665, PRECISION: 0.0238014, PRECISION_RECALL_MIN_DEN: 0.0987721, RECALL: 0.0968308, MAP: 0.0437481, MRR: 0.0885086, NDCG: 0.0664738, F1: 0.0382106, HIT_RATE: 0.2380144, ARHR: 0.0974802, NOVELTY: 0.0048330, AVERAGE_POPULARITY: 0.1148175, DIVERSITY_MEAN_INTER_LIST: 0.9814263, DIVERSITY_HERFINDAHL: 0.9981218, COVERAGE_ITEM: 0.3804812, COVERAGE_ITEM_CORRECT: 0.0227141, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1150120, DIVERSITY_GINI: 0.1290686, SHANNON_ENTROPY: 11.3515966, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.9092406108366259, 'l1_ratio': 0.38694791845455356} - results: ROC_AUC: 0.1423468, PRECISION: 0.0280229, PRECISION_RECALL_MIN_DEN: 0.1190739, RECALL: 0.1168440, MAP: 0.0523213, MRR: 0.1020768, NDCG: 0.0790583, F1: 0.0452044, HIT_RATE: 0.2802291, ARHR: 0.1128678, NOVELTY: 0.0047116, AVERAGE_POPULARITY: 0.1261178, DIVERSITY_MEAN_INTER_LIST: 0.9772750, DIVERSITY_HERFINDAHL: 0.9977068, COVERAGE_ITEM: 0.3493744, COVERAGE_ITEM_CORRECT: 0.0269490, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1340128, DIVERSITY_GINI: 0.1020926, SHANNON_ENTROPY: 10.9067474, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.09116155343645028, 'l1_ratio': 0.2341512436541739} - results: ROC_AUC: 0.1231550, PRECISION: 0.0235257, PRECISION_RECALL_MIN_DEN: 0.0972025, RECALL: 0.0952613, MAP: 0.0430727, MRR: 0.0876219, NDCG: 0.0655028, F1: 0.0377329, HIT_RATE: 0.2352567, ARHR: 0.0963499, NOVELTY: 0.0048478, AVERAGE_POPULARITY: 0.1131445, DIVERSITY_MEAN_INTER_LIST: 0.9819826, DIVERSITY_HERFINDAHL: 0.9981774, COVERAGE_ITEM: 0.3824062, COVERAGE_ITEM_CORRECT: 0.0225987, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1136278, DIVERSITY_GINI: 0.1320494, SHANNON_ENTROPY: 11.4013264, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.7819846836126623, 'l1_ratio': 0.8206762436047811} - results: ROC_AUC: 0.1350287, PRECISION: 0.0260076, PRECISION_RECALL_MIN_DEN: 0.1089185, RECALL: 0.1068354, MAP: 0.0490089, MRR: 0.0969253, NDCG: 0.0736736, F1: 0.0418319, HIT_RATE: 0.2600764, ARHR: 0.1067385, NOVELTY: 0.0047680, AVERAGE_POPULARITY: 0.1201199, DIVERSITY_MEAN_INTER_LIST: 0.9798431, DIVERSITY_HERFINDAHL: 0.9979635, COVERAGE_ITEM: 0.3613474, COVERAGE_ITEM_CORRECT: 0.0244466, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1249528, DIVERSITY_GINI: 0.1131539, SHANNON_ENTROPY: 11.1154906, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.549796526810399, 'l1_ratio': 0.006506324127675047} - results: ROC_AUC: 0.1305849, PRECISION: 0.0256258, PRECISION_RECALL_MIN_DEN: 0.1054221, RECALL: 0.1032960, MAP: 0.0466891, MRR: 0.0937396, NDCG: 0.0709151, F1: 0.0410643, HIT_RATE: 0.2562580, ARHR: 0.1034529, NOVELTY: 0.0047811, AVERAGE_POPULARITY: 0.1206353, DIVERSITY_MEAN_INTER_LIST: 0.9793169, DIVERSITY_HERFINDAHL: 0.9979109, COVERAGE_ITEM: 0.3711646, COVERAGE_ITEM_CORRECT: 0.0241001, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1219328, DIVERSITY_GINI: 0.1194100, SHANNON_ENTROPY: 11.1731443, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.06319366143606599, 'l1_ratio': 0.6123442005705784} - results: ROC_AUC: 0.1223807, PRECISION: 0.0234620, PRECISION_RECALL_MIN_DEN: 0.0966916, RECALL: 0.0947833, MAP: 0.0430726, MRR: 0.0873231, NDCG: 0.0653470, F1: 0.0376135, HIT_RATE: 0.2346203, ARHR: 0.0959449, NOVELTY: 0.0048522, AVERAGE_POPULARITY: 0.1126925, DIVERSITY_MEAN_INTER_LIST: 0.9821295, DIVERSITY_HERFINDAHL: 0.9981921, COVERAGE_ITEM: 0.3833301, COVERAGE_ITEM_CORRECT: 0.0226372, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1132503, DIVERSITY_GINI: 0.1328173, SHANNON_ENTROPY: 11.4157068, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.6189164697048218, 'l1_ratio': 0.863174882081935} - results: ROC_AUC: 0.1292687, PRECISION: 0.0249258, PRECISION_RECALL_MIN_DEN: 0.1041527, RECALL: 0.1021502, MAP: 0.0462867, MRR: 0.0929362, NDCG: 0.0701227, F1: 0.0400732, HIT_RATE: 0.2492575, ARHR: 0.1021686, NOVELTY: 0.0048007, AVERAGE_POPULARITY: 0.1178208, DIVERSITY_MEAN_INTER_LIST: 0.9805283, DIVERSITY_HERFINDAHL: 0.9980320, COVERAGE_ITEM: 0.3699711, COVERAGE_ITEM_CORRECT: 0.0234456, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1200453, DIVERSITY_GINI: 0.1207166, SHANNON_ENTROPY: 11.2305194, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.11325456588734475, 'l1_ratio': 0.6318972822730631} - results: ROC_AUC: 0.1233501, PRECISION: 0.0236105, PRECISION_RECALL_MIN_DEN: 0.0977382, RECALL: 0.0958089, MAP: 0.0433086, MRR: 0.0878398, NDCG: 0.0658145, F1: 0.0378849, HIT_RATE: 0.2361052, ARHR: 0.0964845, NOVELTY: 0.0048474, AVERAGE_POPULARITY: 0.1132198, DIVERSITY_MEAN_INTER_LIST: 0.9819569, DIVERSITY_HERFINDAHL: 0.9981749, COVERAGE_ITEM: 0.3817902, COVERAGE_ITEM_CORRECT: 0.0227141, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1142570, DIVERSITY_GINI: 0.1316884, SHANNON_ENTROPY: 11.3985757, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.7876212238262614, 'l1_ratio': 0.8905977559441349} - results: ROC_AUC: 0.1342068, PRECISION: 0.0259228, PRECISION_RECALL_MIN_DEN: 0.1084942, RECALL: 0.1063811, MAP: 0.0486195, MRR: 0.0964694, NDCG: 0.0732106, F1: 0.0416873, HIT_RATE: 0.2592278, ARHR: 0.1061491, NOVELTY: 0.0047719, AVERAGE_POPULARITY: 0.1194889, DIVERSITY_MEAN_INTER_LIST: 0.9801438, DIVERSITY_HERFINDAHL: 0.9979936, COVERAGE_ITEM: 0.3611165, COVERAGE_ITEM_CORRECT: 0.0243696, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1248270, DIVERSITY_GINI: 0.1134764, SHANNON_ENTROPY: 11.1300881, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7729253074011165, 'l1_ratio': 0.7448599724161575} - results: ROC_AUC: 0.1346998, PRECISION: 0.0259864, PRECISION_RECALL_MIN_DEN: 0.1084131, RECALL: 0.1063106, MAP: 0.0484632, MRR: 0.0962094, NDCG: 0.0731215, F1: 0.0417641, HIT_RATE: 0.2598642, ARHR: 0.1059087, NOVELTY: 0.0047656, AVERAGE_POPULARITY: 0.1206038, DIVERSITY_MEAN_INTER_LIST: 0.9795939, DIVERSITY_HERFINDAHL: 0.9979386, COVERAGE_ITEM: 0.3623099, COVERAGE_ITEM_CORRECT: 0.0244081, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1248270, DIVERSITY_GINI: 0.1132200, SHANNON_ENTROPY: 11.1081134, 
