SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.13681610969187166, 'l1_ratio': 0.11729085202911219} - results: ROC_AUC: 0.1273338, PRECISION: 0.0245439, PRECISION_RECALL_MIN_DEN: 0.1014008, RECALL: 0.0993467, MAP: 0.0449210, MRR: 0.0909526, NDCG: 0.0682933, F1: 0.0393631, HIT_RATE: 0.2454391, ARHR: 0.1002199, NOVELTY: 0.0048480, AVERAGE_POPULARITY: 0.1110564, DIVERSITY_MEAN_INTER_LIST: 0.9831311, DIVERSITY_HERFINDAHL: 0.9982923, COVERAGE_ITEM: 0.3854090, COVERAGE_ITEM_CORRECT: 0.0239846, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1184095, DIVERSITY_GINI: 0.1331119, SHANNON_ENTROPY: 11.4393781, 
SearchBayesianSkopt: New best config found. Config 1: {'alpha': 0.6045169457680838, 'l1_ratio': 0.4143204958366149} - results: ROC_AUC: 0.1382922, PRECISION: 0.0277047, PRECISION_RECALL_MIN_DEN: 0.1148145, RECALL: 0.1125115, MAP: 0.0498384, MRR: 0.0986328, NDCG: 0.0760305, F1: 0.0444613, HIT_RATE: 0.2770471, ARHR: 0.1093808, NOVELTY: 0.0048159, AVERAGE_POPULARITY: 0.1068431, DIVERSITY_MEAN_INTER_LIST: 0.9855768, DIVERSITY_HERFINDAHL: 0.9985368, COVERAGE_ITEM: 0.3728585, COVERAGE_ITEM_CORRECT: 0.0282579, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1316220, DIVERSITY_GINI: 0.1235989, SHANNON_ENTROPY: 11.4157360, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.2354943943344891, 'l1_ratio': 0.7564257145578989} - results: ROC_AUC: 0.1261696, PRECISION: 0.0242045, PRECISION_RECALL_MIN_DEN: 0.1001512, RECALL: 0.0981562, MAP: 0.0444151, MRR: 0.0901206, NDCG: 0.0675154, F1: 0.0388331, HIT_RATE: 0.2420450, ARHR: 0.0991767, NOVELTY: 0.0048456, AVERAGE_POPULARITY: 0.1123544, DIVERSITY_MEAN_INTER_LIST: 0.9825242, DIVERSITY_HERFINDAHL: 0.9982316, COVERAGE_ITEM: 0.3836766, COVERAGE_ITEM_CORRECT: 0.0234841, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1170253, DIVERSITY_GINI: 0.1320513, SHANNON_ENTROPY: 11.4117364, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.21961101995144533, 'l1_ratio': 0.6470855033377636} - results: ROC_AUC: 0.1263106, PRECISION: 0.0244591, PRECISION_RECALL_MIN_DEN: 0.1010563, RECALL: 0.0990423, MAP: 0.0446712, MRR: 0.0905061, NDCG: 0.0679766, F1: 0.0392300, HIT_RATE: 0.2445906, ARHR: 0.0996936, NOVELTY: 0.0048456, AVERAGE_POPULARITY: 0.1119169, DIVERSITY_MEAN_INTER_LIST: 0.9827471, DIVERSITY_HERFINDAHL: 0.9982539, COVERAGE_ITEM: 0.3842156, COVERAGE_ITEM_CORRECT: 0.0237151, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1179061, DIVERSITY_GINI: 0.1322216, SHANNON_ENTROPY: 11.4191599, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.010383654585331083, 'l1_ratio': 0.11901504379147301} - results: ROC_AUC: 0.1211242, PRECISION: 0.0235257, PRECISION_RECALL_MIN_DEN: 0.0969742, RECALL: 0.0950456, MAP: 0.0422034, MRR: 0.0864807, NDCG: 0.0647168, F1: 0.0377159, HIT_RATE: 0.2352567, ARHR: 0.0950419, NOVELTY: 0.0048631, AVERAGE_POPULARITY: 0.1116893, DIVERSITY_MEAN_INTER_LIST: 0.9824581, DIVERSITY_HERFINDAHL: 0.9982250, COVERAGE_ITEM: 0.3856400, COVERAGE_ITEM_CORRECT: 0.0227526, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1138795, DIVERSITY_GINI: 0.1353356, SHANNON_ENTROPY: 11.4487970, 
SearchBayesianSkopt: New best config found. Config 5: {'alpha': 0.7064142775412661, 'l1_ratio': 0.04300782222773326} - results: ROC_AUC: 0.1395833, PRECISION: 0.0279168, PRECISION_RECALL_MIN_DEN: 0.1145505, RECALL: 0.1121840, MAP: 0.0510031, MRR: 0.1002898, NDCG: 0.0769674, F1: 0.0447081, HIT_RATE: 0.2791684, ARHR: 0.1114616, NOVELTY: 0.0048206, AVERAGE_POPULARITY: 0.1019416, DIVERSITY_MEAN_INTER_LIST: 0.9875275, DIVERSITY_HERFINDAHL: 0.9987318, COVERAGE_ITEM: 0.3680462, COVERAGE_ITEM_CORRECT: 0.0299134, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1317478, DIVERSITY_GINI: 0.1218741, SHANNON_ENTROPY: 11.4782073, 
SearchBayesianSkopt: New best config found. Config 6: {'alpha': 0.7462231709386978, 'l1_ratio': 0.0398428840599765} - results: ROC_AUC: 0.1396880, PRECISION: 0.0279381, PRECISION_RECALL_MIN_DEN: 0.1148493, RECALL: 0.1124881, MAP: 0.0511235, MRR: 0.1003233, NDCG: 0.0771120, F1: 0.0447595, HIT_RATE: 0.2793806, ARHR: 0.1116014, NOVELTY: 0.0048209, AVERAGE_POPULARITY: 0.1013123, DIVERSITY_MEAN_INTER_LIST: 0.9877608, DIVERSITY_HERFINDAHL: 0.9987551, COVERAGE_ITEM: 0.3677382, COVERAGE_ITEM_CORRECT: 0.0302214, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1318737, DIVERSITY_GINI: 0.1215884, SHANNON_ENTROPY: 11.4848539, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.27151332566977576, 'l1_ratio': 0.8005103503440532} - results: ROC_AUC: 0.1263581, PRECISION: 0.0242257, PRECISION_RECALL_MIN_DEN: 0.1001689, RECALL: 0.0981739, MAP: 0.0445195, MRR: 0.0902620, NDCG: 0.0676187, F1: 0.0388618, HIT_RATE: 0.2422571, ARHR: 0.0993582, NOVELTY: 0.0048435, AVERAGE_POPULARITY: 0.1125756, DIVERSITY_MEAN_INTER_LIST: 0.9824574, DIVERSITY_HERFINDAHL: 0.9982249, COVERAGE_ITEM: 0.3829836, COVERAGE_ITEM_CORRECT: 0.0234841, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1168995, DIVERSITY_GINI: 0.1314985, SHANNON_ENTROPY: 11.4036383, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.6172780992791401, 'l1_ratio': 0.9653779950080091} - results: ROC_AUC: 0.1282254, PRECISION: 0.0250106, PRECISION_RECALL_MIN_DEN: 0.1040457, RECALL: 0.1020479, MAP: 0.0458230, MRR: 0.0924182, NDCG: 0.0697532, F1: 0.0401749, HIT_RATE: 0.2501061, ARHR: 0.1017418, NOVELTY: 0.0048149, AVERAGE_POPULARITY: 0.1153875, DIVERSITY_MEAN_INTER_LIST: 0.9815566, DIVERSITY_HERFINDAHL: 0.9981348, COVERAGE_ITEM: 0.3734745, COVERAGE_ITEM_CORRECT: 0.0237151, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1202970, DIVERSITY_GINI: 0.1236419, SHANNON_ENTROPY: 11.2896235, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.9260795849378528, 'l1_ratio': 0.1855699374146437} - results: ROC_AUC: 0.1396074, PRECISION: 0.0279381, PRECISION_RECALL_MIN_DEN: 0.1136369, RECALL: 0.1112239, MAP: 0.0504264, MRR: 0.0992314, NDCG: 0.0763245, F1: 0.0446585, HIT_RATE: 0.2793806, ARHR: 0.1107235, NOVELTY: 0.0048260, AVERAGE_POPULARITY: 0.0985790, DIVERSITY_MEAN_INTER_LIST: 0.9886648, DIVERSITY_HERFINDAHL: 0.9988455, COVERAGE_ITEM: 0.3651588, COVERAGE_ITEM_CORRECT: 0.0305294, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1321253, DIVERSITY_GINI: 0.1213435, SHANNON_ENTROPY: 11.5197039, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.23239956569266268, 'l1_ratio': 0.6740046369093126} - results: ROC_AUC: 0.1263123, PRECISION: 0.0244803, PRECISION_RECALL_MIN_DEN: 0.1011270, RECALL: 0.0991130, MAP: 0.0446519, MRR: 0.0905046, NDCG: 0.0679845, F1: 0.0392629, HIT_RATE: 0.2448027, ARHR: 0.0996677, NOVELTY: 0.0048450, AVERAGE_POPULARITY: 0.1120035, DIVERSITY_MEAN_INTER_LIST: 0.9827246, DIVERSITY_HERFINDAHL: 0.9982516, COVERAGE_ITEM: 0.3839846, COVERAGE_ITEM_CORRECT: 0.0237536, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1180320, DIVERSITY_GINI: 0.1320441, SHANNON_ENTROPY: 11.4166065, 
