SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.37418408931287556, 'l1_ratio': 0.6233686146987574} - results: ROC_AUC: 0.1487390, PRECISION: 0.0298718, PRECISION_RECALL_MIN_DEN: 0.1171725, RECALL: 0.1146296, MAP: 0.0518543, MRR: 0.1065969, NDCG: 0.0794274, F1: 0.0473932, HIT_RATE: 0.2987183, ARHR: 0.1185160, NOVELTY: 0.0045167, AVERAGE_POPULARITY: 0.1546291, DIVERSITY_MEAN_INTER_LIST: 0.9627144, DIVERSITY_HERFINDAHL: 0.9962463, COVERAGE_ITEM: 0.2307218, COVERAGE_ITEM_CORRECT: 0.0224832, COVERAGE_USER: 0.4810620, COVERAGE_USER_CORRECT: 0.1146345, DIVERSITY_GINI: 0.0564841, SHANNON_ENTROPY: 10.0373521, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'alpha': 0.37418408931287556, 'l1_ratio': 0.6233686146987574} - results:
CUTOFF: 10 - ROC_AUC: 0.1207116, PRECISION: 0.0226254, PRECISION_RECALL_MIN_DEN: 0.1118019, RECALL: 0.1108248, MAP: 0.0483678, MRR: 0.0844122, NDCG: 0.0718333, F1: 0.0375789, HIT_RATE: 0.2262543, ARHR: 0.0908956, NOVELTY: 0.0045781, AVERAGE_POPULARITY: 0.1459258, DIVERSITY_MEAN_INTER_LIST: 0.9676174, DIVERSITY_HERFINDAHL: 0.9967382, COVERAGE_ITEM: 0.2622907, COVERAGE_ITEM_CORRECT: 0.0196728, COVERAGE_USER: 0.5166730, COVERAGE_USER_CORRECT: 0.1011703, DIVERSITY_GINI: 0.0666195, SHANNON_ENTROPY: 10.2883872, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.09153511600282017, 'l1_ratio': 0.24724657607553108} - results: ROC_AUC: 0.1493968, PRECISION: 0.0298718, PRECISION_RECALL_MIN_DEN: 0.1178926, RECALL: 0.1153691, MAP: 0.0512241, MRR: 0.1058852, NDCG: 0.0791204, F1: 0.0474561, HIT_RATE: 0.2987183, ARHR: 0.1175689, NOVELTY: 0.0045159, AVERAGE_POPULARITY: 0.1572535, DIVERSITY_MEAN_INTER_LIST: 0.9609819, DIVERSITY_HERFINDAHL: 0.9960731, COVERAGE_ITEM: 0.2379596, COVERAGE_ITEM_CORRECT: 0.0224447, COVERAGE_USER: 0.4810620, COVERAGE_USER_CORRECT: 0.1156411, DIVERSITY_GINI: 0.0574391, SHANNON_ENTROPY: 9.9958532, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.921079876068972, 'l1_ratio': 0.8070955143048371} - results: ROC_AUC: 0.1492462, PRECISION: 0.0300026, PRECISION_RECALL_MIN_DEN: 0.1171884, RECALL: 0.1146454, MAP: 0.0523763, MRR: 0.1068429, NDCG: 0.0798279, F1: 0.0475591, HIT_RATE: 0.3000262, ARHR: 0.1190948, NOVELTY: 0.0045314, AVERAGE_POPULARITY: 0.1496552, DIVERSITY_MEAN_INTER_LIST: 0.9658378, DIVERSITY_HERFINDAHL: 0.9965585, COVERAGE_ITEM: 0.2269490, COVERAGE_ITEM_CORRECT: 0.0227526, COVERAGE_USER: 0.4810620, COVERAGE_USER_CORRECT: 0.1141311, DIVERSITY_GINI: 0.0568525, SHANNON_ENTROPY: 10.1290020, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'alpha': 0.921079876068972, 'l1_ratio': 0.8070955143048371} - results:
CUTOFF: 10 - ROC_AUC: 0.1214108, PRECISION: 0.0227472, PRECISION_RECALL_MIN_DEN: 0.1127282, RECALL: 0.1117599, MAP: 0.0480076, MRR: 0.0840030, NDCG: 0.0717923, F1: 0.0378006, HIT_RATE: 0.2274720, ARHR: 0.0905533, NOVELTY: 0.0045892, AVERAGE_POPULARITY: 0.1414104, DIVERSITY_MEAN_INTER_LIST: 0.9701894, DIVERSITY_HERFINDAHL: 0.9969953, COVERAGE_ITEM: 0.2557459, COVERAGE_ITEM_CORRECT: 0.0201347, COVERAGE_USER: 0.5166730, COVERAGE_USER_CORRECT: 0.1016736, DIVERSITY_GINI: 0.0659398, SHANNON_ENTROPY: 10.3576298, 

SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.5705835065966968, 'l1_ratio': 0.23107383312477042} - results: ROC_AUC: 0.1499403, PRECISION: 0.0298195, PRECISION_RECALL_MIN_DEN: 0.1178951, RECALL: 0.1153542, MAP: 0.0514521, MRR: 0.1063978, NDCG: 0.0793206, F1: 0.0473888, HIT_RATE: 0.2981951, ARHR: 0.1181301, NOVELTY: 0.0045172, AVERAGE_POPULARITY: 0.1569374, DIVERSITY_MEAN_INTER_LIST: 0.9611380, DIVERSITY_HERFINDAHL: 0.9960887, COVERAGE_ITEM: 0.2386141, COVERAGE_ITEM_CORRECT: 0.0224062, COVERAGE_USER: 0.4810620, COVERAGE_USER_CORRECT: 0.1155153, DIVERSITY_GINI: 0.0576763, SHANNON_ENTROPY: 10.0024098, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.8362962915248916, 'l1_ratio': 0.8983640893793078} - results: ROC_AUC: 0.1497618, PRECISION: 0.0300549, PRECISION_RECALL_MIN_DEN: 0.1169258, RECALL: 0.1143939, MAP: 0.0518965, MRR: 0.1076823, NDCG: 0.0795962, F1: 0.0476030, HIT_RATE: 0.3005493, ARHR: 0.1198839, NOVELTY: 0.0045591, AVERAGE_POPULARITY: 0.1423125, DIVERSITY_MEAN_INTER_LIST: 0.9701869, DIVERSITY_HERFINDAHL: 0.9969933, COVERAGE_ITEM: 0.2222137, COVERAGE_ITEM_CORRECT: 0.0229451, COVERAGE_USER: 0.4810620, COVERAGE_USER_CORRECT: 0.1143828, DIVERSITY_GINI: 0.0583085, SHANNON_ENTROPY: 10.2817274, 
