SearchBayesianSkopt: New best config found. Config 0: {'topK': 495, 'alpha': 1.1781330716286023, 'beta': 0.2900376172857096, 'normalize_similarity': True} - results: ROC_AUC: 0.0348105, PRECISION: 0.0056647, PRECISION_RECALL_MIN_DEN: 0.0493256, RECALL: 0.0493256, MAP: 0.0195779, MRR: 0.0223314, NDCG: 0.0273533, F1: 0.0101624, HIT_RATE: 0.0566474, ARHR: 0.0223314, NOVELTY: 0.0054750, AVERAGE_POPULARITY: 0.0297743, DIVERSITY_MEAN_INTER_LIST: 0.9860041, DIVERSITY_HERFINDAHL: 0.9984864, COVERAGE_ITEM: 0.2166699, COVERAGE_ITEM_CORRECT: 0.0018864, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0061658, DIVERSITY_GINI: 0.1497060, SHANNON_ENTROPY: 11.7374633, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 495, 'alpha': 1.1781330716286023, 'beta': 0.2900376172857096, 'normalize_similarity': True} - results:
CUTOFF: 10 - ROC_AUC: 0.0468321, PRECISION: 0.0073045, PRECISION_RECALL_MIN_DEN: 0.0583848, RECALL: 0.0583848, MAP: 0.0254913, MRR: 0.0314055, NDCG: 0.0349111, F1: 0.0129846, HIT_RATE: 0.0730453, ARHR: 0.0323772, NOVELTY: 0.0054749, AVERAGE_POPULARITY: 0.0278717, DIVERSITY_MEAN_INTER_LIST: 0.9877863, DIVERSITY_HERFINDAHL: 0.9986770, COVERAGE_ITEM: 0.2317228, COVERAGE_ITEM_CORRECT: 0.0026179, COVERAGE_USER: 0.1223103, COVERAGE_USER_CORRECT: 0.0084309, DIVERSITY_GINI: 0.1565306, SHANNON_ENTROPY: 11.8599531, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 160, 'alpha': 1.9500114097343344, 'beta': 1.957806027846416, 'normalize_similarity': True} - results: ROC_AUC: 0.0200385, PRECISION: 0.0033526, PRECISION_RECALL_MIN_DEN: 0.0300578, RECALL: 0.0300578, MAP: 0.0125638, MRR: 0.0138499, NDCG: 0.0169740, F1: 0.0060324, HIT_RATE: 0.0335260, ARHR: 0.0138499, NOVELTY: 0.0058020, AVERAGE_POPULARITY: 0.0102218, DIVERSITY_MEAN_INTER_LIST: 0.9858213, DIVERSITY_HERFINDAHL: 0.9984682, COVERAGE_ITEM: 0.2147064, COVERAGE_ITEM_CORRECT: 0.0011165, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0036492, DIVERSITY_GINI: 0.1482951, SHANNON_ENTROPY: 11.7390265, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 944, 'alpha': 0.5171649713882785, 'beta': 1.921122733250596, 'normalize_similarity': True} - results: ROC_AUC: 0.0172126, PRECISION: 0.0027746, PRECISION_RECALL_MIN_DEN: 0.0254335, RECALL: 0.0254335, MAP: 0.0109836, MRR: 0.0125443, NDCG: 0.0147021, F1: 0.0050033, HIT_RATE: 0.0277457, ARHR: 0.0125443, NOVELTY: 0.0059526, AVERAGE_POPULARITY: 0.0077720, DIVERSITY_MEAN_INTER_LIST: 0.9859219, DIVERSITY_HERFINDAHL: 0.9984782, COVERAGE_ITEM: 0.1938017, COVERAGE_ITEM_CORRECT: 0.0009240, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0030200, DIVERSITY_GINI: 0.1260539, SHANNON_ENTROPY: 11.5752275, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 917, 'alpha': 0.4898483676527091, 'beta': 1.869123110397441, 'normalize_similarity': True} - results: ROC_AUC: 0.0170841, PRECISION: 0.0027746, PRECISION_RECALL_MIN_DEN: 0.0254335, RECALL: 0.0254335, MAP: 0.0106946, MRR: 0.0119662, NDCG: 0.0144405, F1: 0.0050033, HIT_RATE: 0.0277457, ARHR: 0.0119662, NOVELTY: 0.0059521, AVERAGE_POPULARITY: 0.0077914, DIVERSITY_MEAN_INTER_LIST: 0.9859283, DIVERSITY_HERFINDAHL: 0.9984789, COVERAGE_ITEM: 0.1938787, COVERAGE_ITEM_CORRECT: 0.0009240, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0030200, DIVERSITY_GINI: 0.1261814, SHANNON_ENTROPY: 11.5768253, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 385, 'alpha': 0.019909985225270436, 'beta': 0.9088391941334599, 'normalize_similarity': False} - results: ROC_AUC: 0.0168272, PRECISION: 0.0026590, PRECISION_RECALL_MIN_DEN: 0.0236994, RECALL: 0.0236994, MAP: 0.0101663, MRR: 0.0112212, NDCG: 0.0136484, F1: 0.0047815, HIT_RATE: 0.0265896, ARHR: 0.0112212, NOVELTY: 0.0059160, AVERAGE_POPULARITY: 0.0079228, DIVERSITY_MEAN_INTER_LIST: 0.9860635, DIVERSITY_HERFINDAHL: 0.9984924, COVERAGE_ITEM: 0.2010780, COVERAGE_ITEM_CORRECT: 0.0008855, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0028942, DIVERSITY_GINI: 0.1338900, SHANNON_ENTROPY: 11.6411238, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 65, 'alpha': 0.0926556353584538, 'beta': 0.22324847424160016, 'normalize_similarity': True} - results: ROC_AUC: 0.0449583, PRECISION: 0.0071676, PRECISION_RECALL_MIN_DEN: 0.0643545, RECALL: 0.0643545, MAP: 0.0268584, MRR: 0.0291995, NDCG: 0.0363488, F1: 0.0128986, HIT_RATE: 0.0716763, ARHR: 0.0291995, NOVELTY: 0.0054020, AVERAGE_POPULARITY: 0.0366368, DIVERSITY_MEAN_INTER_LIST: 0.9852920, DIVERSITY_HERFINDAHL: 0.9984153, COVERAGE_ITEM: 0.2044273, COVERAGE_ITEM_CORRECT: 0.0023869, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0078017, DIVERSITY_GINI: 0.1342549, SHANNON_ENTROPY: 11.5844263, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 65, 'alpha': 0.0926556353584538, 'beta': 0.22324847424160016, 'normalize_similarity': True} - results:
CUTOFF: 10 - ROC_AUC: 0.0444102, PRECISION: 0.0081276, PRECISION_RECALL_MIN_DEN: 0.0667867, RECALL: 0.0667867, MAP: 0.0271974, MRR: 0.0302196, NDCG: 0.0374276, F1: 0.0144916, HIT_RATE: 0.0812757, ARHR: 0.0311483, NOVELTY: 0.0054264, AVERAGE_POPULARITY: 0.0342448, DIVERSITY_MEAN_INTER_LIST: 0.9871144, DIVERSITY_HERFINDAHL: 0.9986099, COVERAGE_ITEM: 0.2254860, COVERAGE_ITEM_CORRECT: 0.0029259, COVERAGE_USER: 0.1223103, COVERAGE_USER_CORRECT: 0.0094375, DIVERSITY_GINI: 0.1472048, SHANNON_ENTROPY: 11.7512503, 
